# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	9.3	43.6
2	10.0	43.3
3	10.6	42.9
4	10.9	42.5
5	11.2	42.2
6	11.5	41.8
7	11.6	41.8
8	17.3	41.6
9	17.0	41.4
10	15.1	41.1
11	13.3	40.7
12	11.8	39.8
13	10.8	39.8
14	10.2	39.7
15	10.2	39.6
16	10.9	39.4
17	11.9	39.1
18	12.9	39.0
19	13.7	38.7
20	14.5	38.5
21	15.4	38.5
22	16.2	38.5
23	17.2	38.5
24	18.0	38.5
25	14.1	38.3
26	16.0	38.1
27	17.8	38.0
28	18.9	38.0
29	19.9	38.0
30	21.0	37.9
31	21.7	37.8
32	28.1	37.8
33	28.1	37.8
34	25.6	37.6
35	23.5	37.5
36	21.6	37.5
37	20.5	37.5
38	19.9	37.5
39	19.9	37.5
40	21.0	37.5
41	22.8	37.3
42	23.5	37.2
43	24.2	37.2
44	24.9	37.1
45	25.4	37.0
46	26.1	37.0
47	26.8	36.8
48	27.5	36.8
49	21.9	36.8
50	21.6	36.8
51	21.3	36.8
52	21.2	36.7
53	21.0	36.7
54	20.9	36.6
55	20.7	36.6
56	26.1	36.4
57	25.9	36.4
58	23.7	36.4
59	21.7	36.3
60	20.5	36.3
61	19.5	36.2
62	18.9	36.2
63	18.9	36.1
64	19.5	36.1
65	20.6	36.1
66	21.0	36.1
67	21.3	36.0
68	21.6	36.0
69	21.9	36.0
70	22.3	35.8
71	22.5	35.8
72	22.8	35.8
73	17.8	35.7
74	18.8	35.7
75	19.4	35.7
76	19.6	35.6
77	20.1	35.6
78	20.3	35.5
79	20.6	35.4
80	26.4	35.3
81	26.4	35.3
82	25.7	35.3
83	25.2	35.2
84	24.9	35.1
85	24.8	35.1
86	24.6	35.0
87	24.8	35.0
88	25.0	35.0
89	25.4	34.9
90	25.9	34.9
91	26.1	34.9
92	26.6	34.7
93	26.8	34.7
94	27.2	34.7
95	27.7	34.6
96	28.5	34.6
97	22.5	34.6
98	22.5	34.5
99	22.5	34.5
100	22.7	34.4
101	22.5	34.4
102	22.5	34.4
103	22.5	34.4
104	28.1	34.3
105	27.9	34.3
106	26.8	34.3
107	25.7	34.3
108	24.8	34.3
109	24.2	34.3
110	23.8	34.2
111	23.7	34.2
112	24.1	34.2
113	24.8	34.2
114	25.2	34.2
115	25.6	34.2
116	26.0	34.2
117	26.4	34.2
118	27.0	34.0
119	27.2	34.0
120	28.1	34.0
121	22.7	34.0
122	23.4	33.9
123	24.1	33.9
124	24.5	33.9
125	24.8	33.9
126	25.0	33.8
127	25.3	33.8
128	31.1	33.8
129	31.1	33.7
130	30.3	33.6
131	29.5	33.6
132	28.9	33.6
133	28.5	33.5
134	28.4	33.5
135	28.4	33.5
136	28.6	33.3
137	29.3	33.3
138	29.6	33.3
139	30.0	33.3
140	30.3	33.3
141	30.7	33.3
142	31.1	33.2
143	31.4	33.2
144	31.8	33.2
145	26.3	33.2
146	26.4	33.2
147	26.4	33.2
148	26.4	33.1
149	26.4	33.1
150	26.4	33.1
151	26.4	33.1
152	31.9	33.1
153	31.5	32.9
154	28.9	32.9
155	26.6	32.9
156	24.5	32.9
157	23.0	32.9
158	22.1	32.9
159	22.3	32.9
160	23.4	32.9
161	24.9	32.9
162	25.3	32.9
163	25.7	32.9
164	26.1	32.9
165	26.6	32.9
166	27.0	32.9
167	27.5	32.8
168	27.9	32.8
169	23.2	32.8
170	23.8	32.8
171	24.5	32.6
172	24.9	32.6
173	25.3	32.6
174	25.7	32.6
175	26.0	32.6
176	31.8	32.6
177	31.8	32.6
178	30.8	32.6
179	30.4	32.5
180	30.6	32.5
181	30.6	32.5
182	29.3	32.5
183	28.8	32.5
184	28.6	32.5
185	29.3	32.5
186	29.9	32.5
187	30.4	32.5
188	30.8	32.4
189	31.4	32.4
190	31.8	32.4
191	32.4	32.4
192	32.9	32.4
193	27.7	32.4
194	27.9	32.4
195	28.2	32.3
196	28.4	32.2
197	28.5	32.2
198	28.8	32.2
199	28.9	32.2
200	34.4	32.2
201	34.3	32.2
202	33.2	32.2
203	32.2	32.2
204	31.4	32.1
205	30.8	32.1
206	30.7	32.1
207	30.6	32.1
208	31.0	32.1
209	31.8	32.0
210	31.9	31.9
211	32.1	31.9
212	32.5	31.9
213	32.5	31.9
214	32.5	31.9
215	32.6	31.9
216	32.9	31.8
217	27.4	31.8
218	27.4	31.8
219	27.5	31.8
