# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.9	27.9
2	6.4	27.8
3	6.8	27.5
4	7.0	27.2
5	7.2	27.0
6	7.4	26.8
7	7.4	26.8
8	11.1	26.7
9	10.9	26.5
10	9.7	26.3
11	8.5	26.1
12	7.5	25.5
13	6.9	25.5
14	6.6	25.4
15	6.6	25.4
16	7.0	25.3
17	7.6	25.1
18	8.2	24.9
19	8.8	24.8
20	9.3	24.7
21	9.8	24.7
22	10.4	24.6
23	11.0	24.6
24	11.5	24.6
25	9.0	24.6
26	10.3	24.4
27	11.4	24.4
28	12.1	24.4
29	12.8	24.3
30	13.5	24.3
31	13.9	24.2
32	18.0	24.2
33	18.0	24.2
34	16.4	24.1
35	15.1	24.0
36	13.8	24.0
37	13.1	24.0
38	12.8	24.0
39	12.8	24.0
40	13.5	24.0
41	14.6	23.9
42	15.1	23.9
43	15.5	23.9
44	16.0	23.8
45	16.3	23.7
46	16.8	23.7
47	17.2	23.6
48	17.6	23.6
49	14.0	23.6
50	13.8	23.6
51	13.7	23.5
52	13.6	23.5
53	13.5	23.5
54	13.4	23.4
55	13.3	23.4
56	16.8	23.3
57	16.6	23.3
58	15.2	23.3
59	13.9	23.2
60	13.1	23.2
61	12.5	23.2
62	12.1	23.2
63	12.1	23.1
64	12.5	23.1
65	13.2	23.1
66	13.5	23.1
67	13.7	23.0
68	13.8	23.0
69	14.0	23.0
70	14.3	23.0
71	14.5	23.0
72	14.6	23.0
73	11.4	22.9
74	12.1	22.9
75	12.4	22.9
76	12.6	22.8
77	12.9	22.8
78	13.0	22.8
79	13.2	22.7
80	16.9	22.6
81	16.9	22.6
82	16.5	22.6
83	16.1	22.5
84	16.0	22.5
85	15.9	22.5
86	15.8	22.4
87	15.9	22.4
88	16.0	22.4
89	16.3	22.3
90	16.6	22.3
91	16.8	22.3
92	17.0	22.3
93	17.2	22.2
94	17.5	22.2
95	17.7	22.2
96	18.3	22.2
97	14.5	22.2
98	14.5	22.1
99	14.5	22.1
100	14.5	22.1
101	14.5	22.1
102	14.5	22.0
103	14.5	22.0
104	18.0	22.0
105	17.9	22.0
106	17.2	22.0
107	16.5	22.0
108	15.9	22.0
109	15.5	22.0
110	15.3	21.9
111	15.2	21.9
112	15.4	21.9
113	15.9	21.9
114	16.1	21.9
115	16.4	21.9
116	16.7	21.9
117	16.9	21.8
118	17.3	21.8
119	17.5	21.8
120	18.0	21.8
121	14.5	21.8
122	15.0	21.7
123	15.4	21.7
124	15.7	21.7
125	15.9	21.7
126	16.0	21.6
127	16.2	21.6
128	20.0	21.6
129	20.0	21.6
130	19.4	21.5
131	18.9	21.5
132	18.5	21.5
133	18.3	21.5
134	18.2	21.5
135	18.2	21.5
136	18.4	21.4
137	18.8	21.4
138	19.0	21.4
139	19.2	21.3
140	19.4	21.3
141	19.7	21.3
142	20.0	21.3
143	20.1	21.3
144	20.4	21.2
145	16.8	21.2
146	16.9	21.2
147	16.9	21.2
148	16.9	21.2
149	16.9	21.2
150	16.9	21.2
151	16.9	21.2
152	20.5	21.2
153	20.2	21.1
154	18.5	21.1
155	17.0	21.1
156	15.7	21.1
157	14.7	21.1
158	14.2	21.1
159	14.3	21.1
160	15.0	21.1
161	16.0	21.1
162	16.2	21.1
163	16.5	21.1
164	16.8	21.1
165	17.0	21.1
166	17.3	21.0
167	17.6	21.0
168	17.9	21.0
169	14.9	21.0
170	15.3	21.0
171	15.7	20.9
172	16.0	20.9
173	16.2	20.9
174	16.5	20.9
175	16.7	20.9
176	20.4	20.9
177	20.4	20.9
178	19.8	20.9
179	19.5	20.8
180	19.6	20.8
181	19.6	20.8
182	18.8	20.8
183	18.4	20.8
184	18.4	20.8
