# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.3	48.6
2	11.1	48.3
3	11.9	47.8
4	12.2	47.3
5	12.5	47.0
6	12.8	46.6
7	12.9	46.6
8	19.3	46.4
9	19.0	46.1
10	16.8	45.8
11	14.8	45.3
12	13.1	44.4
13	12.0	44.4
14	11.4	44.2
15	11.4	44.1
16	12.2	43.9
17	13.3	43.6
18	14.3	43.4
19	15.3	43.2
20	16.2	43.0
21	17.1	43.0
22	18.0	43.0
23	19.1	42.9
24	20.0	42.9
25	15.7	42.7
26	17.9	42.5
27	19.9	42.4
28	21.1	42.4
29	22.2	42.4
30	23.4	42.2
31	24.2	42.1
32	31.3	42.1
33	31.3	42.1
34	28.5	41.9
35	26.2	41.9
36	24.0	41.8
37	22.8	41.8
38	22.2	41.8
39	22.2	41.8
40	23.4	41.8
41	25.4	41.6
42	26.2	41.6
43	27.0	41.5
44	27.7	41.5
45	28.4	41.3
46	29.1	41.3
47	29.9	41.3
48	30.7	41.1
49	24.4	41.1
50	24.0	41.0
51	23.7	41.0
52	23.6	40.9
53	23.4	40.9
54	23.3	40.8
55	23.1	40.8
56	29.1	40.8
57	28.8	40.8
58	26.4	40.6
59	24.2	40.5
60	22.8	40.5
61	21.7	40.5
62	21.1	40.5
63	21.1	40.4
64	21.7	40.4
65	23.0	40.3
66	23.4	40.3
67	23.7	40.2
68	24.0	40.2
69	24.4	40.2
70	24.8	39.9
71	25.1	39.9
72	25.4	39.9
73	19.9	39.9
74	21.0	39.9
75	21.6	39.9
76	21.9	39.8
77	22.4	39.7
78	22.7	39.7
79	23.0	39.6
80	29.4	39.5
81	29.4	39.4
82	28.7	39.3
83	28.1	39.2
84	27.7	39.2
85	27.6	39.2
86	27.4	39.2
87	27.6	39.1
88	27.9	39.1
89	28.4	39.1
90	28.8	38.9
91	29.1	38.8
92	29.6	38.8
93	29.9	38.8
94	30.4	38.7
95	30.8	38.7
96	31.8	38.5
97	25.1	38.5
98	25.1	38.5
99	25.1	38.4
100	25.3	38.4
101	25.1	38.4
102	25.1	38.4
103	25.1	38.4
104	31.3	38.4
105	31.1	38.4
106	29.9	38.3
107	28.7	38.3
108	27.6	38.3
109	27.0	38.3
110	26.5	38.2
111	26.4	38.2
112	26.8	38.1
113	27.6	38.1
114	28.1	38.1
115	28.5	38.1
116	29.0	38.1
117	29.4	38.1
118	30.1	38.1
119	30.4	38.0
120	31.3	38.0
121	25.3	38.0
122	26.1	37.9
123	26.8	37.8
124	27.3	37.8
125	27.6	37.8
126	27.9	37.7
127	28.2	37.7
128	34.7	37.7
129	34.7	37.6
130	33.8	37.5
131	32.8	37.5
132	32.2	37.5
133	31.8	37.5
134	31.6	37.3
135	31.6	37.3
136	31.9	37.3
137	32.7	37.2
138	33.0	37.2
139	33.5	37.2
140	33.8	37.2
141	34.2	37.2
142	34.7	37.2
143	35.0	37.2
144	35.5	37.0
145	29.3	37.0
146	29.4	37.0
147	29.4	37.0
148	29.4	37.0
149	29.4	36.9
150	29.4	36.9
151	29.4	36.8
152	35.6	36.8
153	35.1	36.8
154	32.2	36.7
155	29.6	36.7
156	27.3	36.7
157	25.6	36.7
158	24.7	36.7
159	24.8	36.7
160	26.1	36.7
161	27.7	36.7
162	28.2	36.7
163	28.7	36.7
164	29.1	36.7
165	29.6	36.7
166	30.1	36.7
167	30.7	36.7
168	31.1	36.6
169	25.9	36.6
170	26.5	36.5
171	27.3	36.5
172	27.7	36.5
173	28.2	36.4
174	28.7	36.4
175	29.0	36.4
176	35.5	36.4
177	35.5	36.4
178	34.4	36.4
179	33.9	36.4
180	34.1	36.4
181	34.1	36.3
182	32.7	36.3
183	32.1	36.3
184	31.9	36.2
185	32.7	36.2
186	33.3	36.2
187	33.9	36.2
188	34.4	36.2
189	35.0	36.2
190	35.5	36.2
191	36.1	36.1
192	36.7	36.1
193	30.8	36.1
194	31.1	36.1
195	31.4	36.1
196	31.6	36.1
197	31.8	36.0
198	32.1	36.0
199	32.2	35.9
200	38.4	35.9
201	38.2	35.9
202	37.0	35.9
203	35.9	35.9
204	35.0	35.9
205	34.4	35.9
206	34.2	35.9
207	34.1	35.8
208	34.5	35.8
209	35.5	35.8
210	35.6	35.8
211	35.8	35.8
212	36.2	35.8
213	36.2	35.8
214	36.2	35.8
215	36.4	35.7
216	36.7	35.7
217	30.5	35.6
218	30.5	35.6
219	30.7	35.6
220	30.7	35.6
221	30.7	35.6
222	30.7	35.6
223	30.7	35.5
224	36.8	35.5
225	36.7	35.5
226	35.5	35.5
227	34.2	35.5
228	33.3	35.5
229	32.8	35.5
230	32.4	35.5
231	32.4	35.5
232	32.7	35.5
233	33.5	35.5
234	33.8	35.5
235	34.1	35.5
236	34.7	35.5
237	34.2	35.5
238	34.5	35.4
239	34.7	35.4
240	34.8	35.4
241	29.0	35.3
242	29.1	35.3
243	29.3	35.3
244	29.4	35.3
245	29.4	35.3
246	29.4	35.2
247	29.4	35.2
248	35.8	35.2
249	35.5	35.2
250	33.3	35.1
251	31.3	35.1
252	29.4	35.1
253	28.2	35.1
254	27.4	35.1
255	27.3	35.0
256	27.9	35.0
257	29.1	35.0
258	30.1	35.0
259	31.0	35.0
260	31.8	35.0
261	32.7	35.0
262	33.6	35.0
263	34.5	35.0
264	35.3	35.0
265	30.8	35.0
266	33.0	35.0
267	35.0	35.0
268	36.2	34.9
269	37.3	34.9
270	38.5	34.9
271	39.5	34.9
272	46.6	34.9
273	46.4	34.8
274	45.3	34.8
275	44.2	34.8
276	42.9	34.8
277	42.4	34.8
278	43.2	34.8
279	43.6	34.7
280	44.4	34.7
281	45.8	34.7
282	46.1	34.7
283	46.6	34.7
284	47.0	34.7
285	47.3	34.7
286	47.8	34.7
287	48.3	34.7
288	48.6	34.7
289	41.8	34.7
290	41.3	34.7
291	39.6	34.5
292	38.8	34.5
293	38.2	34.5
294	37.6	34.5
295	37.2	34.5
296	42.9	34.5
297	42.4	34.5
298	40.4	34.5
299	38.5	34.4
300	37.2	34.4
301	36.1	34.4
302	35.6	34.4
303	35.5	34.4
304	35.9	34.4
305	36.8	34.4
306	36.7	34.4
307	36.7	34.4
308	36.7	34.4
309	36.7	34.4
310	36.8	34.2
311	36.5	34.2
312	36.5	34.2
313	31.0	34.2
314	31.6	34.2
315	32.2	34.2
316	32.5	34.2
317	33.0	34.2
318	33.3	34.1
319	33.6	34.1
320	39.9	34.1
321	39.9	34.1
322	39.2	34.1
323	37.9	34.1
324	37.2	34.1
325	36.7	34.1
326	36.4	34.1
327	36.4	34.1
328	36.7	34.1
329	37.3	34.1
330	38.1	34.1
331	38.5	33.9
332	39.2	33.9
333	39.8	33.9
334	40.2	33.9
335	40.9	33.9
336	41.5	33.9
337	36.2	33.9
338	36.2	33.8
339	36.7	33.8
340	37.0	33.8
341	37.3	33.8
342	37.5	33.8
343	37.8	33.8
344	44.1	33.8
345	43.9	33.8
346	42.7	33.8
347	41.8	33.8
348	41.0	33.6
349	40.4	33.6
350	40.2	33.6
351	40.5	33.6
352	41.0	33.6
353	41.6	33.6
354	41.8	33.6
355	41.8	33.6
356	41.9	33.6
357	42.1	33.5
358	42.1	33.5
359	42.1	33.4
360	42.2	33.4
361	35.9	33.4
362	35.8	33.4
363	35.6	33.4
364	35.3	33.4
365	35.1	33.3
366	35.0	33.3
367	34.8	33.3
368	40.9	33.3
369	40.5	33.3
370	39.9	33.3
371	39.3	33.3
372	38.8	33.3
373	38.4	33.3
374	34.7	33.3
375	32.7	33.3
376	32.1	33.3
377	33.3	33.3
378	33.6	33.1
379	33.8	33.1
380	34.1	33.1
381	34.4	33.1
382	34.5	33.1
383	34.8	33.1
384	35.0	33.1
385	29.6	33.0
386	30.2	33.0
387	31.0	33.0
388	31.3	33.0
389	31.6	33.0
390	32.1	33.0
391	32.2	33.0
392	38.7	33.0
393	38.4	33.0
394	34.2	33.0
395	30.4	33.0
396	27.0	33.0
397	24.8	32.9
398	23.7	32.8
399	23.7	32.8
400	25.3	32.8
401	28.1	32.8
402	28.4	32.8
403	28.8	32.8
404	29.1	32.8
405	29.6	32.8
406	29.9	32.7
407	30.4	32.7
408	30.7	32.7
409	24.8	32.7
410	25.0	32.7
411	25.3	32.7
412	25.3	32.7
413	25.4	32.7
414	25.4	32.7
415	25.4	32.7
416	31.8	32.7
417	31.4	32.7
418	31.0	32.7
419	30.4	32.7
420	29.9	32.5
421	29.3	32.5
422	25.3	32.5
423	23.3	32.5
424	22.7	32.5
425	24.0	32.5
426	24.4	32.4
427	24.7	32.4
428	25.0	32.4
429	25.1	32.4
430	25.4	32.4
431	25.7	32.4
432	26.1	32.4
433	20.3	32.4
434	20.8	32.4
435	21.3	32.4
436	21.4	32.3
437	21.6	32.3
