# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	11.7	55.1
2	12.6	54.7
3	13.5	54.2
4	13.8	53.7
5	14.2	53.3
6	14.5	52.8
7	14.7	52.8
8	21.9	52.6
9	21.5	52.3
10	19.1	51.9
11	16.8	51.4
12	14.9	50.4
13	13.6	50.3
14	12.9	50.2
15	12.9	50.0
16	13.8	49.9
17	15.0	49.5
18	16.3	49.3
19	17.3	49.0
20	18.4	48.7
21	19.4	48.7
22	20.5	48.7
23	21.7	48.6
24	22.7	48.6
25	17.8	48.5
26	20.3	48.2
27	22.6	48.1
28	24.0	48.1
29	25.2	48.0
30	26.6	47.9
31	27.5	47.8
32	35.5	47.8
33	35.5	47.8
34	32.4	47.6
35	29.7	47.5
36	27.3	47.4
37	25.9	47.4
38	25.2	47.4
39	25.2	47.4
40	26.6	47.4
41	28.9	47.2
42	29.7	47.1
43	30.6	47.1
44	31.5	46.9
45	32.2	46.8
46	33.1	46.8
47	33.9	46.6
48	34.8	46.6
49	27.6	46.6
50	27.3	46.5
51	26.9	46.5
52	26.8	46.4
53	26.6	46.4
54	26.4	46.2
55	26.2	46.2
56	33.1	46.1
57	32.7	46.0
58	29.9	46.0
59	27.5	45.9
60	25.9	45.9
61	24.7	45.8
62	24.0	45.8
63	24.0	45.7
64	24.7	45.7
65	26.1	45.7
66	26.6	45.7
67	26.9	45.6
68	27.3	45.6
69	27.6	45.5
70	28.2	45.3
71	28.5	45.3
72	28.9	45.3
73	22.6	45.2
74	23.8	45.2
75	24.5	45.1
76	24.8	45.0
77	25.4	45.0
78	25.7	45.0
79	26.1	44.8
80	33.4	44.7
81	33.4	44.6
82	32.5	44.6
83	31.8	44.5
84	31.5	44.4
85	31.3	44.4
86	31.1	44.3
87	31.3	44.3
88	31.7	44.3
89	32.2	44.1
90	32.7	44.1
91	33.1	44.1
92	33.6	43.9
93	33.9	43.9
94	34.5	43.9
95	35.0	43.7
96	36.0	43.7
97	28.5	43.7
98	28.5	43.6
99	28.5	43.6
100	28.7	43.6
101	28.5	43.6
102	28.5	43.6
103	28.5	43.6
104	35.5	43.4
105	35.3	43.4
106	33.9	43.4
107	32.5	43.4
108	31.3	43.4
109	30.6	43.4
110	30.1	43.2
111	29.9	43.2
112	30.4	43.2
113	31.3	43.2
114	31.8	43.2
115	32.4	43.2
116	32.9	43.2
117	33.4	43.2
118	34.1	43.0
119	34.5	43.0
120	35.5	43.0
121	28.7	43.0
122	29.6	42.9
123	30.4	42.9
124	31.0	42.9
125	31.3	42.9
126	31.7	42.7
127	32.0	42.7
128	39.4	42.7
129	39.4	42.7
130	38.3	42.5
131	37.3	42.5
132	36.6	42.5
133	36.0	42.3
134	35.9	42.3
135	35.9	42.3
136	36.2	42.2
137	37.1	42.2
138	37.4	42.2
139	38.0	42.2
140	38.3	42.2
141	38.8	42.2
142	39.4	42.0
143	39.7	42.0
144	40.2	42.0
145	33.2	42.0
146	33.4	42.0
147	33.4	42.0
148	33.4	41.8
149	33.4	41.8
150	33.4	41.8
151	33.4	41.8
152	40.4	41.8
153	39.9	41.6
154	36.6	41.6
155	33.6	41.6
156	31.0	41.6
157	29.0	41.6
158	28.0	41.6
159	28.2	41.6
160	29.6	41.6
161	31.5	41.6
162	32.0	41.6
163	32.5	41.6
164	33.1	41.6
165	33.6	41.6
166	34.1	41.6
167	34.8	41.5
168	35.3	41.5
169	29.4	41.5
170	30.1	41.5
171	31.0	41.3
172	31.5	41.3
173	32.0	41.3
174	32.5	41.3
175	32.9	41.3
176	40.2	41.3
177	40.2	41.3
178	39.0	41.3
179	38.5	41.1
180	38.7	41.1
181	38.7	41.1
182	37.1	41.1
183	36.4	41.1
184	36.2	41.1
185	37.1	41.1
186	37.8	41.1
187	38.5	41.1
188	39.0	41.0
189	39.7	40.9
190	40.2	40.9
191	40.9	40.9
192	41.6	40.9
193	35.0	40.9
194	35.3	40.9
195	35.7	40.8
196	35.9	40.8
197	36.0	40.8
198	36.4	40.8
199	36.6	40.8
200	43.6	40.7
201	43.4	40.7
202	42.0	40.7
203	40.8	40.7
204	39.7	40.6
205	39.0	40.6
206	38.8	40.6
207	38.7	40.6
208	39.2	40.6
209	40.2	40.5
210	40.4	40.4
211	40.6	40.4
212	41.1	40.4
213	41.1	40.4
214	41.1	40.4
215	41.3	40.4
216	41.6	40.2
217	34.6	40.2
218	34.6	40.2
219	34.8	40.2
220	34.8	40.2
221	34.8	40.2
222	34.8	40.2
223	34.8	40.2
224	41.8	40.2
225	41.6	40.2
226	40.2	40.2
227	38.8	40.2
228	37.8	40.2
229	37.3	40.2
230	36.7	40.2
231	36.7	40.1
232	37.1	40.1
233	38.0	40.1
234	38.3	40.0
235	38.7	40.0
