# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.5	87.2
2	19.9	86.6
3	21.3	85.8
4	21.9	85.0
5	22.4	84.4
6	23.0	83.6
7	23.2	83.6
8	34.6	83.3
9	34.0	82.7
10	30.2	82.2
11	26.6	81.4
12	23.5	79.7
13	21.6	79.4
14	20.5	79.4
15	20.5	79.2
16	21.9	78.9
17	23.8	78.3
18	25.7	77.7
19	27.4	77.5
20	29.1	76.9
21	30.7	76.9
22	32.4	76.9
23	34.3	76.9
24	36.0	76.9
25	28.2	76.7
26	32.1	76.1
27	35.7	76.1
28	37.9	76.0
29	39.9	75.8
30	42.1	75.8
31	43.4	75.6
32	56.2	75.6
33	56.2	75.6
34	51.2	75.6
35	47.0	75.3
36	43.2	75.0
37	41.0	75.0
38	39.9	75.0
39	39.9	75.0
40	42.1	75.0
41	45.7	74.9
42	47.0	74.7
43	48.4	74.4
44	49.8	74.4
45	50.9	74.2
46	52.3	74.0
47	53.7	74.0
48	55.1	73.8
49	43.7	73.8
50	43.2	73.6
51	42.6	73.6
52	42.3	73.5
53	42.1	73.5
54	41.8	73.3
55	41.5	73.3
56	52.3	73.0
57	51.8	73.0
58	47.3	72.8
59	43.4	72.8
60	41.0	72.7
61	39.0	72.5
62	37.9	72.5
63	37.9	72.5
64	39.0	72.4
65	41.2	72.4
66	42.1	72.2
67	42.6	72.2
68	43.2	72.1
69	43.7	72.1
70	44.6	71.8
71	45.1	71.7
72	45.7	71.7
73	35.7	71.7
74	37.6	71.4
75	38.7	71.3
76	39.3	71.3
77	40.1	71.2
78	40.7	71.1
79	41.2	71.0
80	52.9	71.0
81	52.9	70.8
82	51.5	70.6
83	50.4	70.4
84	49.8	70.3
85	49.5	70.3
86	49.3	70.2
87	49.5	70.2
88	50.1	69.9
89	50.9	69.9
90	51.8	69.9
91	52.3	69.7
92	53.1	69.7
93	53.7	69.7
94	54.5	69.6
95	55.3	69.5
96	57.0	69.3
97	45.1	69.2
98	45.1	69.2
99	45.1	69.2
100	45.4	68.9
101	45.1	68.9
102	45.1	68.9
103	45.1	68.9
104	56.2	68.8
105	55.9	68.8
106	53.7	68.6
107	51.5	68.6
108	49.5	68.5
109	48.4	68.5
110	47.6	68.5
111	47.3	68.5
112	48.2	68.4
113	49.5	68.2
114	50.4	68.2
115	51.2	68.2
116	52.0	68.2
117	52.9	68.2
118	54.0	68.2
119	54.5	68.1
120	56.2	68.1
121	45.4	67.9
122	46.8	67.9
123	48.2	67.9
124	49.0	67.8
125	49.5	67.7
126	50.1	67.7
127	50.6	67.6
128	62.3	67.5
129	62.3	67.4
130	60.6	67.4
131	58.9	67.4
132	57.8	67.2
133	57.0	67.1
134	56.7	67.1
135	56.7	67.0
136	57.3	67.0
137	58.7	67.0
138	59.2	66.7
139	60.1	66.7
140	60.6	66.7
141	61.4	66.6
142	62.3	66.5
143	62.8	66.5
144	63.7	66.5
145	52.6	66.4
146	52.9	66.4
147	52.9	66.3
148	52.9	66.3
149	52.9	66.3
150	52.9	66.3
151	52.9	66.1
152	63.9	66.1
153	63.1	66.1
154	57.8	66.0
155	53.1	66.0
156	49.0	65.9
157	45.9	65.9
158	44.3	65.9
159	44.6	65.9
160	46.8	65.9
161	49.8	65.9
162	50.6	65.9
163	51.5	65.9
164	52.3	65.9
165	53.1	65.9
166	54.0	65.8
167	55.1	65.7
168	55.9	65.7
169	46.5	65.7
170	47.6	65.6
171	49.0	65.6
172	49.8	65.4
173	50.6	65.4
174	51.5	65.3
175	52.0	65.3
176	63.7	65.3
177	63.7	65.3
178	61.7	65.3
179	60.9	65.1
180	61.2	65.1
181	61.2	65.1
182	58.7	65.1
183	57.6	65.1
184	57.3	65.0
185	58.7	65.0
186	59.8	65.0
187	60.9	65.0
188	61.7	65.0
189	62.8	65.0
190	63.7	65.0
191	64.8	65.0
192	65.9	65.0
193	55.3	64.9
194	55.9	64.9
195	56.5	64.9
196	56.7	64.8
197	57.0	64.8
198	57.6	64.8
199	57.8	64.8
200	68.9	64.6
201	68.6	64.6
202	66.4	64.6
203	64.5	64.6
204	62.8	64.5
205	61.7	64.5
206	61.4	64.5
207	61.2	64.5
208	62.0	64.5
209	63.7	64.5
210	63.9	64.3
211	64.2	64.3
212	65.0	64.3
213	65.0	64.3
214	65.0	64.2
215	65.3	64.2
216	65.9	64.2
217	54.8	64.2
218	54.8	64.2
219	55.1	64.2
220	55.1	64.0
221	55.1	64.0
222	55.1	64.0
223	55.1	64.0
224	66.1	63.9
225	65.9	63.9
226	63.7	63.9
227	61.4	63.9
228	59.8	63.7
229	58.9	63.7
230	58.1	63.7
231	58.1	63.7
232	58.7	63.7
233	60.1	63.7
234	60.6	63.7
235	61.2	63.7
236	62.3	63.7
237	61.4	63.7
238	62.0	63.7
239	62.3	63.7
240	62.5	63.7
241	52.0	63.7
242	52.3	63.5
243	52.6	63.5
244	52.9	63.5
245	52.9	63.5
246	52.9	63.5
247	52.9	63.4
248	64.2	63.4
249	63.7	63.4
250	59.8	63.2
251	56.2	63.2
252	52.9	63.2
253	50.6	63.2
254	49.3	63.1
255	49.0	63.1
256	50.1	62.9
257	52.3	62.9
258	54.0	62.8
259	55.6	62.8
260	57.0	62.8
261	58.7	62.8
262	60.3	62.8
263	62.0	62.8
264	63.4	62.8
265	55.3	62.6
266	59.2	62.6
267	62.8	62.6
268	65.0	62.6
269	67.0	62.6
270	69.2	62.5
271	70.8	62.5
272	83.6	62.5
273	83.3	62.5
274	81.4	62.3
275	79.4	62.3
276	76.9	62.3
277	76.1	62.3
278	77.5	62.3
279	78.3	62.3
280	79.7	62.3
281	82.2	62.3
282	82.7	62.3
283	83.6	62.3
284	84.4	62.3
285	85.0	62.1
286	85.8	62.1
287	86.6	62.1
288	87.2	62.1
289	75.0	62.1
290	74.2	62.1
291	71.1	62.0
292	69.7	62.0
293	68.6	62.0
294	67.5	62.0
295	66.7	62.0
296	76.9	61.9
297	76.1	61.9
298	72.5	61.8
299	69.2	61.8
300	66.7	61.8
301	64.8	61.7
302	63.9	61.7
303	63.7	61.7
304	64.5	61.7
305	66.1	61.5
306	65.9	61.5
307	65.9	61.5
308	65.9	61.5
309	65.9	61.5
310	66.1	61.5
311	65.6	61.5
312	65.6	61.4
313	55.6	61.4
314	56.7	61.4
315	57.8	61.4
316	58.4	61.4
317	59.2	61.4
318	59.8	61.4
319	60.3	61.2
320	71.7	61.2
321	71.7	61.2
322	70.3	61.2
323	68.1	61.2
324	66.7	61.2
325	65.9	61.2
326	65.3	61.2
327	65.3	61.2
328	65.9	61.2
329	67.0	60.9
330	68.4	60.9
331	69.2	60.9
332	70.3	60.9
333	71.4	60.9
334	72.2	60.9
335	73.3	60.7
336	74.4	60.7
337	65.0	60.7
338	65.0	60.7
339	65.9	60.7
340	66.4	60.6
341	67.0	60.6
342	67.2	60.6
343	67.8	60.6
344	79.2	60.6
345	78.9	60.6
346	76.7	60.4
347	75.0	60.4
348	73.6	60.4
349	72.5	60.4
350	72.2	60.4
351	72.8	60.4
352	73.6	60.3
353	74.7	60.3
354	75.0	60.3
355	75.0	60.2
356	75.3	60.1
357	75.6	60.1
358	75.6	60.1
359	75.6	60.1
360	75.8	60.1
361	64.5	60.1
