# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	0.4	1.9
2	0.5	1.9
3	0.5	1.9
4	0.5	1.8
5	0.5	1.8
6	0.5	1.8
7	0.5	1.8
8	0.8	1.8
9	0.8	1.8
10	0.7	1.8
11	0.6	1.8
12	0.6	1.7
13	0.5	1.7
14	0.5	1.7
15	0.5	1.7
16	0.5	1.7
17	0.6	1.7
18	0.6	1.7
19	0.6	1.7
20	0.7	1.7
21	0.7	1.7
22	0.7	1.7
23	0.8	1.7
24	0.8	1.7
25	0.7	1.7
26	0.7	1.7
27	0.8	1.7
28	0.9	1.7
29	0.9	1.7
30	0.9	1.7
31	1.0	1.7
32	1.2	1.7
33	1.2	1.7
34	1.1	1.6
35	1.0	1.6
36	1.0	1.6
37	0.9	1.6
38	0.9	1.6
39	0.9	1.6
40	0.9	1.6
41	1.0	1.6
42	1.0	1.6
43	1.1	1.6
44	1.1	1.6
45	1.1	1.6
46	1.2	1.6
47	1.2	1.6
48	1.2	1.6
49	1.0	1.6
50	1.0	1.6
51	1.0	1.6
52	1.0	1.6
53	0.9	1.6
54	0.9	1.6
55	0.9	1.6
56	1.2	1.6
57	1.1	1.6
58	1.1	1.6
59	1.0	1.6
60	0.9	1.6
61	0.9	1.6
62	0.9	1.6
63	0.9	1.6
64	0.9	1.6
65	0.9	1.6
66	0.9	1.6
67	1.0	1.6
68	1.0	1.6
69	1.0	1.6
70	1.0	1.6
71	1.0	1.6
72	1.0	1.6
73	0.8	1.6
74	0.9	1.6
75	0.9	1.6
76	0.9	1.6
77	0.9	1.6
78	0.9	1.6
79	0.9	1.6
80	1.2	1.5
81	1.2	1.5
82	1.1	1.5
83	1.1	1.5
84	1.1	1.5
85	1.1	1.5
86	1.1	1.5
87	1.1	1.5
88	1.1	1.5
89	1.1	1.5
90	1.1	1.5
91	1.2	1.5
92	1.2	1.5
93	1.2	1.5
94	1.2	1.5
95	1.2	1.5
96	1.3	1.5
97	1.0	1.5
98	1.0	1.5
99	1.0	1.5
100	1.0	1.5
101	1.0	1.5
102	1.0	1.5
103	1.0	1.5
104	1.2	1.5
105	1.2	1.5
106	1.2	1.5
107	1.1	1.5
108	1.1	1.5
109	1.1	1.5
110	1.1	1.5
111	1.1	1.5
112	1.1	1.5
113	1.1	1.5
114	1.1	1.5
115	1.1	1.5
116	1.2	1.5
117	1.2	1.5
118	1.2	1.5
