# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.8	17.9
2	4.1	17.8
3	4.4	17.6
4	4.5	17.5
5	4.6	17.3
6	4.7	17.2
7	4.8	17.2
8	7.1	17.1
9	7.0	17.0
10	6.2	16.9
11	5.5	16.7
12	4.8	16.4
13	4.4	16.4
14	4.2	16.3
15	4.2	16.3
16	4.5	16.2
17	4.9	16.1
18	5.3	16.0
19	5.6	15.9
20	6.0	15.8
21	6.3	15.8
22	6.7	15.8
23	7.0	15.8
24	7.4	15.8
25	5.8	15.7
26	6.6	15.7
27	7.3	15.6
28	7.8	15.6
29	8.2	15.6
30	8.6	15.6
31	8.9	15.5
32	11.5	15.5
33	11.5	15.5
34	10.5	15.5
35	9.7	15.4
36	8.9	15.4
37	8.4	15.4
38	8.2	15.4
39	8.2	15.4
40	8.6	15.4
41	9.4	15.4
42	9.7	15.3
43	9.9	15.3
44	10.2	15.3
45	10.5	15.2
46	10.7	15.2
47	11.0	15.2
48	11.3	15.2
49	9.0	15.2
50	8.9	15.1
51	8.8	15.1
52	8.7	15.1
53	8.6	15.1
54	8.6	15.1
55	8.5	15.1
56	10.7	15.0
57	10.6	15.0
58	9.7	15.0
59	8.9	14.9
60	8.4	14.9
61	8.0	14.9
62	7.8	14.9
63	7.8	14.9
64	8.0	14.9
65	8.5	14.9
66	8.6	14.9
67	8.8	14.8
68	8.9	14.8
69	9.0	14.8
70	9.2	14.8
71	9.3	14.7
72	9.4	14.7
73	7.3	14.7
74	7.7	14.7
75	8.0	14.7
76	8.1	14.7
77	8.2	14.6
78	8.4	14.6
79	8.5	14.6
80	10.9	14.6
81	10.9	14.5
82	10.6	14.5
83	10.3	14.5
84	10.2	14.5
85	10.2	14.4
86	10.1	14.4
87	10.2	14.4
88	10.3	14.4
89	10.5	14.4
90	10.6	14.3
91	10.7	14.3
92	10.9	14.3
93	11.0	14.3
94	11.2	14.3
95	11.4	14.3
96	11.7	14.2
97	9.3	14.2
98	9.3	14.2
99	9.3	14.2
100	9.3	14.2
101	9.3	14.2
102	9.3	14.2
103	9.3	14.2
104	11.5	14.2
105	11.5	14.2
106	11.0	14.1
107	10.6	14.1
108	10.2	14.1
109	9.9	14.1
110	9.8	14.1
111	9.7	14.1
112	9.9	14.1
113	10.2	14.1
114	10.3	14.1
115	10.5	14.1
116	10.7	14.1
117	10.9	14.1
118	11.1	14.0
119	11.2	14.0
120	11.5	14.0
121	9.3	14.0
122	9.6	14.0
123	9.9	13.9
124	10.1	13.9
125	10.2	13.9
126	10.3	13.9
127	10.4	13.9
128	12.8	13.9
129	12.8	13.9
130	12.4	13.9
131	12.1	13.8
132	11.9	13.8
133	11.7	13.8
134	11.7	13.8
135	11.7	13.8
136	11.8	13.8
137	12.1	13.8
138	12.2	13.7
139	12.3	13.7
140	12.4	13.7
141	12.6	13.7
142	12.8	13.7
