# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.3	6.2
2	1.4	6.1
3	1.5	6.1
4	1.5	6.0
5	1.6	6.0
6	1.6	5.9
7	1.6	5.9
8	2.4	5.9
9	2.4	5.8
10	2.1	5.8
11	1.9	5.7
12	1.7	5.6
13	1.5	5.6
14	1.4	5.6
15	1.4	5.6
16	1.5	5.6
17	1.7	5.5
18	1.8	5.5
19	1.9	5.4
20	2.1	5.4
21	2.2	5.4
22	2.3	5.4
23	2.4	5.4
24	2.5	5.4
25	2.0	5.4
26	2.3	5.4
27	2.5	5.4
28	2.7	5.4
29	2.8	5.3
30	3.0	5.3
31	3.1	5.3
32	4.0	5.3
33	4.0	5.3
34	3.6	5.3
35	3.3	5.3
36	3.0	5.3
37	2.9	5.3
38	2.8	5.3
39	2.8	5.3
40	3.0	5.3
41	3.2	5.3
42	3.3	5.3
43	3.4	5.2
44	3.5	5.2
45	3.6	5.2
46	3.7	5.2
47	3.8	5.2
48	3.9	5.2
49	3.1	5.2
50	3.0	5.2
51	3.0	5.1
52	3.0	5.1
53	3.0	5.1
54	2.9	5.1
55	2.9	5.1
56	3.7	5.1
57	3.7	5.1
58	3.3	5.1
59	3.1	5.1
60	2.9	5.1
61	2.8	5.1
62	2.7	5.1
63	2.7	5.1
64	2.8	5.1
65	2.9	5.1
66	3.0	5.1
67	3.0	5.1
68	3.0	5.0
69	3.1	5.0
70	3.1	5.0
71	3.2	5.0
72	3.2	5.0
73	2.5	5.0
74	2.7	5.0
75	2.7	5.0
76	2.8	5.0
77	2.8	5.0
78	2.9	5.0
79	2.9	5.0
80	3.7	5.0
81	3.7	5.0
82	3.6	5.0
83	3.6	4.9
84	3.5	4.9
85	3.5	4.9
86	3.5	4.9
87	3.5	4.9
88	3.5	4.9
89	3.6	4.9
90	3.7	4.9
91	3.7	4.9
92	3.7	4.9
93	3.8	4.9
94	3.8	4.9
95	3.9	4.9
96	4.0	4.9
97	3.2	4.9
98	3.2	4.9
99	3.2	4.9
100	3.2	4.8
101	3.2	4.8
102	3.2	4.8
103	3.2	4.8
104	4.0	4.8
105	3.9	4.8
106	3.8	4.8
107	3.6	4.8
108	3.5	4.8
109	3.4	4.8
110	3.4	4.8
111	3.3	4.8
112	3.4	4.8
113	3.5	4.8
114	3.6	4.8
115	3.6	4.8
116	3.7	4.8
117	3.7	4.8
118	3.8	4.8
119	3.8	4.8
120	4.0	4.7
121	3.2	4.7
122	3.3	4.7
123	3.4	4.7
124	3.5	4.7
125	3.5	4.7
126	3.5	4.7
127	3.6	4.7
128	4.4	4.7
129	4.4	4.7
130	4.3	4.7
131	4.2	4.7
132	4.1	4.7
133	4.0	4.7
134	4.0	4.7
135	4.0	4.7
136	4.0	4.7
137	4.1	4.7
138	4.2	4.7
139	4.2	4.7
140	4.3	4.7
141	4.3	4.7
142	4.4	4.7
143	4.4	4.7
144	4.5	4.7
145	3.7	4.7
146	3.7	4.7
147	3.7	4.6
148	3.7	4.6
149	3.7	4.6
150	3.7	4.6
151	3.7	4.6
152	4.5	4.6
153	4.5	4.6
154	4.1	4.6
155	3.7	4.6
156	3.5	4.6
157	3.2	4.6
158	3.1	4.6
159	3.1	4.6
160	3.3	4.6
161	3.5	4.6
162	3.6	4.6
163	3.6	4.6
164	3.7	4.6
165	3.7	4.6
166	3.8	4.6
167	3.9	4.6
168	3.9	4.6
169	3.3	4.6
170	3.4	4.6
171	3.5	4.6
172	3.5	4.6
173	3.6	4.6
174	3.6	4.6
175	3.7	4.6
176	4.5	4.6
177	4.5	4.6
178	4.4	4.6
179	4.3	4.6
180	4.3	4.6
181	4.3	4.6
182	4.1	4.6
183	4.1	4.6
184	4.0	4.6
185	4.1	4.6
186	4.2	4.6
187	4.3	4.6
188	4.4	4.6
189	4.4	4.6
190	4.5	4.5
191	4.6	4.5
192	4.6	4.5
193	3.9	4.5
194	3.9	4.5
195	4.0	4.5
196	4.0	4.5
197	4.0	4.5
198	4.1	4.5
199	4.1	4.5
200	4.9	4.5
201	4.8	4.5
202	4.7	4.5
203	4.6	4.5
204	4.4	4.5
205	4.4	4.5
206	4.3	4.5
207	4.3	4.5
208	4.4	4.5
209	4.5	4.5
210	4.5	4.5
211	4.5	4.5
212	4.6	4.5
213	4.6	4.5
214	4.6	4.5
215	4.6	4.5
216	4.6	4.5
217	3.9	4.5
218	3.9	4.5
219	3.9	4.5
220	3.9	4.5
221	3.9	4.5
222	3.9	4.5
223	3.9	4.5
224	4.7	4.5
225	4.6	4.5
226	4.5	4.5
227	4.3	4.5
228	4.2	4.5
229	4.2	4.4
230	4.1	4.4
231	4.1	4.4
232	4.1	4.4
233	4.2	4.4
234	4.3	4.4
235	4.3	4.4
236	4.4	4.4
237	4.3	4.4
238	4.4	4.4
239	4.4	4.4
240	4.4	4.4
241	3.7	4.4
242	3.7	4.4
243	3.7	4.4
244	3.7	4.4
245	3.7	4.4
246	3.7	4.4
247	3.7	4.4
248	4.5	4.4
249	4.5	4.4
250	4.2	4.4
251	4.0	4.4
252	3.7	4.4
253	3.6	4.4
254	3.5	4.4
255	3.5	4.4
256	3.5	4.4
257	3.7	4.4
258	3.8	4.4
259	3.9	4.4
260	4.0	4.4
261	4.1	4.4
262	4.3	4.4
263	4.4	4.4
264	4.5	4.4
265	3.9	4.4
266	4.2	4.4
267	4.4	4.4
268	4.6	4.4
269	4.7	4.4
270	4.9	4.4
271	5.0	4.4
272	5.9	4.4
273	5.9	4.4
274	5.7	4.4
275	5.6	4.4
276	5.4	4.4
277	5.4	4.4
278	5.5	4.4
279	5.5	4.4
280	5.6	4.4
281	5.8	4.3
282	5.8	4.3
283	5.9	4.3
284	6.0	4.3
285	6.0	4.3
286	6.1	4.3
287	6.1	4.3
288	6.2	4.3
289	5.3	4.3
290	5.2	4.3
291	5.0	4.3
292	4.9	4.3
293	4.8	4.3
294	4.8	4.3
295	4.7	4.3
296	5.4	4.3
297	5.4	4.3
298	5.1	4.3
299	4.9	4.3
300	4.7	4.3
301	4.6	4.3
302	4.5	4.3
303	4.5	4.3
304	4.6	4.3
305	4.7	4.3
306	4.6	4.3
307	4.6	4.3
308	4.6	4.3
309	4.6	4.3
310	4.7	4.3
311	4.6	4.3
312	4.6	4.3
313	3.9	4.3
314	4.0	4.3
315	4.1	4.3
316	4.1	4.3
317	4.2	4.3
318	4.2	4.3
319	4.3	4.3
320	5.1	4.3
321	5.1	4.3
322	5.0	4.3
323	4.8	4.3
324	4.7	4.3
325	4.6	4.3
326	4.6	4.3
327	4.6	4.3
328	4.6	4.3
329	4.7	4.3
330	4.8	4.3
331	4.9	4.3
332	5.0	4.3
333	5.0	4.3
334	5.1	4.3
335	5.2	4.3
336	5.3	4.3
337	4.6	4.3
338	4.6	4.3
339	4.6	4.2
340	4.7	4.2
341	4.7	4.2
342	4.7	4.2
343	4.8	4.2
344	5.6	4.2
345	5.6	4.2
346	5.4	4.2
347	5.3	4.2
348	5.2	4.2
349	5.1	4.2
350	5.1	4.2
351	5.1	4.2
352	5.2	4.2
353	5.3	4.2
354	5.3	4.2
355	5.3	4.2
356	5.3	4.2
357	5.3	4.2
358	5.3	4.2
359	5.3	4.2
360	5.4	4.2
361	4.6	4.2
362	4.5	4.2
363	4.5	4.2
364	4.5	4.2
365	4.5	4.2
366	4.4	4.2
367	4.4	4.2
368	5.2	4.2
369	5.1	4.2
370	5.1	4.2
371	5.0	4.2
372	4.9	4.2
373	4.9	4.2
374	4.4	4.2
375	4.1	4.2
376	4.1	4.2
377	4.2	4.2
378	4.3	4.2
379	4.3	4.2
380	4.3	4.1
381	4.4	4.1
382	4.4	4.1
383	4.4	4.1
384	4.4	4.1
385	3.7	4.1
386	3.8	4.1
387	3.9	4.1
388	4.0	4.1
389	4.0	4.1
390	4.1	4.1
391	4.1	4.1
392	4.9	4.1
393	4.9	4.1
394	4.3	4.1
395	3.8	4.1
396	3.4	4.1
397	3.1	4.1
398	3.0	4.1
399	3.0	4.1
400	3.2	4.1
401	3.6	4.1
402	3.6	4.1
403	3.7	4.1
404	3.7	4.1
405	3.7	4.1
406	3.8	4.1
407	3.8	4.1
408	3.9	4.1
409	3.1	4.1
410	3.2	4.1
411	3.2	4.1
412	3.2	4.1
413	3.2	4.1
414	3.2	4.1
415	3.2	4.1
416	4.0	4.1
417	4.0	4.1
418	3.9	4.1
419	3.8	4.1
420	3.8	4.1
421	3.7	4.1
422	3.2	4.1
423	2.9	4.1
424	2.9	4.1
425	3.0	4.1
426	3.1	4.1
427	3.1	4.1
428	3.2	4.1
429	3.2	4.1
430	3.2	4.0
431	3.3	4.0
