# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	7.6	35.5
2	8.1	35.3
3	8.7	34.9
4	8.9	34.6
5	9.1	34.4
6	9.4	34.0
7	9.5	34.0
8	14.1	33.9
9	13.9	33.7
10	12.3	33.5
11	10.8	33.1
12	9.6	32.5
13	8.8	32.4
14	8.3	32.4
15	8.3	32.2
16	8.9	32.1
17	9.7	31.9
18	10.5	31.7
19	11.2	31.6
20	11.8	31.3
21	12.5	31.3
22	13.2	31.3
23	14.0	31.3
24	14.7	31.3
25	11.5	31.2
26	13.1	31.0
27	14.5	31.0
28	15.4	31.0
29	16.2	30.9
30	17.1	30.9
31	17.7	30.8
32	22.9	30.8
33	22.9	30.8
34	20.9	30.7
35	19.2	30.6
36	17.6	30.6
37	16.7	30.6
38	16.2	30.6
39	16.2	30.6
40	17.1	30.6
41	18.6	30.4
42	19.2	30.3
43	19.7	30.3
44	20.3	30.2
45	20.7	30.1
46	21.3	30.1
47	21.9	30.0
48	22.4	30.0
49	17.8	30.0
50	17.6	30.0
51	17.4	29.9
52	17.2	29.9
53	17.1	29.8
54	17.0	29.8
55	16.9	29.7
56	21.3	29.7
57	21.1	29.6
58	19.3	29.6
59	17.7	29.5
60	16.7	29.5
61	15.9	29.5
62	15.4	29.5
63	15.4	29.4
64	15.9	29.4
65	16.8	29.4
66	17.1	29.4
67	17.4	29.3
68	17.6	29.2
69	17.8	29.2
70	18.2	29.2
71	18.4	29.1
72	18.6	29.1
73	14.5	29.1
74	15.3	29.0
75	15.8	29.0
76	16.0	29.0
77	16.3	29.0
78	16.6	29.0
79	16.8	28.9
80	21.5	28.7
81	21.5	28.7
82	21.0	28.6
83	20.5	28.6
84	20.3	28.6
85	20.2	28.5
86	20.1	28.5
87	20.2	28.5
88	20.4	28.4
89	20.7	28.4
90	21.1	28.4
91	21.3	28.4
92	21.6	28.3
93	21.9	28.3
94	22.2	28.2
95	22.5	28.2
96	23.2	28.2
97	18.4	28.1
98	18.4	28.1
99	18.4	28.1
100	18.5	28.1
101	18.4	28.0
102	18.4	28.0
103	18.4	28.0
104	22.9	28.0
105	22.8	27.9
106	21.9	27.9
107	21.0	27.9
108	20.2	27.9
109	19.7	27.9
110	19.4	27.8
111	19.3	27.8
112	19.6	27.8
113	20.2	27.8
114	20.5	27.8
115	20.9	27.8
116	21.2	27.8
117	21.5	27.7
118	22.0	27.7
119	22.2	27.7
120	22.9	27.7
121	18.5	27.6
122	19.1	27.6
123	19.6	27.6
124	20.0	27.5
125	20.2	27.5
126	20.4	27.5
127	20.6	27.5
128	25.4	27.5
129	25.4	27.4
130	24.7	27.4
131	24.0	27.4
132	23.6	27.3
133	23.2	27.3
134	23.1	27.3
135	23.1	27.3
136	23.3	27.2
137	23.9	27.2
138	24.1	27.2
139	24.5	27.1
140	24.7	27.1
141	25.0	27.1
142	25.4	27.1
143	25.6	27.1
144	25.9	27.0
145	21.4	27.0
146	21.5	27.0
147	21.5	26.9
148	21.5	26.9
149	21.5	26.9
150	21.5	26.9
151	21.5	26.9
152	26.0	26.8
153	25.7	26.8
154	23.6	26.8
155	21.6	26.8
156	20.0	26.8
157	18.7	26.8
158	18.0	26.8
159	18.2	26.8
160	19.1	26.8
161	20.3	26.8
162	20.6	26.8
163	21.0	26.8
164	21.3	26.8
165	21.6	26.7
166	22.0	26.7
167	22.4	26.7
168	22.8	26.7
169	18.9	26.7
170	19.4	26.6
171	20.0	26.6
172	20.3	26.6
173	20.6	26.6
174	21.0	26.6
175	21.2	26.6
176	25.9	26.6
177	25.9	26.6
178	25.1	26.5
179	24.8	26.5
180	24.9	26.5
181	24.9	26.5
182	23.9	26.5
183	23.4	26.5
184	23.3	26.5
185	23.9	26.4
186	24.4	26.4
187	24.8	26.4
188	25.1	26.4
189	25.6	26.4
190	25.9	26.3
191	26.4	26.3
192	26.8	26.3
193	22.5	26.3
194	22.8	26.3
195	23.0	26.3
196	23.1	26.3
197	23.2	26.3
198	23.4	26.2
199	23.6	26.2
200	28.1	26.2
201	28.0	26.2
202	27.1	26.2
203	26.3	26.2
204	25.6	26.2
205	25.1	26.1
206	25.0	26.1
207	24.9	26.1
208	25.3	26.0
209	25.9	26.0
210	26.0	26.0
211	26.2	26.0
212	26.5	26.0
213	26.5	26.0
214	26.5	26.0
215	26.6	25.9
216	26.8	25.9
217	22.3	25.9
218	22.3	25.9
219	22.4	25.9
220	22.4	25.9
221	22.4	25.9
222	22.4	25.9
223	22.4	25.9
224	26.9	25.9
225	26.8	25.9
226	25.9	25.9
227	25.0	25.9
228	24.4	25.8
229	24.0	25.8
230	23.7	25.8
231	23.7	25.8
232	23.9	25.8
233	24.5	25.8
234	24.7	25.7
235	24.9	25.7
236	25.4	25.6
237	25.0	25.6
238	25.3	25.6
239	25.4	25.6
240	25.5	25.6
241	21.2	25.6
242	21.3	25.6
243	21.4	25.6
244	21.5	25.6
245	21.5	25.6
246	21.5	25.6
247	21.5	25.5
248	26.2	25.5
249	25.9	25.5
250	24.4	25.5
251	22.9	25.5
252	21.5	25.5
253	20.6	25.5
254	20.1	25.5
255	20.0	25.5
256	20.4	25.5
257	21.3	25.5
258	22.0	25.5
259	22.7	25.4
260	23.2	25.4
261	23.9	25.4
262	24.6	25.4
263	25.3	25.4
264	25.8	25.4
265	22.5	25.4
266	24.1	25.4
267	25.6	25.4
268	26.5	25.4
269	27.3	25.4
270	28.2	25.4
271	28.9	25.4
272	34.0	25.3
273	33.9	25.3
274	33.1	25.3
275	32.4	25.3
276	31.3	25.3
277	31.0	25.3
278	31.6	25.3
279	31.9	25.3
280	32.5	25.3
281	33.5	25.3
282	33.7	25.3
283	34.0	25.3
284	34.4	25.3
285	34.6	25.2
286	34.9	25.2
287	35.3	25.2
288	35.5	25.2
289	30.6	25.2
290	30.2	25.2
291	29.0	25.1
292	28.4	25.1
293	28.0	25.1
294	27.5	25.1
295	27.2	25.1
296	31.3	25.1
297	31.0	25.1
298	29.5	25.1
299	28.2	25.1
300	27.2	25.1
301	26.4	25.1
302	26.0	25.1
303	25.9	25.1
304	26.3	25.0
305	26.9	25.0
