# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	6.4	27.2
2	6.9	27.0
3	7.3	26.8
4	7.4	26.5
5	7.6	26.3
6	7.8	26.1
7	7.9	26.1
8	11.3	26.0
9	11.1	25.8
10	9.9	25.7
11	8.9	25.4
12	7.9	24.9
13	7.4	24.9
14	7.0	24.8
15	7.0	24.8
16	7.4	24.7
17	8.0	24.7
18	8.6	24.5
19	9.1	24.4
20	9.6	24.3
21	10.1	24.3
22	10.6	24.2
23	11.2	24.1
24	11.7	24.1
25	9.4	24.1
26	10.5	24.1
27	11.6	24.1
28	12.3	24.0
29	12.9	23.8
30	13.5	23.8
31	14.0	23.8
32	17.8	23.8
33	17.8	23.8
34	16.3	23.7
35	15.0	23.7
36	13.9	23.7
37	13.2	23.7
38	12.9	23.6
39	12.9	23.5
40	13.5	23.5
41	14.6	23.5
42	15.0	23.5
43	15.5	23.5
44	15.9	23.5
45	16.2	23.4
46	16.6	23.4
47	17.1	23.3
48	17.5	23.3
49	14.0	23.2
50	13.9	23.2
51	13.7	23.2
52	13.6	23.1
53	13.5	23.1
54	13.5	23.1
55	13.4	23.1
56	16.6	23.1
57	16.5	23.0
58	15.1	23.0
59	14.0	22.9
60	13.2	22.9
61	12.6	22.9
62	12.3	22.8
63	12.3	22.8
64	12.6	22.8
65	13.3	22.7
66	13.5	22.7
67	13.7	22.7
68	13.9	22.7
69	14.0	22.7
70	14.3	22.7
71	14.5	22.7
72	14.6	22.7
73	11.6	22.6
74	12.2	22.5
75	12.5	22.5
76	12.7	22.5
77	13.0	22.4
78	13.1	22.4
79	13.3	22.4
80	16.8	22.4
81	16.8	22.3
82	16.4	22.3
83	16.1	22.3
84	15.9	22.2
85	15.8	22.2
86	15.7	22.2
87	15.8	22.2
88	16.0	22.1
89	16.2	22.1
90	16.5	22.1
91	16.6	22.0
92	16.9	22.0
93	17.1	22.0
94	17.3	21.9
95	17.6	21.9
96	18.1	21.9
97	14.5	21.9
98	14.5	21.8
99	14.5	21.8
100	14.5	21.8
101	14.5	21.7
102	14.5	21.7
103	14.5	21.7
104	17.8	21.7
105	17.7	21.7
106	17.1	21.7
107	16.4	21.7
108	15.8	21.7
109	15.5	21.6
110	15.2	21.6
111	15.1	21.6
112	15.4	21.6
113	15.8	21.6
114	16.1	21.6
115	16.3	21.6
116	16.6	21.6
117	16.8	21.5
118	17.1	21.5
119	17.3	21.5
120	17.8	21.5
121	14.5	21.5
122	15.0	21.5
123	15.4	21.5
124	15.6	21.5
125	15.8	21.5
126	16.0	21.4
127	16.1	21.4
128	19.6	21.4
129	19.6	21.4
130	19.1	21.4
131	18.6	21.4
132	18.3	21.4
133	18.1	21.3
134	18.0	21.3
135	18.0	21.3
136	18.1	21.3
137	18.6	21.3
138	18.7	21.3
139	19.0	21.3
140	19.1	21.2
141	19.4	21.2
142	19.6	21.2
143	19.8	21.2
144	20.1	21.2
145	16.7	21.2
146	16.8	21.2
147	16.8	21.2
148	16.8	21.1
149	16.8	21.1
150	16.8	21.1
151	16.8	21.1
152	20.1	21.1
153	19.9	21.1
154	18.3	21.1
155	16.9	21.0
156	15.6	21.0
157	14.7	21.0
158	14.2	21.0
159	14.3	21.0
160	15.0	21.0
161	15.9	21.0
162	16.1	21.0
163	16.4	21.0
164	16.6	20.9
165	16.9	20.9
166	17.1	20.9
167	17.5	20.9
168	17.7	20.9
169	14.9	20.9
170	15.2	20.8
171	15.6	20.8
172	15.9	20.8
173	16.1	20.8
174	16.4	20.8
175	16.6	20.8
176	20.1	20.8
177	20.1	20.7
178	19.5	20.7
179	19.2	20.7
180	19.3	20.7
181	19.3	20.7
182	18.6	20.7
183	18.2	20.7
184	18.1	20.7
185	18.6	20.7
