# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	35.1	165.2
2	37.8	164.1
3	40.4	162.6
4	41.4	161.0
5	42.5	160.0
6	43.5	158.4
7	44.1	158.4
8	65.6	157.9
9	64.5	156.8
10	57.2	155.8
11	50.3	154.2
12	44.6	151.0
13	40.9	150.5
14	38.8	150.3
15	38.8	150.0
16	41.4	149.5
17	45.1	148.4
18	48.8	147.1
19	51.9	146.8
20	55.1	145.8
21	58.2	145.8
22	61.4	145.6
23	65.0	145.6
24	68.2	145.6
25	53.5	145.3
26	60.8	144.2
27	67.7	144.2
28	71.8	144.0
29	75.5	143.7
30	79.7	143.4
31	82.3	143.2
32	106.5	143.2
33	106.5	143.2
34	97.0	143.2
35	89.2	142.6
36	81.8	142.1
37	77.6	142.1
38	75.5	142.1
39	75.5	142.1
40	79.7	142.1
41	86.5	141.8
42	89.2	141.6
43	91.8	141.1
44	94.4	141.1
45	96.5	140.5
46	99.1	140.3
47	101.7	140.3
48	104.4	139.7
49	82.9	139.7
50	81.8	139.5
51	80.8	139.5
52	80.2	139.2
53	79.7	139.2
54	79.2	139.0
55	78.7	139.0
56	99.1	138.1
57	98.1	138.1
58	89.7	137.9
59	82.3	137.9
60	77.6	137.6
61	73.9	137.4
62	71.8	137.4
63	71.8	137.3
64	73.9	137.1
65	78.1	137.1
66	79.7	136.9
67	80.8	136.9
68	81.8	136.6
69	82.9	136.6
70	84.4	136.0
71	85.5	135.8
72	86.5	135.8
73	67.7	135.8
74	71.3	135.3
75	73.4	135.0
76	74.5	135.0
77	76.0	134.9
78	77.1	134.8
79	78.1	134.4
80	100.2	134.4
81	100.2	134.3
82	97.5	133.7
83	95.4	133.4
84	94.4	133.2
85	93.9	133.2
86	93.3	132.9
87	93.9	132.8
88	94.9	132.3
89	96.5	132.3
90	98.1	132.3
91	99.1	132.2
92	100.7	132.2
93	101.7	131.9
94	103.3	131.8
95	104.9	131.6
96	108.0	131.3
97	85.5	131.1
98	85.5	131.1
99	85.5	131.1
100	86.0	130.6
101	85.5	130.6
102	85.5	130.6
103	85.5	130.6
104	106.5	130.2
105	105.9	130.2
106	101.7	130.1
107	97.5	130.1
108	93.9	129.7
109	91.8	129.7
110	90.2	129.7
111	89.7	129.7
112	91.3	129.5
113	93.9	129.1
114	95.4	129.1
115	97.0	129.1
116	98.6	129.1
117	100.2	129.1
118	102.3	129.1
119	103.3	129.0
120	106.5	129.0
121	86.0	128.6
122	88.6	128.6
123	91.3	128.6
124	92.8	128.5
125	93.9	128.1
126	94.9	128.1
127	96.0	128.0
128	118.0	128.0
129	118.0	127.6
130	114.8	127.6
131	111.7	127.6
132	109.6	127.4
133	108.0	127.0
134	107.5	127.0
135	107.5	126.9
136	108.6	126.9
137	111.2	126.9
138	112.2	126.4
139	113.8	126.4
140	114.8	126.4
141	116.4	126.1
142	118.0	126.0
143	119.0	126.0
144	120.6	126.0
145	99.6	125.9
146	100.2	125.9
147	100.2	125.6
148	100.2	125.4
149	100.2	125.4
150	100.2	125.4
151	100.2	125.3
152	121.1	125.3
153	119.6	125.3
154	109.6	124.9
155	100.7	124.9
156	92.8	124.8
157	87.1	124.8
158	83.9	124.8
159	84.4	124.8
160	88.6	124.8
161	94.4	124.8
162	96.0	124.8
163	97.5	124.8
164	99.1	124.8
165	100.7	124.8
166	102.3	124.6
167	104.4	124.4
168	105.9	124.4
169	88.1	124.4
170	90.2	124.3
171	92.8	124.3
172	94.4	123.9
173	96.0	123.9
174	97.5	123.8
175	98.6	123.8
176	120.6	123.8
177	120.6	123.6
178	116.9	123.6
179	115.4	123.3
180	115.9	123.3
181	115.9	123.3
182	111.2	123.3
183	109.1	123.3
184	108.6	123.2
185	111.2	123.2
186	113.3	123.2
187	115.4	123.2
188	116.9	123.2
189	119.0	123.2
190	120.6	123.1
191	122.7	123.1
192	124.8	123.1
193	104.9	122.8
194	105.9	122.8
195	107.0	122.8
196	107.5	122.7
197	108.0	122.7
198	109.1	122.7
199	109.6	122.7
200	130.6	122.3
201	130.1	122.3
202	125.9	122.3
203	122.2	122.3
204	119.0	122.2
205	116.9	122.2
206	116.4	122.2
207	115.9	122.2
208	117.5	122.2
209	120.6	122.2
210	121.1	121.7
211	121.7	121.7
212	123.2	121.7
213	123.2	121.7
214	123.2	121.7
215	123.8	121.7
216	124.8	121.7
217	103.8	121.7
218	103.8	121.7
219	104.4	121.7
220	104.4	121.2
221	104.4	121.2
222	104.4	121.2
223	104.4	121.2
224	125.3	121.1
225	124.8	121.1
226	120.6	121.1
227	116.4	121.1
228	113.3	120.7
229	111.7	120.7
230	110.1	120.7
231	110.1	120.7
232	111.2	120.7
233	113.8	120.6
234	114.8	120.6
235	115.9	120.6
236	118.0	120.6
237	116.4	120.6
238	117.5	120.6
239	118.0	120.6
240	118.5	120.6
241	98.6	120.6
242	99.1	120.2
243	99.6	120.1
244	100.2	120.1
245	100.2	120.1
246	100.2	120.1
247	100.2	120.1
248	121.7	120.1
249	120.6	120.1
250	113.3	119.7
251	106.5	119.7
252	100.2	119.6
253	96.0	119.6
254	93.3	119.6
255	92.8	119.6
256	94.9	119.1
257	99.1	119.1
258	102.3	119.0
259	105.4	119.0
260	108.0	119.0
261	111.2	119.0
262	114.3	119.0
263	117.5	119.0
264	120.1	119.0
265	104.9	118.6
266	112.2	118.6
267	119.0	118.6
268	123.2	118.6
269	126.9	118.6
270	131.1	118.5
271	134.3	118.5
272	158.4	118.5
273	157.9	118.5
274	154.2	118.0
275	150.5	118.0
276	145.8	118.0
277	144.2	118.0
278	146.8	118.0
279	148.4	118.0
280	151.0	118.0
281	155.8	118.0
282	156.8	118.0
283	158.4	118.0
284	160.0	118.0
285	161.0	117.5
286	162.6	117.5
287	164.1	117.5
288	165.2	117.5
289	142.1	117.5
290	140.5	117.5
291	134.8	117.5
292	132.2	117.5
293	130.1	117.5
294	128.0	117.5
295	126.4	117.5
296	145.8	117.3
297	144.2	117.3
298	137.4	117.0
299	131.1	117.0
300	126.4	117.0
301	122.7	116.9
302	121.1	116.9
303	120.6	116.9
304	122.2	116.9
305	125.3	116.4
306	124.8	116.4
307	124.8	116.4
308	124.8	116.4
309	124.8	116.4
310	125.3	116.4
311	124.3	116.4
312	124.3	116.4
313	105.4	116.4
314	107.5	116.4
315	109.6	116.4
316	110.7	116.4
317	112.2	116.3
318	113.3	116.3
319	114.3	115.9
320	135.8	115.9
321	135.8	115.9
322	133.2	115.9
323	129.0	115.9
324	126.4	115.9
325	124.8	115.9
326	123.8	115.9
327	123.8	115.9
328	124.8	115.9
329	126.9	115.4
330	129.5	115.4
331	131.1	115.4
332	133.2	115.4
333	135.3	115.4
334	136.9	115.4
335	139.0	114.9
336	141.1	114.9
337	123.2	114.9
338	123.2	114.9
339	124.8	114.9
340	125.9	114.8
341	126.9	114.8
342	127.4	114.8
343	128.5	114.8
344	150.0	114.8
345	149.5	114.8
346	145.3	114.4
347	142.1	114.4
348	139.5	114.4
349	137.4	114.3
350	136.9	114.3
351	137.9	114.3
352	139.5	114.3
353	141.6	114.3
354	142.1	114.3
355	142.1	113.9
356	142.6	113.9
357	143.2	113.9
358	143.2	113.8
359	143.2	113.8
360	143.7	113.8
361	122.2	113.8
362	121.7	113.8
363	121.1	113.8
364	120.1	113.8
365	119.6	113.8
366	119.0	113.4
367	118.5	113.4
368	139.0	113.3
369	137.9	113.3
370	135.8	113.3
371	133.7	113.3
372	132.2	113.3
373	130.6	113.3
374	118.0	113.3
375	111.2	113.3
376	109.1	113.3
377	113.3	113.3
378	114.3	113.3
379	114.8	113.3
380	115.9	112.9
381	116.9	112.7
382	117.5	112.7
383	118.5	112.7
384	119.0	112.7
385	100.7	112.4
386	102.8	112.4
387	105.4	112.2
388	106.5	112.2
389	107.5	112.2
390	109.1	112.2
391	109.6	112.2
392	131.6	112.2
393	130.6	112.2
394	116.4	112.2
395	103.3	112.2
396	91.8	111.7
397	84.4	111.7
398	80.8	111.7
399	80.8	111.7
400	86.0	111.7
401	95.4	111.7
402	96.5	111.7
403	98.1	111.7
404	99.1	111.4
405	100.7	111.4
406	101.7	111.4
407	103.3	111.2
408	104.4	111.2
409	84.4	111.2
410	85.0	111.2
411	86.0	111.2
412	86.0	111.2
413	86.5	111.1
414	86.5	111.1
415	86.5	111.1
416	108.0	111.1
417	107.0	110.9
418	105.4	110.9
419	103.3	110.9
420	101.7	110.7
421	99.6	110.6
422	86.0	110.6
423	79.2	110.6
424	77.1	110.6
425	81.8	110.6
426	82.9	110.6
427	83.9	110.4
428	85.0	110.1
429	85.5	110.1
430	86.5	110.1
431	87.6	110.1
432	88.6	110.1
433	69.2	110.1
434	70.8	110.1
435	72.4	110.1
436	72.9	110.0
437	73.4	110.0
438	74.5	110.0
439	74.5	109.6
440	96.0	109.6
441	95.4	109.6
442	93.9	109.6
443	92.8	109.6
444	91.3	109.6
445	90.7	109.6
446	78.7	109.6
447	70.8	109.6
448	67.7	109.6
449	71.8	109.5
450	73.4	109.5
451	75.5	109.5
452	77.1	109.5
453	79.2	109.1
454	81.3	109.1
455	82.9	109.1
456	85.0	109.1
457	66.1	109.1
458	68.7	109.1
459	71.3	109.0
460	72.9	109.0
461	74.5	109.0
462	76.0	109.0
463	76.6	109.0
464	98.6	109.0
465	98.1	109.0
466	96.5	109.0
467	96.0	109.0
468	94.4	109.0
469	93.3	108.6
470	83.4	108.6
471	79.2	108.6
472	78.1	108.6
473	81.8	108.5
474	82.9	108.5
475	83.4	108.5
476	84.4	108.5
477	85.5	108.5
478	86.0	108.5
479	87.1	108.5
480	87.6	108.5
481	66.6	108.0
482	66.6	108.0
483	66.1	108.0
484	66.1	108.0
485	65.6	108.0
486	65.6	108.0
487	65.0	108.0
488	86.0	108.0
489	85.0	108.0
490	76.0	108.0
491	67.7	108.0
492	59.8	108.0
493	53.5	108.0
494	49.3	108.0
495	48.8	108.0
496	51.4	107.5
497	57.2	107.5
498	58.7	107.5
499	60.8	107.5
500	62.4	107.5
501	64.5	107.5
502	66.6	107.5
503	68.2	107.5
504	70.3	107.5
505	52.4	107.4
506	55.1	107.4
507	58.2	107.4
508	59.3	107.4
509	60.8	107.4
510	61.9	107.4
511	62.9	107.4
512	84.4	107.1
513	83.4	107.1
514	73.4	107.0
515	65.6	107.0
516	56.6	107.0
517	50.9	107.0
518	43.5	106.9
519	40.4	106.9
520	40.9	106.9
521	47.7	106.9
522	52.4	106.5
523	56.6	106.5
524	61.4	106.5
525	66.1	106.5
526	70.3	106.5
527	75.0	106.5
528	79.2	106.5
529	63.5	106.5
530	69.2	106.5
531	74.5	106.5
532	77.6	106.4
533	80.2	106.4
534	83.4	106.4
535	85.0	106.0
536	108.0	106.0
537	104.9	106.0
538	88.1	106.0
539	73.4	106.0
540	62.4	105.9
541	54.0	105.9
542	49.3	105.9
543	48.8	105.9
544	53.0	105.9
545	63.5	105.9
546	69.7	105.9
547	76.0	105.7
548	82.3	105.6
549	88.6	105.4
550	94.9	105.4
551	101.2	105.4
552	107.5	105.4
