# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.3	85.8
2	19.6	85.3
3	21.0	84.5
4	21.5	83.6
5	22.1	83.1
6	22.6	82.3
7	22.9	82.3
8	34.1	82.0
9	33.5	81.5
10	29.7	80.9
11	26.2	80.1
12	23.2	78.5
13	21.3	78.2
14	20.2	78.1
15	20.2	77.9
16	21.5	77.7
17	23.4	77.1
18	25.3	76.4
19	27.0	76.3
20	28.6	75.7
21	30.2	75.7
22	31.9	75.6
23	33.8	75.6
24	35.4	75.6
25	27.8	75.5
26	31.6	74.9
27	35.1	74.9
28	37.3	74.8
29	39.2	74.7
30	41.4	74.7
31	42.8	74.5
32	55.3	74.4
33	55.3	74.4
34	50.4	74.4
35	46.3	74.1
36	42.5	73.8
37	40.3	73.8
38	39.2	73.8
39	39.2	73.8
40	41.4	73.8
41	45.0	73.7
42	46.3	73.6
43	47.7	73.3
44	49.0	73.3
45	50.1	73.2
46	51.5	73.2
47	52.9	73.0
48	54.2	72.6
49	43.1	72.6
50	42.5	72.5
51	42.0	72.5
52	41.7	72.3
53	41.4	72.3
54	41.1	72.2
55	40.9	72.2
56	51.5	71.8
57	51.0	71.8
58	46.6	71.7
59	42.8	71.7
60	40.3	71.6
61	38.4	71.5
62	37.3	71.4
63	37.3	71.4
64	38.4	71.2
65	40.6	71.2
66	41.4	71.1
67	42.0	71.1
68	42.5	70.9
69	43.1	70.9
70	43.9	70.7
71	44.4	70.6
72	45.0	70.6
73	35.1	70.6
74	37.1	70.4
75	38.1	70.3
76	38.7	70.1
77	39.5	70.1
78	40.1	70.0
79	40.6	69.8
80	52.0	69.8
81	52.0	69.8
82	50.7	69.5
83	49.6	69.3
84	49.0	69.3
85	48.8	69.2
86	48.5	69.2
87	48.8	69.0
88	49.3	68.8
89	50.1	68.7
90	51.0	68.7
91	51.5	68.7
92	52.3	68.7
93	52.9	68.7
94	53.7	68.5
95	54.5	68.4
96	56.1	68.2
97	44.4	68.1
98	44.4	68.1
99	44.4	68.1
100	44.7	67.8
101	44.4	67.8
102	44.4	67.8
103	44.4	67.8
104	55.3	67.6
105	55.0	67.6
106	52.9	67.6
107	50.7	67.6
108	48.8	67.4
109	47.7	67.4
110	46.9	67.4
111	46.6	67.4
112	47.4	67.3
113	48.8	67.3
114	49.6	67.1
115	50.4	67.1
116	51.2	67.1
117	52.0	67.1
118	53.1	67.1
119	53.7	67.1
120	55.3	67.0
121	44.7	66.8
122	46.0	66.8
123	47.4	66.8
124	48.2	66.8
125	48.8	66.8
126	49.3	66.5
127	49.9	66.5
128	61.3	66.5
129	61.3	66.3
130	59.7	66.3
131	58.0	66.3
132	56.9	66.2
133	56.1	66.0
134	55.9	66.0
135	55.9	65.9
136	56.4	65.9
137	57.8	65.9
138	58.3	65.8
139	59.1	65.7
140	59.7	65.7
141	60.5	65.7
142	61.3	65.5
143	61.9	65.4
144	62.7	65.4
145	51.8	65.4
146	52.0	65.4
147	52.0	65.4
148	52.0	65.2
149	52.0	65.2
150	52.0	65.2
151	52.0	65.1
152	62.9	65.1
153	62.1	65.1
154	56.9	65.0
155	52.3	64.9
156	48.2	64.9
157	45.2	64.8
158	43.6	64.8
159	43.9	64.8
160	46.0	64.8
161	49.0	64.8
162	49.9	64.8
163	50.7	64.8
164	51.5	64.8
165	52.3	64.8
166	53.1	64.8
167	54.2	64.6
168	55.0	64.6
169	45.8	64.6
170	46.9	64.6
171	48.2	64.6
172	49.0	64.5
173	49.9	64.5
174	50.7	64.3
175	51.2	64.3
176	62.7	64.3
177	62.7	64.3
178	60.8	64.3
179	59.9	64.2
180	60.2	64.2
181	60.2	64.2
182	57.8	64.1
183	56.7	64.1
184	56.4	64.1
185	57.8	64.1
186	58.9	64.1
187	59.9	64.0
188	60.8	64.0
189	61.9	64.0
190	62.7	64.0
191	63.8	64.0
192	64.8	64.0
193	54.5	64.0
194	55.0	64.0
195	55.6	63.8
196	55.9	63.8
