# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.7	50.5
2	11.5	50.2
3	12.3	49.7
4	12.7	49.2
5	13.0	48.9
6	13.3	48.4
7	13.5	48.4
8	20.0	48.2
9	19.7	47.9
10	17.5	47.6
11	15.4	47.1
12	13.6	46.2
13	12.5	46.2
14	11.9	46.0
15	11.9	45.8
16	12.7	45.7
17	13.8	45.4
18	14.9	45.2
19	15.9	44.9
20	16.8	44.8
21	17.8	44.8
22	18.8	44.8
23	19.9	44.6
24	20.8	44.6
25	16.3	44.4
26	18.6	44.3
27	20.7	44.1
28	22.0	44.1
29	23.1	44.1
30	24.4	43.9
31	25.2	43.8
32	32.5	43.8
33	32.5	43.8
34	29.7	43.6
35	27.2	43.6
36	25.0	43.4
37	23.7	43.4
38	23.1	43.4
39	23.1	43.4
40	24.4	43.4
41	26.4	43.3
42	27.2	43.1
43	28.0	43.1
44	28.8	43.0
45	29.5	43.0
46	30.3	43.0
47	31.1	42.8
48	31.9	42.8
49	25.3	42.6
50	25.0	42.6
51	24.7	42.5
52	24.5	42.5
53	24.4	42.5
54	24.2	42.5
55	24.0	42.3
56	30.3	42.2
57	30.0	42.2
58	27.4	42.2
59	25.2	42.2
60	23.7	42.0
61	22.6	42.0
62	22.0	42.0
63	22.0	42.0
64	22.6	42.0
65	23.9	41.8
66	24.4	41.8
67	24.7	41.8
68	25.0	41.5
69	25.3	41.5
70	25.8	41.5
71	26.1	41.5
72	26.4	41.5
73	20.7	41.4
74	21.8	41.3
75	22.4	41.3
76	22.8	41.2
77	23.2	41.2
78	23.6	41.2
79	23.9	41.0
80	30.6	41.0
81	30.6	40.9
82	29.8	40.9
83	29.2	40.7
84	28.8	40.7
85	28.7	40.7
86	28.5	40.7
87	28.7	40.7
88	29.0	40.5
89	29.5	40.4
90	30.0	40.4
91	30.3	40.4
92	30.8	40.3
93	31.1	40.2
94	31.6	40.1
95	32.1	40.1
96	33.0	40.1
97	26.1	40.0
98	26.1	40.0
99	26.1	39.9
100	26.3	39.9
101	26.1	39.9
102	26.1	39.9
103	26.1	39.9
104	32.5	39.9
105	32.4	39.9
106	31.1	39.9
107	29.8	39.7
108	28.7	39.7
109	28.0	39.7
110	27.6	39.7
111	27.4	39.7
112	27.9	39.7
113	28.7	39.7
114	29.2	39.7
115	29.7	39.6
116	30.1	39.6
117	30.6	39.5
118	31.3	39.5
119	31.6	39.5
120	32.5	39.4
121	26.3	39.4
122	27.1	39.4
123	27.9	39.3
124	28.4	39.2
125	28.7	39.2
126	29.0	39.2
127	29.3	39.1
128	36.1	39.1
129	36.1	39.1
130	35.1	39.0
131	34.1	38.9
132	33.5	38.8
133	33.0	38.8
134	32.9	38.8
135	32.9	38.7
136	33.2	38.7
137	34.0	38.7
138	34.3	38.7
139	34.8	38.6
140	35.1	38.6
141	35.6	38.6
142	36.1	38.6
143	36.4	38.6
144	36.9	38.6
145	30.5	38.5
146	30.6	38.5
147	30.6	38.4
148	30.6	38.4
149	30.6	38.3
150	30.6	38.3
151	30.6	38.3
152	37.0	38.2
153	36.5	38.2
154	33.5	38.2
155	30.8	38.1
156	28.4	38.1
157	26.6	38.1
158	25.6	38.1
159	25.8	38.1
160	27.1	38.1
161	28.8	38.1
162	29.3	38.1
163	29.8	38.1
164	30.3	38.1
165	30.8	38.1
166	31.3	38.1
167	31.9	38.0
168	32.4	38.0
169	26.9	37.9
170	27.6	37.9
171	28.4	37.9
172	28.8	37.9
173	29.3	37.9
174	29.8	37.9
175	30.1	37.8
176	36.9	37.8
177	36.9	37.8
178	35.7	37.8
179	35.3	37.8
180	35.4	37.8
181	35.4	37.7
182	34.0	37.7
183	33.3	37.7
184	33.2	37.7
185	34.0	37.7
186	34.6	37.7
187	35.3	37.6
188	35.7	37.6
189	36.4	37.6
190	36.9	37.6
191	37.5	37.6
192	38.1	37.5
193	32.1	37.5
194	32.4	37.4
195	32.7	37.4
196	32.9	37.4
197	33.0	37.4
198	33.3	37.3
199	33.5	37.3
200	39.9	37.3
201	39.7	37.3
202	38.5	37.3
203	37.3	37.3
204	36.4	37.2
205	35.7	37.2
206	35.6	37.2
207	35.4	37.1
208	35.9	37.1
209	36.9	37.0
210	37.0	37.0
211	37.2	37.0
212	37.7	37.0
213	37.7	37.0
214	37.7	36.9
215	37.8	36.9
216	38.1	36.9
217	31.7	36.9
218	31.7	36.9
219	31.9	36.9
220	31.9	36.9
221	31.9	36.9
222	31.9	36.9
223	31.9	36.9
224	38.3	36.9
225	38.1	36.9
226	36.9	36.9
227	35.6	36.9
228	34.6	36.8
229	34.1	36.8
230	33.7	36.7
231	33.7	36.7
232	34.0	36.7
233	34.8	36.6
234	35.1	36.6
235	35.4	36.6
236	36.1	36.5
237	35.6	36.5
238	35.9	36.5
239	36.1	36.5
240	36.2	36.5
241	30.1	36.5
242	30.3	36.5
243	30.5	36.4
244	30.6	36.4
245	30.6	36.4
246	30.6	36.4
247	30.6	36.4
248	37.2	36.4
249	36.9	36.4
250	34.6	36.3
251	32.5	36.3
252	30.6	36.3
253	29.3	36.3
254	28.5	36.3
255	28.4	36.3
256	29.0	36.3
257	30.3	36.2
258	31.3	36.2
259	32.2	36.2
260	33.0	36.2
261	34.0	36.2
262	34.9	36.2
263	35.9	36.2
264	36.7	36.1
265	32.1	36.1
266	34.3	36.1
267	36.4	36.1
268	37.7	36.1
269	38.8	36.1
270	40.1	36.1
271	41.0	36.1
272	48.4	36.1
273	48.2	36.1
274	47.1	36.1
275	46.0	36.1
276	44.6	36.0
277	44.1	36.0
278	44.9	36.0
279	45.4	36.0
280	46.2	36.0
281	47.6	35.9
282	47.9	35.9
283	48.4	35.9
284	48.9	35.9
285	49.2	35.9
286	49.7	35.9
287	50.2	35.9
288	50.5	35.8
289	43.4	35.8
290	43.0	35.8
291	41.2	35.8
292	40.4	35.8
293	39.7	35.8
294	39.1	35.8
295	38.6	35.7
296	44.6	35.7
297	44.1	35.7
298	42.0	35.7
299	40.1	35.7
300	38.6	35.7
301	37.5	35.7
302	37.0	35.6
303	36.9	35.6
304	37.3	35.6
305	38.3	35.6
306	38.1	35.6
307	38.1	35.6
308	38.1	35.6
309	38.1	35.6
310	38.3	35.6
311	38.0	35.6
312	38.0	35.5
313	32.2	35.5
314	32.9	35.5
315	33.5	35.5
316	33.8	35.4
317	34.3	35.4
318	34.6	35.4
319	34.9	35.4
320	41.5	35.4
321	41.5	35.4
322	40.7	35.4
323	39.4	35.4
324	38.6	35.4
325	38.1	35.4
326	37.8	35.3
327	37.8	35.3
328	38.1	35.3
329	38.8	35.3
330	39.6	35.3
331	40.1	35.3
332	40.7	35.3
333	41.4	35.3
334	41.8	35.2
335	42.5	35.2
336	43.1	35.2
337	37.7	35.1
338	37.7	35.1
339	38.1	35.1
340	38.5	35.1
341	38.8	35.1
342	38.9	35.1
343	39.3	35.1
344	45.8	35.0
345	45.7	35.0
346	44.4	35.0
347	43.4	35.0
348	42.6	35.0
349	42.0	35.0
350	41.8	34.9
351	42.2	34.9
352	42.6	34.9
353	43.3	34.8
354	43.4	34.8
355	43.4	34.8
356	43.6	34.8
357	43.8	34.8
358	43.8	34.8
359	43.8	34.8
360	43.9	34.7
361	37.3	34.7
362	37.2	34.7
363	37.0	34.7
364	36.7	34.6
365	36.5	34.6
366	36.4	34.6
367	36.2	34.6
368	42.5	34.6
369	42.2	34.6
370	41.5	34.6
371	40.9	34.5
372	40.4	34.5
373	39.9	34.5
374	36.1	34.5
375	34.0	34.5
376	33.3	34.4
377	34.6	34.4
378	34.9	34.3
379	35.1	34.3
380	35.4	34.3
381	35.7	34.3
382	35.9	34.3
383	36.2	34.3
384	36.4	34.3
385	30.8	34.3
386	31.4	34.3
387	32.2	34.2
388	32.5	34.2
389	32.9	34.2
390	33.3	34.2
391	33.5	34.1
392	40.2	34.1
393	39.9	34.1
394	35.6	34.1
395	31.6	34.1
396	28.0	34.0
397	25.8	34.0
398	24.7	34.0
399	24.7	34.0
400	26.3	34.0
401	29.2	34.0
402	29.5	34.0
403	30.0	34.0
404	30.3	34.0
405	30.8	34.0
406	31.1	34.0
407	31.6	34.0
408	31.9	33.9
409	25.8	33.9
410	26.0	33.9
411	26.3	33.9
412	26.3	33.9
413	26.4	33.8
414	26.4	33.7
415	26.4	33.7
416	33.0	33.7
417	32.7	33.7
418	32.2	33.7
419	31.6	33.7
420	31.1	33.7
421	30.5	33.7
422	26.3	33.6
423	24.2	33.6
424	23.6	33.5
