# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	19.1	89.9
2	20.6	89.3
3	22.0	88.5
4	22.5	87.6
5	23.1	87.1
6	23.7	86.2
7	24.0	86.2
8	35.7	85.9
9	35.1	85.3
10	31.1	84.8
11	27.4	83.9
12	24.3	82.2
13	22.3	82.1
14	21.1	81.9
15	21.1	81.6
16	22.5	81.3
17	24.5	80.8
18	26.5	80.3
19	28.3	79.9
20	30.0	79.5
21	31.7	79.5
22	33.4	79.5
23	35.4	79.3
24	37.1	79.3
25	29.1	79.1
26	33.1	78.6
27	36.8	78.5
28	39.1	78.5
29	41.1	78.3
30	43.4	78.2
31	44.8	77.9
32	57.9	77.9
33	57.9	77.9
34	52.8	77.6
35	48.5	77.4
36	44.5	77.4
37	42.2	77.4
38	41.1	77.4
39	41.1	77.4
40	43.4	77.4
41	47.1	77.1
42	48.5	76.8
43	49.9	76.8
44	51.4	76.5
45	52.5	76.3
46	53.9	76.3
47	55.4	76.2
48	56.8	76.0
49	45.1	76.0
50	44.5	75.9
51	44.0	75.9
52	43.7	75.6
53	43.4	75.6
54	43.1	75.4
55	42.8	75.4
56	53.9	75.1
57	53.4	75.1
58	48.8	75.1
59	44.8	74.8
60	42.2	74.8
61	40.2	74.8
62	39.1	74.8
63	39.1	74.7
64	40.2	74.7
65	42.5	74.6
66	43.4	74.6
67	44.0	74.5
68	44.5	74.5
69	45.1	74.3
70	46.0	73.9
71	46.5	73.9
72	47.1	73.9
73	36.8	73.7
74	38.8	73.7
75	40.0	73.6
76	40.5	73.4
77	41.4	73.4
78	42.0	73.4
79	42.5	73.1
80	54.5	73.1
81	54.5	72.8
82	53.1	72.8
83	51.9	72.5
84	51.4	72.5
85	51.1	72.5
86	50.8	72.2
87	51.1	72.2
88	51.7	72.2
89	52.5	72.0
90	53.4	71.9
91	53.9	71.9
92	54.8	71.8
93	55.4	71.7
94	56.2	71.6
95	57.1	71.4
96	58.8	71.4
97	46.5	71.4
98	46.5	71.1
99	46.5	71.1
100	46.8	71.1
101	46.5	71.1
102	46.5	71.1
103	46.5	71.1
104	57.9	70.8
105	57.7	70.8
106	55.4	70.8
107	53.1	70.8
108	51.1	70.8
109	49.9	70.8
110	49.1	70.8
111	48.8	70.5
112	49.7	70.5
113	51.1	70.5
114	51.9	70.5
115	52.8	70.5
116	53.7	70.5
117	54.5	70.5
118	55.7	70.2
119	56.2	70.2
120	57.9	70.2
121	46.8	70.2
122	48.2	70.2
123	49.7	69.9
124	50.5	69.9
125	51.1	69.9
126	51.7	69.6
127	52.2	69.6
128	64.2	69.6
129	64.2	69.6
130	62.5	69.4
131	60.8	69.4
132	59.7	69.4
133	58.8	69.1
134	58.5	69.1
135	58.5	69.1
136	59.1	68.8
137	60.5	68.8
138	61.1	68.8
139	61.9	68.8
140	62.5	68.8
141	63.4	68.8
142	64.2	68.7
143	64.8	68.5
144	65.6	68.5
145	54.2	68.5
146	54.5	68.5
147	54.5	68.5
148	54.5	68.2
149	54.5	68.2
150	54.5	68.2
151	54.5	68.2
152	65.9	68.2
153	65.1	68.2
154	59.7	67.9
155	54.8	67.9
156	50.5	67.9
157	47.4	67.9
158	45.7	67.9
159	46.0	67.9
160	48.2	67.9
161	51.4	67.9
162	52.2	67.9
163	53.1	67.9
164	53.9	67.9
165	54.8	67.9
166	55.7	67.9
167	56.8	67.6
168	57.7	67.6
169	48.0	67.6
