# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	23.3	109.6
2	25.1	108.9
3	26.8	107.9
4	27.5	106.8
5	28.2	106.1
6	28.9	105.1
7	29.2	105.1
8	43.5	104.7
9	42.8	104.0
10	37.9	103.3
11	33.4	102.3
12	29.6	100.2
13	27.1	99.9
14	25.7	99.5
15	25.7	99.5
16	27.5	99.2
17	29.9	98.5
18	32.4	97.4
19	34.4	97.4
20	36.5	96.7
21	38.6	96.7
22	40.7	96.4
23	43.1	96.3
24	45.2	96.3
25	35.5	96.3
26	40.4	95.8
27	44.9	95.7
28	47.7	95.7
29	50.1	95.3
30	52.9	95.3
31	54.6	95.0
32	70.6	95.0
33	70.6	95.0
34	64.4	94.9
35	59.2	94.6
36	54.3	94.3
37	51.5	94.3
38	50.1	94.3
39	50.1	94.3
40	52.9	94.3
41	57.4	93.9
42	59.2	93.9
43	60.9	93.9
44	62.6	93.9
45	64.0	93.6
46	65.8	93.6
47	67.5	93.3
48	69.2	92.6
49	55.0	92.6
50	54.3	92.5
51	53.6	92.5
52	53.2	92.2
53	52.9	92.2
54	52.5	92.1
55	52.2	92.1
56	65.8	91.9
57	65.1	91.5
58	59.5	91.5
59	54.6	91.4
60	51.5	91.4
61	49.1	91.2
62	47.7	91.2
63	47.7	91.1
64	49.1	90.8
65	51.8	90.8
66	52.9	90.7
67	53.6	90.7
68	54.3	90.4
69	55.0	90.4
70	56.0	90.3
71	56.7	90.1
72	57.4	90.1
73	44.9	90.1
74	47.3	90.0
75	48.7	89.8
76	49.4	89.4
77	50.5	89.3
78	51.1	89.3
79	51.8	89.1
80	66.5	89.0
81	66.5	89.0
82	64.7	88.9
83	63.3	88.7
84	62.6	88.4
85	62.3	88.4
86	61.9	88.3
87	62.3	88.3
88	63.0	87.9
89	64.0	87.7
90	65.1	87.7
91	65.8	87.6
92	66.8	87.6
93	67.5	87.6
94	68.5	87.3
95	69.6	87.2
96	71.7	87.0
97	56.7	87.0
98	56.7	87.0
99	56.7	86.9
100	57.1	86.6
101	56.7	86.6
102	56.7	86.6
103	56.7	86.6
104	70.6	86.3
105	70.3	86.3
106	67.5	86.3
107	64.7	86.2
108	62.3	86.2
109	60.9	85.9
110	59.8	85.8
111	59.5	85.8
112	60.5	85.8
113	62.3	85.8
114	63.3	85.7
115	64.4	85.6
116	65.4	85.5
117	66.5	85.5
118	67.9	85.5
119	68.5	85.5
120	70.6	85.5
121	57.1	85.5
122	58.8	85.2
123	60.5	85.1
124	61.6	85.1
125	62.3	85.1
126	63.0	84.9
127	63.7	84.8
128	78.3	84.8
129	78.3	84.6
130	76.2	84.4
131	74.1	84.4
132	72.7	84.4
133	71.7	84.4
134	71.3	84.2
135	71.3	84.2
136	72.0	84.2
137	73.8	84.1
138	74.5	84.1
139	75.5	84.0
140	76.2	83.9
141	77.2	83.9
142	78.3	83.9
143	79.0	83.5
144	80.0	83.5
145	66.1	83.4
146	66.5	83.4
147	66.5	83.4
148	66.5	83.4
149	66.5	83.2
150	66.5	83.2
151	66.5	83.2
152	80.4	83.0
153	79.3	83.0
154	72.7	83.0
155	66.8	82.8
156	61.6	82.8
157	57.8	82.8
158	55.7	82.8
159	56.0	82.8
160	58.8	82.8
161	62.6	82.8
162	63.7	82.8
163	64.7	82.8
164	65.8	82.8
165	66.8	82.7
166	67.9	82.7
167	69.2	82.7
168	70.3	82.7
169	58.5	82.5
170	59.8	82.5
171	61.6	82.4
172	62.6	82.4
173	63.7	82.4
174	64.7	82.3
175	65.4	82.3
176	80.0	82.3
177	80.0	82.1
178	77.6	82.1
179	76.5	82.1
180	76.9	82.1
181	76.9	82.1
182	73.8	82.0
183	72.4	82.0
184	72.0	81.8
185	73.8	81.8
186	75.2	81.8
187	76.5	81.8
188	77.6	81.8
189	79.0	81.8
190	80.0	81.8
191	81.4	81.8
192	82.8	81.6
193	69.6	81.6
194	70.3	81.6
195	71.0	81.6
196	71.3	81.6
197	71.7	81.4
198	72.4	81.4
199	72.7	81.4
200	86.6	81.4
201	86.3	81.4
202	83.5	81.3
203	81.1	81.3
204	79.0	81.3
205	77.6	81.1
206	77.2	81.1
207	76.9	81.1
208	77.9	81.1
209	80.0	81.1
210	80.4	81.1
211	80.7	80.9
212	81.8	80.9
213	81.8	80.9
214	81.8	80.9
215	82.1	80.8
216	82.8	80.8
217	68.9	80.8
218	68.9	80.7
219	69.2	80.7
220	69.2	80.7
221	69.2	80.6
222	69.2	80.6
223	69.2	80.6
224	83.2	80.6
225	82.8	80.4
226	80.0	80.4
227	77.2	80.4
228	75.2	80.4
229	74.1	80.4
230	73.1	80.2
231	73.1	80.2
232	73.8	80.1
233	75.5	80.1
234	76.2	80.0
235	76.9	80.0
236	78.3	80.0
237	77.2	80.0
238	77.9	80.0
239	78.3	80.0
240	78.6	80.0
241	65.4	80.0
242	65.8	80.0
243	66.1	79.9
244	66.5	79.9
245	66.5	79.7
246	66.5	79.7
247	66.5	79.7
248	80.7	79.5
249	80.0	79.5
250	75.2	79.5
251	70.6	79.5
252	66.5	79.3
253	63.7	79.3
254	61.9	79.2
255	61.6	79.2
256	63.0	79.0
257	65.8	79.0
258	67.9	79.0
259	69.9	79.0
260	71.7	79.0
261	73.8	79.0
262	75.9	79.0
263	77.9	78.8
264	79.7	78.8
265	69.6	78.6
266	74.5	78.6
267	79.0	78.6
268	81.8	78.6
269	84.2	78.5
270	87.0	78.5
271	89.1	78.5
272	105.1	78.5
273	104.7	78.5
274	102.3	78.5
275	99.9	78.5
276	96.7	78.3
277	95.7	78.3
278	97.4	78.3
279	98.5	78.3
280	100.2	78.3
281	103.3	78.3
282	104.0	78.1
283	105.1	78.1
284	106.1	78.1
285	106.8	78.1
286	107.9	78.1
287	108.9	77.9
288	109.6	77.9
289	94.3	77.9
290	93.3	77.9
291	89.4	77.9
292	87.7	77.8
293	86.3	77.8
294	84.9	77.8
295	83.9	77.8
296	96.7	77.8
297	95.7	77.8
298	91.2	77.8
299	87.0	77.8
300	83.9	77.6
301	81.4	77.6
302	80.4	77.6
303	80.0	77.6
304	81.1	77.5
305	83.2	77.4
306	82.8	77.4
307	82.8	77.4
308	82.8	77.2
309	82.8	77.2
310	83.2	77.2
311	82.5	77.2
312	82.5	77.2
313	69.9	77.2
314	71.3	77.1
315	72.7	77.1
316	73.4	77.1
317	74.5	77.1
318	75.2	77.1
319	75.9	77.1
320	90.1	77.1
321	90.1	76.9
322	88.4	76.9
323	85.6	76.9
324	83.9	76.9
325	82.8	76.9
326	82.1	76.9
327	82.1	76.9
328	82.8	76.8
329	84.2	76.7
330	85.9	76.7
331	87.0	76.7
332	88.4	76.5
333	89.8	76.5
334	90.8	76.5
335	92.2	76.5
336	93.6	76.4
337	81.8	76.4
338	81.8	76.4
339	82.8	76.4
340	83.5	76.2
341	84.2	76.2
342	84.6	76.2
343	85.2	76.2
344	99.5	76.2
345	99.2	76.2
346	96.4	76.2
347	94.3	76.0
348	92.6	76.0
349	91.2	76.0
350	90.8	76.0
351	91.5	76.0
352	92.6	75.9
353	93.9	75.9
354	94.3	75.9
355	94.3	75.9
356	94.6	75.9
357	95.0	75.7
358	95.0	75.7
359	95.0	75.7
360	95.3	75.5
361	81.1	75.5
362	80.7	75.5
363	80.4	75.3
364	79.7	75.3
365	79.3	75.3
366	79.0	75.3
367	78.6	75.3
368	92.2	75.3
369	91.5	75.2
370	90.1	75.2
371	88.7	75.2
372	87.7	75.2
373	86.6	75.2
374	78.3	75.2
375	73.8	75.2
376	72.4	75.2
377	75.2	75.2
378	75.9	75.0
379	76.2	75.0
380	76.9	75.0
381	77.6	75.0
382	77.9	75.0
383	78.6	74.6
384	79.0	74.6
385	66.8	74.6
386	68.2	74.6
387	69.9	74.6
388	70.6	74.6
389	71.3	74.6
390	72.4	74.6
391	72.7	74.5
392	87.3	74.5
393	86.6	74.5
394	77.2	74.5
395	68.5	74.3
396	60.9	74.3
397	56.0	74.3
398	53.6	74.3
399	53.6	74.3
400	57.1	74.3
401	63.3	74.2
402	64.0	74.2
403	65.1	74.2
404	65.8	74.1
405	66.8	74.1
406	67.5	74.1
407	68.5	73.9
408	69.2	73.9
409	56.0	73.9
410	56.4	73.9
411	57.1	73.9
412	57.1	73.9
413	57.4	73.9
414	57.4	73.9
415	57.4	73.8
416	71.7	73.8
417	71.0	73.8
418	69.9	73.8
419	68.5	73.8
420	67.5	73.8
421	66.1	73.6
422	57.1	73.6
423	52.5	73.6
424	51.1	73.6
425	54.3	73.6
426	55.0	73.6
427	55.7	73.4
428	56.4	73.3
429	56.7	73.3
430	57.4	73.3
431	58.1	73.2
432	58.8	73.2
433	45.9	73.2
434	47.0	73.2
435	48.0	73.2
436	48.4	73.2
437	48.7	73.1
438	49.4	73.1
439	49.4	73.1
440	63.7	72.9
441	63.3	72.9
442	62.3	72.9
443	61.6	72.9
444	60.5	72.9
445	60.2	72.9
446	52.2	72.9
447	47.0	72.9
448	44.9	72.9
449	47.7	72.7
450	48.7	72.7
451	50.1	72.7
452	51.1	72.7
453	52.5	72.7
454	53.9	72.7
455	55.0	72.6
456	56.4	72.6
457	43.8	72.6
458	45.6	72.6
459	47.3	72.6
460	48.4	72.5
461	49.4	72.5
462	50.5	72.5
463	50.8	72.5
464	65.4	72.4
465	65.1	72.4
466	64.0	72.4
467	63.7	72.4
468	62.6	72.3
469	61.9	72.3
470	55.3	72.3
471	52.5	72.3
472	51.8	72.2
473	54.3	72.2
474	55.0	72.2
475	55.3	72.2
476	56.0	72.2
477	56.7	72.2
478	57.1	72.0
479	57.8	72.0
480	58.1	72.0
481	44.2	72.0
482	44.2	71.9
483	43.8	71.9
484	43.8	71.9
485	43.5	71.8
486	43.5	71.8
487	43.1	71.8
488	57.1	71.8
489	56.4	71.8
490	50.5	71.7
491	44.9	71.7
492	39.7	71.7
493	35.5	71.7
494	32.7	71.7
495	32.4	71.7
496	34.1	71.6
497	37.9	71.6
498	39.0	71.6
499	40.4	71.5
500	41.4	71.5
501	42.8	71.5
502	44.2	71.5
503	45.2	71.5
504	46.6	71.3
505	34.8	71.3
506	36.5	71.3
507	38.6	71.3
508	39.3	71.3
509	40.4	71.3
510	41.1	71.3
511	41.8	71.3
512	56.0	71.3
513	55.3	71.3
514	48.7	71.1
515	43.5	71.1
516	37.6	71.1
517	33.8	71.1
518	28.9	71.1
519	26.8	71.1
520	27.1	71.1
521	31.7	71.0
522	34.8	71.0
523	37.6	71.0
524	40.7	71.0
525	43.8	71.0
526	46.6	71.0
527	49.8	71.0
528	52.5	71.0
529	42.1	71.0
530	45.9	70.8
531	49.4	70.8
532	51.5	70.8
533	53.2	70.8
534	55.3	70.7
535	56.4	70.6
536	71.7	70.6
537	69.6	70.6
538	58.5	70.6
539	48.7	70.6
540	41.4	70.6
541	35.8	70.6
542	32.7	70.4
543	32.4	70.4
544	35.1	70.4
545	42.1	70.3
546	46.3	70.3
547	50.5	70.3
548	54.6	70.3
549	58.8	70.3
550	63.0	70.3
551	67.2	70.3
552	71.3	70.3
553	61.2	70.3
554	65.4	70.3
555	69.6	70.1
556	72.0	70.1
557	74.5	70.1
558	76.9	70.1
559	78.6	70.0
560	94.3	70.0
561	93.6	70.0
562	86.6	70.0
563	79.7	70.0
564	75.2	69.9
565	72.7	69.9
566	69.2	69.9
567	68.2	69.9
568	68.9	69.9
569	74.1	69.7
570	75.2	69.7
571	76.2	69.7
572	76.9	69.7
573	77.9	69.7
574	79.0	69.7
575	80.0	69.7
576	81.1	69.7
577	65.8	69.7
578	64.4	69.7
579	63.0	69.7
580	61.9	69.6
581	61.2	69.6
582	60.2	69.6
583	59.5	69.6
584	73.1	69.6
585	72.0	69.4
586	69.2	69.4
587	69.9	69.4
588	65.8	69.4
589	63.3	69.4
