# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.3	81.4
2	18.6	80.9
3	19.9	80.1
4	20.4	79.3
5	20.9	78.8
6	21.4	78.0
7	21.7	78.0
8	32.3	77.8
9	31.8	77.3
10	28.2	76.7
11	24.8	76.0
12	22.0	74.4
13	20.2	74.3
14	19.1	74.2
15	19.1	73.9
16	20.4	73.6
17	22.2	73.1
18	24.0	72.8
19	25.6	72.3
20	27.1	72.0
21	28.7	72.0
22	30.2	72.0
23	32.0	71.8
24	33.6	71.8
25	26.4	71.6
26	30.0	71.2
27	33.3	71.1
28	35.4	71.1
29	37.2	70.9
30	39.3	70.8
31	40.6	70.5
32	52.4	70.5
33	52.4	70.5
34	47.8	70.3
35	43.9	70.1
36	40.3	70.0
37	38.2	70.0
38	37.2	70.0
39	37.2	70.0
40	39.3	70.0
41	42.6	69.8
42	43.9	69.5
43	45.2	69.5
44	46.5	69.2
45	47.5	69.1
46	48.8	69.1
47	50.1	68.8
48	51.4	68.8
49	40.8	68.7
50	40.3	68.7
51	39.8	68.7
52	39.5	68.5
53	39.3	68.5
54	39.0	68.3
55	38.8	68.3
56	48.8	68.0
57	48.3	68.0
58	44.2	68.0
59	40.6	67.8
60	38.2	67.8
61	36.4	67.7
62	35.4	67.7
63	35.4	67.5
64	36.4	67.5
65	38.5	67.4
66	39.3	67.4
67	39.8	67.3
68	40.3	67.3
69	40.8	67.3
70	41.6	66.9
71	42.1	66.9
72	42.6	66.9
73	33.3	66.7
74	35.1	66.7
75	36.2	66.7
76	36.7	66.5
77	37.5	66.5
78	38.0	66.4
79	38.5	66.1
80	49.3	66.0
81	49.3	65.9
82	48.1	65.9
83	47.0	65.7
84	46.5	65.6
85	46.2	65.6
86	46.0	65.4
87	46.2	65.4
88	46.8	65.4
89	47.5	65.2
90	48.3	65.1
91	48.8	65.1
92	49.6	64.9
93	50.1	64.9
94	50.9	64.7
95	51.7	64.6
96	53.2	64.6
97	42.1	64.6
98	42.1	64.4
99	42.1	64.4
100	42.4	64.3
101	42.1	64.3
102	42.1	64.3
103	42.1	64.3
104	52.4	64.1
105	52.2	64.1
106	50.1	64.1
107	48.1	64.1
108	46.2	64.1
109	45.2	64.1
110	44.4	63.9
111	44.2	63.9
112	45.0	63.9
113	46.2	63.9
114	47.0	63.9
115	47.8	63.9
116	48.6	63.8
117	49.3	63.8
118	50.4	63.6
119	50.9	63.6
120	52.4	63.6
121	42.4	63.6
122	43.7	63.3
123	45.0	63.3
124	45.7	63.3
125	46.2	63.3
126	46.8	63.1
127	47.3	63.1
128	58.1	63.1
129	58.1	63.0
130	56.6	62.8
131	55.0	62.8
132	54.0	62.8
133	53.2	62.5
134	53.0	62.5
135	53.0	62.5
136	53.5	62.3
137	54.8	62.3
138	55.3	62.3
139	56.1	62.3
140	56.6	62.3
141	57.4	62.3
142	58.1	62.0
143	58.6	62.0
144	59.4	62.0
145	49.1	62.0
146	49.3	62.0
147	49.3	61.9
148	49.3	61.8
149	49.3	61.8
150	49.3	61.8
151	49.3	61.8
152	59.7	61.8
153	58.9	61.5
154	54.0	61.5
155	49.6	61.5
156	45.7	61.5
157	42.9	61.5
158	41.3	61.5
159	41.6	61.5
160	43.7	61.5
161	46.5	61.5
162	47.3	61.5
163	48.1	61.5
164	48.8	61.5
165	49.6	61.5
166	50.4	61.4
167	51.4	61.2
168	52.2	61.2
169	43.4	61.2
170	44.4	61.2
171	45.7	61.0
172	46.5	61.0
173	47.3	61.0
174	48.1	61.0
175	48.6	61.0
176	59.4	61.0
177	59.4	61.0
178	57.6	61.0
179	56.8	60.7
180	57.1	60.7
181	57.1	60.7
182	54.8	60.7
183	53.7	60.7
184	53.5	60.7
185	54.8	60.7
186	55.8	60.7
187	56.8	60.7
188	57.6	60.5
189	58.6	60.5
190	59.4	60.5
191	60.5	60.5
192	61.5	60.5
193	51.7	60.5
194	52.2	60.5
195	52.7	60.3
196	53.0	60.2
197	53.2	60.2
198	53.7	60.2
199	54.0	60.2
200	64.3	60.2
201	64.1	60.2
202	62.0	60.2
203	60.2	60.2
204	58.6	59.9
205	57.6	59.9
206	57.4	59.9
207	57.1	59.9
208	57.9	59.9
209	59.4	59.8
210	59.7	59.7
211	59.9	59.7
212	60.7	59.7
213	60.7	59.7
214	60.7	59.7
215	61.0	59.7
216	61.5	59.4
217	51.2	59.4
218	51.2	59.4
219	51.4	59.4
220	51.4	59.4
221	51.4	59.4
222	51.4	59.4
223	51.4	59.4
224	61.8	59.4
225	61.5	59.4
226	59.4	59.4
227	57.4	59.4
228	55.8	59.4
229	55.0	59.3
230	54.3	59.3
231	54.3	59.2
232	54.8	59.2
233	56.1	59.2
234	56.6	59.1
235	57.1	59.1
236	58.1	59.1
237	57.4	59.1
238	57.9	59.1
239	58.1	58.9
240	58.4	58.9
241	48.6	58.9
242	48.8	58.9
243	49.1	58.9
244	49.3	58.9
245	49.3	58.6
246	49.3	58.6
247	49.3	58.6
248	59.9	58.6
249	59.4	58.6
250	55.8	58.6
251	52.4	58.6
252	49.3	58.6
253	47.3	58.6
254	46.0	58.6
255	45.7	58.6
256	46.8	58.6
257	48.8	58.6
258	50.4	58.6
259	51.9	58.4
260	53.2	58.4
261	54.8	58.4
262	56.3	58.4
263	57.9	58.4
264	59.2	58.4
265	51.7	58.4
266	55.3	58.4
267	58.6	58.4
268	60.7	58.4
269	62.5	58.4
270	64.6	58.4
271	66.1	58.1
272	78.0	58.1
273	77.8	58.1
274	76.0	58.1
275	74.2	58.1
276	71.8	58.1
277	71.1	58.1
278	72.3	58.1
279	73.1	58.1
280	74.4	58.1
281	76.7	58.1
282	77.3	58.1
283	78.0	58.1
284	78.8	58.1
285	79.3	57.9
286	80.1	57.9
287	80.9	57.9
288	81.4	57.9
289	70.0	57.9
290	69.2	57.9
291	66.4	57.9
292	65.1	57.9
293	64.1	57.8
294	63.0	57.8
295	62.3	57.8
296	71.8	57.7
297	71.1	57.6
298	67.7	57.6
299	64.6	57.6
300	62.3	57.6
301	60.5	57.6
302	59.7	57.6
303	59.4	57.6
304	60.2	57.6
305	61.8	57.6
306	61.5	57.6
307	61.5	57.6
308	61.5	57.4
309	61.5	57.4
310	61.8	57.4
311	61.2	57.4
312	61.2	57.4
313	51.9	57.4
314	53.0	57.4
315	54.0	57.3
316	54.5	57.3
317	55.3	57.3
318	55.8	57.1
319	56.3	57.1
320	66.9	57.1
321	66.9	57.1
322	65.6	57.1
323	63.6	57.1
324	62.3	57.1
325	61.5	57.1
326	61.0	57.1
327	61.0	57.1
328	61.5	57.1
329	62.5	56.8
330	63.8	56.8
331	64.6	56.8
332	65.6	56.8
333	66.7	56.8
