# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	31.4	147.7
2	33.8	146.8
3	36.1	145.4
4	37.0	144.0
5	38.0	143.0
6	38.9	141.6
7	39.4	141.6
8	58.6	141.1
9	57.7	140.2
10	51.1	139.3
11	45.0	137.9
12	39.9	135.0
13	36.6	134.8
14	34.7	134.6
15	34.7	134.1
16	37.0	133.6
17	40.3	132.7
18	43.6	131.9
19	46.4	131.3
20	49.2	130.5
21	52.0	130.5
22	54.9	130.5
23	58.1	130.4
24	61.0	130.4
25	47.8	129.9
26	54.4	129.1
27	60.5	128.9
28	64.2	128.9
29	67.5	128.6
30	71.3	128.5
31	73.6	128.0
32	95.2	128.0
33	95.2	128.0
34	86.7	127.8
35	79.7	127.5
36	73.1	127.2
37	69.4	127.1
38	67.5	127.1
39	67.5	127.1
40	71.3	127.1
41	77.4	127.1
42	79.7	126.6
43	82.1	126.1
44	84.4	126.1
45	86.3	125.7
46	88.6	125.3
47	91.0	125.3
48	93.3	125.2
49	74.1	125.2
50	73.1	124.8
51	72.2	124.8
52	71.7	124.7
53	71.3	124.7
54	70.8	124.3
55	70.3	124.3
56	88.6	123.9
57	87.7	123.9
58	80.2	123.4
59	73.6	123.3
60	69.4	123.3
61	66.1	122.9
62	64.2	122.9
63	64.2	122.9
64	66.1	122.9
65	69.9	122.6
66	71.3	122.4
67	72.2	122.4
68	73.1	122.4
69	74.1	122.4
70	75.5	122.0
71	76.4	121.4
72	77.4	121.4
73	60.5	121.4
74	63.8	121.0
75	65.6	121.0
76	66.6	121.0
77	68.0	120.5
78	68.9	120.5
79	69.9	120.5
80	89.6	120.4
81	89.6	120.0
82	87.2	119.6
83	85.3	119.6
84	84.4	119.1
85	83.9	119.1
86	83.5	119.1
87	83.9	118.7
88	84.9	118.6
89	86.3	118.6
90	87.7	118.6
91	88.6	118.2
92	90.0	118.2
93	91.0	118.2
94	92.4	117.8
95	93.8	117.7
96	96.6	117.7
97	76.4	117.2
98	76.4	117.2
99	76.4	117.2
100	76.9	116.8
101	76.4	116.8
102	76.4	116.8
103	76.4	116.8
104	95.2	116.7
105	94.7	116.7
106	91.0	116.3
107	87.2	116.3
108	83.9	116.3
109	82.1	116.3
110	80.7	116.3
111	80.2	116.3
112	81.6	115.8
113	83.9	115.8
114	85.3	115.8
115	86.7	115.8
116	88.2	115.8
117	89.6	115.8
118	91.4	115.8
119	92.4	115.3
120	95.2	115.3
121	76.9	115.3
122	79.2	115.3
123	81.6	115.2
124	83.0	114.9
125	83.9	114.8
126	84.9	114.8
