# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.4	39.6
2	9.0	39.3
3	9.7	38.9
4	9.9	38.6
5	10.2	38.3
6	10.4	37.9
7	10.5	37.9
8	15.7	37.8
9	15.4	37.5
10	13.7	37.3
11	12.1	36.9
12	10.7	36.2
13	9.8	36.0
14	9.3	36.0
15	9.3	35.9
16	9.9	35.8
17	10.8	35.5
18	11.7	35.2
19	12.4	35.2
20	13.2	34.9
21	13.9	34.9
22	14.7	34.9
23	15.6	34.9
24	16.3	34.9
25	12.8	34.8
26	14.6	34.5
27	16.2	34.5
28	17.2	34.5
29	18.1	34.4
30	19.1	34.4
31	19.7	34.3
32	25.5	34.3
33	25.5	34.3
34	23.2	34.2
35	21.3	34.0
36	19.6	34.0
37	18.6	34.0
38	18.1	34.0
39	18.1	34.0
40	19.1	34.0
41	20.7	33.9
42	21.3	33.8
43	22.0	33.8
44	22.6	33.7
45	23.1	33.7
46	23.7	33.5
47	24.4	33.5
48	25.0	33.4
49	19.8	33.4
50	19.6	33.3
51	19.3	33.3
52	19.2	33.3
53	19.1	33.3
54	19.0	33.1
55	18.8	33.1
56	23.7	33.0
57	23.5	33.0
58	21.5	33.0
59	19.7	33.0
60	18.6	33.0
61	17.7	32.9
62	17.2	32.9
63	17.2	32.8
64	17.7	32.8
65	18.7	32.8
66	19.1	32.8
67	19.3	32.7
68	19.6	32.7
69	19.8	32.6
70	20.2	32.5
71	20.5	32.5
72	20.7	32.5
73	16.2	32.4
74	17.1	32.3
75	17.6	32.3
76	17.8	32.3
77	18.2	32.3
78	18.5	32.2
79	18.7	32.2
80	24.0	32.1
81	24.0	32.0
82	23.4	32.0
83	22.9	31.9
84	22.6	31.9
85	22.5	31.8
86	22.4	31.7
87	22.5	31.7
88	22.7	31.7
89	23.1	31.7
90	23.5	31.6
91	23.7	31.6
92	24.1	31.6
93	24.4	31.5
94	24.7	31.4
95	25.1	31.4
96	25.9	31.4
97	20.5	31.4
98	20.5	31.3
99	20.5	31.3
100	20.6	31.3
101	20.5	31.3
102	20.5	31.2
103	20.5	31.2
104	25.5	31.2
105	25.4	31.1
106	24.4	31.1
107	23.4	31.1
108	22.5	31.1
109	22.0	31.1
110	21.6	31.1
111	21.5	31.0
112	21.9	31.0
113	22.5	30.9
114	22.9	30.9
115	23.2	30.9
116	23.6	30.9
117	24.0	30.9
118	24.5	30.9
119	24.7	30.9
120	25.5	30.8
121	20.6	30.8
122	21.2	30.8
123	21.9	30.8
124	22.2	30.7
125	22.5	30.7
126	22.7	30.6
127	23.0	30.6
128	28.3	30.6
129	28.3	30.6
130	27.5	30.5
131	26.7	30.4
132	26.2	30.4
133	25.9	30.4
134	25.7	30.4
135	25.7	30.4
136	26.0	30.3
137	26.6	30.3
138	26.9	30.3
139	27.3	30.3
140	27.5	30.2
141	27.9	30.2
142	28.3	30.2
143	28.5	30.1
144	28.9	30.1
145	23.9	30.1
146	24.0	30.1
147	24.0	30.1
148	24.0	30.1
149	24.0	30.0
150	24.0	30.0
151	24.0	30.0
152	29.0	29.9
153	28.6	29.9
154	26.2	29.9
155	24.1	29.9
156	22.2	29.9
157	20.8	29.9
158	20.1	29.9
159	20.2	29.9
160	21.2	29.9
161	22.6	29.9
162	23.0	29.9
163	23.4	29.9
164	23.7	29.8
165	24.1	29.8
166	24.5	29.8
167	25.0	29.8
168	25.4	29.8
169	21.1	29.7
170	21.6	29.7
171	22.2	29.6
172	22.6	29.6
173	23.0	29.6
174	23.4	29.6
175	23.6	29.5
176	28.9	29.5
177	28.9	29.5
178	28.0	29.5
179	27.6	29.5
180	27.8	29.5
181	27.8	29.5
182	26.6	29.5
183	26.1	29.5
184	26.0	29.5
185	26.6	29.5
186	27.1	29.5
187	27.6	29.4
188	28.0	29.4
189	28.5	29.4
190	28.9	29.4
191	29.4	29.4
192	29.9	29.3
193	25.1	29.3
194	25.4	29.3
195	25.6	29.3
196	25.7	29.3
197	25.9	29.3
198	26.1	29.3
199	26.2	29.3
200	31.3	29.3
201	31.1	29.2
202	30.1	29.2
203	29.3	29.2
204	28.5	29.2
205	28.0	29.1
206	27.9	29.1
207	27.8	29.1
208	28.1	29.1
209	28.9	29.1
210	29.0	29.0
211	29.1	29.0
212	29.5	29.0
213	29.5	29.0
214	29.5	29.0
215	29.6	29.0
216	29.9	28.9
217	24.9	28.9
218	24.9	28.9
219	25.0	28.9
220	25.0	28.9
221	25.0	28.9
222	25.0	28.9
223	25.0	28.9
224	30.0	28.9
225	29.9	28.9
226	28.9	28.9
227	27.9	28.9
228	27.1	28.9
229	26.7	28.9
230	26.4	28.8
231	26.4	28.8
232	26.6	28.8
233	27.3	28.8
234	27.5	28.8
235	27.8	28.8
236	28.3	28.8
237	27.9	28.8
238	28.1	28.8
239	28.3	28.7
240	28.4	28.7
241	23.6	28.7
242	23.7	28.7
243	23.9	28.6
244	24.0	28.6
245	24.0	28.6
246	24.0	28.6
247	24.0	28.6
248	29.1	28.5
249	28.9	28.5
250	27.1	28.5
251	25.5	28.5
252	24.0	28.5
253	23.0	28.5
254	22.4	28.5
