# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	47.8	224.6
2	51.3	223.2
3	54.9	221.0
4	56.3	218.9
5	57.8	217.5
6	59.2	215.3
7	59.9	215.3
8	89.1	214.6
9	87.7	213.2
10	77.7	211.8
11	68.5	209.6
12	60.6	205.4
13	55.6	204.8
14	52.8	204.6
15	52.8	203.9
16	56.3	203.2
17	61.3	201.8
18	66.3	200.5
19	70.6	199.7
20	74.9	198.3
21	79.1	198.3
22	83.4	198.3
23	88.4	198.2
24	92.7	198.2
25	72.7	197.5
26	82.7	196.2
27	92.0	196.1
28	97.7	196.1
29	102.7	195.5
30	108.4	195.4
31	112.0	195.3
32	144.8	194.7
33	144.8	194.7
34	131.9	194.7
35	121.2	194.0
36	111.2	193.3
37	105.5	193.2
38	102.7	193.2
39	102.7	193.2
40	108.4	193.2
41	117.7	193.2
42	121.2	192.5
43	124.8	191.8
44	128.4	191.8
45	131.2	191.3
46	134.8	191.3
47	138.3	191.1
48	141.9	190.4
49	112.7	190.4
50	111.2	189.7
51	109.8	189.7
52	109.1	189.7
53	108.4	189.7
54	107.7	189.0
55	107.0	189.0
56	134.8	188.2
57	133.3	188.2
58	121.9	187.5
59	112.0	187.5
60	105.5	187.5
61	100.5	187.3
62	97.7	186.8
63	97.7	186.8
64	100.5	186.8
65	106.2	186.8
66	108.4	186.1
67	109.8	186.1
68	111.2	186.1
69	112.7	186.1
70	114.8	185.4
71	116.2	184.7
72	117.7	184.7
73	92.0	184.7
74	97.0	184.0
75	99.8	184.0
76	101.3	183.9
77	103.4	183.9
78	104.8	183.3
79	106.2	183.2
80	136.2	183.2
81	136.2	182.5
82	132.6	181.8
83	129.8	181.8
84	128.4	181.3
85	127.6	181.1
86	126.9	181.1
87	127.6	181.0
88	129.1	180.3
89	131.2	180.3
90	133.3	180.3
91	134.8	180.0
92	136.9	179.7
93	138.3	179.7
94	140.5	179.6
95	142.6	179.0
96	146.9	178.9
97	116.2	178.3
98	116.2	178.3
99	116.2	178.3
100	116.9	177.6
101	116.2	177.6
102	116.2	177.6
103	116.2	177.6
104	144.8	177.4
105	144.0	177.4
106	138.3	176.8
107	132.6	176.8
108	127.6	176.7
109	124.8	176.7
110	122.6	176.7
111	121.9	176.7
112	124.1	176.1
113	127.6	176.0
114	129.8	176.0
115	131.9	176.0
116	134.1	176.0
117	136.2	176.0
118	139.0	176.0
119	140.5	176.0
120	144.8	175.4
121	116.9	175.3
122	120.5	175.3
123	124.1	175.3
124	126.2	174.7
125	127.6	174.7
126	129.1	174.5
127	130.5	174.5
128	160.4	174.0
129	160.4	173.8
130	156.2	173.8
131	151.9	173.8
132	149.0	173.3
133	146.9	173.1
134	146.2	173.1
135	146.2	172.6
136	147.6	172.6
137	151.2	172.6
138	152.6	172.0
139	154.7	171.8
140	156.2	171.8
141	158.3	171.8
142	160.4	171.7
143	161.9	171.7
144	164.0	171.7
145	135.5	171.3
146	136.2	171.1
147	136.2	171.1
148	136.2	170.9
149	136.2	170.9
150	136.2	170.9
151	136.2	170.4
152	164.7	170.4
153	162.6	170.4
154	149.0	170.2
155	136.9	170.2
156	126.2	170.0
157	118.4	169.7
158	114.1	169.7
159	114.8	169.7
160	120.5	169.7
161	128.4	169.7
162	130.5	169.7
163	132.6	169.7
164	134.8	169.7
165	136.9	169.7
166	139.0	169.7
167	141.9	169.5
168	144.0	169.5
169	119.8	169.5
170	122.6	169.0
171	126.2	169.0
172	128.4	168.8
173	130.5	168.8
174	132.6	168.7
175	134.1	168.7
176	164.0	168.3
177	164.0	168.3
178	159.0	168.3
179	156.9	168.0
180	157.6	168.0
181	157.6	168.0
182	151.2	168.0
183	148.3	168.0
184	147.6	168.0
185	151.2	168.0
186	154.0	168.0
187	156.9	167.6
188	159.0	167.6
189	161.9	167.6
190	164.0	167.6
191	166.9	167.6
192	169.7	167.6
193	142.6	167.3
194	144.0	167.3
195	145.5	167.3
196	146.2	167.3
197	146.9	167.3
198	148.3	166.9
199	149.0	166.9
200	177.6	166.7
201	176.8	166.7
202	171.1	166.6
203	166.1	166.6
204	161.9	166.6
205	159.0	166.6
206	158.3	166.1
207	157.6	166.1
208	159.7	166.1
209	164.0	166.1
210	164.7	166.0
211	165.4	166.0
212	167.6	166.0
213	167.6	165.9
214	167.6	165.9
215	168.3	165.9
216	169.7	165.9
217	141.2	165.4
218	141.2	165.4
219	141.9	165.4
220	141.9	165.3
221	141.9	165.3
222	141.9	165.2
223	141.9	165.2
224	170.4	164.7
225	169.7	164.7
226	164.0	164.7
227	158.3	164.7
228	154.0	164.7
229	151.9	164.7
230	149.7	164.7
231	149.7	164.4
232	151.2	164.4
233	154.7	164.0
234	156.2	164.0
235	157.6	164.0
236	160.4	164.0
237	158.3	164.0
238	159.7	164.0
239	160.4	164.0
240	161.2	164.0
241	134.1	164.0
242	134.8	164.0
243	135.5	163.7
244	136.2	163.7
245	136.2	163.7
246	136.2	163.7
247	136.2	163.3
248	165.4	163.3
249	164.0	163.3
250	154.0	163.3
251	144.8	163.3
252	136.2	163.0
253	130.5	163.0
254	126.9	162.6
255	126.2	162.6
256	129.1	162.3
257	134.8	162.3
258	139.0	161.9
259	143.3	161.9
260	146.9	161.9
261	151.2	161.9
262	155.4	161.9
263	159.7	161.9
264	163.3	161.9
265	142.6	161.6
266	152.6	161.6
267	161.9	161.6
268	167.6	161.6
269	172.6	161.6
270	178.3	161.2
271	182.5	161.2
272	215.3	161.2
273	214.6	161.2
274	209.6	160.8
275	204.6	160.8
276	198.2	160.8
277	196.1	160.8
278	199.7	160.8
279	201.8	160.4
280	205.4	160.4
281	211.8	160.4
282	213.2	160.4
283	215.3	160.4
284	217.5	160.4
285	218.9	160.1
286	221.0	160.1
287	223.2	160.1
288	224.6	160.1
289	193.2	160.1
290	191.1	160.1
291	183.3	160.0
292	179.7	160.0
293	176.8	159.7
294	174.0	159.7
295	171.8	159.7
296	198.2	159.7
297	196.1	159.7
298	186.8	159.4
299	178.3	159.4
300	171.8	159.4
301	166.9	159.0
302	164.7	159.0
303	164.0	159.0
304	166.1	159.0
305	170.4	158.7
306	169.7	158.7
307	169.7	158.7
308	169.7	158.7
309	169.7	158.7
310	170.4	158.7
311	169.0	158.7
312	169.0	158.7
313	143.3	158.7
314	146.2	158.3
315	149.0	158.3
316	150.5	158.3
317	152.6	158.3
318	154.0	158.3
319	155.4	158.0
320	184.7	158.0
321	184.7	158.0
322	181.1	157.6
323	175.4	157.6
324	171.8	157.6
325	169.7	157.6
326	168.3	157.6
327	168.3	157.6
328	169.7	157.6
329	172.6	157.2
330	176.1	157.2
331	178.3	157.2
332	181.1	157.2
333	184.0	156.9
334	186.1	156.9
335	189.0	156.7
336	191.8	156.5
337	167.6	156.5
338	167.6	156.5
339	169.7	156.5
340	171.1	156.5
341	172.6	156.2
342	173.3	156.2
343	174.7	156.2
344	203.9	156.2
345	203.2	156.2
346	197.5	156.0
347	193.2	156.0
348	189.7	155.8
349	186.8	155.8
350	186.1	155.8
351	187.5	155.4
352	189.7	155.4
353	192.5	155.4
354	193.2	155.3
355	193.2	155.3
356	194.0	155.1
357	194.7	155.1
358	194.7	155.1
359	194.7	155.1
360	195.4	155.1
361	166.1	155.1
362	165.4	154.7
363	164.7	154.7
364	163.3	154.7
365	162.6	154.7
366	161.9	154.4
367	161.2	154.3
368	189.0	154.3
369	187.5	154.3
370	184.7	154.3
371	181.8	154.3
372	179.7	154.0
373	177.6	154.0
374	160.4	154.0
375	151.2	154.0
376	148.3	154.0
377	154.0	154.0
378	155.4	154.0
379	156.2	154.0
380	157.6	153.7
381	159.0	153.6
382	159.7	153.6
383	161.2	153.6
384	161.9	153.6
385	136.9	153.3
386	139.8	153.3
387	143.3	152.9
388	144.8	152.9
389	146.2	152.9
390	148.3	152.9
391	149.0	152.9
392	179.0	152.6
393	177.6	152.6
394	158.3	152.6
395	140.5	152.6
396	124.8	152.2
397	114.8	152.2
398	109.8	152.2
399	109.8	152.2
400	116.9	152.2
401	129.8	152.0
402	131.2	152.0
403	133.3	152.0
404	134.8	151.9
405	136.9	151.9
406	138.3	151.9
407	140.5	151.5
408	141.9	151.5
409	114.8	151.5
410	115.5	151.5
411	116.9	151.3
412	116.9	151.3
413	117.7	151.3
414	117.7	151.2
415	117.7	151.2
416	146.9	151.2
417	145.5	151.2
418	143.3	151.2
419	140.5	151.2
420	138.3	150.7
421	135.5	150.7
422	116.9	150.7
423	107.7	150.7
424	104.8	150.7
425	111.2	150.7
426	112.7	150.7
427	114.1	150.5
428	115.5	150.0
429	116.2	150.0
430	117.7	150.0
431	119.1	150.0
432	120.5	150.0
433	94.1	150.0
434	96.3	150.0
435	98.4	149.7
436	99.1	149.7
437	99.8	149.7
438	101.3	149.3
439	101.3	149.3
440	130.5	149.3
441	129.8	149.3
442	127.6	149.3
443	126.2	149.3
444	124.1	149.3
445	123.4	149.0
446	107.0	149.0
447	96.3	149.0
448	92.0	149.0
449	97.7	149.0
450	99.8	149.0
451	102.7	148.7
452	104.8	148.7
453	107.7	148.7
454	110.5	148.7
455	112.7	148.6
456	115.5	148.6
457	89.8	148.6
458	93.4	148.6
459	97.0	148.6
460	99.1	148.6
461	101.3	148.5
462	103.4	148.3
463	104.1	148.3
464	134.1	148.3
465	133.3	148.3
466	131.2	148.0
467	130.5	148.0
