# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	7.5	35.4
2	8.1	35.2
3	8.7	34.9
4	8.9	34.5
5	9.1	34.3
6	9.3	34.0
7	9.5	34.0
8	14.1	33.9
9	13.8	33.6
10	12.3	33.4
11	10.8	33.1
12	9.6	32.4
13	8.8	32.3
14	8.3	32.3
15	8.3	32.2
16	8.9	32.1
17	9.7	31.8
18	10.5	31.6
19	11.1	31.5
20	11.8	31.3
21	12.5	31.3
22	13.2	31.3
23	14.0	31.3
24	14.6	31.3
25	11.5	31.2
26	13.1	31.0
27	14.5	30.9
28	15.4	30.9
29	16.2	30.9
30	17.1	30.8
31	17.7	30.7
32	22.8	30.7
33	22.8	30.7
34	20.8	30.6
35	19.1	30.5
36	17.6	30.5
37	16.7	30.5
38	16.2	30.5
39	16.2	30.5
40	17.1	30.5
41	18.6	30.4
42	19.1	30.3
43	19.7	30.3
44	20.3	30.2
45	20.7	30.1
46	21.3	30.1
47	21.8	30.1
48	22.4	29.9
49	17.8	29.9
50	17.6	29.9
51	17.3	29.9
52	17.2	29.8
53	17.1	29.8
54	17.0	29.7
55	16.9	29.7
56	21.3	29.6
57	21.0	29.6
58	19.2	29.6
59	17.7	29.5
60	16.7	29.5
61	15.9	29.5
62	15.4	29.5
63	15.4	29.5
64	15.9	29.5
65	16.8	29.4
66	17.1	29.4
67	17.3	29.4
68	17.6	29.4
69	17.8	29.3
70	18.1	29.1
71	18.3	29.1
72	18.6	29.1
73	14.5	29.0
74	15.3	29.0
75	15.8	29.0
76	16.0	28.9
77	16.3	28.9
78	16.5	28.9
79	16.8	28.8
80	21.5	28.8
81	21.5	28.7
82	20.9	28.7
83	20.5	28.6
84	20.3	28.6
85	20.1	28.6
86	20.0	28.5
87	20.1	28.5
88	20.4	28.5
89	20.7	28.4
90	21.0	28.4
91	21.3	28.3
92	21.6	28.3
93	21.8	28.2
94	22.2	28.2
95	22.5	28.1
96	23.2	28.1
97	18.3	28.1
98	18.3	28.0
99	18.3	28.0
100	18.5	28.0
101	18.3	28.0
102	18.3	28.0
103	18.3	28.0
104	22.8	27.9
105	22.7	27.9
106	21.8	27.9
107	20.9	27.9
108	20.1	27.9
109	19.7	27.9
110	19.4	27.9
111	19.2	27.8
112	19.6	27.8
113	20.1	27.8
114	20.5	27.8
115	20.8	27.8
116	21.2	27.8
117	21.5	27.8
118	21.9	27.7
119	22.2	27.7
120	22.8	27.7
121	18.5	27.7
122	19.0	27.7
123	19.6	27.6
124	19.9	27.5
125	20.1	27.5
126	20.4	27.5
127	20.6	27.4
128	25.3	27.4
129	25.3	27.4
130	24.6	27.3
131	24.0	27.3
132	23.5	27.3
133	23.2	27.2
134	23.1	27.2
135	23.1	27.2
136	23.3	27.1
137	23.9	27.1
138	24.1	27.1
139	24.4	27.1
140	24.6	27.1
141	25.0	27.1
142	25.3	27.1
143	25.5	27.0
144	25.9	27.0
145	21.4	27.0
146	21.5	27.0
147	21.5	27.0
148	21.5	26.9
149	21.5	26.9
150	21.5	26.9
151	21.5	26.9
152	26.0	26.9
153	25.7	26.9
154	23.5	26.8
155	21.6	26.8
156	19.9	26.8
157	18.7	26.8
158	18.0	26.8
159	18.1	26.8
160	19.0	26.8
161	20.3	26.8
162	20.6	26.8
163	20.9	26.8
164	21.3	26.8
165	21.6	26.8
166	21.9	26.8
167	22.4	26.7
168	22.7	26.7
169	18.9	26.6
170	19.4	26.6
171	19.9	26.6
172	20.3	26.6
173	20.6	26.6
174	20.9	26.5
175	21.2	26.5
176	25.9	26.5
177	25.9	26.5
178	25.1	26.5
179	24.8	26.5
180	24.9	26.4
181	24.9	26.4
182	23.9	26.4
183	23.4	26.4
184	23.3	26.4
185	23.9	26.4
186	24.3	26.4
187	24.8	26.4
188	25.1	26.4
