# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	9.5	44.6
2	10.2	44.3
3	10.9	43.9
4	11.2	43.4
5	11.5	43.2
6	11.7	42.7
7	11.9	42.7
8	17.7	42.6
9	17.4	42.3
10	15.4	42.0
11	13.6	41.6
12	12.0	40.8
13	11.0	40.7
14	10.5	40.6
15	10.5	40.5
16	11.2	40.3
17	12.2	40.0
18	13.2	40.0
19	14.0	39.6
20	14.9	39.5
21	15.7	39.5
22	16.6	39.5
23	17.5	39.3
24	18.4	39.3
25	14.4	39.2
26	16.4	39.1
27	18.3	39.0
28	19.4	38.9
29	20.4	38.9
30	21.5	38.8
31	22.2	38.6
32	28.7	38.6
33	28.7	38.6
34	26.2	38.5
35	24.1	38.5
36	22.1	38.3
37	20.9	38.3
38	20.4	38.3
39	20.4	38.3
40	21.5	38.3
41	23.3	38.2
42	24.1	38.1
43	24.8	38.1
44	25.5	37.9
45	26.0	37.9
46	26.7	37.9
47	27.4	37.8
48	28.2	37.8
49	22.4	37.6
50	22.1	37.6
51	21.8	37.5
52	21.6	37.5
53	21.5	37.5
54	21.4	37.5
55	21.2	37.4
56	26.7	37.2
57	26.5	37.2
58	24.2	37.2
59	22.2	37.2
60	20.9	37.1
61	19.9	37.1
62	19.4	37.1
63	19.4	37.1
64	19.9	36.9
65	21.1	36.9
66	21.5	36.9
67	21.8	36.9
68	22.1	36.7
69	22.4	36.7
70	22.8	36.6
71	23.1	36.6
72	23.3	36.6
73	18.3	36.5
74	19.2	36.5
75	19.8	36.5
76	20.1	36.4
77	20.5	36.2
78	20.8	36.2
79	21.1	36.1
80	27.0	36.1
81	27.0	36.1
82	26.3	36.1
83	25.7	35.9
84	25.5	35.9
85	25.3	35.9
86	25.2	35.9
87	25.3	35.9
88	25.6	35.8
89	26.0	35.7
90	26.5	35.7
91	26.7	35.6
92	27.2	35.5
93	27.4	35.4
94	27.9	35.4
95	28.3	35.4
96	29.1	35.4
97	23.1	35.4
98	23.1	35.4
99	23.1	35.2
100	23.2	35.2
101	23.1	35.2
102	23.1	35.2
103	23.1	35.2
104	28.7	35.2
105	28.6	35.2
106	27.4	35.2
107	26.3	35.1
108	25.3	35.1
109	24.8	35.1
110	24.3	35.1
111	24.2	35.1
112	24.6	35.1
113	25.3	35.1
114	25.7	35.1
115	26.2	34.9
116	26.6	34.9
117	27.0	34.9
118	27.6	34.9
119	27.9	34.8
120	28.7	34.8
121	23.2	34.8
122	23.9	34.7
123	24.6	34.7
124	25.0	34.6
125	25.3	34.6
126	25.6	34.6
127	25.9	34.5
128	31.8	34.5
129	31.8	34.5
130	31.0	34.4
131	30.1	34.2
132	29.6	34.2
133	29.1	34.2
134	29.0	34.2
135	29.0	34.2
136	29.3	34.2
137	30.0	34.2
138	30.3	34.1
139	30.7	34.1
140	31.0	34.1
141	31.4	34.1
142	31.8	34.1
143	32.1	34.1
144	32.5	34.0
145	26.9	34.0
146	27.0	34.0
147	27.0	33.9
148	27.0	33.9
149	27.0	33.8
150	27.0	33.8
151	27.0	33.8
152	32.7	33.8
153	32.3	33.8
154	29.6	33.8
155	27.2	33.7
156	25.0	33.7
157	23.5	33.7
158	22.6	33.7
159	22.8	33.7
160	23.9	33.7
161	25.5	33.7
162	25.9	33.7
163	26.3	33.7
164	26.7	33.7
165	27.2	33.6
166	27.6	33.6
167	28.2	33.5
168	28.6	33.5
169	23.8	33.5
170	24.3	33.5
171	25.0	33.5
172	25.5	33.5
173	25.9	33.5
174	26.3	33.4
175	26.6	33.4
176	32.5	33.4
177	32.5	33.3
178	31.5	33.3
179	31.1	33.3
180	31.3	33.2
181	31.3	33.2
182	30.0	33.2
183	29.4	33.2
184	29.3	33.2
185	30.0	33.2
186	30.6	33.2
187	31.1	33.2
188	31.5	33.2
189	32.1	33.2
190	32.5	33.2
191	33.1	33.1
192	33.7	33.1
193	28.3	33.1
194	28.6	33.1
195	28.9	33.1
196	29.0	33.1
197	29.1	33.0
198	29.4	33.0
199	29.6	33.0
200	35.2	33.0
201	35.1	33.0
202	34.0	32.9
203	33.0	32.9
204	32.1	32.8
205	31.5	32.8
206	31.4	32.8
207	31.3	32.8
208	31.7	32.8
209	32.5	32.7
210	32.7	32.7
211	32.8	32.7
212	33.2	32.7
213	33.2	32.6
214	33.2	32.6
215	33.4	32.6
