# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	6.8	32.1
2	7.3	31.9
3	7.9	31.6
4	8.1	31.3
5	8.3	31.1
6	8.5	30.8
7	8.6	30.8
8	12.7	30.7
9	12.5	30.5
10	11.1	30.3
11	9.8	30.0
12	8.7	29.4
13	8.0	29.4
14	7.5	29.3
15	7.5	29.2
16	8.1	29.1
17	8.8	28.9
18	9.5	28.8
19	10.1	28.6
20	10.7	28.5
21	11.3	28.5
22	11.9	28.5
23	12.6	28.4
24	13.3	28.4
25	10.4	28.3
26	11.8	28.2
27	13.2	28.1
28	14.0	28.0
29	14.7	28.0
30	15.5	27.9
31	16.0	27.8
32	20.7	27.8
33	20.7	27.8
34	18.9	27.8
35	17.3	27.7
36	15.9	27.6
37	15.1	27.6
38	14.7	27.6
39	14.7	27.6
40	15.5	27.6
41	16.8	27.5
42	17.3	27.4
43	17.8	27.4
44	18.4	27.4
45	18.8	27.4
46	19.3	27.3
47	19.8	27.2
48	20.3	27.2
49	16.1	27.1
50	15.9	27.1
51	15.7	27.0
52	15.6	27.0
53	15.5	27.0
54	15.4	27.0
55	15.3	26.9
56	19.3	26.8
57	19.1	26.8
58	17.4	26.8
59	16.0	26.8
60	15.1	26.7
61	14.4	26.7
62	14.0	26.7
63	14.0	26.7
64	14.4	26.6
65	15.2	26.6
66	15.5	26.6
67	15.7	26.4
68	15.9	26.4
69	16.1	26.4
70	16.4	26.4
71	16.6	26.4
72	16.8	26.3
73	13.2	26.3
74	13.9	26.3
75	14.3	26.3
76	14.5	26.2
77	14.8	26.1
78	15.0	26.1
79	15.2	26.0
80	19.5	26.0
81	19.5	25.9
82	19.0	25.9
83	18.6	25.9
84	18.4	25.9
85	18.3	25.9
86	18.2	25.8
87	18.3	25.8
88	18.5	25.8
89	18.8	25.7
90	19.1	25.7
91	19.3	25.7
92	19.6	25.6
93	19.8	25.5
94	20.1	25.5
95	20.4	25.5
96	21.0	25.5
97	16.6	25.5
98	16.6	25.4
99	16.6	25.4
100	16.7	25.4
101	16.6	25.4
102	16.6	25.4
103	16.6	25.4
104	20.7	25.4
105	20.6	25.4
106	19.8	25.3
107	19.0	25.3
108	18.3	25.3
109	17.8	25.3
110	17.5	25.3
111	17.4	25.3
112	17.7	25.3
113	18.3	25.3
114	18.6	25.2
115	18.9	25.2
116	19.2	25.2
117	19.5	25.2
118	19.9	25.2
119	20.1	25.1
120	20.7	25.1
121	16.7	25.1
122	17.2	25.0
123	17.7	25.0
124	18.1	25.0
125	18.3	25.0
126	18.5	24.9
127	18.7	24.9
128	22.9	24.9
129	22.9	24.8
130	22.3	24.8
131	21.7	24.7
132	21.3	24.7
133	21.0	24.7
134	20.9	24.7
135	20.9	24.7
136	21.1	24.7
137	21.6	24.6
138	21.8	24.6
139	22.1	24.6
140	22.3	24.6
141	22.6	24.6
142	22.9	24.6
143	23.2	24.5
144	23.5	24.5
145	19.4	24.4
146	19.5	24.4
147	19.5	24.4
148	19.5	24.4
149	19.5	24.4
150	19.5	24.4
151	19.5	24.3
152	23.6	24.3
153	23.3	24.3
154	21.3	24.3
155	19.6	24.3
156	18.1	24.3
157	16.9	24.3
158	16.3	24.3
159	16.4	24.3
160	17.2	24.3
161	18.4	24.3
162	18.7	24.3
163	19.0	24.3
164	19.3	24.3
165	19.6	24.2
166	19.9	24.2
167	20.3	24.2
168	20.6	24.2
169	17.1	24.1
170	17.5	24.1
171	18.1	24.1
172	18.4	24.1
173	18.7	24.1
174	19.0	24.1
175	19.2	24.1
176	23.5	24.1
177	23.5	24.0
178	22.7	24.0
179	22.4	24.0
180	22.5	24.0
181	22.5	24.0
182	21.6	24.0
183	21.2	24.0
184	21.1	24.0
185	21.6	24.0
186	22.0	23.9
187	22.4	23.9
188	22.7	23.9
189	23.2	23.9
190	23.5	23.9
191	23.9	23.9
192	24.3	23.8
193	20.4	23.8
194	20.6	23.8
195	20.8	23.8
196	20.9	23.8
197	21.0	23.8
198	21.2	23.8
199	21.3	23.8
200	25.4	23.7
201	25.3	23.7
202	24.5	23.7
203	23.8	23.7
204	23.2	23.7
205	22.7	23.7
206	22.6	23.6
207	22.5	23.6
208	22.8	23.6
209	23.5	23.6
210	23.6	23.6
211	23.7	23.6
212	24.0	23.5
213	24.0	23.5
214	24.0	23.5
215	24.1	23.5
216	24.3	23.5
217	20.2	23.5
218	20.2	23.5
219	20.3	23.5
220	20.3	23.5
221	20.3	23.5
222	20.3	23.5
223	20.3	23.5
224	24.4	23.5
225	24.3	23.5
226	23.5	23.4
227	22.6	23.4
228	22.0	23.4
229	21.7	23.4
230	21.4	23.4
231	21.4	23.3
232	21.6	23.3
233	22.1	23.3
234	22.3	23.3
235	22.5	23.2
236	22.9	23.2
237	22.6	23.2
238	22.8	23.2
239	22.9	23.2
240	23.0	23.2
241	19.2	23.2
242	19.3	23.2
243	19.4	23.2
244	19.5	23.2
245	19.5	23.2
246	19.5	23.2
247	19.5	23.2
248	23.7	23.1
249	23.5	23.1
250	22.0	23.1
251	20.7	23.1
252	19.5	23.1
253	18.7	23.1
254	18.2	23.0
255	18.1	23.0
256	18.5	23.0
257	19.3	23.0
258	19.9	23.0
259	20.5	23.0
260	21.0	23.0
261	21.6	23.0
262	22.2	23.0
263	22.8	23.0
264	23.4	22.9
265	20.4	22.9
266	21.8	22.9
267	23.2	22.9
268	24.0	22.9
269	24.7	22.9
270	25.5	22.9
271	26.1	22.9
272	30.8	22.9
273	30.7	22.9
274	30.0	22.8
275	29.3	22.8
276	28.4	22.8
277	28.0	22.8
278	28.6	22.8
279	28.9	22.8
280	29.4	22.8
281	30.3	22.8
282	30.5	22.8
283	30.8	22.8
284	31.1	22.8
285	31.3	22.8
286	31.6	22.7
287	31.9	22.7
288	32.1	22.7
289	27.6	22.7
290	27.3	22.7
291	26.2	22.7
292	25.7	22.7
293	25.3	22.7
294	24.9	22.7
295	24.6	22.6
296	28.4	22.6
297	28.0	22.6
298	26.7	22.6
299	25.5	22.6
300	24.6	22.6
301	23.9	22.6
302	23.6	22.6
303	23.5	22.6
304	23.8	22.6
305	24.4	22.6
306	24.3	22.6
307	24.3	22.6
308	24.3	22.6
309	24.3	22.5
310	24.4	22.5
311	24.2	22.5
312	24.2	22.5
313	20.5	22.5
314	20.9	22.5
315	21.3	22.5
316	21.5	22.5
317	21.8	22.5
318	22.0	22.5
319	22.2	22.5
320	26.4	22.5
321	26.4	22.5
322	25.9	22.5
323	25.1	22.4
324	24.6	22.4
325	24.3	22.4
326	24.1	22.4
327	24.1	22.4
328	24.3	22.4
329	24.7	22.4
330	25.2	22.4
