# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	4.7	19.9
2	5.0	19.8
3	5.3	19.6
4	5.5	19.5
5	5.6	19.3
6	5.7	19.1
7	5.8	19.1
8	8.3	19.1
9	8.2	19.0
10	7.3	18.8
11	6.5	18.7
12	5.8	18.3
13	5.4	18.2
14	5.2	18.2
15	5.2	18.1
16	5.5	18.0
17	5.9	17.9
18	6.3	17.8
19	6.7	17.7
20	7.1	17.7
21	7.4	17.6
22	7.8	17.5
23	8.2	17.5
24	8.6	17.5
25	6.9	17.4
26	7.7	17.4
27	8.5	17.4
28	9.0	17.4
29	9.5	17.4
30	9.9	17.3
31	10.3	17.3
32	13.1	17.3
33	13.1	17.3
34	12.0	17.2
35	11.0	17.2
36	10.2	17.2
37	9.7	17.2
38	9.5	17.2
39	9.5	17.2
40	9.9	17.2
41	10.7	17.1
42	11.0	17.1
43	11.4	17.1
44	11.7	17.1
45	11.9	17.0
46	12.2	17.0
47	12.5	16.9
48	12.8	16.9
49	10.3	16.9
50	10.2	16.9
51	10.1	16.9
52	10.0	16.8
53	9.9	16.8
54	9.9	16.7
55	9.8	16.7
56	12.2	16.7
57	12.1	16.7
58	11.1	16.7
59	10.3	16.6
60	9.7	16.6
61	9.3	16.6
62	9.0	16.6
63	9.0	16.5
64	9.3	16.5
65	9.8	16.5
66	9.9	16.5
67	10.1	16.5
68	10.2	16.4
69	10.3	16.4
70	10.5	16.4
71	10.6	16.4
72	10.7	16.4
73	8.5	16.4
74	9.0	16.3
75	9.2	16.3
76	9.3	16.3
77	9.5	16.3
78	9.6	16.2
79	9.8	16.2
80	12.3	16.2
81	12.3	16.2
82	12.0	16.1
83	11.8	16.1
84	11.7	16.1
85	11.6	16.1
86	11.5	16.1
87	11.6	16.1
88	11.7	16.0
89	11.9	16.0
90	12.1	16.0
91	12.2	16.0
92	12.4	16.0
93	12.5	15.9
94	12.7	15.9
95	12.9	15.9
96	13.3	15.9
97	10.6	15.9
98	10.6	15.9
99	10.6	15.8
100	10.7	15.8
101	10.6	15.8
102	10.6	15.8
103	10.6	15.8
104	13.1	15.8
105	13.0	15.8
106	12.5	15.7
107	12.0	15.7
108	11.6	15.7
109	11.4	15.7
110	11.2	15.6
111	11.1	15.6
112	11.3	15.6
113	11.6	15.6
114	11.8	15.5
115	12.0	15.5
116	12.2	15.5
117	12.3	15.5
118	12.6	15.5
119	12.7	15.5
120	13.1	15.5
121	10.7	15.5
122	11.0	15.5
123	11.3	15.5
124	11.5	15.5
125	11.6	15.5
126	11.7	15.5
127	11.8	15.5
128	14.4	15.4
129	14.4	15.4
130	14.1	15.4
131	13.7	15.4
132	13.4	15.4
133	13.3	15.4
134	13.2	15.4
135	13.2	15.3
136	13.3	15.3
137	13.6	15.3
138	13.7	15.3
139	13.9	15.3
140	14.1	15.3
141	14.2	15.3
142	14.4	15.3
143	14.5	15.3
144	14.7	15.3
145	12.3	15.3
146	12.3	15.2
147	12.3	15.2
148	12.3	15.2
149	12.3	15.2
150	12.3	15.2
151	12.3	15.2
152	14.8	15.2
153	14.6	15.2
154	13.4	15.2
155	12.4	15.2
156	11.5	15.2
157	10.8	15.2
158	10.4	15.2
159	10.5	15.2
160	11.0	15.2
161	11.7	15.1
162	11.8	15.1
163	12.0	15.1
164	12.2	15.1
165	12.4	15.1
166	12.6	15.1
167	12.8	15.1
168	13.0	15.1
169	10.9	15.0
170	11.2	15.0
171	11.5	15.0
172	11.7	15.0
173	11.8	15.0
174	12.0	15.0
175	12.2	15.0
176	14.7	15.0
177	14.7	15.0
178	14.3	15.0
179	14.1	15.0
180	14.2	15.0
181	14.2	15.0
182	13.6	15.0
183	13.4	15.0
184	13.3	15.0
185	13.6	15.0
186	13.9	15.0
187	14.1	14.9
188	14.3	14.9
189	14.5	14.9
190	14.7	14.9
191	15.0	14.9
192	15.2	14.9
193	12.9	14.9
194	13.0	14.9
195	13.1	14.9
196	13.2	14.9
197	13.3	14.9
198	13.4	14.9
199	13.4	14.8
200	15.9	14.8
201	15.8	14.8
202	15.3	14.8
203	14.9	14.8
204	14.5	14.8
205	14.3	14.8
206	14.2	14.8
207	14.2	14.8
208	14.4	14.8
209	14.7	14.8
210	14.8	14.8
211	14.9	14.8
212	15.0	14.8
213	15.0	14.8
214	15.0	14.8
