# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.7	26.9
2	6.2	26.8
3	6.6	26.5
4	6.8	26.2
5	6.9	26.1
6	7.1	25.8
7	7.2	25.8
8	10.7	25.7
9	10.5	25.6
10	9.3	25.4
11	8.2	25.1
12	7.3	24.6
13	6.7	24.5
14	6.3	24.5
15	6.3	24.4
16	6.8	24.4
17	7.4	24.2
18	8.0	23.9
19	8.5	23.9
20	9.0	23.8
21	9.5	23.8
22	10.0	23.7
23	10.6	23.7
24	11.1	23.7
25	8.7	23.7
26	9.9	23.7
27	11.0	23.5
28	11.7	23.5
29	12.3	23.4
30	13.0	23.4
31	13.4	23.3
32	17.4	23.3
33	17.4	23.3
34	15.8	23.3
35	14.5	23.3
36	13.3	23.2
37	12.7	23.2
38	12.3	23.2
39	12.3	23.2
40	13.0	23.2
41	14.1	23.2
42	14.5	23.2
43	15.0	23.1
44	15.4	23.1
45	15.7	23.0
46	16.2	23.0
47	16.6	22.9
48	17.0	22.7
49	13.5	22.7
50	13.3	22.7
51	13.2	22.7
52	13.1	22.7
53	13.0	22.7
54	12.9	22.7
55	12.8	22.6
56	16.2	22.6
57	16.0	22.5
58	14.6	22.5
59	13.4	22.5
60	12.7	22.5
61	12.1	22.4
62	11.7	22.4
63	11.7	22.4
64	12.1	22.3
65	12.7	22.3
66	13.0	22.3
67	13.2	22.3
68	13.3	22.3
69	13.5	22.2
70	13.8	22.2
71	13.9	22.1
72	14.1	22.1
73	11.0	22.1
74	11.6	22.1
75	12.0	22.1
76	12.1	22.0
77	12.4	22.0
78	12.6	21.9
79	12.7	21.9
80	16.3	21.9
81	16.3	21.9
82	15.9	21.9
83	15.6	21.8
84	15.4	21.8
85	15.3	21.7
86	15.2	21.7
87	15.3	21.7
88	15.5	21.6
89	15.7	21.5
90	16.0	21.5
91	16.2	21.5
92	16.4	21.5
93	16.6	21.5
94	16.8	21.5
95	17.1	21.4
96	17.6	21.4
97	13.9	21.4
98	13.9	21.4
99	13.9	21.3
100	14.0	21.3
101	13.9	21.3
102	13.9	21.3
103	13.9	21.3
104	17.4	21.3
105	17.3	21.2
106	16.6	21.2
107	15.9	21.2
108	15.3	21.2
109	15.0	21.2
110	14.7	21.1
111	14.6	21.1
112	14.9	21.1
113	15.3	21.1
114	15.6	21.1
115	15.8	21.0
116	16.1	21.0
117	16.3	21.0
118	16.7	21.0
119	16.8	21.0
120	17.4	21.0
121	14.0	21.0
122	14.4	20.9
123	14.9	20.9
124	15.1	20.9
125	15.3	20.9
126	15.5	20.9
127	15.6	20.8
128	19.2	20.8
129	19.2	20.8
130	18.7	20.8
131	18.2	20.8
132	17.9	20.7
133	17.6	20.7
134	17.5	20.7
135	17.5	20.7
136	17.7	20.7
137	18.1	20.7
138	18.3	20.6
139	18.6	20.6
140	18.7	20.6
141	19.0	20.6
142	19.2	20.6
143	19.4	20.6
144	19.7	20.5
145	16.2	20.5
146	16.3	20.5
147	16.3	20.5
148	16.3	20.5
149	16.3	20.4
150	16.3	20.4
151	16.3	20.4
152	19.7	20.4
153	19.5	20.4
154	17.9	20.4
155	16.4	20.4
156	15.1	20.4
157	14.2	20.4
158	13.7	20.4
159	13.8	20.4
160	14.4	20.3
161	15.4	20.3
162	15.6	20.3
163	15.9	20.3
164	16.2	20.3
165	16.4	20.3
166	16.7	20.3
167	17.0	20.3
168	17.3	20.3
169	14.4	20.3
170	14.7	20.3
171	15.1	20.3
172	15.4	20.3
173	15.6	20.3
174	15.9	20.3
175	16.1	20.3
176	19.7	20.2
177	19.7	20.2
178	19.1	20.2
179	18.8	20.2
180	18.9	20.2
181	18.9	20.2
182	18.1	20.2
183	17.8	20.2
184	17.7	20.1
185	18.1	20.1
186	18.5	20.1
187	18.8	20.1
188	19.1	20.1
189	19.4	20.1
190	19.7	20.1
191	20.0	20.1
192	20.3	20.1
193	17.1	20.1
194	17.3	20.1
195	17.4	20.0
196	17.5	20.0
197	17.6	20.0
198	17.8	20.0
199	17.9	20.0
200	21.3	20.0
201	21.2	20.0
202	20.5	20.0
203	19.9	20.0
204	19.4	20.0
205	19.1	20.0
206	19.0	20.0
207	18.9	20.0
208	19.2	20.0
209	19.7	20.0
210	19.7	19.9
211	19.8	19.9
212	20.1	19.9
213	20.1	19.9
214	20.1	19.9
215	20.2	19.9
216	20.3	19.9
217	16.9	19.9
218	16.9	19.9
219	17.0	19.8
220	17.0	19.8
221	17.0	19.8
222	17.0	19.8
223	17.0	19.8
224	20.4	19.8
225	20.3	19.8
226	19.7	19.8
227	19.0	19.8
228	18.5	19.7
229	18.2	19.7
230	18.0	19.7
231	18.0	19.7
232	18.1	19.7
233	18.6	19.7
234	18.7	19.7
235	18.9	19.7
236	19.2	19.7
237	19.0	19.7
238	19.2	19.7
239	19.2	19.7
240	19.3	19.7
241	16.1	19.7
242	16.2	19.7
243	16.2	19.6
244	16.3	19.6
245	16.3	19.6
246	16.3	19.6
247	16.3	19.6
248	19.8	19.5
249	19.7	19.5
250	18.5	19.5
251	17.4	19.5
252	16.3	19.5
253	15.6	19.5
254	15.2	19.4
255	15.1	19.4
256	15.5	19.4
257	16.2	19.4
258	16.7	19.4
259	17.2	19.4
260	17.6	19.4
261	18.1	19.4
262	18.6	19.4
263	19.2	19.4
264	19.6	19.4
265	17.1	19.4
266	18.3	19.4
267	19.4	19.3
268	20.1	19.3
269	20.7	19.3
270	21.4	19.3
271	21.9	19.3
272	25.8	19.3
273	25.7	19.3
274	25.1	19.3
275	24.5	19.3
276	23.8	19.2
277	23.5	19.2
278	23.9	19.2
279	24.2	19.2
280	24.6	19.2
