# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	20.1	94.3
2	21.6	93.7
3	23.1	92.8
4	23.7	91.9
5	24.3	91.3
6	24.9	90.4
7	25.2	90.4
8	37.4	90.1
9	36.8	89.5
10	32.6	88.9
11	28.7	88.0
12	25.5	86.2
13	23.4	85.9
14	22.2	85.8
15	22.2	85.6
16	23.7	85.3
17	25.8	84.7
18	27.8	84.0
19	29.6	83.8
20	31.4	83.2
21	33.2	83.2
22	35.0	83.1
23	37.1	83.1
24	38.9	83.1
25	30.5	82.9
26	34.7	82.3
27	38.6	82.3
28	41.0	82.2
29	43.1	82.1
30	45.5	81.9
31	47.0	81.8
32	60.8	81.8
33	60.8	81.8
34	55.4	81.8
35	50.9	81.5
36	46.7	81.2
37	44.3	81.2
38	43.1	81.2
39	43.1	81.2
40	45.5	81.2
41	49.4	80.9
42	50.9	80.9
43	52.4	80.6
44	53.9	80.6
45	55.1	80.3
46	56.6	80.2
47	58.1	80.2
48	59.6	79.7
49	47.3	79.7
50	46.7	79.7
51	46.1	79.7
52	45.8	79.4
53	45.5	79.4
54	45.2	79.4
55	44.9	79.4
56	56.6	78.8
57	56.0	78.8
58	51.2	78.8
59	47.0	78.8
60	44.3	78.5
61	42.2	78.5
62	41.0	78.5
63	41.0	78.5
64	42.2	78.2
65	44.6	78.2
66	45.5	78.2
67	46.1	78.2
68	46.7	77.9
69	47.3	77.9
70	48.2	77.6
71	48.8	77.6
72	49.4	77.6
73	38.6	77.6
74	40.7	77.3
75	41.9	77.1
76	42.5	77.0
77	43.4	77.0
78	44.0	77.0
79	44.6	76.7
80	57.2	76.7
81	57.2	76.7
82	55.7	76.4
83	54.5	76.1
84	53.9	76.1
85	53.6	76.1
86	53.3	76.0
87	53.6	75.8
88	54.2	75.5
89	55.1	75.5
90	56.0	75.5
91	56.6	75.5
92	57.5	75.5
93	58.1	75.4
94	59.0	75.2
95	59.9	75.2
96	61.7	74.9
97	48.8	74.9
98	48.8	74.9
99	48.8	74.9
100	49.1	74.6
101	48.8	74.6
102	48.8	74.6
103	48.8	74.6
104	60.8	74.3
105	60.5	74.3
106	58.1	74.3
107	55.7	74.3
108	53.6	74.0
109	52.4	74.0
110	51.5	74.0
111	51.2	74.0
112	52.1	74.0
113	53.6	73.8
114	54.5	73.7
115	55.4	73.7
116	56.3	73.7
117	57.2	73.7
118	58.4	73.7
119	59.0	73.7
120	60.8	73.7
121	49.1	73.4
122	50.6	73.4
123	52.1	73.4
124	53.0	73.4
125	53.6	73.2
126	54.2	73.1
127	54.8	73.1
128	67.4	73.1
129	67.4	72.8
130	65.6	72.8
131	63.8	72.8
132	62.6	72.8
133	61.7	72.5
134	61.4	72.5
135	61.4	72.5
136	62.0	72.5
137	63.5	72.5
138	64.1	72.2
139	65.0	72.2
140	65.6	72.2
141	66.5	72.1
142	67.4	71.9
143	68.0	71.9
144	68.9	71.9
145	56.9	71.9
146	57.2	71.9
147	57.2	71.8
148	57.2	71.6
149	57.2	71.6
150	57.2	71.6
151	57.2	71.6
152	69.2	71.6
153	68.3	71.6
154	62.6	71.3
155	57.5	71.3
156	53.0	71.3
157	49.7	71.3
158	47.9	71.3
159	48.2	71.3
160	50.6	71.3
161	53.9	71.3
162	54.8	71.3
163	55.7	71.3
164	56.6	71.3
165	57.5	71.3
166	58.4	71.2
167	59.6	71.0
168	60.5	71.0
169	50.3	71.0
170	51.5	71.0
171	53.0	71.0
172	53.9	70.7
173	54.8	70.7
174	55.7	70.7
175	56.3	70.7
176	68.9	70.7
177	68.9	70.7
178	66.8	70.7
179	65.9	70.4
180	66.2	70.4
