# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	34.1	131.1
2	36.0	130.3
3	38.0	129.2
4	38.8	128.0
5	39.5	127.2
6	40.3	126.0
7	40.7	126.0
8	56.8	125.6
9	56.0	124.9
10	50.5	124.1
11	45.4	122.9
12	41.1	120.6
13	38.4	120.2
14	36.8	119.8
15	36.8	119.7
16	38.8	119.4
17	41.5	118.6
18	44.2	117.4
19	46.6	117.3
20	48.9	116.6
21	51.3	116.6
22	53.6	116.3
23	56.4	116.1
24	58.7	116.1
25	47.8	116.1
26	53.2	115.5
27	58.3	115.5
28	61.5	115.3
29	64.2	115.1
30	67.3	114.9
31	69.3	114.7
32	87.3	114.7
33	87.3	114.7
34	80.2	114.5
35	74.4	114.3
36	68.9	113.9
37	65.8	113.9
38	64.2	113.9
39	64.2	113.9
40	67.3	113.9
41	72.4	113.5
42	74.4	113.4
43	76.3	113.1
44	78.3	113.1
45	79.8	113.1
46	81.8	113.1
47	83.8	112.7
48	85.7	111.9
49	69.7	111.9
50	68.9	111.8
51	68.1	111.8
52	67.7	111.6
53	67.3	111.6
54	66.9	111.4
55	66.5	111.4
56	81.8	110.9
57	81.0	110.8
58	74.8	110.8
59	69.3	110.6
60	65.8	110.6
61	63.0	110.4
62	61.5	110.4
63	61.5	110.2
64	63.0	110.0
65	66.1	110.0
66	67.3	109.8
67	68.1	109.8
68	68.9	109.4
69	69.7	109.4
70	70.8	109.2
71	71.6	109.2
72	72.4	109.2
73	58.3	109.0
74	61.1	109.0
75	62.6	108.8
76	63.4	108.4
77	64.6	108.2
78	65.4	108.2
79	66.1	108.0
80	82.6	107.9
81	82.6	107.9
82	80.6	107.6
83	79.1	107.5
84	78.3	107.2
85	77.9	107.2
86	77.5	107.1
87	77.9	106.8
88	78.7	106.7
89	79.8	106.5
90	81.0	106.5
91	81.8	106.3
92	83.0	106.3
93	83.8	106.3
94	84.9	106.1
95	86.1	105.9
96	88.5	105.7
97	71.6	105.7
98	71.6	105.7
99	71.6	105.5
100	72.0	105.3
101	71.6	105.3
102	71.6	105.3
103	71.6	105.3
104	87.3	104.9
105	86.9	104.9
106	83.8	104.7
107	80.6	104.7
108	77.9	104.6
109	76.3	104.5
110	75.2	104.3
111	74.8	104.3
112	75.9	104.3
113	77.9	104.3
114	79.1	104.1
115	80.2	103.9
116	81.4	103.9
117	82.6	103.9
118	84.2	103.9
119	84.9	103.9
120	87.3	103.9
121	72.0	103.9
122	74.0	103.7
123	75.9	103.5
124	77.1	103.5
125	77.9	103.5
126	78.7	103.3
127	79.5	103.1
128	95.9	103.1
129	95.9	102.9
130	93.5	102.7
131	91.2	102.7
132	89.6	102.7
133	88.5	102.6
134	88.1	102.6
135	88.1	102.6
136	88.9	102.4
137	90.8	102.3
138	91.6	102.3
139	92.8	102.2
140	93.5	102.2
141	94.7	102.2
142	95.9	102.0
143	96.7	101.8
144	97.9	101.8
145	82.2	101.6
146	82.6	101.6
147	82.6	101.6
148	82.6	101.4
149	82.6	101.4
150	82.6	101.4
151	82.6	101.3
152	98.2	101.2
153	97.1	101.2
154	89.6	101.2
155	83.0	101.0
156	77.1	101.0
157	72.8	101.0
158	70.5	101.0
159	70.8	101.0
160	74.0	101.0
161	78.3	101.0
162	79.5	101.0
163	80.6	101.0
164	81.8	101.0
165	83.0	100.8
166	84.2	100.8
167	85.7	100.6
168	86.9	100.6
169	73.6	100.5
170	75.2	100.5
171	77.1	100.4
172	78.3	100.4
173	79.5	100.4
174	80.6	100.2
175	81.4	100.2
176	97.9	100.2
177	97.9	100.2
178	95.1	100.2
179	93.9	100.2
180	94.3	100.0
181	94.3	100.0
182	90.8	99.8
183	89.2	99.8
184	88.9	99.8
185	90.8	99.8
186	92.4	99.8
187	93.9	99.8
188	95.1	99.8
189	96.7	99.8
190	97.9	99.6
191	99.4	99.6
192	101.0	99.6
193	86.1	99.6
194	86.9	99.6
195	87.7	99.4
196	88.1	99.4
197	88.5	99.4
198	89.2	99.4
199	89.6	99.2
200	105.3	99.2
201	104.9	99.2
202	101.8	99.1
203	99.0	99.1
204	96.7	99.1
205	95.1	99.0
206	94.7	99.0
207	94.3	99.0
208	95.5	99.0
209	97.9	98.8
210	98.2	98.8
211	98.6	98.8
212	99.8	98.8
213	99.8	98.7
214	99.8	98.7
215	100.2	98.6
216	101.0	98.6
217	85.3	98.6
218	85.3	98.4
219	85.7	98.4
220	85.7	98.4
221	85.7	98.4
222	85.7	98.3
223	85.7	98.3
224	101.4	98.3
225	101.0	98.2
226	97.9	98.2
227	94.7	98.2
228	92.4	98.2
229	91.2	98.0
230	90.0	98.0
231	90.0	98.0
232	90.8	97.9
233	92.8	97.9
234	93.5	97.9
235	94.3	97.9
236	95.9	97.9
237	94.7	97.9
238	95.5	97.9
239	95.9	97.9
240	96.3	97.9
241	81.4	97.6
242	81.8	97.6
243	82.2	97.6
244	82.6	97.6
245	82.6	97.5
246	82.6	97.5
247	82.6	97.5
248	98.6	97.2
249	97.9	97.2
250	92.4	97.2
251	87.3	97.2
252	82.6	97.1
253	79.5	97.1
254	77.5	96.8
255	77.1	96.8
256	78.7	96.7
257	81.8	96.7
258	84.2	96.7
259	86.5	96.7
260	88.5	96.7
261	90.8	96.7
262	93.2	96.7
263	95.5	96.4
264	97.5	96.4
265	86.1	96.3
266	91.6	96.3
267	96.7	96.3
268	99.8	96.3
269	102.6	96.0
270	105.7	96.0
271	108.0	96.0
272	126.0	96.0
273	125.6	96.0
274	122.9	95.9
275	120.2	95.9
276	116.6	95.9
277	115.5	95.9
278	117.4	95.9
279	118.6	95.9
280	120.6	95.8
281	124.1	95.8
282	124.9	95.7
283	126.0	95.7
284	127.2	95.7
285	128.0	95.7
286	129.2	95.7
287	130.3	95.5
288	131.1	95.5
289	113.9	95.5
290	112.7	95.5
291	108.4	95.5
292	106.5	95.3
293	104.9	95.3
294	103.3	95.3
295	102.2	95.3
296	116.6	95.3
297	115.5	95.3
298	110.4	95.1
299	105.7	95.1
300	102.2	95.1
301	99.4	95.1
302	98.2	95.0
303	97.9	95.0
304	99.0	94.9
305	101.4	94.9
306	101.0	94.9
307	101.0	94.7
308	101.0	94.7
309	101.0	94.7
310	101.4	94.7
311	100.6	94.7
312	100.6	94.5
313	86.5	94.5
314	88.1	94.5
315	89.6	94.5
316	90.4	94.5
317	91.6	94.5
318	92.4	94.5
319	93.2	94.4
320	109.2	94.3
321	109.2	94.3
322	107.2	94.3
323	104.1	94.3
324	102.2	94.3
325	101.0	94.3
326	100.2	94.3
327	100.2	94.1
328	101.0	94.1
329	102.6	94.1
330	104.5	94.1
331	105.7	93.9
332	107.2	93.9
333	108.8	93.9
334	110.0	93.7
335	111.6	93.7
336	113.1	93.7
337	99.8	93.7
338	99.8	93.5
339	101.0	93.5
340	101.8	93.5
341	102.6	93.5
342	102.9	93.5
343	103.7	93.5
344	119.8	93.5
345	119.4	93.3
346	116.3	93.3
347	113.9	93.3
348	111.9	93.3
349	110.4	93.3
350	110.0	93.2
351	110.8	93.2
352	111.9	93.2
353	113.5	93.2
354	113.9	93.2
355	113.9	92.9
356	114.3	92.9
357	114.7	92.9
358	114.7	92.8
359	114.7	92.8
360	115.1	92.8
361	99.0	92.8
362	98.6	92.5
363	98.2	92.5
364	97.5	92.5
365	97.1	92.5
366	96.7	92.5
367	96.3	92.5
368	111.6	92.4
369	110.8	92.4
370	109.2	92.4
371	107.6	92.4
372	106.5	92.4
373	105.3	92.4
374	95.9	92.4
375	90.8	92.4
376	89.2	92.1
377	92.4	92.1
378	93.2	92.1
379	93.5	92.1
380	94.3	92.1
381	95.1	92.1
382	95.5	92.1
383	96.3	91.7
384	96.7	91.7
385	83.0	91.7
386	84.5	91.7
387	86.5	91.6
388	87.3	91.6
389	88.1	91.6
390	89.2	91.6
391	89.6	91.3
392	106.1	91.3
393	105.3	91.3
394	94.7	91.3
395	84.9	91.3
396	76.3	91.3
397	70.8	91.3
398	68.1	91.3
399	68.1	91.2
400	72.0	91.2
401	79.1	91.2
402	79.8	91.1
403	81.0	91.0
404	81.8	91.0
405	83.0	91.0
406	83.8	90.9
407	84.9	90.9
408	85.7	90.9
409	70.8	90.9
410	71.2	90.9
411	72.0	90.8
412	72.0	90.8
413	72.4	90.8
414	72.4	90.8
415	72.4	90.8
416	88.5	90.8
417	87.7	90.8
418	86.5	90.6
419	84.9	90.5
420	83.8	90.5
421	82.2	90.5
422	72.0	90.5
423	66.9	90.4
424	65.4	90.4
425	68.9	90.4
426	69.7	90.2
427	70.5	90.2
428	71.2	90.1
429	71.6	90.1
430	72.4	90.1
431	73.2	90.1
432	74.0	90.1
433	59.5	90.1
434	60.7	90.0
435	61.8	90.0
436	62.2	90.0
437	62.6	89.9
438	63.4	89.9
439	63.4	89.9
440	79.5	89.7
441	79.1	89.7
442	77.9	89.7
443	77.1	89.7
444	75.9	89.7
445	75.5	89.6
446	66.5	89.6
447	60.7	89.6
448	58.3	89.6
449	61.5	89.6
450	62.6	89.6
451	64.2	89.5
452	65.4	89.5
453	66.9	89.5
454	68.5	89.5
455	69.7	89.4
456	71.2	89.4
457	57.1	89.4
458	59.1	89.4
459	61.1	89.2
460	62.2	89.2
461	63.4	89.2
462	64.6	89.2
463	65.0	89.1
464	81.4	89.1
465	81.0	89.1
466	79.8	89.0
467	79.5	89.0
468	78.3	89.0
469	77.5	89.0
470	70.1	89.0
471	66.9	89.0
472	66.1	88.9
473	68.9	88.9
474	69.7	88.9
475	70.1	88.9
476	70.8	88.9
477	71.6	88.9
478	72.0	88.8
479	72.8	88.8
480	73.2	88.8
481	57.5	88.8
482	57.5	88.6
483	57.1	88.6
484	57.1	88.6
485	56.8	88.6
486	56.8	88.6
487	56.4	88.5
488	72.0	88.5
489	71.2	88.5
490	64.6	88.5
491	58.3	88.5
492	52.4	88.5
493	47.8	88.4
494	44.6	88.4
495	44.2	88.4
496	46.2	88.2
497	50.5	88.2
498	51.7	88.2
499	53.2	88.2
500	54.4	88.2
501	56.0	88.1
502	57.5	88.1
503	58.7	88.1
504	60.3	88.1
505	47.0	88.1
506	48.9	88.1
507	51.3	88.0
508	52.1	88.0
509	53.2	87.8
510	54.0	87.8
511	54.8	87.8
512	70.8	87.8
513	70.1	87.8
514	62.6	87.8
515	56.8	87.8
516	50.1	87.8
517	45.8	87.7
518	40.3	87.7
519	38.0	87.7
520	38.4	87.7
521	43.4	87.7
522	47.0	87.7
523	50.1	87.4
524	53.6	87.4
525	57.1	87.4
526	60.3	87.4
527	63.8	87.3
528	66.9	87.3
529	55.2	87.3
530	59.5	87.3
531	63.4	87.3
532	65.8	87.3
533	67.7	87.3
534	70.1	87.3
535	71.2	87.3
536	88.5	87.3
537	86.1	87.3
538	73.6	87.1
539	62.6	87.1
540	54.4	87.0
541	48.1	87.0
542	44.6	87.0
543	44.2	86.9
544	47.4	86.9
545	55.2	86.9
546	59.9	86.9
547	64.6	86.7
548	69.3	86.6
549	74.0	86.6
550	78.7	86.6
551	83.4	86.6
552	88.1	86.6
553	76.7	86.6
554	81.4	86.6
555	86.1	86.6
556	88.9	86.6
557	91.6	86.6
558	94.3	86.6
559	96.3	86.5
560	113.9	86.5
561	113.1	86.5
562	105.3	86.5
563	97.5	86.5
564	92.4	86.2
565	89.6	86.2
566	85.7	86.2
567	84.5	86.2
568	85.3	86.2
569	91.2	86.2
570	92.4	86.2
571	93.5	86.2
572	94.3	86.1
573	95.5	86.1
574	96.7	86.1
575	97.9	86.1
576	99.0	86.1
577	81.8	86.0
578	80.2	86.0
579	78.7	85.8
580	77.5	85.8
581	76.7	85.8
582	75.5	85.8
583	74.8	85.8
584	90.0	85.8
585	88.9	85.8
586	85.7	85.8
587	86.5	85.8
588	81.8	85.8
589	79.1	85.8
590	78.3	85.8
591	78.7	85.8
592	77.9	85.8
593	80.6	85.8
594	81.0	85.8
595	80.6	85.7
596	80.2	85.7
597	80.2	85.7
598	80.2	85.7
599	79.8	85.7
600	79.5	85.7
601	65.0	85.7
602	65.8	85.7
603	66.5	85.7
604	66.9	85.7
605	67.3	85.6
606	67.7	85.4
607	68.1	85.4
608	83.8	85.4
609	80.2	85.3
610	71.2	85.3
611	66.5	85.3
612	62.2	85.1
613	53.6	85.0
614	47.8	85.0
615	44.2	85.0
616	43.8	85.0
617	48.1	85.0
618	54.4	85.0
619	55.6	84.9
620	56.4	84.9
621	57.5	84.9
622	58.7	84.9
623	59.9	84.9
624	61.1	84.7
625	46.6	84.7
626	48.1	84.7
627	49.7	84.6
628	50.5	84.6
629	51.3	84.6
630	52.1	84.6
631	52.4	84.6
632	68.9	84.6
633	68.5	84.6
634	67.3	84.6
635	66.1	84.5
636	65.8	84.5
637	65.0	84.5
638	66.9	84.3
639	64.6	84.3
640	66.1	84.3
641	66.1	84.3
642	66.9	84.2
643	68.1	84.2
644	70.1	84.2
645	70.8	84.2
646	72.0	84.2
647	73.2	84.2
648	74.8	84.2
649	60.3	84.1
650	62.2	84.0
651	64.2	84.0
652	64.6	84.0
653	65.4	84.0
654	66.5	84.0
655	66.9	84.0
656	83.4	84.0
657	82.2	83.8
658	77.9	83.8
659	76.3	83.8
660	73.6	83.8
661	71.6	83.8
662	70.5	83.8
663	70.8	83.8
664	72.0	83.8
665	74.0	83.8
666	75.9	83.8
667	77.1	83.8
668	77.9	83.8
669	78.7	83.8
670	79.8	83.6
671	80.6	83.6
672	81.8	83.6
673	66.5	83.4
674	66.5	83.4
675	66.9	83.4
676	66.9	83.4
677	66.9	83.4
678	66.9	83.4
679	66.9	83.4
680	82.6	83.4
681	81.4	83.4
682	74.0	83.4
683	68.5	83.2
684	60.3	83.2
685	53.2	83.2
686	50.9	83.2
687	50.9	83.2
688	53.6	83.2
689	56.8	83.1
690	61.5	83.1
691	61.8	83.1
692	62.6	83.1
693	63.4	83.1
694	64.2	83.1
695	65.0	83.0
696	65.8	83.0
697	51.3	83.0
698	52.8	83.0
699	54.0	83.0
700	54.8	82.9
701	55.6	82.9
702	56.0	82.9
703	56.8	82.9
704	72.8	82.9
705	71.6	82.7
706	69.3	82.7
707	66.9	82.7
708	65.8	82.7
709	65.4	82.6
710	56.0	82.6
711	50.9	82.6
712	49.3	82.6
713	51.7	82.6
714	55.2	82.6
715	56.0	82.6
716	57.1	82.6
717	57.9	82.6
718	58.7	82.6
719	59.5	82.6
720	60.7	82.6
721	45.8	82.6
722	46.6	82.6
723	47.4	82.6
724	47.4	82.5
725	47.8	82.5
726	47.8	82.5
727	48.1	82.5
728	63.8	82.5
729	62.6	82.5
730	57.1	82.5
731	53.2	82.5
732	48.5	82.3
733	43.1	82.3
734	39.1	82.3
735	37.2	82.3
736	41.9	82.3
737	45.4	82.3
738	48.5	82.3
739	49.3	82.3
740	49.7	82.3
741	50.1	82.3
742	50.5	82.2
743	51.3	82.2
744	51.7	82.2
745	35.0	82.2
746	36.5	82.1
747	37.9	82.1
748	38.7	82.1
749	39.4	82.1
750	40.1	82.1
751	40.5	82.1
752	55.6	82.1
753	55.2	82.1
754	50.8	81.9
755	50.5	81.9
756	47.5	81.9
757	44.2	81.9
758	43.1	81.9
759	43.1	81.8
760	43.1	81.8
761	43.8	81.8
762	46.0	81.8
763	47.5	81.8
764	49.0	81.8
765	50.5	81.8
766	52.3	81.8
767	53.4	81.8
768	54.9	81.8
769	41.3	81.8
770	42.4	81.8
771	43.5	81.8
772	44.2	81.8
773	44.6	81.6
774	44.9	81.6
775	44.9	81.6
776	59.7	81.5
777	56.7	81.5
778	52.3	81.5
779	50.5	81.4
780	47.1	81.4
781	43.1	81.4
782	45.3	81.4
783	47.5	81.4
784	49.4	81.4
785	50.5	81.4
786	51.9	81.4
787	53.4	81.2
788	54.5	81.1
789	56.0	81.1
790	57.5	81.1
791	58.6	81.1
792	60.0	81.1
793	47.9	81.1
794	51.2	81.1
795	52.3	81.1
796	53.4	81.0
797	54.5	81.0
798	55.2	81.0
799	56.0	81.0
800	71.1	81.0
801	70.3	81.0
802	68.5	81.0
803	65.9	81.0
804	64.8	80.8
805	64.1	80.8
806	64.1	80.7
807	63.7	80.7
808	63.7	80.7
809	64.8	80.7
810	66.3	80.7
811	68.1	80.7
812	70.0	80.7
813	72.2	80.6
814	74.0	80.6
815	76.2	80.6
816	78.4	80.6
817	66.7	80.6
818	70.3	80.6
819	74.0	80.6
820	75.9	80.5
821	78.1	80.5
822	79.6	80.5
823	80.7	80.5
824	95.8	80.3
825	93.5	80.3
826	89.9	80.3
827	87.3	80.2
828	84.7	80.2
829	84.0	80.2
830	84.3	80.2
831	86.6	80.2
832	89.1	80.2
833	91.3	80.2
834	93.2	80.1
835	92.8	79.9
836	92.4	79.9
837	92.1	79.9
838	91.3	79.9
839	91.0	79.9
840	90.6	79.9
841	74.8	79.9
842	72.9	79.9
843	71.5	79.9
844	70.3	79.9
845	70.0	79.8
846	68.9	79.8
847	67.8	79.8
848	82.1	79.8
849	81.0	79.8
850	79.6	79.8
851	78.4	79.7
852	77.3	79.7
853	76.2	79.6
854	68.1	79.6
855	63.3	79.6
856	61.1	79.6
857	61.5	79.6
858	64.1	79.6
859	64.8	79.6
860	65.6	79.6
861	66.7	79.6
862	67.4	79.5
863	68.1	79.5
864	69.2	79.5
