# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.1	47.5
2	10.8	47.2
3	11.6	46.7
4	11.9	46.2
5	12.2	45.9
6	12.5	45.5
7	12.7	45.5
8	18.8	45.3
9	18.5	45.0
10	16.4	44.7
11	14.5	44.3
12	12.8	43.4
13	11.8	43.4
14	11.1	43.2
15	11.1	43.1
16	11.9	42.9
17	13.0	42.6
18	14.0	42.4
19	14.9	42.2
20	15.8	42.0
21	16.7	42.0
22	17.6	42.0
23	18.7	41.9
24	19.6	41.9
25	15.4	41.7
26	17.5	41.5
27	19.4	41.4
28	20.6	41.4
29	21.7	41.4
30	22.9	41.3
31	23.7	41.1
32	30.6	41.1
33	30.6	41.1
34	27.9	41.0
35	25.6	40.9
36	23.5	40.8
37	22.3	40.8
38	21.7	40.8
39	21.7	40.8
40	22.9	40.8
41	24.9	40.7
42	25.6	40.5
43	26.4	40.5
44	27.1	40.4
45	27.7	40.4
46	28.5	40.3
47	29.2	40.3
48	30.0	40.1
49	23.8	40.1
50	23.5	40.1
51	23.2	40.1
52	23.0	39.9
53	22.9	39.9
54	22.7	39.8
55	22.6	39.8
56	28.5	39.7
57	28.2	39.6
58	25.8	39.6
59	23.7	39.6
60	22.3	39.6
61	21.2	39.5
62	20.6	39.5
63	20.6	39.5
64	21.2	39.5
65	22.4	39.4
66	22.9	39.4
67	23.2	39.3
68	23.5	39.3
69	23.8	39.2
70	24.3	39.0
71	24.6	39.0
72	24.9	39.0
73	19.4	38.9
74	20.5	38.9
75	21.1	38.9
76	21.4	38.8
77	21.8	38.8
78	22.1	38.7
79	22.4	38.7
80	28.8	38.6
81	28.8	38.5
82	28.0	38.4
83	27.4	38.3
84	27.1	38.3
85	27.0	38.3
86	26.8	38.2
87	27.0	38.2
88	27.3	38.2
89	27.7	38.0
90	28.2	38.0
91	28.5	38.0
92	28.9	38.0
93	29.2	37.9
94	29.7	37.8
95	30.1	37.7
96	31.0	37.7
97	24.6	37.7
98	24.6	37.6
99	24.6	37.6
100	24.7	37.5
101	24.6	37.5
102	24.6	37.5
103	24.6	37.5
104	30.6	37.5
105	30.4	37.4
106	29.2	37.4
107	28.0	37.4
108	27.0	37.4
109	26.4	37.4
110	25.9	37.4
111	25.8	37.2
112	26.2	37.2
113	27.0	37.2
114	27.4	37.2
115	27.9	37.2
116	28.3	37.2
117	28.8	37.2
118	29.4	37.2
119	29.7	37.1
120	30.6	37.1
121	24.7	37.1
122	25.5	37.1
123	26.2	36.9
124	26.7	36.9
125	27.0	36.9
126	27.3	36.8
127	27.6	36.8
128	33.9	36.8
129	33.9	36.8
130	33.0	36.6
131	32.1	36.6
132	31.5	36.6
133	31.0	36.5
134	30.9	36.5
135	30.9	36.5
136	31.2	36.4
137	31.9	36.3
138	32.2	36.3
139	32.7	36.3
140	33.0	36.3
141	33.4	36.3
142	33.9	36.3
143	34.2	36.2
144	34.6	36.2
145	28.6	36.2
146	28.8	36.2
147	28.8	36.2
148	28.8	36.1
149	28.8	36.0
150	28.8	36.0
151	28.8	36.0
152	34.8	36.0
153	34.3	36.0
154	31.5	35.9
155	28.9	35.9
156	26.7	35.9
157	25.0	35.9
158	24.1	35.9
159	24.3	35.9
160	25.5	35.9
161	27.1	35.9
162	27.6	35.9
163	28.0	35.9
164	28.5	35.9
165	28.9	35.9
166	29.4	35.9
167	30.0	35.7
168	30.4	35.7
169	25.3	35.7
170	25.9	35.7
171	26.7	35.6
172	27.1	35.6
173	27.6	35.6
174	28.0	35.6
175	28.3	35.6
176	34.6	35.6
177	34.6	35.6
178	33.6	35.6
179	33.1	35.6
180	33.3	35.4
181	33.3	35.4
182	31.9	35.4
183	31.3	35.4
184	31.2	35.4
185	31.9	35.4
186	32.5	35.4
187	33.1	35.4
188	33.6	35.4
189	34.2	35.4
190	34.6	35.3
191	35.3	35.3
192	35.9	35.3
193	30.1	35.3
194	30.4	35.3
195	30.7	35.3
196	30.9	35.2
197	31.0	35.1
198	31.3	35.1
199	31.5	35.1
200	37.5	35.1
201	37.4	35.1
202	36.2	35.1
203	35.1	35.1
204	34.2	35.1
205	33.6	35.0
206	33.4	35.0
207	33.3	35.0
208	33.7	35.0
209	34.6	35.0
210	34.8	34.9
211	35.0	34.9
212	35.4	34.8
213	35.4	34.8
214	35.4	34.8
215	35.6	34.8
216	35.9	34.8
217	29.8	34.8
218	29.8	34.7
219	30.0	34.7
220	30.0	34.7
221	30.0	34.7
222	30.0	34.7
223	30.0	34.7
224	36.0	34.7
225	35.9	34.6
226	34.6	34.6
227	33.4	34.6
228	32.5	34.6
229	32.1	34.6
230	31.6	34.6
231	31.6	34.6
232	31.9	34.6
233	32.7	34.6
234	33.0	34.6
235	33.3	34.6
236	33.9	34.5
237	33.4	34.5
238	33.7	34.5
239	33.9	34.5
240	34.0	34.5
241	28.3	34.5
242	28.5	34.5
243	28.6	34.3
244	28.8	34.3
245	28.8	34.3
246	28.8	34.3
247	28.8	34.3
248	35.0	34.3
249	34.6	34.3
250	32.5	34.2
251	30.6	34.2
252	28.8	34.2
253	27.6	34.2
254	26.8	34.2
255	26.7	34.2
256	27.3	34.2
257	28.5	34.2
258	29.4	34.2
259	30.3	34.2
260	31.0	34.2
261	31.9	34.2
262	32.8	34.2
263	33.7	34.2
264	34.5	34.0
265	30.1	34.0
266	32.2	34.0
267	34.2	34.0
268	35.4	34.0
269	36.5	34.0
270	37.7	34.0
271	38.6	34.0
272	45.5	34.0
273	45.3	34.0
274	44.3	34.0
275	43.2	34.0
276	41.9	33.9
277	41.4	33.9
278	42.2	33.9
279	42.6	33.9
280	43.4	33.9
281	44.7	33.9
282	45.0	33.9
283	45.5	33.9
284	45.9	33.9
285	46.2	33.9
286	46.7	33.9
287	47.2	33.9
288	47.5	33.9
289	40.8	33.8
290	40.4	33.8
291	38.7	33.7
292	38.0	33.7
293	37.4	33.7
294	36.8	33.7
295	36.3	33.7
296	41.9	33.7
297	41.4	33.7
298	39.5	33.7
299	37.7	33.6
300	36.3	33.6
301	35.3	33.6
302	34.8	33.6
303	34.6	33.6
304	35.1	33.6
305	36.0	33.6
306	35.9	33.6
307	35.9	33.6
308	35.9	33.6
309	35.9	33.6
310	36.0	33.4
311	35.7	33.4
312	35.7	33.4
313	30.3	33.4
314	30.9	33.4
315	31.5	33.4
316	31.8	33.4
317	32.2	33.4
318	32.5	33.3
319	32.8	33.3
320	39.0	33.3
321	39.0	33.3
322	38.3	33.3
323	37.1	33.3
324	36.3	33.3
325	35.9	33.3
326	35.6	33.3
327	35.6	33.3
328	35.9	33.3
329	36.5	33.1
330	37.2	33.1
331	37.7	33.1
332	38.3	33.1
333	38.9	33.1
334	39.3	33.1
335	39.9	33.1
336	40.5	33.1
337	35.4	33.1
338	35.4	33.0
339	35.9	33.0
340	36.2	33.0
341	36.5	33.0
342	36.6	33.0
343	36.9	33.0
344	43.1	33.0
345	42.9	33.0
346	41.7	32.8
347	40.8	32.8
348	40.1	32.8
349	39.5	32.8
350	39.3	32.8
351	39.6	32.8
352	40.1	32.8
353	40.7	32.8
354	40.8	32.8
355	40.8	32.8
356	41.0	32.8
357	41.1	32.7
358	41.1	32.7
359	41.1	32.7
360	41.3	32.7
361	35.1	32.7
362	35.0	32.7
363	34.8	32.7
364	34.5	32.5
365	34.3	32.5
366	34.2	32.5
367	34.0	32.5
368	39.9	32.5
369	39.6	32.5
370	39.0	32.5
371	38.4	32.5
372	38.0	32.5
373	37.5	32.5
374	33.9	32.5
375	31.9	32.4
376	31.3	32.4
377	32.5	32.4
378	32.8	32.4
379	33.0	32.4
380	33.3	32.4
381	33.6	32.3
382	33.7	32.3
383	34.0	32.3
384	34.2	32.2
385	28.9	32.2
386	29.5	32.2
387	30.3	32.2
388	30.6	32.2
389	30.9	32.2
390	31.3	32.2
391	31.5	32.2
392	37.8	32.2
393	37.5	32.2
394	33.4	32.1
395	29.7	32.1
396	26.4	32.1
397	24.3	32.1
398	23.2	32.1
399	23.2	32.1
400	24.7	32.1
401	27.4	32.1
402	27.7	32.1
403	28.2	32.0
404	28.5	32.0
405	28.9	31.9
406	29.2	31.9
407	29.7	31.9
408	30.0	31.9
409	24.3	31.9
410	24.4	31.9
411	24.7	31.9
412	24.7	31.9
413	24.9	31.9
414	24.9	31.9
415	24.9	31.9
416	31.0	31.9
417	30.7	31.8
418	30.3	31.8
419	29.7	31.8
420	29.2	31.8
421	28.6	31.8
422	24.7	31.8
423	22.7	31.8
424	22.1	31.7
425	23.5	31.7
426	23.8	31.6
427	24.1	31.6
428	24.4	31.6
429	24.6	31.6
430	24.9	31.6
431	25.2	31.6
432	25.5	31.6
433	19.9	31.5
434	20.3	31.5
435	20.8	31.5
436	20.9	31.5
437	21.1	31.5
438	21.4	31.5
439	21.4	31.4
440	27.6	31.4
441	27.4	31.4
442	27.0	31.4
443	26.7	31.4
444	26.2	31.4
445	26.1	31.4
446	22.6	31.4
447	20.3	31.4
448	19.4	31.3
449	20.6	31.3
450	21.1	31.3
451	21.7	31.3
452	22.1	31.3
453	22.7	31.3
454	23.4	31.3
455	23.8	31.3
456	24.4	31.3
457	19.0	31.3
458	19.7	31.3
459	20.5	31.3
460	20.9	31.2
461	21.4	31.2
462	21.8	31.2
463	22.0	31.2
464	28.3	31.2
465	28.2	31.1
466	27.7	31.1
467	27.6	31.1
468	27.1	31.1
469	26.8	31.1
470	24.0	31.1
471	22.7	31.0
472	22.4	31.0
473	23.5	31.0
474	23.8	31.0
475	24.0	31.0
476	24.3	31.0
477	24.6	31.0
478	24.7	31.0
479	25.0	31.0
480	25.2	31.0
481	19.1	31.0
482	19.1	31.0
483	19.0	31.0
484	19.0	31.0
485	18.8	31.0
486	18.8	30.9
487	18.7	30.9
488	24.7	30.9
489	24.4	30.9
490	21.8	30.9
491	19.4	30.9
492	17.2	30.9
493	15.4	30.9
494	14.2	30.9
495	14.0	30.9
496	14.8	30.8
497	16.4	30.8
498	16.9	30.8
499	17.5	30.8
500	17.9	30.8
501	18.5	30.8
502	19.1	30.7
503	19.6	30.7
504	20.2	30.7
505	15.1	30.7
506	15.8	30.7
507	16.7	30.7
508	17.0	30.7
509	17.5	30.7
510	17.8	30.7
511	18.1	30.6
512	24.3	30.6
513	24.0	30.6
514	21.1	30.6
515	18.8	30.6
516	16.3	30.6
517	14.6	30.6
518	12.5	30.6
519	11.6	30.6
520	11.8	30.5
521	13.7	30.5
522	15.1	30.5
523	16.3	30.5
524	17.6	30.5
525	19.0	30.5
526	20.2	30.5
527	21.5	30.5
528	22.7	30.4
529	18.2	30.4
530	19.9	30.4
531	21.4	30.4
532	22.3	30.4
533	23.0	30.4
534	24.0	30.4
535	24.4	30.4
536	31.0	30.3
537	30.1	30.3
538	25.3	30.3
539	21.1	30.3
540	17.9	30.3
541	15.5	30.3
542	14.2	30.3
543	14.0	30.3
544	15.2	30.3
545	18.2	30.3
546	20.0	30.2
547	21.8	30.2
548	23.7	30.2
549	25.5	30.2
550	27.3	30.2
551	29.1	30.2
552	30.9	30.2
553	26.5	30.2
554	28.3	30.2
555	30.1	30.2
556	31.2	30.2
557	32.2	30.2
558	33.3	30.2
559	34.0	30.1
560	40.8	30.1
561	40.5	30.1
562	37.5	30.1
563	34.5	30.1
564	32.5	30.1
565	31.5	30.1
566	30.0	30.1
567	29.5	30.1
568	29.8	30.0
569	32.1	30.0
570	32.5	30.0
571	33.0	30.0
572	33.3	30.0
573	33.7	30.0
574	34.2	30.0
575	34.6	30.0
576	35.1	30.0
577	28.5	30.0
578	27.9	29.9
579	27.3	29.9
580	26.8	29.9
581	26.5	29.9
582	26.1	29.9
583	25.8	29.9
584	31.6	29.9
585	31.2	29.9
586	30.0	29.9
587	30.3	29.9
588	28.5	29.9
589	27.4	29.9
590	27.1	29.8
591	27.3	29.8
592	27.0	29.8
593	28.0	29.8
594	28.2	29.8
595	28.0	29.8
596	27.9	29.8
597	27.9	29.8
598	27.9	29.8
599	27.7	29.8
600	27.6	29.8
601	22.0	29.8
602	22.3	29.7
603	22.6	29.7
604	22.7	29.7
605	22.9	29.7
606	23.0	29.7
607	23.2	29.6
608	29.2	29.6
609	27.9	29.6
610	24.4	29.6
611	22.6	29.6
612	20.9	29.6
613	17.6	29.6
614	15.4	29.6
615	14.0	29.6
616	13.9	29.6
617	15.5	29.6
618	17.9	29.6
619	18.4	29.6
620	18.7	29.5
621	19.1	29.5
622	19.6	29.5
623	20.0	29.5
624	20.5	29.5
625	14.9	29.5
626	15.5	29.5
627	16.1	29.5
628	16.4	29.5
629	16.7	29.5
630	17.0	29.4
631	17.2	29.4
632	23.5	29.4
633	23.4	29.4
634	22.9	29.4
635	22.4	29.4
636	22.3	29.4
637	22.0	29.4
638	22.7	29.4
639	21.8	29.3
640	22.4	29.3
641	22.4	29.3
642	22.7	29.3
643	23.2	29.3
644	24.0	29.3
645	24.3	29.3
646	24.7	29.2
647	25.2	29.2
648	25.8	29.2
649	20.2	29.2
650	20.9	29.2
651	21.7	29.2
652	21.8	29.2
653	22.1	29.2
654	22.6	29.2
655	22.7	29.2
656	29.1	29.2
657	28.6	29.2
658	27.0	29.2
659	26.4	29.2
660	25.3	29.2
661	24.6	29.2
662	24.1	29.2
663	24.3	29.1
664	24.7	29.1
665	25.5	29.1
666	26.2	29.0
667	26.7	29.0
668	27.0	29.0
669	27.3	29.0
670	27.7	29.0
671	28.0	28.9
672	28.5	28.9
673	22.6	28.9
674	22.6	28.9
675	22.7	28.9
676	22.7	28.9
677	22.7	28.9
678	22.7	28.9
679	22.7	28.9
680	28.8	28.9
681	28.3	28.9
682	25.5	28.9
683	23.4	28.9
684	20.2	28.9
685	17.5	28.9
686	16.6	28.8
687	16.6	28.8
688	17.6	28.8
689	18.8	28.8
690	20.6	28.8
691	20.8	28.8
692	21.1	28.8
693	21.4	28.8
694	21.7	28.8
695	22.0	28.8
696	22.3	28.8
697	16.7	28.8
698	17.3	28.8
699	17.8	28.8
700	18.1	28.8
701	18.4	28.8
702	18.5	28.8
703	18.8	28.8
704	25.0	28.8
705	24.6	28.7
706	23.7	28.7
707	22.7	28.7
708	22.3	28.7
709	22.1	28.7
710	18.5	28.7
711	16.6	28.7
712	16.0	28.7
713	16.9	28.7
714	18.2	28.7
715	18.5	28.7
716	19.0	28.6
717	19.3	28.6
718	19.6	28.6
719	19.9	28.6
720	20.3	28.6
721	14.6	28.5
722	14.9	28.5
723	15.2	28.5
724	15.2	28.5
725	15.4	28.5
726	15.4	28.5
727	15.5	28.5
728	21.5	28.5
729	21.1	28.5
730	19.0	28.5
731	17.5	28.5
732	15.7	28.5
733	13.6	28.5
734	12.1	28.5
735	11.3	28.5
736	13.1	28.5
737	14.5	28.5
738	15.7	28.4
739	16.0	28.4
740	16.1	28.4
741	16.3	28.4
742	16.4	28.4
743	16.7	28.4
744	16.9	28.4
745	10.3	28.4
746	10.9	28.4
747	11.4	28.4
748	11.7	28.4
749	12.0	28.4
750	12.3	28.4
751	12.4	28.4
752	18.1	28.4
753	17.9	28.4
754	16.3	28.3
755	16.1	28.3
756	15.0	28.3
757	13.8	28.3
758	13.4	28.3
759	13.4	28.3
760	13.4	28.3
761	13.6	28.3
762	14.5	28.3
763	15.0	28.3
764	15.6	28.3
765	16.1	28.2
766	16.8	28.2
767	17.2	28.2
768	17.8	28.2
769	12.7	28.2
770	13.1	28.2
771	13.5	28.2
772	13.8	28.2
773	13.9	28.1
774	14.1	28.1
775	14.1	28.1
776	19.6	28.1
777	18.5	28.1
778	16.8	28.1
779	16.1	28.1
780	14.9	28.1
781	13.4	28.1
782	14.2	28.1
783	15.0	28.0
784	15.7	28.0
785	16.1	28.0
786	16.7	28.0
787	17.2	28.0
788	17.6	28.0
789	18.2	28.0
790	18.7	28.0
791	19.2	28.0
792	19.7	28.0
793	15.2	28.0
794	16.4	28.0
795	16.8	28.0
796	17.2	28.0
797	17.6	28.0
798	17.9	27.9
799	18.2	27.9
800	23.8	27.9
801	23.6	27.9
802	22.9	27.9
803	21.9	27.9
804	21.5	27.9
805	21.2	27.9
806	21.2	27.9
807	21.1	27.9
808	21.1	27.9
809	21.5	27.9
810	22.1	27.9
811	22.7	27.8
812	23.4	27.8
813	24.3	27.8
814	25.0	27.8
815	25.8	27.8
816	26.6	27.8
817	22.2	27.8
818	23.6	27.8
819	25.0	27.8
820	25.6	27.8
821	26.5	27.8
822	27.0	27.8
823	27.4	27.8
824	33.1	27.8
825	32.3	27.7
826	30.9	27.7
827	29.9	27.7
828	28.9	27.7
829	28.7	27.7
830	28.8	27.7
831	29.6	27.7
832	30.6	27.7
833	31.4	27.7
834	32.1	27.6
835	32.0	27.6
836	31.8	27.6
837	31.7	27.6
838	31.4	27.6
839	31.3	27.6
840	31.2	27.6
841	25.2	27.6
842	24.5	27.6
843	24.0	27.6
844	23.6	27.6
845	23.4	27.6
846	23.0	27.6
847	22.6	27.6
848	28.0	27.5
849	27.6	27.5
850	27.0	27.5
851	26.6	27.5
852	26.2	27.5
853	25.8	27.5
854	22.7	27.5
855	21.0	27.5
856	20.1	27.4
857	20.3	27.4
858	21.2	27.4
859	21.5	27.4
860	21.8	27.4
861	22.2	27.4
862	22.5	27.4
863	22.7	27.4
864	23.2	27.4
865	18.6	27.4
866	19.6	27.4
867	20.7	27.3
868	21.2	27.3
869	21.8	27.3
870	22.2	27.3
871	22.6	27.3
872	28.3	27.3
873	28.3	27.3
874	28.1	27.3
875	28.0	27.3
876	28.0	27.3
877	28.3	27.3
878	26.6	27.3
879	25.9	27.3
880	25.6	27.3
881	25.9	27.3
882	26.5	27.3
883	26.6	27.2
884	26.9	27.2
885	27.0	27.2
886	27.3	27.2
887	27.4	27.2
888	27.6	27.2
889	21.9	27.2
890	21.6	27.2
891	21.4	27.2
892	21.2	27.2
893	21.1	27.1
894	21.0	27.1
895	20.8	27.1
896	26.3	27.1
897	26.1	27.1
898	25.0	27.1
899	24.0	27.1
900	23.2	27.1
901	22.7	27.1
902	22.2	27.1
903	22.1	27.0
904	22.1	27.0
905	22.5	27.0
906	22.9	27.0
907	23.2	27.0
908	23.4	27.0
909	23.8	27.0
910	24.1	27.0
911	25.1	27.0
912	24.8	27.0
913	20.5	27.0
914	21.9	27.0
915	23.4	27.0
916	24.3	27.0
917	25.0	27.0
918	25.6	27.0
919	26.2	27.0
920	31.7	27.0
921	31.3	27.0
922	30.5	27.0
923	29.6	27.0
924	28.8	27.0
925	28.4	27.0
926	28.1	27.0
927	28.1	27.0
928	28.4	27.0
929	28.9	27.0
930	29.8	26.9
931	30.5	26.9
932	31.3	26.9
933	32.1	26.9
934	33.1	26.9
935	33.8	26.9
936	34.6	26.9
937	29.4	26.8
938	29.6	26.8
939	30.1	26.8
940	30.2	26.8
941	30.3	26.7
942	30.5	26.7
943	30.6	26.7
944	36.1	26.7
945	34.9	26.7
946	32.8	26.7
947	30.9	26.7
948	29.1	26.7
949	27.8	26.7
950	27.2	26.7
951	26.9	26.7
952	27.2	26.7
953	28.1	26.7
954	29.5	26.7
955	29.6	26.7
956	29.9	26.7
957	30.1	26.6
958	30.3	26.6
959	30.5	26.6
960	30.6	26.6
961	25.2	26.6
962	25.6	26.6
963	25.5	26.6
964	25.6	26.6
965	25.6	26.6
966	25.6	26.6
967	25.6	26.6
968	31.0	26.6
969	30.7	26.6
970	29.4	26.6
971	28.3	26.6
972	26.7	26.6
973	26.2	26.5
974	25.8	26.5
975	25.6	26.5
976	26.1	26.5
977	26.7	26.5
978	27.4	26.5
979	27.8	26.5
980	28.8	26.5
