# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.2	76.2
2	17.4	75.7
3	18.6	75.0
4	19.1	74.3
5	19.6	73.8
6	20.1	73.1
7	20.3	73.1
8	30.2	72.8
9	29.8	72.3
10	26.4	71.8
11	23.2	71.1
12	20.6	69.7
13	18.9	69.4
14	17.9	69.2
15	17.9	69.1
16	19.1	68.9
17	20.8	68.5
18	22.5	67.7
19	23.9	67.7
20	25.4	67.3
21	26.9	67.3
22	28.3	67.0
23	30.0	67.0
24	31.4	67.0
25	24.7	67.0
26	28.1	67.0
27	31.2	66.5
28	33.1	66.5
29	34.8	66.3
30	36.8	66.2
31	38.0	66.0
32	49.1	66.0
33	49.1	66.0
34	44.8	66.0
35	41.1	65.8
36	37.7	65.6
37	35.8	65.6
38	34.8	65.6
39	34.8	65.6
40	36.8	65.6
41	39.9	65.6
42	41.1	65.6
43	42.3	65.3
44	43.5	65.2
45	44.5	65.1
46	45.7	65.1
47	46.9	64.8
48	48.1	64.3
49	38.2	64.3
50	37.7	64.3
51	37.3	64.3
52	37.0	64.3
53	36.8	64.1
54	36.5	64.1
55	36.3	64.0
56	45.7	64.0
57	45.2	63.6
58	41.4	63.6
59	38.0	63.5
60	35.8	63.5
61	34.1	63.4
62	33.1	63.4
63	33.1	63.3
64	34.1	63.1
65	36.0	63.1
66	36.8	63.1
67	37.3	63.1
68	37.7	63.1
69	38.2	62.8
70	38.9	62.8
71	39.4	62.7
72	39.9	62.7
73	31.2	62.7
74	32.9	62.6
75	33.9	62.4
76	34.4	62.2
77	35.1	62.2
78	35.6	62.1
79	36.0	62.1
80	46.2	61.9
81	46.2	61.8
82	45.0	61.8
83	44.0	61.7
84	43.5	61.7
85	43.3	61.4
86	43.1	61.4
87	43.3	61.4
88	43.8	61.1
89	44.5	61.0
90	45.2	61.0
91	45.7	60.9
92	46.4	60.9
93	46.9	60.9
94	47.7	60.7
95	48.4	60.6
96	49.8	60.5
97	39.4	60.5
98	39.4	60.5
99	39.4	60.4
100	39.7	60.4
101	39.4	60.2
102	39.4	60.2
103	39.4	60.2
104	49.1	60.2
105	48.9	60.0
106	46.9	60.0
107	45.0	59.9
108	43.3	59.9
109	42.3	59.9
110	41.6	59.8
111	41.4	59.6
112	42.1	59.6
113	43.3	59.6
114	44.0	59.6
115	44.8	59.5
116	45.5	59.4
117	46.2	59.4
118	47.2	59.4
119	47.7	59.4
120	49.1	59.4
121	39.7	59.4
122	40.9	59.3
123	42.1	59.2
124	42.8	59.2
125	43.3	59.2
126	43.8	59.0
127	44.3	59.0
128	54.4	58.9
129	54.4	58.9
130	53.0	58.8
131	51.5	58.8
132	50.6	58.7
133	49.8	58.7
134	49.6	58.7
135	49.6	58.5
136	50.1	58.5
137	51.3	58.5
138	51.8	58.4
139	52.5	58.4
140	53.0	58.3
141	53.7	58.3
142	54.4	58.3
143	54.9	58.3
144	55.6	58.1
145	46.0	58.1
146	46.2	57.9
147	46.2	57.9
148	46.2	57.9
149	46.2	57.9
150	46.2	57.9
151	46.2	57.8
152	55.9	57.8
153	55.2	57.8
154	50.6	57.7
155	46.4	57.7
156	42.8	57.7
157	40.2	57.6
158	38.7	57.6
159	38.9	57.6
160	40.9	57.6
161	43.5	57.6
162	44.3	57.6
163	45.0	57.6
164	45.7	57.6
165	46.4	57.6
166	47.2	57.6
167	48.1	57.6
168	48.9	57.6
169	40.6	57.6
170	41.6	57.5
171	42.8	57.5
172	43.5	57.4
173	44.3	57.4
174	45.0	57.3
175	45.5	57.3
176	55.6	57.2
177	55.6	57.2
178	53.9	57.2
179	53.2	57.2
180	53.5	57.2
181	53.5	57.1
182	51.3	57.1
183	50.3	57.1
184	50.1	57.0
185	51.3	57.0
186	52.3	56.9
187	53.2	56.9
188	53.9	56.9
189	54.9	56.9
190	55.6	56.9
191	56.6	56.9
192	57.6	56.9
193	48.4	56.9
194	48.9	56.9
195	49.4	56.7
196	49.6	56.7
197	49.8	56.7
198	50.3	56.7
199	50.6	56.7
