# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.3	86.0
2	19.7	85.5
3	21.0	84.7
4	21.6	83.8
5	22.1	83.3
6	22.7	82.5
7	22.9	82.5
8	34.1	82.2
9	33.6	81.7
10	29.8	81.1
11	26.2	80.3
12	23.2	78.7
13	21.3	78.4
14	20.2	78.1
15	20.2	78.1
16	21.6	77.8
17	23.5	77.3
18	25.4	76.5
19	27.0	76.5
20	28.7	75.9
21	30.3	75.9
22	32.0	75.6
23	33.9	75.6
24	35.5	75.6
25	27.9	75.6
26	31.7	75.1
27	35.2	75.1
28	37.4	74.8
29	39.3	74.8
30	41.5	74.6
31	42.9	74.6
32	55.4	74.6
33	55.4	74.5
34	50.5	74.3
35	46.4	74.0
36	42.6	74.0
37	40.4	74.0
38	39.3	74.0
39	39.3	74.0
40	41.5	73.9
41	45.1	73.7
42	46.4	73.7
43	47.8	73.5
44	49.2	73.5
45	50.3	73.2
46	51.6	72.6
47	53.0	72.6
48	54.3	72.6
49	43.2	72.6
50	42.6	72.4
51	42.1	72.4
52	41.8	72.4
53	41.5	72.4
54	41.2	72.3
55	41.0	72.3
56	51.6	71.8
57	51.1	71.8
58	46.7	71.8
59	42.9	71.8
60	40.4	71.6
61	38.5	71.6
62	37.4	71.5
63	37.4	71.3
64	38.5	71.3
65	40.7	71.2
66	41.5	71.2
67	42.1	71.0
68	42.6	71.0
69	43.2	70.9
70	44.0	70.7
71	44.5	70.7
72	45.1	70.7
73	35.2	70.7
74	37.1	70.5
75	38.2	70.2
76	38.8	70.1
77	39.6	70.1
78	40.1	69.9
79	40.7	69.9
80	52.2	69.9
81	52.2	69.6
82	50.8	69.6
83	49.7	69.4
84	49.2	69.4
85	48.9	69.3
86	48.6	69.0
87	48.9	68.8
88	49.4	68.8
89	50.3	68.8
90	51.1	68.8
91	51.6	68.8
92	52.4	68.6
93	53.0	68.5
94	53.8	68.5
95	54.6	68.3
96	56.3	68.3
97	44.5	68.3
98	44.5	68.2
99	44.5	68.1
100	44.8	68.0
101	44.5	68.0
102	44.5	68.0
103	44.5	68.0
104	55.4	67.7
105	55.2	67.7
106	53.0	67.7
107	50.8	67.7
108	48.9	67.5
109	47.8	67.4
110	47.0	67.4
111	46.7	67.4
112	47.5	67.4
113	48.9	67.2
114	49.7	67.1
115	50.5	67.1
116	51.3	67.1
117	52.2	67.1
118	53.3	67.1
119	53.8	67.1
120	55.4	66.9
121	44.8	66.8
122	46.2	66.8
123	47.5	66.8
124	48.3	66.6
125	48.9	66.6
126	49.4	66.6
127	50.0	66.6
128	61.4	66.4
129	61.4	66.3
130	59.8	66.3
131	58.2	66.3
132	57.1	66.1
133	56.3	66.1
134	56.0	66.1
135	56.0	66.1
136	56.5	66.0
137	57.9	66.0
138	58.4	65.8
139	59.3	65.8
140	59.8	65.8
141	60.6	65.5
142	61.4	65.5
143	62.0	65.5
144	62.8	65.5
145	51.9	65.5
146	52.2	65.3
147	52.2	65.3
148	52.2	65.3
149	52.2	65.2
150	52.2	65.2
151	52.2	65.2
152	63.1	65.1
153	62.3	65.0
154	57.1	65.0
155	52.4	65.0
156	48.3	65.0
157	45.3	65.0
158	43.7	65.0
159	44.0	65.0
160	46.2	65.0
161	49.2	65.0
162	50.0	65.0
163	50.8	64.9
164	51.6	64.9
165	52.4	64.8
166	53.3	64.7
167	54.3	64.7
168	55.2	64.6
169	45.9	64.6
170	47.0	64.6
171	48.3	64.5
172	49.2	64.5
173	50.0	64.5
174	50.8	64.4
175	51.3	64.4
176	62.8	64.3
177	62.8	64.2
178	60.9	64.2
179	60.1	64.2
180	60.4	64.2
181	60.4	64.2
182	57.9	64.2
183	56.8	64.1
184	56.5	64.1
185	57.9	64.1
186	59.0	64.1
187	60.1	64.1
188	60.9	63.9
189	62.0	63.9
190	62.8	63.8
191	63.9	63.8
192	65.0	63.8
193	54.6	63.8
194	55.2	63.8
195	55.7	63.6
196	56.0	63.6
197	56.3	63.6
198	56.8	63.6
199	57.1	63.6
200	68.0	63.6
201	67.7	63.6
202	65.5	63.5
203	63.6	63.5
204	62.0	63.5
205	60.9	63.5
