# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.7	59.7
2	13.6	59.3
3	14.6	58.7
4	15.0	58.1
5	15.3	57.8
6	15.7	57.2
7	15.9	57.2
8	23.7	57.0
9	23.3	56.6
10	20.6	56.3
11	18.2	55.7
12	16.1	54.6
13	14.8	54.6
14	14.0	54.4
15	14.0	54.2
16	15.0	54.0
17	16.3	53.6
18	17.6	53.5
19	18.8	53.0
20	19.9	52.9
21	21.0	52.9
22	22.2	52.9
23	23.5	52.7
24	24.6	52.7
25	19.3	52.5
26	22.0	52.3
27	24.4	52.1
28	25.9	52.1
29	27.3	52.1
30	28.8	51.9
31	29.7	51.7
32	38.5	51.7
33	38.5	51.7
34	35.0	51.6
35	32.2	51.5
36	29.5	51.3
37	28.0	51.3
38	27.3	51.3
39	27.3	51.3
40	28.8	51.3
41	31.3	51.1
42	32.2	51.0
43	33.1	51.0
44	34.1	50.8
45	34.9	50.8
46	35.8	50.8
47	36.7	50.6
48	37.7	50.6
49	29.9	50.4
50	29.5	50.4
51	29.2	50.2
52	29.0	50.2
53	28.8	50.2
54	28.6	50.2
55	28.4	50.0
56	35.8	49.9
57	35.4	49.8
58	32.4	49.8
59	29.7	49.8
60	28.0	49.8
61	26.7	49.6
62	25.9	49.6
63	25.9	49.6
64	26.7	49.6
65	28.2	49.4
66	28.8	49.4
67	29.2	49.4
68	29.5	49.1
69	29.9	49.1
70	30.5	49.1
71	30.9	49.1
72	31.3	49.1
73	24.4	48.9
74	25.8	48.9
75	26.5	48.9
76	26.9	48.9
77	27.5	48.9
78	27.8	48.7
79	28.2	48.5
80	36.2	48.5
81	36.2	48.3
82	35.2	48.3
83	34.5	48.1
84	34.1	48.1
85	33.9	48.1
86	33.7	48.1
87	33.9	48.1
88	34.3	47.9
89	34.9	47.9
90	35.4	47.7
91	35.8	47.7
92	36.4	47.7
93	36.7	47.5
94	37.3	47.4
95	37.9	47.4
96	39.0	47.4
97	30.9	47.3
98	30.9	47.3
99	30.9	47.2
100	31.1	47.2
101	30.9	47.2
102	30.9	47.2
103	30.9	47.1
104	38.5	47.1
105	38.3	47.1
106	36.7	47.1
107	35.2	47.0
108	33.9	47.0
109	33.1	47.0
110	32.6	46.9
111	32.4	46.9
112	33.0	46.9
113	33.9	46.9
114	34.5	46.9
115	35.0	46.9
116	35.6	46.8
117	36.2	46.7
118	36.9	46.7
119	37.3	46.7
120	38.5	46.6
121	31.1	46.6
122	32.0	46.6
123	33.0	46.4
124	33.5	46.4
125	33.9	46.4
126	34.3	46.4
127	34.7	46.4
128	42.6	46.2
129	42.6	46.2
130	41.5	46.2
131	40.3	46.0
132	39.6	46.0
133	39.0	45.8
134	38.8	45.8
135	38.8	45.8
136	39.2	45.8
137	40.2	45.8
138	40.5	45.8
139	41.1	45.6
140	41.5	45.6
141	42.0	45.6
142	42.6	45.6
143	43.0	45.6
144	43.6	45.6
145	36.0	45.5
146	36.2	45.5
147	36.2	45.4
148	36.2	45.4
149	36.2	45.3
150	36.2	45.3
151	36.2	45.3
152	43.8	45.2
153	43.2	45.2
154	39.6	45.2
155	36.4	45.1
156	33.5	45.1
157	31.4	45.1
158	30.3	45.1
159	30.5	45.1
160	32.0	45.1
161	34.1	45.1
162	34.7	45.1
163	35.2	45.1
164	35.8	45.1
165	36.4	45.0
166	36.9	45.0
167	37.7	45.0
168	38.3	44.9
169	31.8	44.9
170	32.6	44.8
171	33.5	44.8
172	34.1	44.8
173	34.7	44.8
174	35.2	44.8
175	35.6	44.7
176	43.6	44.7
177	43.6	44.7
178	42.2	44.6
179	41.7	44.6
180	41.9	44.6
181	41.9	44.6
182	40.2	44.5
183	39.4	44.5
184	39.2	44.5
185	40.2	44.5
186	40.9	44.5
187	41.7	44.5
188	42.2	44.4
189	43.0	44.4
190	43.6	44.4
191	44.3	44.4
192	45.1	44.3
193	37.9	44.3
194	38.3	44.2
195	38.6	44.2
196	38.8	44.2
197	39.0	44.2
198	39.4	44.1
199	39.6	44.1
200	47.2	44.1
201	47.0	44.1
202	45.5	44.1
203	44.1	44.1
204	43.0	44.0
205	42.2	43.9
206	42.0	43.9
207	41.9	43.9
208	42.4	43.9
209	43.6	43.9
210	43.8	43.8
211	43.9	43.8
212	44.5	43.8
213	44.5	43.8
214	44.5	43.8
215	44.7	43.7
216	45.1	43.7
217	37.5	43.7
218	37.5	43.7
219	37.7	43.6
220	37.7	43.6
221	37.7	43.6
222	37.7	43.6
223	37.7	43.6
224	45.3	43.6
225	45.1	43.6
226	43.6	43.6
227	42.0	43.6
228	40.9	43.5
229	40.3	43.5
230	39.8	43.5
231	39.8	43.4
232	40.2	43.4
233	41.1	43.4
234	41.5	43.3
235	41.9	43.3
236	42.6	43.2
237	42.0	43.2
238	42.4	43.1
239	42.6	43.1
240	42.8	43.1
241	35.6	43.1
242	35.8	43.1
243	36.0	43.1
244	36.2	43.1
245	36.2	43.0
246	36.2	43.0
247	36.2	43.0
248	43.9	43.0
249	43.6	43.0
250	40.9	43.0
251	38.5	43.0
252	36.2	42.9
253	34.7	42.9
254	33.7	42.9
255	33.5	42.9
256	34.3	42.9
257	35.8	42.9
258	36.9	42.9
259	38.1	42.9
260	39.0	42.8
261	40.2	42.8
262	41.3	42.8
263	42.4	42.8
264	43.4	42.8
265	37.9	42.8
266	40.5	42.7
267	43.0	42.7
268	44.5	42.7
269	45.8	42.7
270	47.4	42.7
271	48.5	42.7
272	57.2	42.6
273	57.0	42.6
274	55.7	42.6
275	54.4	42.6
276	52.7	42.6
277	52.1	42.6
278	53.0	42.6
279	53.6	42.6
280	54.6	42.5
281	56.3	42.5
282	56.6	42.5
283	57.2	42.4
284	57.8	42.4
285	58.1	42.4
286	58.7	42.4
287	59.3	42.4
288	59.7	42.4
289	51.3	42.4
290	50.8	42.4
291	48.7	42.3
292	47.7	42.3
293	47.0	42.3
294	46.2	42.3
295	45.6	42.3
296	52.7	42.3
297	52.1	42.3
298	49.6	42.3
299	47.4	42.3
300	45.6	42.2
301	44.3	42.2
302	43.8	42.2
303	43.6	42.2
304	44.1	42.1
305	45.3	42.1
306	45.1	42.1
307	45.1	42.1
308	45.1	42.1
309	45.1	42.1
310	45.3	42.0
311	44.9	42.0
312	44.9	42.0
313	38.1	42.0
314	38.8	42.0
315	39.6	41.9
316	40.0	41.9
317	40.5	41.9
318	40.9	41.9
319	41.3	41.9
320	49.1	41.9
321	49.1	41.9
322	48.1	41.9
323	46.6	41.9
324	45.6	41.9
325	45.1	41.9
326	44.7	41.9
327	44.7	41.8
328	45.1	41.8
329	45.8	41.7
330	46.8	41.7
331	47.4	41.7
332	48.1	41.7
333	48.9	41.7
334	49.4	41.7
335	50.2	41.7
336	51.0	41.6
337	44.5	41.6
338	44.5	41.6
339	45.1	41.5
340	45.5	41.5
341	45.8	41.5
342	46.0	41.5
343	46.4	41.5
344	54.2	41.4
345	54.0	41.4
346	52.5	41.4
347	51.3	41.4
348	50.4	41.4
349	49.6	41.4
350	49.4	41.3
351	49.8	41.3
352	50.4	41.3
353	51.1	41.2
354	51.3	41.2
355	51.3	41.2
356	51.5	41.2
357	51.7	41.2
358	51.7	41.1
359	51.7	41.1
360	51.9	41.0
361	44.1	41.0
362	43.9	41.0
363	43.8	41.0
364	43.4	40.9
365	43.2	40.9
366	43.0	40.9
367	42.8	40.9
368	50.2	40.9
369	49.8	40.9
370	49.1	40.9
371	48.3	40.9
372	47.7	40.9
373	47.2	40.8
374	42.6	40.8
375	40.2	40.8
376	39.4	40.8
377	40.9	40.8
378	41.3	40.6
379	41.5	40.6
380	41.9	40.6
381	42.2	40.6
382	42.4	40.6
383	42.8	40.6
384	43.0	40.6
385	36.4	40.5
386	37.1	40.5
387	38.1	40.5
388	38.5	40.5
389	38.8	40.4
390	39.4	40.4
391	39.6	40.4
392	47.5	40.4
393	47.2	40.3
394	42.0	40.3
395	37.3	40.3
396	33.1	40.2
397	30.5	40.2
398	29.2	40.2
399	29.2	40.2
400	31.1	40.2
401	34.5	40.2
402	34.9	40.2
403	35.4	40.2
404	35.8	40.2
405	36.4	40.2
406	36.7	40.2
407	37.3	40.2
408	37.7	40.0
409	30.5	40.0
410	30.7	40.0
411	31.1	40.0
412	31.1	40.0
413	31.3	40.0
414	31.3	40.0
415	31.3	39.9
416	39.0	39.9
417	38.6	39.8
418	38.1	39.8
419	37.3	39.8
420	36.7	39.8
421	36.0	39.8
422	31.1	39.8
423	28.6	39.8
424	27.8	39.8
425	29.5	39.7
426	29.9	39.7
427	30.3	39.6
428	30.7	39.6
429	30.9	39.6
430	31.3	39.6
431	31.6	39.6
432	32.0	39.6
433	25.0	39.6
434	25.6	39.6
435	26.1	39.6
436	26.3	39.6
437	26.5	39.6
438	26.9	39.6
439	26.9	39.6
440	34.7	39.5
441	34.5	39.5
442	33.9	39.4
443	33.5	39.4
444	33.0	39.4
445	32.8	39.4
446	28.4	39.4
447	25.6	39.4
448	24.4	39.4
449	25.9	39.4
450	26.5	39.4
451	27.3	39.4
452	27.8	39.2
453	28.6	39.2
454	29.4	39.2
455	29.9	39.2
456	30.7	39.2
457	23.9	39.2
458	24.8	39.2
459	25.8	39.2
460	26.3	39.2
461	26.9	39.2
462	27.5	39.2
463	27.7	39.0
464	35.6	39.0
465	35.4	39.0
466	34.9	39.0
467	34.7	39.0
468	34.1	39.0
469	33.7	39.0
470	30.1	39.0
471	28.6	39.0
472	28.2	39.0
473	29.5	39.0
474	29.9	39.0
475	30.1	39.0
476	30.5	38.9
477	30.9	38.9
478	31.1	38.9
479	31.4	38.9
480	31.6	38.9
481	24.1	38.9
482	24.1	38.9
483	23.9	38.8
484	23.9	38.8
485	23.7	38.8
486	23.7	38.8
487	23.5	38.8
488	31.1	38.8
489	30.7	38.7
490	27.5	38.7
491	24.4	38.7
492	21.6	38.7
493	19.3	38.7
494	17.8	38.7
495	17.6	38.6
496	18.6	38.6
497	20.6	38.5
498	21.2	38.5
499	22.0	38.5
500	22.5	38.5
501	23.3	38.5
502	24.1	38.5
503	24.6	38.5
504	25.4	38.5
505	18.9	38.5
506	19.9	38.5
507	21.0	38.5
508	21.4	38.3
509	22.0	38.3
510	22.4	38.3
511	22.7	38.3
512	30.5	38.3
513	30.1	38.3
514	26.5	38.3
515	23.7	38.3
516	20.5	38.3
517	18.4	38.3
518	15.7	38.3
519	14.6	38.2
520	14.8	38.2
521	17.2	38.2
522	18.9	38.1
523	20.5	38.1
524	22.2	38.1
525	23.9	38.1
526	25.4	38.1
527	27.1	38.1
528	28.6	38.1
529	22.9	38.1
530	25.0	38.1
531	26.9	38.1
532	28.0	38.1
533	29.0	38.1
534	30.1	38.1
535	30.7	38.1
536	39.0	38.1
537	37.9	38.1
538	31.8	38.1
539	26.5	38.0
540	22.5	38.0
541	19.5	38.0
542	17.8	38.0
543	17.6	38.0
544	19.1	38.0
545	22.9	37.9
546	25.2	37.9
547	27.5	37.9
548	29.7	37.9
549	32.0	37.9
550	34.3	37.8
551	36.6	37.8
552	38.8	37.8
553	33.3	37.7
554	35.6	37.7
555	37.9	37.7
556	39.2	37.7
557	40.5	37.7
558	41.9	37.7
559	42.8	37.7
560	51.3	37.7
561	51.0	37.7
562	47.2	37.7
563	43.4	37.7
564	40.9	37.7
565	39.6	37.7
566	37.7	37.7
567	37.1	37.7
568	37.5	37.7
569	40.3	37.7
570	40.9	37.7
571	41.5	37.7
572	41.9	37.7
573	42.4	37.5
574	43.0	37.5
575	43.6	37.5
576	44.1	37.5
577	35.8	37.5
578	35.0	37.5
579	34.3	37.5
580	33.7	37.5
581	33.3	37.5
582	32.8	37.5
583	32.4	37.5
584	39.8	37.5
585	39.2	37.5
586	37.7	37.5
587	38.1	37.3
588	35.8	37.3
589	34.5	37.3
590	34.1	37.3
591	34.3	37.3
592	33.9	37.3
593	35.2	37.3
594	35.4	37.3
595	35.2	37.3
596	35.0	37.3
597	35.0	37.3
598	35.0	37.3
599	34.9	37.3
600	34.7	37.2
601	27.7	37.2
602	28.0	37.2
603	28.4	37.2
604	28.6	37.1
605	28.8	37.1
606	29.0	37.1
607	29.2	37.1
608	36.7	37.1
609	35.0	37.1
610	30.7	37.1
611	28.4	37.0
612	26.3	37.0
613	22.2	37.0
614	19.3	37.0
615	17.6	37.0
616	17.4	36.9
617	19.5	36.9
618	22.5	36.9
619	23.1	36.9
620	23.5	36.9
621	24.1	36.9
622	24.6	36.9
623	25.2	36.9
624	25.8	36.9
625	18.8	36.9
626	19.5	36.8
627	20.3	36.8
628	20.6	36.7
629	21.0	36.7
630	21.4	36.7
631	21.6	36.7
632	29.5	36.7
633	29.4	36.7
634	28.8	36.7
635	28.2	36.7
636	28.0	36.7
637	27.7	36.7
638	28.6	36.7
639	27.5	36.7
640	28.2	36.6
641	28.2	36.6
642	28.6	36.6
643	29.2	36.6
644	30.1	36.6
645	30.5	36.6
646	31.1	36.6
647	31.6	36.6
648	32.4	36.6
649	25.4	36.5
650	26.3	36.5
651	27.3	36.5
652	27.5	36.5
653	27.8	36.5
654	28.4	36.5
655	28.6	36.5
656	36.6	36.5
657	36.0	36.5
658	33.9	36.4
659	33.1	36.4
660	31.8	36.4
661	30.9	36.4
662	30.3	36.4
663	30.5	36.4
664	31.1	36.4
665	32.0	36.4
666	33.0	36.4
667	33.5	36.4
668	33.9	36.4
669	34.3	36.4
670	34.9	36.3
671	35.2	36.3
672	35.8	36.3
673	28.4	36.3
674	28.4	36.3
675	28.6	36.3
676	28.6	36.2
677	28.6	36.2
678	28.6	36.2
679	28.6	36.2
680	36.2	36.2
681	35.6	36.2
682	32.0	36.2
683	29.4	36.2
684	25.4	36.2
685	22.0	36.2
686	20.8	36.2
687	20.8	36.2
688	22.2	36.2
689	23.7	36.2
690	25.9	36.2
691	26.1	36.2
692	26.5	36.2
693	26.9	36.2
694	27.3	36.2
695	27.7	36.1
