# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	2.2	10.4
2	2.4	10.4
3	2.5	10.3
4	2.6	10.2
5	2.7	10.1
6	2.7	10.0
7	2.8	10.0
8	4.1	10.0
9	4.1	9.9
10	3.6	9.8
11	3.2	9.7
12	2.8	9.5
13	2.6	9.5
14	2.4	9.5
15	2.4	9.5
16	2.6	9.4
17	2.8	9.4
18	3.1	9.3
19	3.3	9.3
20	3.5	9.2
21	3.7	9.2
22	3.9	9.2
23	4.1	9.2
24	4.3	9.2
25	3.4	9.2
26	3.8	9.1
27	4.3	9.1
28	4.5	9.1
29	4.8	9.1
30	5.0	9.1
31	5.2	9.0
32	6.7	9.0
33	6.7	9.0
34	6.1	9.0
35	5.6	9.0
36	5.2	9.0
37	4.9	9.0
38	4.8	9.0
39	4.8	9.0
40	5.0	9.0
41	5.5	8.9
42	5.6	8.9
43	5.8	8.9
44	6.0	8.9
45	6.1	8.8
46	6.3	8.8
47	6.4	8.8
48	6.6	8.8
49	5.2	8.8
50	5.2	8.8
51	5.1	8.8
52	5.1	8.8
53	5.0	8.8
54	5.0	8.7
55	5.0	8.7
56	6.3	8.7
57	6.2	8.7
58	5.7	8.7
59	5.2	8.7
60	4.9	8.7
61	4.7	8.7
62	4.5	8.7
63	4.5	8.7
64	4.7	8.7
65	4.9	8.6
66	5.0	8.6
67	5.1	8.6
68	5.2	8.6
69	5.2	8.6
70	5.3	8.6
71	5.4	8.6
72	5.5	8.6
73	4.3	8.5
74	4.5	8.5
75	4.6	8.5
76	4.7	8.5
77	4.8	8.5
78	4.9	8.5
79	4.9	8.5
80	6.3	8.5
81	6.3	8.4
82	6.2	8.4
83	6.0	8.4
84	6.0	8.4
85	5.9	8.4
86	5.9	8.4
87	5.9	8.4
88	6.0	8.4
89	6.1	8.3
90	6.2	8.3
91	6.3	8.3
92	6.4	8.3
93	6.4	8.3
94	6.5	8.3
95	6.6	8.3
96	6.8	8.3
97	5.4	8.3
98	5.4	8.2
99	5.4	8.2
100	5.4	8.2
101	5.4	8.2
102	5.4	8.2
103	5.4	8.2
104	6.7	8.2
105	6.7	8.2
106	6.4	8.2
107	6.2	8.2
108	5.9	8.2
109	5.8	8.2
110	5.7	8.2
111	5.7	8.2
112	5.8	8.2
113	5.9	8.2
114	6.0	8.2
115	6.1	8.2
116	6.2	8.2
117	6.3	8.2
118	6.4	8.2
119	6.5	8.1
120	6.7	8.1
121	5.4	8.1
122	5.6	8.1
123	5.8	8.1
124	5.9	8.1
