# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.0	84.8
2	19.4	84.2
3	20.7	83.4
4	21.3	82.6
5	21.8	82.1
6	22.3	81.3
7	22.6	81.3
8	33.6	81.0
9	33.1	80.5
10	29.3	79.9
11	25.8	79.1
12	22.9	77.5
13	21.0	77.2
14	19.9	77.2
15	19.9	77.0
16	21.3	76.7
17	23.1	76.2
18	25.0	75.5
19	26.6	75.3
20	28.3	74.8
21	29.9	74.8
22	31.5	74.7
23	33.4	74.7
24	35.0	74.7
25	27.4	74.5
26	31.2	74.1
27	34.7	74.0
28	36.9	74.0
29	38.8	73.9
30	40.9	73.7
31	42.2	73.6
32	54.6	73.5
33	54.6	73.5
34	49.8	73.5
35	45.7	73.2
36	42.0	72.9
37	39.8	72.9
38	38.8	72.9
39	38.8	72.9
40	40.9	72.9
41	44.4	72.8
42	45.7	72.7
43	47.1	72.6
44	48.4	72.6
45	49.5	72.4
46	50.9	72.4
47	52.2	72.1
48	53.6	71.7
49	42.5	71.7
50	42.0	71.6
51	41.4	71.6
52	41.2	71.5
53	40.9	71.5
54	40.6	71.3
55	40.4	71.3
56	50.9	71.1
57	50.3	70.9
58	46.0	70.9
59	42.2	70.8
60	39.8	70.8
61	37.9	70.7
62	36.9	70.5
63	36.9	70.5
64	37.9	70.4
65	40.1	70.4
66	40.9	70.2
67	41.4	70.2
68	42.0	70.1
69	42.5	70.1
70	43.3	69.8
71	43.9	69.8
72	44.4	69.7
73	34.7	69.7
74	36.6	69.7
75	37.7	69.4
76	38.2	69.3
77	39.0	69.3
78	39.6	69.2
79	40.1	69.0
80	51.4	69.0
81	51.4	68.9
82	50.1	68.8
83	49.0	68.6
84	48.4	68.5
85	48.2	68.4
86	47.9	68.4
87	48.2	68.3
88	48.7	68.2
89	49.5	67.9
90	50.3	67.9
91	50.9	67.9
92	51.7	67.8
93	52.2	67.8
94	53.0	67.7
95	53.8	67.5
96	55.4	67.4
97	43.9	67.3
98	43.9	67.3
99	43.9	67.3
100	44.1	67.0
101	43.9	67.0
102	43.9	67.0
103	43.9	67.0
104	54.6	66.8
105	54.4	66.8
106	52.2	66.8
107	50.1	66.7
108	48.2	66.7
109	47.1	66.6
110	46.3	66.6
111	46.0	66.6
112	46.8	66.6
113	48.2	66.5
114	49.0	66.3
115	49.8	66.3
116	50.6	66.3
117	51.4	66.3
118	52.5	66.3
119	53.0	66.3
120	54.6	66.3
121	44.1	66.2
122	45.5	66.0
123	46.8	66.0
124	47.6	66.0
125	48.2	65.9
126	48.7	65.8
127	49.2	65.8
128	60.5	65.7
129	60.5	65.5
130	58.9	65.5
131	57.3	65.5
132	56.2	65.4
133	55.4	65.3
134	55.2	65.2
135	55.2	65.2
136	55.7	65.1
137	57.0	65.1
138	57.6	65.1
139	58.4	65.0
140	58.9	64.9
141	59.7	64.9
142	60.5	64.9
143	61.1	64.7
144	61.9	64.7
145	51.1	64.7
146	51.4	64.6
147	51.4	64.6
148	51.4	64.5
149	51.4	64.4
150	51.4	64.4
151	51.4	64.4
152	62.2	64.3
153	61.4	64.3
154	56.2	64.3
155	51.7	64.1
156	47.6	64.1
157	44.7	64.0
158	43.1	64.0
159	43.3	64.0
160	45.5	64.0
161	48.4	64.0
162	49.2	64.0
163	50.1	64.0
164	50.9	64.0
165	51.7	64.0
166	52.5	64.0
167	53.6	64.0
168	54.4	64.0
169	45.2	63.9
170	46.3	63.9
171	47.6	63.9
172	48.4	63.8
173	49.2	63.8
174	50.1	63.7
175	50.6	63.7
176	61.9	63.7
177	61.9	63.6
178	60.0	63.6
179	59.2	63.5
180	59.5	63.5
181	59.5	63.5
182	57.0	63.5
183	56.0	63.5
184	55.7	63.3
185	57.0	63.3
186	58.1	63.3
187	59.2	63.3
188	60.0	63.3
189	61.1	63.2
190	61.9	63.2
191	63.0	63.2
192	64.0	63.2
193	53.8	63.2
194	54.4	63.2
195	54.9	63.2
196	55.2	63.2
197	55.4	63.0
198	56.0	63.0
199	56.2	63.0
200	67.0	63.0
201	66.7	63.0
202	64.6	63.0
203	62.7	63.0
204	61.1	63.0
205	60.0	62.8
206	59.7	62.8
207	59.5	62.8
208	60.3	62.8
209	61.9	62.7
210	62.2	62.7
211	62.4	62.7
212	63.2	62.7
213	63.2	62.7
214	63.2	62.7
215	63.5	62.5
216	64.0	62.5
217	53.3	62.5
218	53.3	62.5
219	53.6	62.5
220	53.6	62.5
221	53.6	62.5
222	53.6	62.4
223	53.6	62.4
224	64.3	62.4
225	64.0	62.2
226	61.9	62.2
227	59.7	62.2
228	58.1	62.2
229	57.3	62.2
230	56.5	62.2
231	56.5	62.2
232	57.0	62.0
233	58.4	62.0
234	58.9	62.0
235	59.5	62.0
236	60.5	61.9
237	59.7	61.9
238	60.3	61.9
239	60.5	61.9
240	60.8	61.9
241	50.6	61.9
242	50.9	61.9
243	51.1	61.9
244	51.4	61.9
245	51.4	61.7
246	51.4	61.7
247	51.4	61.7
248	62.4	61.7
249	61.9	61.6
250	58.1	61.6
251	54.6	61.6
252	51.4	61.4
253	49.2	61.4
254	47.9	61.4
255	47.6	61.4
256	48.7	61.1
257	50.9	61.1
258	52.5	61.1
259	54.1	61.1
260	55.4	61.1
261	57.0	61.1
262	58.7	61.1
263	60.3	61.1
264	61.6	61.1
265	53.8	60.9
266	57.6	60.9
267	61.1	60.9
268	63.2	60.9
269	65.1	60.9
270	67.3	60.8
271	68.9	60.8
272	81.3	60.8
273	81.0	60.8
274	79.1	60.7
275	77.2	60.7
276	74.8	60.6
277	74.0	60.6
278	75.3	60.6
279	76.2	60.6
280	77.5	60.6
281	79.9	60.5
282	80.5	60.5
283	81.3	60.5
284	82.1	60.5
285	82.6	60.5
286	83.4	60.5
287	84.2	60.3
288	84.8	60.3
289	72.9	60.3
290	72.1	60.3
291	69.2	60.3
292	67.8	60.3
293	66.7	60.3
294	65.7	60.3
295	64.9	60.3
296	74.8	60.3
297	74.0	60.3
298	70.5	60.2
299	67.3	60.2
300	64.9	60.1
301	63.0	60.1
302	62.2	60.1
303	61.9	60.0
304	62.7	60.0
305	64.3	60.0
306	64.0	60.0
307	64.0	59.8
308	64.0	59.8
309	64.0	59.8
310	64.3	59.8
311	63.8	59.8
312	63.8	59.8
313	54.1	59.8
314	55.2	59.7
315	56.2	59.7
316	56.8	59.7
317	57.6	59.7
318	58.1	59.7
319	58.7	59.5
320	69.7	59.5
321	69.7	59.5
322	68.4	59.5
323	66.2	59.5
324	64.9	59.5
325	64.0	59.5
326	63.5	59.5
327	63.5	59.5
328	64.0	59.5
329	65.1	59.4
330	66.5	59.2
331	67.3	59.2
332	68.4	59.2
333	69.4	59.2
334	70.2	59.2
335	71.3	59.2
336	72.4	59.2
337	63.2	59.2
338	63.2	59.1
339	64.0	59.0
340	64.6	59.0
341	65.1	59.0
342	65.4	59.0
343	65.9	59.0
344	77.0	58.9
345	76.7	58.9
346	74.5	58.9
347	72.9	58.9
348	71.6	58.9
349	70.5	58.9
350	70.2	58.9
351	70.8	58.9
352	71.6	58.7
353	72.7	58.7
354	72.9	58.7
355	72.9	58.7
356	73.2	58.7
357	73.5	58.7
358	73.5	58.7
359	73.5	58.7
360	73.7	58.4
361	62.7	58.4
362	62.4	58.4
363	62.2	58.4
364	61.6	58.4
365	61.4	58.4
366	61.1	58.4
367	60.8	58.4
368	71.3	58.4
369	70.8	58.2
370	69.7	58.2
371	68.6	58.2
372	67.8	58.2
373	67.0	58.2
374	60.5	58.2
375	57.0	58.2
376	56.0	58.1
377	58.1	58.1
378	58.7	58.1
379	58.9	58.1
380	59.5	58.1
381	60.0	58.1
382	60.3	58.1
383	60.8	57.9
384	61.1	57.9
385	51.7	57.9
386	52.7	57.9
387	54.1	57.7
388	54.6	57.7
389	55.2	57.7
390	56.0	57.6
391	56.2	57.6
392	67.5	57.6
393	67.0	57.6
394	59.7	57.6
395	53.0	57.6
396	47.1	57.6
397	43.3	57.6
398	41.4	57.6
399	41.4	57.4
400	44.1	57.4
401	49.0	57.4
402	49.5	57.3
403	50.3	57.3
404	50.9	57.3
405	51.7	57.3
406	52.2	57.3
407	53.0	57.3
408	53.6	57.3
409	43.3	57.3
410	43.6	57.2
411	44.1	57.1
412	44.1	57.1
413	44.4	57.1
414	44.4	57.1
415	44.4	57.0
416	55.4	57.0
417	54.9	57.0
418	54.1	57.0
419	53.0	57.0
420	52.2	57.0
421	51.1	56.9
422	44.1	56.9
423	40.6	56.9
424	39.6	56.8
425	42.0	56.8
426	42.5	56.8
427	43.1	56.8
