# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.0	42.3
2	16.7	42.0
3	17.3	41.8
4	17.5	41.6
5	17.8	41.4
6	18.0	41.3
7	18.2	41.0
8	18.3	40.6
9	18.0	40.6
10	16.3	40.5
11	14.6	40.3
12	13.2	40.0
13	12.4	40.0
14	11.9	39.9
15	11.9	39.6
16	12.5	39.4
17	13.4	39.1
18	14.3	38.9
19	15.0	38.9
20	15.8	38.7
21	16.5	38.6
22	17.3	38.5
23	18.2	38.5
24	18.9	38.4
25	20.4	38.2
26	22.2	38.2
27	23.8	38.2
28	24.9	38.1
29	25.7	38.1
30	26.8	38.1
31	27.4	38.0
32	28.1	38.0
33	28.1	37.9
34	25.9	37.9
35	24.0	37.7
36	22.2	37.6
37	21.2	37.6
38	20.7	37.6
39	20.7	37.5
40	21.7	37.5
41	23.3	37.5
42	24.0	37.2
43	24.6	37.2
44	25.2	37.2
45	25.7	37.2
46	26.4	37.2
47	27.0	37.2
48	27.6	37.2
49	27.5	37.1
50	27.3	37.1
51	27.0	37.1
52	26.9	37.1
53	26.8	37.1
54	26.6	37.0
55	26.5	37.0
56	26.4	37.0
57	26.1	37.0
58	24.1	37.0
59	22.3	36.9
60	21.2	36.8
61	20.3	36.8
62	19.8	36.8
63	19.8	36.7
64	20.3	36.7
65	21.3	36.7
66	21.7	36.7
67	22.0	36.7
68	22.2	36.7
69	22.5	36.7
70	22.8	36.7
71	23.1	36.7
72	23.3	36.7
73	23.8	36.6
74	24.7	36.6
75	25.2	36.6
76	25.5	36.6
77	25.9	36.5
78	26.1	36.5
79	26.4	36.5
80	26.6	36.5
81	26.6	36.5
82	26.0	36.3
83	25.5	36.3
84	25.2	36.2
85	25.1	36.2
86	25.0	36.2
87	25.1	36.2
88	25.4	36.1
89	25.7	36.1
90	26.1	36.1
91	26.4	36.1
92	26.8	36.1
93	27.0	36.0
94	27.4	36.0
95	27.8	35.8
96	28.5	35.8
97	28.1	35.7
98	28.1	35.7
99	28.1	35.7
100	28.3	35.7
101	28.1	35.6
102	28.1	35.6
103	28.1	35.6
104	28.1	35.6
105	28.0	35.6
106	27.0	35.6
107	26.0	35.5
108	25.1	35.5
109	24.6	35.5
110	24.2	35.5
111	24.1	35.5
112	24.5	35.3
113	25.1	35.3
114	25.5	35.3
115	25.9	35.3
116	26.2	35.2
117	26.6	35.2
118	27.1	35.2
119	27.4	35.2
120	28.1	35.2
121	28.3	35.2
122	28.9	35.2
123	29.5	35.2
124	29.9	35.2
125	30.2	35.1
126	30.4	35.1
127	30.7	35.1
128	30.9	35.1
129	30.9	35.0
130	30.2	35.0
131	29.4	35.0
132	28.9	34.8
133	28.5	34.8
134	28.4	34.7
135	28.4	34.7
136	28.6	34.7
137	29.3	34.7
138	29.5	34.6
139	29.9	34.6
140	30.2	34.6
141	30.5	34.6
142	30.9	34.6
143	31.2	34.6
144	31.5	34.6
145	31.5	34.6
146	31.7	34.5
147	31.7	34.5
148	31.7	34.5
149	31.7	34.3
150	31.7	34.2
151	31.7	34.2
152	31.7	34.2
153	31.3	34.1
154	28.9	34.1
155	26.8	34.1
156	24.9	34.1
157	23.5	34.0
158	22.7	34.0
159	22.8	34.0
160	23.8	33.9
161	25.2	33.9
162	25.6	33.9
163	26.0	33.9
164	26.4	33.9
165	26.8	33.9
166	27.1	33.9
167	27.6	33.8
168	28.0	33.8
169	28.8	33.8
170	29.3	33.8
171	29.9	33.8
172	30.3	33.7
173	30.7	33.7
174	31.0	33.7
175	31.3	33.7
176	31.5	33.6
177	31.5	33.6
178	30.7	33.6
179	30.3	33.5
180	30.4	33.5
181	30.4	33.4
182	29.3	33.4
183	28.8	33.4
184	28.6	33.4
185	29.3	33.4
186	29.8	33.4
187	30.3	33.3
188	30.7	33.3
189	31.2	33.3
190	31.5	33.3
191	32.1	33.3
192	32.6	33.3
193	32.8	33.2
194	33.1	33.2
195	33.3	33.2
196	33.4	33.2
197	33.6	33.2
198	33.8	33.2
199	33.9	33.2
200	33.9	33.2
201	33.8	33.2
202	32.8	33.1
203	31.9	33.1
204	31.2	33.1
205	30.7	33.1
206	30.5	33.1
207	30.4	33.1
208	30.8	33.1
209	31.5	33.1
210	31.7	32.9
211	31.8	32.9
212	32.2	32.9
213	32.2	32.9
214	32.2	32.9
215	32.3	32.9
216	32.6	32.9
217	32.6	32.8
218	32.6	32.8
219	32.7	32.8
220	32.7	32.8
221	32.7	32.8
222	32.7	32.8
223	32.7	32.8
224	32.7	32.7
225	32.6	32.7
226	31.5	32.7
227	30.5	32.7
228	29.8	32.7
229	29.4	32.7
230	29.0	32.7
231	29.0	32.7
232	29.3	32.7
233	29.9	32.7
234	30.2	32.7
235	30.4	32.7
236	30.9	32.6
237	30.5	32.6
238	30.8	32.6
239	30.9	32.6
240	31.0	32.6
241	31.3	32.6
242	31.4	32.6
243	31.5	32.6
244	31.7	32.6
245	31.7	32.6
246	31.7	32.6
247	31.7	32.6
248	31.8	32.6
249	31.5	32.5
250	29.8	32.5
251	28.1	32.5
252	26.6	32.4
253	25.6	32.4
254	25.0	32.4
255	24.9	32.4
256	25.4	32.4
257	26.4	32.4
258	27.1	32.4
259	27.9	32.3
260	28.5	32.3
261	29.3	32.3
262	30.0	32.3
263	30.8	32.3
264	31.4	32.3
265	32.8	32.3
266	34.6	32.3
267	36.2	32.3
268	37.2	32.2
269	38.1	32.2
270	39.1	32.2
271	39.9	32.2
272	40.6	32.2
273	40.5	32.1
274	39.6	32.1
275	38.7	32.1
276	37.6	32.1
277	37.2	32.1
278	37.9	32.1
279	38.2	32.1
280	38.9	32.1
281	40.0	32.0
282	40.3	31.9
283	40.6	31.9
284	41.0	31.9
285	41.3	31.9
286	41.6	31.9
287	42.0	31.9
288	42.3	31.9
289	41.8	31.8
290	41.4	31.8
291	40.0	31.8
292	39.4	31.8
293	38.9	31.8
294	38.4	31.8
295	38.0	31.8
296	37.6	31.8
297	37.2	31.8
298	35.6	31.8
299	34.1	31.8
300	32.9	31.8
301	32.1	31.7
302	31.7	31.7
303	31.5	31.7
304	31.9	31.7
305	32.7	31.7
306	32.6	31.7
307	32.6	31.7
308	32.6	31.7
309	32.6	31.7
310	32.7	31.7
311	32.4	31.7
312	32.4	31.7
313	32.9	31.7
314	33.4	31.7
315	33.9	31.7
316	34.2	31.7
317	34.6	31.6
318	34.8	31.6
319	35.1	31.6
320	35.2	31.6
321	35.2	31.6
322	34.6	31.6
323	33.6	31.6
324	32.9	31.5
325	32.6	31.5
326	32.3	31.5
327	32.3	31.5
328	32.6	31.5
329	33.1	31.5
330	33.7	31.5
331	34.1	31.5
332	34.6	31.5
333	35.1	31.5
334	35.5	31.5
335	36.0	31.5
336	36.5	31.5
337	37.2	31.4
338	37.2	31.4
339	37.6	31.4
340	37.9	31.4
341	38.1	31.4
342	38.2	31.4
343	38.5	31.4
344	38.6	31.4
345	38.5	31.4
346	37.5	31.4
347	36.7	31.4
348	36.1	31.3
349	35.6	31.3
350	35.5	31.3
351	35.7	31.3
352	36.1	31.3
353	36.6	31.3
354	36.7	31.2
355	36.7	31.2
356	36.8	31.2
357	37.0	31.2
358	37.0	31.2
359	37.0	31.2
360	37.1	31.2
361	37.0	31.1
362	36.8	31.1
363	36.7	31.1
364	36.5	31.1
365	36.3	31.0
366	36.2	31.0
367	36.1	31.0
368	36.0	31.0
369	35.7	31.0
370	35.2	30.9
371	34.7	30.9
372	34.3	30.9
373	33.9	30.9
374	30.9	30.9
375	29.3	30.9
376	28.8	30.9
377	29.8	30.9
378	30.0	30.9
379	30.2	30.9
380	30.4	30.9
381	30.7	30.9
382	30.8	30.9
383	31.0	30.9
384	31.2	30.8
385	31.8	30.8
386	32.3	30.8
387	32.9	30.8
388	33.2	30.8
389	33.4	30.8
390	33.8	30.8
391	33.9	30.7
392	34.2	30.7
393	33.9	30.7
394	30.5	30.7
395	27.4	30.7
396	24.6	30.7
397	22.8	30.7
398	22.0	30.7
399	22.0	30.7
400	23.2	30.7
401	25.5	30.7
402	25.7	30.7
403	26.1	30.7
404	26.4	30.6
405	26.8	30.6
406	27.0	30.6
407	27.4	30.6
408	27.6	30.6
409	27.9	30.5
410	28.0	30.5
411	28.3	30.5
412	28.3	30.5
413	28.4	30.5
414	28.4	30.4
415	28.4	30.4
416	28.5	30.4
417	28.3	30.4
418	27.9	30.4
419	27.4	30.4
420	27.0	30.4
421	26.5	30.4
422	23.2	30.4
423	21.6	30.4
424	21.1	30.4
425	22.2	30.4
426	22.5	30.4
427	22.7	30.4
428	23.0	30.4
429	23.1	30.4
430	23.3	30.4
431	23.6	30.4
432	23.8	30.3
433	24.2	30.3
434	24.6	30.3
435	25.0	30.3
436	25.1	30.3
437	25.2	30.3
438	25.5	30.2
439	25.5	30.2
440	25.6	30.2
441	25.5	30.2
442	25.1	30.2
443	24.9	30.2
444	24.5	30.2
445	24.4	30.2
446	21.5	30.2
447	19.6	30.2
448	18.8	30.2
449	19.8	30.2
450	20.2	30.2
451	20.7	30.2
452	21.1	30.2
453	21.6	30.2
454	22.1	30.1
455	22.5	30.1
456	23.0	30.1
457	23.5	30.1
458	24.1	30.1
459	24.7	30.1
460	25.1	30.1
461	25.5	30.1
462	25.9	30.1
463	26.0	30.1
464	26.2	30.1
465	26.1	30.0
466	25.7	30.0
467	25.6	30.0
468	25.2	30.0
469	25.0	30.0
470	22.6	30.0
471	21.6	30.0
472	21.3	30.0
473	22.2	29.9
474	22.5	29.9
475	22.6	29.9
476	22.8	29.9
477	23.1	29.9
478	23.2	29.9
479	23.5	29.9
480	23.6	29.9
481	23.6	29.9
482	23.6	29.9
483	23.5	29.8
484	23.5	29.8
485	23.3	29.8
486	23.3	29.8
487	23.2	29.8
488	23.2	29.8
489	23.0	29.8
490	20.8	29.8
491	18.8	29.8
492	16.9	29.8
493	15.4	29.8
494	14.4	29.8
495	14.3	29.8
496	14.9	29.8
497	16.3	29.8
498	16.7	29.8
499	17.2	29.8
500	17.5	29.7
501	18.0	29.7
502	18.5	29.7
503	18.9	29.7
504	19.4	29.7
505	20.2	29.7
506	20.8	29.6
507	21.6	29.6
508	21.8	29.6
509	22.2	29.6
510	22.5	29.6
511	22.7	29.6
512	22.8	29.5
513	22.6	29.5
514	20.2	29.5
515	18.3	29.5
516	16.2	29.5
517	14.8	29.5
518	13.0	29.4
519	12.2	29.4
520	12.4	29.4
521	14.0	29.4
522	15.1	29.4
523	16.2	29.4
524	17.3	29.4
525	18.4	29.4
526	19.4	29.4
527	20.6	29.4
528	21.6	29.4
529	22.8	29.4
530	24.2	29.4
531	25.5	29.3
532	26.2	29.3
533	26.9	29.3
534	27.6	29.3
535	28.0	29.3
536	28.5	29.3
537	27.8	29.3
538	23.7	29.3
539	20.2	29.3
540	17.5	29.3
541	15.5	29.3
542	14.4	29.3
543	14.3	29.3
544	15.3	29.3
545	17.8	29.3
546	19.3	29.3
547	20.8	29.3
548	22.3	29.3
549	23.8	29.3
550	25.4	29.3
551	26.9	29.3
552	28.4	29.3
553	29.8	29.3
554	31.3	29.3
555	32.8	29.3
556	33.7	29.3
557	34.6	29.2
558	35.5	29.2
559	36.1	29.2
560	36.7	29.2
561	36.5	29.2
562	33.9	29.2
563	31.4	29.1
564	29.8	29.1
565	28.9	29.1
566	27.6	29.1
567	27.3	29.1
568	27.5	29.1
569	29.4	29.0
570	29.8	29.0
571	30.2	29.0
572	30.4	29.0
573	30.8	29.0
574	31.2	29.0
575	31.5	29.0
576	31.9	29.0
577	31.4	29.0
578	30.9	29.0
579	30.4	29.0
580	30.0	29.0
581	29.8	28.9
582	29.4	28.9
583	29.1	28.9
584	29.0	28.9
585	28.6	28.9
586	27.6	28.9
587	27.9	28.9
588	26.4	28.9
589	25.5	28.9
590	25.2	28.9
591	25.4	28.9
592	25.1	28.9
593	26.0	28.9
594	26.1	28.9
595	26.0	28.9
596	25.9	28.9
597	25.9	28.9
598	25.9	28.9
599	25.7	28.9
600	25.6	28.8
601	26.0	28.8
602	26.2	28.8
603	26.5	28.8
604	26.6	28.8
605	26.8	28.8
606	26.9	28.8
607	27.0	28.8
608	27.0	28.8
609	25.9	28.8
610	23.0	28.8
611	21.5	28.8
612	20.1	28.8
613	17.3	28.7
614	15.4	28.7
615	14.3	28.7
616	14.1	28.7
617	15.5	28.7
618	17.5	28.7
619	17.9	28.7
620	18.2	28.7
621	18.5	28.7
622	18.9	28.7
623	19.3	28.7
624	19.7	28.7
625	20.1	28.6
626	20.6	28.6
627	21.1	28.6
628	21.3	28.6
629	21.6	28.6
630	21.8	28.5
631	22.0	28.5
632	22.2	28.5
633	22.1	28.5
634	21.7	28.5
635	21.3	28.5
636	21.2	28.5
637	20.9	28.5
638	21.6	28.5
639	20.8	28.5
640	21.3	28.5
641	21.3	28.5
642	21.6	28.5
643	22.0	28.5
644	22.6	28.5
645	22.8	28.4
646	23.2	28.4
647	23.6	28.4
648	24.1	28.4
649	24.5	28.4
650	25.1	28.4
651	25.7	28.4
652	25.9	28.4
653	26.1	28.4
654	26.5	28.4
655	26.6	28.4
656	26.9	28.4
657	26.5	28.4
658	25.1	28.4
659	24.6	28.4
660	23.7	28.4
661	23.1	28.4
662	22.7	28.4
663	22.8	28.4
664	23.2	28.4
665	23.8	28.3
666	24.5	28.3
667	24.9	28.3
668	25.1	28.3
669	25.4	28.3
670	25.7	28.3
671	26.0	28.3
672	26.4	28.3
673	26.5	28.3
674	26.5	28.3
675	26.6	28.3
676	26.6	28.3
677	26.6	28.3
678	26.6	28.3
679	26.6	28.3
680	26.6	28.3
681	26.2	28.3
682	23.8	28.3
683	22.1	28.3
684	19.4	28.3
685	17.2	28.2
686	16.4	28.2
687	16.4	28.2
688	17.3	28.2
689	18.3	28.2
690	19.8	28.2
691	19.9	28.2
692	20.2	28.2
693	20.4	28.2
694	20.7	28.2
695	20.9	28.2
696	21.2	28.2
697	21.6	28.2
698	22.1	28.2
699	22.5	28.2
700	22.7	28.1
701	23.0	28.1
702	23.1	28.1
703	23.3	28.1
704	23.5	28.1
705	23.1	28.1
706	22.3	28.1
707	21.6	28.1
708	21.2	28.1
709	21.1	28.1
710	18.0	28.1
711	16.4	28.1
712	15.9	28.1
713	16.7	28.1
714	17.8	28.1
715	18.0	28.1
716	18.4	28.0
717	18.7	28.0
718	18.9	28.0
719	19.2	28.0
720	19.6	28.0
721	19.8	28.0
722	20.1	28.0
723	20.3	28.0
724	20.3	28.0
725	20.4	28.0
726	20.4	28.0
727	20.6	28.0
728	20.6	28.0
729	20.2	28.0
730	18.4	27.9
731	17.2	27.9
732	15.6	27.9
733	13.9	27.9
734	12.6	27.9
735	12.0	27.9
736	13.5	27.9
737	14.6	27.9
738	15.6	27.9
739	15.9	27.9
740	16.0	27.9
741	16.2	27.9
742	16.3	27.9
743	16.5	27.9
744	16.7	27.9
745	16.1	27.9
746	16.5	27.9
747	17.0	27.9
748	17.2	27.8
749	17.5	27.8
750	17.7	27.8
751	17.8	27.8
752	18.0	27.8
753	17.8	27.8
754	16.4	27.8
755	16.3	27.8
756	15.3	27.8
757	14.3	27.8
758	13.9	27.8
759	13.9	27.8
760	13.9	27.8
761	14.2	27.8
762	14.9	27.8
763	15.3	27.8
764	15.8	27.7
765	16.3	27.7
766	16.9	27.7
767	17.2	27.7
768	17.7	27.7
769	18.1	27.7
770	18.4	27.7
771	18.8	27.7
772	19.0	27.6
773	19.1	27.6
774	19.3	27.6
775	19.3	27.6
776	19.3	27.6
777	18.3	27.6
778	16.9	27.6
779	16.3	27.6
780	15.2	27.6
781	13.9	27.6
782	14.6	27.6
783	15.3	27.5
784	15.9	27.5
785	16.3	27.5
786	16.8	27.5
787	17.2	27.5
788	17.6	27.5
789	18.1	27.5
790	18.6	27.5
791	18.9	27.5
792	19.4	27.5
793	20.2	27.5
794	21.3	27.5
795	21.6	27.5
796	22.0	27.5
797	22.4	27.5
798	22.6	27.5
799	22.8	27.4
800	23.0	27.4
801	22.7	27.4
802	22.1	27.4
803	21.3	27.4
804	20.9	27.4
805	20.7	27.4
806	20.7	27.4
807	20.6	27.4
808	20.6	27.4
809	20.9	27.4
810	21.4	27.4
811	22.0	27.4
812	22.6	27.4
813	23.3	27.4
814	23.9	27.4
815	24.6	27.4
816	25.3	27.4
817	26.3	27.4
818	27.5	27.4
819	28.7	27.4
820	29.3	27.4
821	30.0	27.3
822	30.4	27.3
823	30.8	27.3
824	30.9	27.3
825	30.2	27.3
826	29.0	27.3
827	28.2	27.2
828	27.4	27.2
829	27.1	27.2
830	27.2	27.2
831	27.9	27.2
832	28.8	27.2
833	29.5	27.2
834	30.1	27.2
835	30.0	27.2
836	29.8	27.2
837	29.7	27.2
838	29.5	27.2
839	29.4	27.2
840	29.3	27.2
841	28.9	27.2
842	28.3	27.1
843	27.8	27.1
844	27.5	27.1
845	27.4	27.1
846	27.0	27.1
847	26.6	27.1
848	26.5	27.1
849	26.2	27.1
850	25.7	27.1
851	25.3	27.0
852	25.0	27.0
853	24.6	27.0
854	22.0	27.0
855	20.5	27.0
856	19.7	27.0
857	19.9	27.0
858	20.7	27.0
859	20.9	27.0
860	21.2	27.0
861	21.5	27.0
862	21.8	27.0
863	22.0	27.0
864	22.4	27.0
865	23.2	27.0
866	24.0	27.0
867	25.0	27.0
868	25.4	27.0
869	25.9	27.0
870	26.3	27.0
871	26.6	27.0
872	26.8	26.9
873	26.8	26.9
874	26.6	26.9
875	26.5	26.9
876	26.5	26.9
877	26.8	26.9
878	25.3	26.9
879	24.7	26.9
880	24.5	26.9
881	24.7	26.9
882	25.2	26.9
883	25.3	26.9
884	25.6	26.9
885	25.7	26.9
886	25.9	26.9
887	26.0	26.9
888	26.2	26.9
889	26.0	26.9
890	25.8	26.9
891	25.6	26.9
892	25.4	26.9
893	25.3	26.8
894	25.2	26.8
895	25.1	26.8
896	25.1	26.8
897	24.9	26.8
898	23.9	26.8
899	23.1	26.8
900	22.4	26.8
901	22.0	26.8
902	21.5	26.8
903	21.4	26.8
904	21.4	26.8
905	21.8	26.8
906	22.1	26.8
907	22.4	26.8
908	22.6	26.8
909	23.0	26.8
910	23.2	26.8
911	24.0	26.7
912	23.8	26.7
913	24.9	26.7
914	26.0	26.7
915	27.4	26.7
916	28.1	26.7
917	28.7	26.7
918	29.3	26.6
919	29.7	26.6
920	29.7	26.6
921	29.4	26.6
922	28.7	26.6
923	27.9	26.6
924	27.2	26.6
925	26.9	26.6
926	26.6	26.6
927	26.6	26.6
928	26.9	26.6
929	27.4	26.6
930	28.1	26.6
931	28.7	26.6
932	29.4	26.6
933	30.1	26.6
934	30.9	26.6
935	31.5	26.6
936	32.2	26.6
937	32.5	26.6
938	32.7	26.6
939	33.1	26.6
940	33.2	26.6
941	33.3	26.6
942	33.4	26.6
943	33.5	26.6
944	33.5	26.5
945	32.5	26.5
946	30.7	26.5
947	29.0	26.5
948	27.5	26.5
949	26.4	26.5
950	25.8	26.5
951	25.6	26.5
952	25.8	26.5
953	26.6	26.5
954	27.8	26.5
955	27.9	26.5
956	28.2	26.5
957	28.3	26.5
958	28.5	26.5
959	28.7	26.5
960	28.8	26.5
961	28.9	26.5
962	29.3	26.5
963	29.1	26.5
964	29.3	26.5
965	29.3	26.5
966	29.3	26.5
967	29.3	26.5
968	29.1	26.5
969	28.9	26.5
970	27.7	26.4
971	26.8	26.4
972	25.4	26.4
973	25.0	26.4
974	24.6	26.4
975	24.5	26.4
976	24.9	26.4
977	25.4	26.4
978	26.0	26.4
979	26.4	26.4
980	27.2	26.4
981	27.1	26.4
982	27.4	26.4
983	27.7	26.4
984	27.9	26.4
985	28.4	26.4
986	28.9	26.4
987	29.4	26.4
988	29.5	26.4
989	29.7	26.3
990	29.8	26.3
991	30.1	26.3
992	30.0	26.3
993	28.9	26.3
994	27.1	26.3
995	25.2	26.3
996	23.7	26.3
997	22.4	26.3
998	21.5	26.3
999	21.2	26.3
1000	21.5	26.3
1001	22.4	26.3
1002	23.5	26.2
1003	24.3	26.2
1004	25.0	26.2
1005	25.7	26.2
1006	26.4	26.2
1007	27.0	26.2
1008	27.7	26.2
1009	28.4	26.2
1010	29.3	26.2
1011	30.1	26.2
1012	30.6	26.2
1013	31.0	26.2
1014	31.4	26.2
1015	31.6	26.2
1016	31.8	26.2
1017	30.7	26.1
1018	28.9	26.1
1019	27.1	26.1
1020	25.7	26.1
1021	24.7	26.1
1022	24.3	26.1
1023	24.1	26.1
1024	24.3	26.0
1025	25.2	26.0
1026	26.5	26.0
1027	26.6	26.0
1028	26.6	26.0
1029	26.8	26.0
1030	26.9	26.0
1031	27.0	26.0
1032	27.1	26.0
1033	26.9	26.0
1034	26.5	26.0
1035	26.0	26.0
1036	25.9	26.0
1037	25.7	26.0
1038	25.4	26.0
1039	25.3	26.0
1040	25.2	26.0
1041	24.1	26.0
1042	22.7	26.0
1043	21.4	26.0
1044	20.3	26.0
1045	19.5	26.0
1046	18.9	26.0
1047	18.7	26.0
1048	18.7	25.9
1049	19.3	25.9
1050	20.0	25.9
1051	20.5	25.9
1052	21.3	25.9
1053	21.5	25.9
1054	22.1	25.9
1055	22.7	25.9
1056	23.1	25.9
1057	24.9	25.9
1058	26.9	25.9
1059	28.9	25.9
1060	30.0	25.9
1061	31.0	25.9
1062	31.9	25.9
1063	32.6	25.9
1064	32.9	25.9
1065	32.7	25.9
1066	32.3	25.9
1067	32.1	25.9
1068	31.8	25.9
1069	31.6	25.8
1070	31.5	25.8
1071	31.8	25.8
1072	32.0	25.8
1073	32.5	25.8
1074	33.1	25.8
1075	33.8	25.8
1076	34.5	25.8
1077	35.2	25.7
1078	35.8	25.7
1079	36.5	25.7
1080	37.2	25.7
1081	37.1	25.7
1082	37.0	25.7
1083	36.9	25.7
1084	36.7	25.7
1085	36.7	25.7
1086	36.6	25.7
1087	36.6	25.7
1088	36.5	25.7
1089	34.7	25.7
1090	32.3	25.7
1091	30.2	25.7
1092	27.9	25.7
1093	26.5	25.7
1094	25.6	25.7
1095	25.1	25.7
1096	25.1	25.7
1097	26.0	25.6
1098	27.7	25.6
1099	27.8	25.6
1100	27.9	25.6
1101	28.2	25.6
1102	28.3	25.6
1103	28.4	25.6
1104	28.5	25.6
1105	28.8	25.6
1106	28.9	25.6
1107	29.1	25.6
1108	29.1	25.6
1109	29.3	25.6
1110	29.3	25.6
1111	29.3	25.6
1112	29.1	25.6
1113	26.9	25.5
1114	26.6	25.5
1115	25.0	25.5
1116	23.0	25.5
1117	20.6	25.5
1118	19.7	25.5
1119	19.5	25.5
1120	20.2	25.5
1121	21.5	25.5
1122	22.7	25.5
1123	23.1	25.5
1124	23.5	25.5
1125	24.0	25.5
1126	24.4	25.5
1127	24.9	25.5
1128	25.3	25.5
1129	25.9	25.5
1130	26.5	25.5
1131	27.2	25.5
1132	27.5	25.5
1133	27.8	25.5
1134	28.1	25.4
1135	28.2	25.4
1136	28.2	25.4
1137	25.7	25.4
1138	22.6	25.4
1139	19.7	25.4
1140	17.2	25.4
1141	15.3	25.4
1142	14.0	25.4
1143	13.4	25.4
1144	13.7	25.4
1145	15.0	25.4
1146	17.1	25.4
1147	18.2	25.4
1148	19.3	25.4
1149	20.2	25.4
1150	21.3	25.3
1151	22.4	25.3
1152	23.4	25.3
1153	24.5	25.3
1154	25.6	25.3
1155	26.8	25.3
1156	27.4	25.3
1157	28.1	25.3
1158	28.4	25.3
1159	28.9	25.3
1160	29.0	25.3
1161	28.2	25.3
1162	27.1	25.3
1163	26.0	25.3
1164	25.2	25.3
1165	24.6	25.3
1166	24.4	25.3
1167	24.1	25.3
1168	24.3	25.3
1169	24.9	25.3
1170	25.7	25.2
1171	26.4	25.2
1172	27.0	25.2
1173	27.6	25.2
1174	28.3	25.2
1175	28.9	25.2
1176	29.5	25.2
1177	29.7	25.2
1178	30.0	25.2
1179	30.2	25.2
1180	30.2	25.2
1181	30.3	25.2
1182	30.4	25.2
1183	30.4	25.2
1184	30.3	25.1
1185	27.6	25.1
1186	24.5	25.1
1187	21.5	25.1
1188	18.9	25.1
1189	16.9	25.1
1190	15.6	25.1
1191	14.9	25.1
1192	15.2	25.1
1193	16.6	25.1
1194	18.8	25.1
1195	19.1	25.1
1196	19.4	25.1
1197	19.7	25.1
1198	20.1	25.1
1199	20.5	25.1
1200	20.7	25.1
1201	21.0	25.1
1202	21.4	25.0
1203	21.8	25.0
1204	22.0	25.0
1205	22.2	25.0
1206	22.4	25.0
1207	22.5	25.0
1208	22.4	25.0
1209	21.4	25.0
1210	20.0	25.0
1211	18.9	25.0
1212	18.0	25.0
1213	17.2	25.0
1214	16.8	25.0
1215	16.6	25.0
1216	16.8	25.0
1217	17.5	24.9
1218	18.4	24.9
1219	18.6	24.9
1220	18.9	24.9
1221	19.3	24.9
1222	19.5	24.9
1223	19.9	24.9
1224	20.2	24.9
1225	20.5	24.9
1226	20.6	24.9
1227	20.6	24.9
1228	20.6	24.9
1229	20.6	24.9
1230	20.6	24.9
1231	20.6	24.9
1232	20.3	24.9
1233	18.1	24.9
1234	15.3	24.9
1235	12.4	24.9
1236	10.0	24.9
1237	8.1	24.8
1238	8.2	24.8
1239	8.2	24.8
1240	8.2	24.8
1241	8.2	24.8
1242	9.9	24.8
1243	10.5	24.8
1244	11.2	24.8
1245	11.8	24.8
1246	12.5	24.8
1247	13.1	24.7
1248	13.8	24.7
1249	15.0	24.7
1250	16.2	24.7
1251	17.5	24.7
1252	18.1	24.7
1253	18.7	24.7
1254	19.1	24.7
1255	19.6	24.7
1256	19.4	24.7
1257	17.6	24.7
1258	15.7	24.7
1259	13.4	24.7
1260	11.5	24.7
1261	10.3	24.6
1262	9.2	24.6
1263	8.8	24.6
1264	9.4	24.6
1265	10.3	24.6
1266	11.9	24.6
1267	13.3	24.6
1268	14.7	24.6
1269	16.2	24.6
1270	17.5	24.6
1271	18.9	24.6
1272	20.3	24.6
1273	21.5	24.6
1274	22.8	24.6
1275	24.1	24.6
1276	24.9	24.6
1277	25.6	24.5
1278	26.0	24.5
1279	26.5	24.5
1280	26.5	24.5
1281	24.0	24.5
1282	21.3	24.5
1283	18.7	24.5
1284	16.5	24.5
1285	14.9	24.5
1286	14.2	24.5
1287	13.8	24.5
1288	14.0	24.5
1289	15.2	24.5
1290	17.1	24.5
1291	18.3	24.5
1292	19.4	24.5
1293	20.6	24.4
1294	21.8	24.4
1295	22.8	24.4
1296	24.0	24.4
1297	24.7	24.4
1298	25.6	24.4
1299	26.4	24.4
1300	26.8	24.4
1301	27.2	24.4
1302	27.5	24.4
1303	27.8	24.4
1304	27.6	24.3
1305	24.5	24.3
1306	21.3	24.3
1307	18.2	24.3
1308	15.6	24.3
1309	13.6	24.3
1310	12.4	24.3
1311	11.9	24.3
1312	12.1	24.3
1313	13.7	24.3
1314	15.9	24.3
1315	16.6	24.3
1316	17.5	24.3
1317	18.2	24.3
1318	18.9	24.3
1319	19.7	24.3
1320	20.5	24.3
1321	21.0	24.3
1322	21.5	24.3
1323	22.0	24.2
1324	22.4	24.2
1325	22.6	24.2
1326	22.7	24.2
1327	23.0	24.2
1328	22.8	24.2
1329	23.0	24.2
1330	22.4	24.2
1331	22.1	24.1
1332	21.9	24.1
1333	21.8	24.1
1334	19.6	24.1
1335	18.4	24.1
1336	17.8	24.1
1337	17.8	24.1
1338	18.4	24.1
1339	19.1	24.1
1340	20.0	24.1
1341	20.7	24.1
1342	21.4	24.1
1343	22.2	24.1
1344	23.0	24.1
1345	23.8	24.1
1346	24.6	24.1
1347	25.6	24.1
1348	26.0	24.1
1349	26.5	24.1
1350	26.9	24.0
1351	27.2	24.0
1352	27.2	24.0
1353	26.9	24.0
1354	26.5	24.0
1355	26.5	24.0
1356	26.2	24.0
1357	25.8	24.0
1358	23.8	24.0
1359	22.5	24.0
