# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.7	88.1
2	20.1	87.6
3	21.5	86.7
4	22.1	85.9
5	22.7	85.3
6	23.2	84.5
7	23.5	84.5
8	35.0	84.2
9	34.4	83.7
10	30.5	83.1
11	26.9	82.3
12	23.8	80.6
13	21.8	80.3
14	20.7	80.0
15	20.7	80.0
16	22.1	79.7
17	24.1	79.2
18	26.0	78.3
19	27.7	78.3
20	29.4	77.8
21	31.1	77.8
22	32.7	77.5
23	34.7	77.4
24	36.4	77.4
25	28.5	77.4
26	32.5	77.1
27	36.1	76.9
28	38.3	76.9
29	40.3	76.7
30	42.5	76.6
31	43.9	76.4
32	56.8	76.4
33	56.8	76.4
34	51.8	76.3
35	47.6	76.1
36	43.6	75.8
37	41.4	75.8
38	40.3	75.8
39	40.3	75.8
40	42.5	75.8
41	46.2	75.5
42	47.6	75.5
43	49.0	75.5
44	50.4	75.5
45	51.5	75.3
46	52.9	75.3
47	54.3	75.0
48	55.7	74.4
49	44.2	74.4
50	43.6	74.3
51	43.1	74.3
52	42.8	74.1
53	42.5	74.1
54	42.2	74.1
55	42.0	74.1
56	52.9	73.9
57	52.3	73.6
58	47.8	73.6
59	43.9	73.5
60	41.4	73.5
61	39.4	73.3
62	38.3	73.3
63	38.3	73.2
64	39.4	73.0
65	41.7	73.0
66	42.5	72.9
67	43.1	72.9
68	43.6	72.6
69	44.2	72.6
70	45.0	72.6
71	45.6	72.5
72	46.2	72.5
73	36.1	72.5
74	38.1	72.4
75	39.2	72.2
76	39.7	71.9
77	40.6	71.8
78	41.1	71.8
79	41.7	71.6
80	53.4	71.5
81	53.4	71.5
82	52.0	71.5
83	50.9	71.3
84	50.4	71.1
85	50.1	71.1
86	49.8	71.0
87	50.1	71.0
88	50.6	70.7
89	51.5	70.5
90	52.3	70.5
91	52.9	70.4
92	53.7	70.4
93	54.3	70.4
94	55.1	70.2
95	56.0	70.1
96	57.6	69.9
97	45.6	69.9
98	45.6	69.9
99	45.6	69.8
100	45.9	69.7
101	45.6	69.7
102	45.6	69.7
103	45.6	69.7
104	56.8	69.4
105	56.5	69.4
106	54.3	69.4
107	52.0	69.3
108	50.1	69.3
109	49.0	69.1
110	48.1	69.0
111	47.8	69.0
112	48.7	69.0
113	50.1	69.0
114	50.9	68.9
115	51.8	68.8
116	52.6	68.7
117	53.4	68.7
118	54.6	68.7
119	55.1	68.7
120	56.8	68.7
121	45.9	68.7
122	47.3	68.5
123	48.7	68.4
124	49.5	68.4
125	50.1	68.4
126	50.6	68.3
127	51.2	68.1
128	63.0	68.1
129	63.0	68.0
130	61.3	67.9
131	59.6	67.9
132	58.5	67.9
133	57.6	67.9
134	57.4	67.7
135	57.4	67.7
136	57.9	67.7
137	59.3	67.6
138	59.9	67.6
139	60.7	67.6
140	61.3	67.4
141	62.1	67.4
142	63.0	67.4
143	63.5	67.1
144	64.4	67.1
145	53.2	67.1
146	53.4	67.0
147	53.4	67.0
148	53.4	67.0
149	53.4	66.9
150	53.4	66.9
151	53.4	66.9
152	64.6	66.7
153	63.8	66.7
154	58.5	66.7
155	53.7	66.6
156	49.5	66.6
157	46.4	66.6
158	44.8	66.6
159	45.0	66.6
160	47.3	66.6
161	50.4	66.6
162	51.2	66.6
163	52.0	66.6
164	52.9	66.6
165	53.7	66.5
166	54.6	66.5
167	55.7	66.5
168	56.5	66.5
169	47.0	66.3
170	48.1	66.3
171	49.5	66.3
172	50.4	66.3
173	51.2	66.3
174	52.0	66.2
175	52.6	66.2
176	64.4	66.2
177	64.4	66.0
178	62.4	66.0
179	61.6	66.0
180	61.8	66.0
181	61.8	66.0
182	59.3	65.9
183	58.2	65.9
184	57.9	65.8
185	59.3	65.8
186	60.4	65.7
187	61.6	65.7
188	62.4	65.7
189	63.5	65.7
190	64.4	65.7
191	65.5	65.7
192	66.6	65.6
193	56.0	65.6
194	56.5	65.6
195	57.1	65.6
196	57.4	65.6
197	57.6	65.5
198	58.2	65.5
199	58.5	65.5
200	69.7	65.5
201	69.4	65.5
202	67.1	65.3
203	65.2	65.3
204	63.5	65.3
205	62.4	65.2
206	62.1	65.2
207	61.8	65.2
208	62.7	65.2
209	64.4	65.2
210	64.6	65.2
211	64.9	65.0
212	65.7	65.0
213	65.7	65.0
214	65.7	65.0
215	66.0	65.0
216	66.6	65.0
217	55.4	65.0
218	55.4	64.9
219	55.7	64.9
220	55.7	64.9
