# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.6	78.0
2	17.8	77.5
3	19.1	76.7
4	19.5	76.0
5	20.0	75.5
6	20.5	74.7
7	20.8	74.7
8	30.9	74.5
9	30.4	74.0
10	27.0	73.5
11	23.8	72.8
12	21.0	71.3
13	19.3	71.0
14	18.3	70.9
15	18.3	70.8
16	19.5	70.5
17	21.3	70.0
18	23.0	69.4
19	24.5	69.3
20	26.0	68.8
21	27.5	68.8
22	29.0	68.6
23	30.7	68.6
24	32.2	68.6
25	25.2	68.5
26	28.7	68.1
27	31.9	68.1
28	33.9	67.9
29	35.6	67.8
30	37.6	67.6
31	38.9	67.6
32	50.2	67.6
33	50.2	67.6
34	45.8	67.3
35	42.1	67.1
36	38.6	67.1
37	36.6	67.1
38	35.6	67.1
39	35.6	67.1
40	37.6	67.0
41	40.8	66.9
42	42.1	66.8
43	43.3	66.6
44	44.5	66.6
45	45.5	66.3
46	46.8	65.9
47	48.0	65.9
48	49.2	65.8
49	39.1	65.8
50	38.6	65.6
51	38.1	65.6
52	37.9	65.6
53	37.6	65.6
54	37.4	65.6
55	37.1	65.6
56	46.8	65.1
57	46.3	65.1
58	42.3	65.1
59	38.9	65.1
60	36.6	64.9
61	34.9	64.8
62	33.9	64.8
63	33.9	64.6
64	34.9	64.6
65	36.9	64.6
66	37.6	64.6
67	38.1	64.4
68	38.6	64.4
69	39.1	64.2
70	39.8	64.1
71	40.3	64.1
72	40.8	64.1
73	31.9	64.1
74	33.7	63.8
75	34.6	63.6
76	35.1	63.6
77	35.9	63.6
78	36.4	63.4
79	36.9	63.4
80	47.3	63.4
81	47.3	63.1
82	46.0	63.1
83	45.0	62.9
84	44.5	62.9
85	44.3	62.9
86	44.0	62.6
87	44.3	62.4
88	44.8	62.4
89	45.5	62.4
90	46.3	62.4
91	46.8	62.4
92	47.5	62.2
93	48.0	62.1
94	48.8	62.1
95	49.5	61.9
96	51.0	61.9
97	40.3	61.9
98	40.3	61.9
99	40.3	61.7
100	40.6	61.6
101	40.3	61.6
102	40.3	61.6
103	40.3	61.6
104	50.2	61.4
105	50.0	61.4
106	48.0	61.4
107	46.0	61.4
108	44.3	61.1
109	43.3	61.1
110	42.6	61.1
111	42.3	61.1
112	43.1	61.1
113	44.3	60.9
114	45.0	60.9
115	45.8	60.9
116	46.5	60.9
117	47.3	60.9
118	48.3	60.9
119	48.8	60.9
120	50.2	60.6
121	40.6	60.6
122	41.8	60.6
123	43.1	60.6
124	43.8	60.4
125	44.3	60.4
126	44.8	60.4
127	45.3	60.3
128	55.7	60.1
129	55.7	60.1
130	54.2	60.1
131	52.7	60.1
132	51.7	59.9
133	51.0	59.9
134	50.7	59.9
135	50.7	59.9
136	51.2	59.9
137	52.5	59.9
138	53.0	59.6
139	53.7	59.6
140	54.2	59.6
141	54.9	59.4
142	55.7	59.4
143	56.2	59.4
144	56.9	59.4
145	47.0	59.4
146	47.3	59.1
147	47.3	59.1
148	47.3	59.1
149	47.3	59.1
150	47.3	59.1
151	47.3	59.1
152	57.2	59.0
153	56.4	58.9
154	51.7	58.9
155	47.5	58.9
156	43.8	58.9
157	41.1	58.9
158	39.6	58.9
159	39.8	58.9
160	41.8	58.9
161	44.5	58.9
162	45.3	58.9
163	46.0	58.9
164	46.8	58.9
165	47.5	58.7
166	48.3	58.6
167	49.2	58.6
168	50.0	58.6
169	41.6	58.6
170	42.6	58.6
171	43.8	58.4
172	44.5	58.4
173	45.3	58.4
174	46.0	58.4
175	46.5	58.4
176	56.9	58.3
177	56.9	58.2
178	55.2	58.2
179	54.4	58.2
180	54.7	58.2
181	54.7	58.2
182	52.5	58.2
183	51.5	58.1
184	51.2	58.1
185	52.5	58.1
186	53.5	58.1
187	54.4	58.1
188	55.2	57.9
189	56.2	57.9
190	56.9	57.9
191	57.9	57.9
192	58.9	57.9
193	49.5	57.8
194	50.0	57.8
195	50.5	57.7
196	50.7	57.7
197	51.0	57.7
198	51.5	57.7
199	51.7	57.6
200	61.6	57.6
201	61.4	57.6
202	59.4	57.6
203	57.7	57.6
204	56.2	57.6
205	55.2	57.6
206	54.9	57.4
207	54.7	57.4
208	55.4	57.4
209	56.9	57.4
210	57.2	57.4
211	57.4	57.4
212	58.2	57.4
213	58.2	57.4
214	58.2	57.4
215	58.4	57.2
216	58.9	57.2
217	49.0	57.2
218	49.0	57.2
219	49.2	57.1
220	49.2	57.1
221	49.2	57.1
222	49.2	57.1
223	49.2	56.9
224	59.1	56.9
225	58.9	56.9
226	56.9	56.9
227	54.9	56.9
228	53.5	56.9
229	52.7	56.9
230	52.0	56.9
231	52.0	56.9
232	52.5	56.9
233	53.7	56.9
234	54.2	56.9
235	54.7	56.9
236	55.7	56.9
237	54.9	56.7
238	55.4	56.7
239	55.7	56.7
240	55.9	56.7
241	46.5	56.7
242	46.8	56.6
243	47.0	56.6
244	47.3	56.6
245	47.3	56.6
246	47.3	56.5
247	47.3	56.5
248	57.4	56.5
249	56.9	56.4
250	53.5	56.4
251	50.2	56.4
252	47.3	56.4
253	45.3	56.2
254	44.0	56.2
255	43.8	56.2
256	44.8	56.2
257	46.8	56.2
258	48.3	56.2
259	49.7	56.2
260	51.0	56.2
261	52.5	56.1
262	53.9	56.1
263	55.4	56.0
264	56.7	56.0
265	49.5	55.9
266	53.0	55.9
267	56.2	55.9
268	58.2	55.9
269	59.9	55.9
270	61.9	55.9
271	63.4	55.9
272	74.7	55.9
273	74.5	55.9
274	72.8	55.7
275	71.0	55.7
276	68.8	55.7
277	68.1	55.7
278	69.3	55.7
279	70.0	55.7
280	71.3	55.6
281	73.5	55.6
282	74.0	55.6
283	74.7	55.6
284	75.5	55.6
285	76.0	55.4
286	76.7	55.4
287	77.5	55.4
288	78.0	55.4
289	67.1	55.4
290	66.3	55.4
291	63.6	55.4
292	62.4	55.4
293	61.4	55.4
294	60.4	55.4
295	59.6	55.4
296	68.8	55.2
297	68.1	55.2
298	64.8	55.2
299	61.9	55.2
300	59.6	55.1
301	57.9	55.1
302	57.2	55.1
303	56.9	54.9
304	57.7	54.9
305	59.1	54.9
306	58.9	54.9
307	58.9	54.9
308	58.9	54.9
309	58.9	54.9
310	59.1	54.9
311	58.6	54.9
312	58.6	54.9
313	49.7	54.9
314	50.7	54.9
315	51.7	54.9
316	52.2	54.9
317	53.0	54.7
318	53.5	54.7
319	53.9	54.7
320	64.1	54.7
321	64.1	54.7
322	62.9	54.7
323	60.9	54.7
324	59.6	54.6
325	58.9	54.6
326	58.4	54.6
327	58.4	54.4
328	58.9	54.4
329	59.9	54.4
330	61.1	54.4
331	61.9	54.4
332	62.9	54.4
333	63.8	54.4
334	64.6	54.4
335	65.6	54.2
336	66.6	54.2
337	58.2	54.2
338	58.2	54.2
339	58.9	54.2
340	59.4	54.1
341	59.9	54.1
342	60.1	54.1
343	60.6	54.1
344	70.8	54.1
345	70.5	53.9
346	68.5	53.9
347	67.1	53.9
348	65.8	53.9
349	64.8	53.9
350	64.6	53.9
351	65.1	53.8
352	65.8	53.7
353	66.8	53.7
354	67.1	53.7
355	67.1	53.6
356	67.3	53.6
357	67.6	53.6
358	67.6	53.6
359	67.6	53.6
360	67.8	53.6
361	57.7	53.6
362	57.4	53.5
363	57.2	53.5
364	56.7	53.5
365	56.4	53.5
366	56.2	53.5
367	55.9	53.5
368	65.6	53.5
369	65.1	53.5
370	64.1	53.5
371	63.1	53.4
372	62.4	53.4
373	61.6	53.4
374	55.7	53.4
375	52.5	53.4
376	51.5	53.3
377	53.5	53.3
378	53.9	53.1
379	54.2	53.1
380	54.7	53.1
381	55.2	53.1
382	55.4	53.0
383	55.9	53.0
384	56.2	53.0
385	47.5	53.0
386	48.5	53.0
387	49.7	53.0
388	50.2	52.9
389	50.7	52.9
390	51.5	52.9
391	51.7	52.9
392	62.1	52.9
393	61.6	52.8
394	54.9	52.7
395	48.8	52.7
396	43.3	52.7
397	39.8	52.6
398	38.1	52.6
399	38.1	52.6
400	40.6	52.6
401	45.0	52.6
402	45.5	52.6
403	46.3	52.6
404	46.8	52.5
405	47.5	52.5
406	48.0	52.5
407	48.8	52.5
408	49.2	52.5
409	39.8	52.5
410	40.1	52.4
411	40.6	52.4
412	40.6	52.4
413	40.8	52.4
414	40.8	52.2
415	40.8	52.1
416	51.0	52.1
417	50.5	52.1
418	49.7	52.1
419	48.8	52.1
420	48.0	52.1
421	47.0	52.1
422	40.6	52.1
423	37.4	52.1
424	36.4	52.0
425	38.6	52.0
426	39.1	52.0
427	39.6	51.9
428	40.1	51.9
429	40.3	51.9
430	40.8	51.9
431	41.3	51.9
432	41.8	51.9
433	32.7	51.9
434	33.4	51.9
435	34.2	51.8
436	34.4	51.7
437	34.6	51.7
438	35.1	51.7
439	35.1	51.7
440	45.3	51.7
441	45.0	51.7
442	44.3	51.7
443	43.8	51.6
444	43.1	51.6
445	42.8	51.6
446	37.1	51.6
447	33.4	51.6
448	31.9	51.5
449	33.9	51.5
450	34.6	51.5
451	35.6	51.5
452	36.4	51.4
453	37.4	51.4
454	38.4	51.4
455	39.1	51.4
456	40.1	51.4
457	31.2	51.4
458	32.4	51.4
459	33.7	51.4
460	34.4	51.3
461	35.1	51.3
462	35.9	51.2
463	36.1	51.2
464	46.5	51.2
465	46.3	51.2
466	45.5	51.2
467	45.3	51.2
468	44.5	51.2
469	44.0	51.2
470	39.3	51.2
471	37.4	51.2
472	36.9	51.2
473	38.6	51.2
474	39.1	51.0
475	39.3	51.0
476	39.8	51.0
477	40.3	51.0
478	40.6	51.0
479	41.1	51.0
480	41.3	51.0
481	31.4	51.0
482	31.4	51.0
483	31.2	51.0
484	31.2	50.9
485	30.9	50.9
486	30.9	50.9
487	30.7	50.9
488	40.6	50.9
489	40.1	50.7
490	35.9	50.7
491	31.9	50.7
492	28.2	50.7
493	25.2	50.7
494	23.3	50.7
495	23.0	50.7
496	24.3	50.7
497	27.0	50.7
498	27.7	50.7
499	28.7	50.7
500	29.4	50.7
501	30.4	50.7
502	31.4	50.7
503	32.2	50.7
504	33.2	50.7
505	24.7	50.5
506	26.0	50.5
507	27.5	50.5
508	28.0	50.5
509	28.7	50.5
510	29.2	50.5
511	29.7	50.4
512	39.8	50.4
513	39.3	50.4
514	34.6	50.4
515	30.9	50.4
516	26.7	50.4
517	24.0	50.3
518	20.5	50.3
519	19.1	50.3
520	19.3	50.2
521	22.5	50.2
522	24.7	50.2
523	26.7	50.2
524	29.0	50.2
525	31.2	50.2
526	33.2	50.2
527	35.4	50.2
528	37.4	50.2
529	29.9	50.1
530	32.7	50.1
531	35.1	50.0
532	36.6	50.0
533	37.9	50.0
534	39.3	49.9
535	40.1	49.9
536	51.0	49.9
537	49.5	49.9
538	41.6	49.8
539	34.6	49.8
540	29.4	49.8
541	25.5	49.8
542	23.3	49.8
543	23.0	49.7
544	25.0	49.7
545	29.9	49.7
546	32.9	49.7
547	35.9	49.7
548	38.9	49.7
549	41.8	49.7
550	44.8	49.7
551	47.8	49.7
552	50.7	49.7
553	43.6	49.6
554	46.5	49.6
555	49.5	49.6
556	51.2	49.6
557	53.0	49.6
558	54.7	49.5
559	55.9	49.5
560	67.1	49.5
561	66.6	49.5
562	61.6	49.5
563	56.7	49.4
564	53.5	49.4
565	51.7	49.4
566	49.2	49.4
567	48.5	49.4
568	49.0	49.4
569	52.7	49.4
570	53.5	49.4
571	54.2	49.4
572	54.7	49.4
573	55.4	49.4
574	56.2	49.4
575	56.9	49.3
576	57.7	49.3
577	46.8	49.2
578	45.8	49.2
579	44.8	49.2
580	44.0	49.2
581	43.6	49.2
582	42.8	49.2
583	42.3	49.2
584	52.0	49.2
585	51.2	49.2
586	49.2	49.2
587	49.7	49.1
588	46.8	49.1
589	45.0	49.1
590	44.5	49.1
591	44.8	49.1
592	44.3	49.1
593	46.0	49.1
594	46.3	49.1
595	46.0	49.0
596	45.8	49.0
597	45.8	49.0
598	45.8	48.9
599	45.5	48.9
600	45.3	48.9
601	36.1	48.9
602	36.6	48.9
603	37.1	48.9
604	37.4	48.9
605	37.6	48.9
606	37.9	48.9
607	38.1	48.8
608	48.0	48.8
609	45.8	48.8
610	40.1	48.8
611	37.1	48.8
612	34.4	48.7
613	29.0	48.7
614	25.2	48.7
615	23.0	48.7
616	22.8	48.7
617	25.5	48.7
618	29.4	48.7
619	30.2	48.7
620	30.7	48.7
621	31.4	48.7
622	32.2	48.7
623	32.9	48.7
624	33.7	48.7
625	24.5	48.6
626	25.5	48.6
627	26.5	48.5
628	27.0	48.5
629	27.5	48.5
630	28.0	48.5
631	28.2	48.5
632	38.6	48.4
633	38.4	48.4
634	37.6	48.4
635	36.9	48.4
636	36.6	48.4
637	36.1	48.3
638	37.4	48.3
639	35.9	48.3
