# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	48.4	227.5
2	52.0	226.1
3	55.6	223.9
4	57.1	221.8
5	58.5	220.3
6	60.0	218.2
7	60.7	218.2
8	90.3	217.4
9	88.9	216.0
10	78.7	214.5
11	69.3	212.4
12	61.4	208.0
13	56.3	207.8
14	53.5	207.3
15	53.5	206.6
16	57.1	205.9
17	62.1	204.4
18	67.2	203.4
19	71.5	202.3
20	75.8	201.2
21	80.2	201.2
22	84.5	201.2
23	89.6	200.8
24	93.9	200.8
25	73.7	200.1
26	83.8	199.0
27	93.2	198.6
28	99.0	198.6
29	104.0	198.3
30	109.8	197.9
31	113.4	197.2
32	146.6	197.2
33	146.6	197.2
34	133.6	196.5
35	122.8	196.1
36	112.7	195.8
37	106.9	195.8
38	104.0	195.8
39	104.0	195.8
40	109.8	195.8
41	119.2	195.1
42	122.8	195.0
43	126.4	194.3
44	130.0	194.3
45	132.9	193.6
46	136.5	193.2
47	140.1	193.2
48	143.8	192.4
49	114.1	192.4
50	112.7	192.1
51	111.2	192.1
52	110.5	191.4
53	109.8	191.4
54	109.1	191.1
55	108.4	191.1
56	136.5	191.0
57	135.1	191.0
58	123.5	190.2
59	113.4	190.0
60	106.9	190.0
61	101.9	189.5
62	99.0	189.5
63	99.0	189.3
64	101.9	189.3
65	107.6	188.8
66	109.8	188.8
67	111.2	188.5
68	112.7	188.5
69	114.1	188.0
70	116.3	187.1
71	117.7	187.1
72	119.2	187.1
73	93.2	187.1
74	98.2	186.6
75	101.1	186.6
76	102.6	186.4
77	104.7	185.9
78	106.2	185.9
79	107.6	185.6
80	138.0	184.9
81	138.0	184.4
82	134.4	184.2
83	131.5	183.7
84	130.0	183.7
85	129.3	183.5
86	128.6	183.5
87	129.3	182.9
88	130.7	182.9
89	132.9	182.9
90	135.1	182.2
91	136.5	182.0
92	138.7	182.0
93	140.1	181.5
94	142.3	181.3
95	144.5	181.1
96	148.8	180.6
97	117.7	180.6
98	117.7	180.6
99	117.7	180.0
100	118.5	180.0
101	117.7	179.9
102	117.7	179.9
103	117.7	179.9
104	146.6	179.9
105	145.9	179.7
106	140.1	179.3
107	134.4	179.3
108	129.3	179.3
109	126.4	179.3
110	124.2	179.1
111	123.5	179.1
112	125.7	178.5
113	129.3	178.5
114	131.5	178.5
115	133.6	178.5
116	135.8	178.5
117	138.0	178.5
118	140.9	178.4
119	142.3	177.8
120	146.6	177.8
121	118.5	177.8
122	122.1	177.7
123	125.7	177.1
124	127.9	177.1
125	129.3	177.0
126	130.7	176.3
127	132.2	176.3
128	162.5	176.3
129	162.5	176.3
130	158.2	175.8
131	153.9	175.6
132	151.0	175.6
133	148.8	175.5
134	148.1	174.8
135	148.1	174.8
136	149.5	174.8
137	153.1	174.4
138	154.6	174.1
139	156.8	174.1
140	158.2	174.1
141	160.4	174.1
142	162.5	174.1
143	164.0	174.1
144	166.1	173.4
145	137.2	173.4
146	138.0	173.4
147	138.0	173.4
148	138.0	173.4
149	138.0	172.7
150	138.0	172.7
151	138.0	172.6
152	166.9	172.6
153	164.7	172.6
154	151.0	172.0
155	138.7	172.0
156	127.9	172.0
157	119.9	171.9
158	115.6	171.9
159	116.3	171.9
160	122.1	171.9
161	130.0	171.9
162	132.2	171.9
163	134.4	171.9
164	136.5	171.9
165	138.7	171.9
166	140.9	171.9
167	143.8	171.8
168	145.9	171.2
169	121.4	171.2
170	124.2	171.2
171	127.9	171.2
172	130.0	171.1
173	132.2	170.5
174	134.4	170.5
175	135.8	170.5
176	166.1	170.5
177	166.1	170.5
178	161.1	170.5
179	158.9	170.5
180	159.6	170.5
181	159.6	169.8
182	153.1	169.8
183	150.3	169.8
184	149.5	169.8
185	153.1	169.8
186	156.0	169.8
187	158.9	169.8
188	161.1	169.8
189	164.0	169.8
190	166.1	169.8
191	169.0	169.0
192	171.9	169.0
193	144.5	169.0
194	145.9	169.0
195	147.4	169.0
196	148.1	169.0
197	148.8	168.4
198	150.3	168.4
199	151.0	168.3
200	179.9	168.3
201	179.1	168.3
202	173.4	168.3
203	168.3	168.3
204	164.0	168.3
205	161.1	168.3
206	160.4	168.3
207	159.6	167.8
208	161.8	167.8
209	166.1	167.8
210	166.9	167.6
211	167.6	167.6
212	169.8	167.6
213	169.8	167.6
214	169.8	167.6
215	170.5	167.1
216	171.9	167.1
217	143.0	166.9
218	143.0	166.9
219	143.8	166.9
220	143.8	166.9
221	143.8	166.8
222	143.8	166.8
223	143.8	166.4
224	172.6	166.4
225	171.9	166.1
226	166.1	166.1
227	160.4	166.1
228	156.0	166.1
229	153.9	166.1
230	151.7	166.1
231	151.7	166.1
232	153.1	166.1
233	156.8	166.1
234	158.2	166.1
235	159.6	166.1
236	162.5	166.1
237	160.4	166.1
238	161.8	165.8
239	162.5	165.8
240	163.3	165.8
241	135.8	165.4
242	136.5	165.4
243	137.2	165.4
244	138.0	165.4
245	138.0	165.4
246	138.0	165.1
247	138.0	165.1
248	167.6	164.7
249	166.1	164.7
250	156.0	164.6
251	146.6	164.6
252	138.0	164.4
253	132.2	164.4
254	128.6	164.4
255	127.9	164.0
256	130.7	164.0
257	136.5	164.0
258	140.9	164.0
259	145.2	164.0
260	148.8	164.0
261	153.1	164.0
262	157.5	163.9
263	161.8	163.9
264	165.4	163.9
265	144.5	163.9
266	154.6	163.9
267	164.0	163.8
268	169.8	163.3
269	174.8	163.3
270	180.6	163.3
271	184.9	163.3
272	218.2	163.2
273	217.4	163.2
274	212.4	163.2
275	207.3	163.2
276	200.8	163.2
277	198.6	163.1
278	202.3	163.1
279	204.4	162.5
280	208.0	162.5
281	214.5	162.5
282	216.0	162.5
283	218.2	162.5
284	220.3	162.5
285	221.8	162.4
286	223.9	162.4
287	226.1	162.4
288	227.5	162.4
289	195.8	162.4
290	193.6	162.4
291	185.6	161.8
292	182.0	161.8
293	179.1	161.8
294	176.3	161.8
295	174.1	161.8
296	200.8	161.7
297	198.6	161.7
298	189.3	161.7
299	180.6	161.1
300	174.1	161.1
301	169.0	161.1
302	166.9	161.1
303	166.1	161.0
304	168.3	161.0
305	172.6	161.0
306	171.9	161.0
307	171.9	161.0
308	171.9	161.0
309	171.9	161.0
310	172.6	160.4
311	171.2	160.4
312	171.2	160.4
313	145.2	160.4
314	148.1	160.4
315	151.0	160.2
316	152.4	160.2
317	154.6	160.2
318	156.0	159.8
319	157.5	159.8
320	187.1	159.6
321	187.1	159.6
322	183.5	159.6
323	177.7	159.6
324	174.1	159.6
325	171.9	159.6
326	170.5	159.6
327	170.5	159.5
328	171.9	159.5
329	174.8	159.5
330	178.4	159.5
331	180.6	158.9
332	183.5	158.9
333	186.4	158.8
334	188.5	158.8
335	191.4	158.8
336	194.3	158.8
337	169.8	158.8
338	169.8	158.4
339	171.9	158.4
340	173.4	158.2
341	174.8	158.2
342	175.5	158.2
343	177.0	158.2
344	206.6	158.2
345	205.9	158.0
346	200.1	158.0
347	195.8	158.0
348	192.1	157.5
349	189.3	157.5
350	188.5	157.5
351	190.0	157.3
352	192.1	157.3
353	195.0	157.3
354	195.8	157.3
355	195.8	157.3
356	196.5	157.3
357	197.2	156.8
358	197.2	156.8
359	197.2	156.6
360	197.9	156.6
361	168.3	156.6
362	167.6	156.6
363	166.9	156.6
364	165.4	156.4
365	164.7	156.0
366	164.0	156.0
367	163.3	156.0
368	191.4	156.0
369	190.0	156.0
370	187.1	156.0
371	184.2	156.0
372	182.0	155.9
373	179.9	155.9
374	162.5	155.9
375	153.1	155.9
376	150.3	155.8
377	156.0	155.8
378	157.5	155.1
379	158.2	155.1
380	159.6	155.1
381	161.1	155.1
382	161.8	155.1
383	163.3	155.1
384	164.0	155.1
385	138.7	154.9
386	141.6	154.6
387	145.2	154.6
388	146.6	154.6
389	148.1	154.6
390	150.3	154.4
391	151.0	154.4
392	181.3	154.4
393	179.9	154.4
394	160.4	154.4
395	142.3	154.4
