# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	47.8	224.7
2	51.4	223.2
3	54.9	221.1
4	56.3	219.0
5	57.8	217.5
6	59.2	215.4
7	59.9	215.4
8	89.2	214.7
9	87.7	213.3
10	77.7	211.8
11	68.5	209.7
12	60.6	205.4
13	55.6	205.2
14	52.8	204.7
15	52.8	204.0
16	56.3	203.3
17	61.3	201.8
18	66.3	200.9
19	70.6	199.7
20	74.9	198.7
21	79.2	198.7
22	83.5	198.7
23	88.4	198.3
24	92.7	198.3
25	72.8	197.6
26	82.7	196.5
27	92.0	196.1
28	97.7	196.1
29	102.7	195.8
30	108.4	195.4
31	112.0	194.7
32	144.8	194.7
33	144.8	194.7
34	132.0	194.0
35	121.3	193.7
36	111.3	193.3
37	105.6	193.3
38	102.7	193.3
39	102.7	193.3
40	108.4	193.3
41	117.7	192.6
42	121.3	191.9
43	124.8	191.9
44	128.4	191.2
45	131.2	191.0
46	134.8	190.8
47	138.4	190.8
48	141.9	190.0
49	112.7	190.0
50	111.3	189.7
51	109.8	189.7
52	109.1	189.0
53	108.4	189.0
54	107.7	188.6
55	107.0	188.6
56	134.8	187.9
57	133.4	187.6
58	122.0	187.6
59	112.0	187.1
60	105.6	187.1
61	100.6	187.1
62	97.7	187.1
63	97.7	186.9
64	100.6	186.9
65	106.3	186.4
66	108.4	186.4
67	109.8	186.2
68	111.3	186.2
69	112.7	185.7
70	114.8	184.7
71	116.3	184.7
72	117.7	184.7
73	92.0	184.3
74	97.0	184.3
75	99.9	184.0
76	101.3	183.5
77	103.4	183.5
78	104.8	183.3
79	106.3	183.2
80	136.2	182.6
81	136.2	182.1
82	132.7	181.9
83	129.8	181.4
84	128.4	181.2
85	127.7	181.2
86	127.0	180.6
87	127.7	180.6
88	129.1	180.6
89	131.2	179.9
90	133.4	179.9
91	134.8	179.7
92	136.9	179.7
93	138.4	179.2
94	140.5	179.0
95	142.6	178.3
96	146.9	178.3
97	116.3	178.3
98	116.3	177.8
99	116.3	177.8
100	117.0	177.6
101	116.3	177.6
102	116.3	177.6
103	116.3	177.6
104	144.8	177.3
105	144.1	177.0
106	138.4	177.0
107	132.7	177.0
108	127.7	177.0
109	124.8	176.9
110	122.7	176.9
111	122.0	176.3
112	124.1	176.3
113	127.7	176.3
114	129.8	176.3
115	132.0	176.3
116	134.1	176.3
117	136.2	176.2
118	139.1	176.0
119	140.5	175.6
120	144.8	175.6
121	117.0	175.6
122	120.5	175.5
123	124.1	174.9
124	126.2	174.9
125	127.7	174.7
126	129.1	174.1
127	130.5	174.1
128	160.5	174.1
129	160.5	174.0
130	156.2	173.4
131	151.9	173.4
132	149.1	173.3
133	146.9	172.6
134	146.2	172.6
135	146.2	172.6
136	147.6	172.1
137	151.2	172.0
138	152.6	172.0
139	154.8	172.0
140	156.2	171.9
141	158.3	171.9
142	160.5	171.9
143	161.9	171.3
144	164.0	171.3
145	135.5	171.3
146	136.2	171.2
147	136.2	171.2
148	136.2	170.8
149	136.2	170.5
150	136.2	170.5
151	136.2	170.5
152	164.8	170.5
153	162.6	170.5
154	149.1	169.8
155	136.9	169.8
156	126.2	169.8
157	118.4	169.8
158	114.1	169.8
159	114.8	169.8
160	120.5	169.8
161	128.4	169.8
162	130.5	169.8
163	132.7	169.8
164	134.8	169.8
165	136.9	169.8
166	139.1	169.8
167	141.9	169.1
168	144.1	169.1
169	119.8	169.0
170	122.7	169.0
171	126.2	168.4
172	128.4	168.4
173	130.5	168.4
174	132.7	168.4
175	134.1	168.4
176	164.0	168.3
177	164.0	168.3
178	159.1	168.3
179	156.9	168.2
180	157.6	167.6
181	157.6	167.6
182	151.2	167.6
183	148.4	167.6
184	147.6	167.6
185	151.2	167.6
186	154.1	167.6
187	156.9	167.6
188	159.1	167.6
189	161.9	167.5
190	164.0	166.9
191	166.9	166.9
192	169.8	166.9
193	142.6	166.9
194	144.1	166.9
195	145.5	166.9
196	146.2	166.2
197	146.9	166.2
198	148.4	166.2
199	149.1	166.2
200	177.6	166.2
201	176.9	166.2
202	171.2	166.2
203	166.2	166.2
204	161.9	166.2
205	159.1	165.5
206	158.3	165.5
207	157.6	165.5
208	159.8	165.5
209	164.0	165.5
210	164.8	164.9
211	165.5	164.9
212	167.6	164.8
213	167.6	164.8
214	167.6	164.8
215	168.3	164.8
216	169.8	164.7
217	141.2	164.7
218	141.2	164.3
219	141.9	164.3
220	141.9	164.3
221	141.9	164.0
222	141.9	164.0
223	141.9	164.0
224	170.5	164.0
225	169.8	164.0
226	164.0	164.0
227	158.3	164.0
228	154.1	164.0
229	151.9	164.0
230	149.8	164.0
231	149.8	164.0
232	151.2	164.0
233	154.8	164.0
234	156.2	163.6
235	157.6	163.6
236	160.5	163.3
237	158.3	163.3
238	159.8	163.3
239	160.5	163.3
240	161.2	163.3
241	134.1	162.9
242	134.8	162.9
243	135.5	162.6
244	136.2	162.6
245	136.2	162.6
246	136.2	162.6
247	136.2	162.3
248	165.5	162.3
249	164.0	162.3
250	154.1	161.9
251	144.8	161.9
252	136.2	161.9
253	130.5	161.9
254	127.0	161.9
255	126.2	161.9
256	129.1	161.9
257	134.8	161.9
258	139.1	161.9
259	143.4	161.9
260	146.9	161.9
261	151.2	161.9
262	155.5	161.6
263	159.8	161.6
264	163.3	161.2
265	142.6	161.2
266	152.6	161.2
267	161.9	161.2
268	167.6	161.1
269	172.6	161.1
270	178.3	161.1
271	182.6	161.1
272	215.4	161.1
273	214.7	161.0
274	209.7	161.0
275	204.7	161.0
276	198.3	160.5
277	196.1	160.5
278	199.7	160.5
279	201.8	160.5
280	205.4	160.5
281	211.8	160.5
282	213.3	160.4
283	215.4	160.4
284	217.5	160.4
285	219.0	160.4
286	221.1	160.4
287	223.2	160.4
288	224.7	160.3
289	193.3	159.8
290	191.2	159.8
291	183.3	159.8
292	179.7	159.8
293	176.9	159.8
294	174.0	159.7
295	171.9	159.7
296	198.3	159.7
297	196.1	159.7
298	186.9	159.7
299	178.3	159.1
300	171.9	159.1
301	166.9	159.1
302	164.8	159.1
303	164.0	159.0
304	166.2	159.0
305	170.5	159.0
306	169.8	159.0
307	169.8	159.0
308	169.8	159.0
309	169.8	159.0
310	170.5	158.3
311	169.0	158.3
312	169.0	158.3
313	143.4	158.3
314	146.2	158.3
315	149.1	158.2
316	150.5	158.2
317	152.6	158.2
318	154.1	157.6
319	155.5	157.6
320	184.7	157.6
321	184.7	157.6
322	181.2	157.6
323	175.5	157.6
324	171.9	157.6
325	169.8	157.5
326	168.3	157.5
327	168.3	157.5
328	169.8	157.5
329	172.6	156.9
330	176.2	156.9
331	178.3	156.8
332	181.2	156.8
333	184.0	156.8
334	186.2	156.8
335	189.0	156.8
336	191.9	156.4
337	167.6	156.4
338	167.6	156.2
339	169.8	156.2
340	171.2	156.2
341	172.6	156.2
342	173.3	156.2
343	174.7	156.1
344	204.0	156.1
345	203.3	156.1
346	197.6	155.5
347	193.3	155.5
348	189.7	155.5
349	186.9	155.4
350	186.2	155.4
351	187.6	155.4
352	189.7	155.4
353	192.6	155.4
354	193.3	155.4
355	193.3	155.1
356	194.0	155.1
357	194.7	154.8
358	194.7	154.8
359	194.7	154.6
360	195.4	154.6
361	166.2	154.6
362	165.5	154.6
363	164.8	154.6
364	163.3	154.1
365	162.6	154.1
366	161.9	154.1
367	161.2	154.1
368	189.0	154.1
369	187.6	154.1
370	184.7	154.1
371	181.9	153.9
372	179.7	153.9
373	177.6	153.9
374	160.5	153.9
375	151.2	153.2
376	148.4	153.2
377	154.1	153.2
378	155.5	153.2
379	156.2	153.2
380	157.6	153.2
381	159.1	152.6
382	159.8	152.6
383	161.2	152.6
384	161.9	152.6
385	136.9	152.5
386	139.8	152.5
387	143.4	152.5
388	144.8	152.5
389	146.2	152.5
390	148.4	152.5
391	149.1	152.5
392	179.0	151.9
393	177.6	151.9
394	158.3	151.9
395	140.5	151.9
396	124.8	151.9
397	114.8	151.8
398	109.8	151.7
399	109.8	151.7
400	117.0	151.7
401	129.8	151.7
402	131.2	151.2
403	133.4	151.2
404	134.8	151.2
405	136.9	151.2
406	138.4	151.2
407	140.5	151.2
408	141.9	151.2
409	114.8	151.2
410	115.5	151.1
411	117.0	151.0
412	117.0	151.0
413	117.7	151.0
414	117.7	151.0
415	117.7	151.0
416	146.9	151.0
417	145.5	150.6
418	143.4	150.5
419	140.5	150.3
420	138.4	150.3
421	135.5	150.3
422	117.0	150.3
423	107.7	150.3
424	104.8	149.9
425	111.3	149.9
426	112.7	149.8
427	114.1	149.8
428	115.5	149.8
429	116.3	149.6
430	117.7	149.6
431	119.1	149.6
432	120.5	149.6
433	94.1	149.1
434	96.3	149.1
435	98.4	149.1
436	99.1	149.1
437	99.9	149.1
438	101.3	149.1
439	101.3	148.9
440	130.5	148.9
441	129.8	148.9
442	127.7	148.9
443	126.2	148.9
444	124.1	148.9
445	123.4	148.6
446	107.0	148.6
447	96.3	148.6
448	92.0	148.4
449	97.7	148.4
450	99.9	148.4
451	102.7	148.4
452	104.8	148.1
453	107.7	148.1
454	110.6	148.1
455	112.7	148.1
456	115.5	148.1
457	89.9	148.0
458	93.4	148.0
459	97.0	148.0
460	99.1	147.6
461	101.3	147.6
462	103.4	147.6
463	104.1	147.6
464	134.1	147.4
465	133.4	147.4
466	131.2	147.4
467	130.5	147.4
468	128.4	147.4
469	127.0	147.3
470	113.4	146.9
471	107.7	146.9
472	106.3	146.9
473	111.3	146.9
474	112.7	146.9
475	113.4	146.9
476	114.8	146.7
477	116.3	146.7
478	117.0	146.7
