======================== Summary ========================

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 6 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 3060)
Excluded 1 buildings from processing (reason: Heated area is too small)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)
Excluded 521 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2054)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 1120)


================ Excluded buildings lists ===============

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002ceG;405,32;24,82;384591,25900;5820709,38200;-
DEBE3D04YY50002cFP;170,32;62,15;384835,39600;5820580,38750;-
DEBE3D04YY50002bpa;18,69;6,68;384833,35850;5820569,98150;-
DEBE3D00YY1Y50004M;659,17;29,73;384752,67450;5820482,64600;-
DEBE3D00YY1Y50004P;624,50;24,54;384740,13300;5820498,71450;-
DEBE3D04YY50002bng;287,79;88,88;384554,40850;5820878,07500;-
DEBE3D04YY50002blL;62,21;17,58;384969,10700;5820613,45400;-


Excluded 6 buildings from processing (reason: Building seems to be too low and has 0 storey.)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DYqa839Znuy;6,83;14,47;384743,13650;5820865,54850;-
DEBE3D04YY50002cQp;3,26;3,20;384570,09550;5820770,87550;-
DEBE3D04YY50000Awx;37,44;78,57;384592,70600;5820718,66750;-
DEBE3D04YY50002bU7;0,79;5,90;384684,21850;5820813,98750;-
DEBE3DowsI51EPL0;2,09;3,83;384743,89100;5820869,50850;-
DEBE3D04YY50002auP;10118,33;7868,05;384998,99200;5820515,61000;-


Excluded 4 buildings from processing (reason: Unknown ALKIS code: 3060)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
UUID_fc2e7ae6-e49b-4b56-b3e4-2e93f76db3b6;2357,02;107,53;384538,51250;5820875,39600;-
DEBE3DM753Qd2W1r;2301,85;120,54;384532,87050;5820871,41800;-
DEBE3DbcZoa9AlFT;827,71;43,41;384540,20150;5820864,86700;-
DEBE04YY500003I0_02;43,97;15,78;384545,48350;5820882,11000;-


Excluded 1 buildings from processing (reason: Heated area is too small)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DVfrr0gQwm6;26,00;27,44;384570,14350;5820629,95700;-


Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000JjD;161,80;73,32;384750,96650;5820842,93050;-
DEBE3D04YY50000GQP;235,86;94,77;384681,58200;5820607,90300;-
DEBE3D04YY5000065F;200,36;79,52;384780,85750;5820933,78850;-
DEBE3D04YY50000R2f;175,30;58,42;384743,96700;5820819,54450;-
DEBE3D04YY50000A3t;147,01;59,12;384785,37600;5820931,59300;-
DEBE3D04YY50000LDg;139,70;58,48;384698,22050;5820596,12550;-
DEBE3D04YY500004c9;93,05;48,39;384748,75150;5820497,29100;-
DEBE3D04YY50000PbF;1126,14;84,51;384578,22700;5820551,29800;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY500005tB;87,05;31,58;384834,44500;5820571,77650;-


Excluded 521 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DEuy7dBnoqC;1205,87;52,56;384955,27600;5820228,35150;-
DEBE3D04YY50002br6;242,16;58,74;384848,54400;5820107,83050;-
DEBE3DfnCvJrJtLN;2949,38;150,31;384928,78200;5820167,52800;-
DEBE3DrBpGmW26vK;4932,68;263,64;384926,39100;5820067,31050;-
DEBE3D04YY50000P3L;11026,14;494,47;384958,15550;5820290,97150;-
DEBE3D04YY50000GIG;20139,94;766,60;384663,15900;5820130,09500;-
UUID_117165f2-a220-4b12-811b-555c5baf92bf;4736,59;197,26;384933,47400;5820944,08800;-
DEBE3DFN1Z0jjQAH;616,89;25,97;384921,55150;5820917,26300;-
DEBE3D04YY50000QgJ;8413,68;396,55;384706,14150;5820304,52350;-
DEBE3DsZna24N45g;7440,63;299,38;384101,62700;5820312,23500;-
DEBE3DVKnPyISJjK;5615,48;248,59;384609,42400;5820140,14000;-
DEBE3DfiVHa6Nx0f;1273,80;58,11;385003,49300;5820255,90850;-
DEBE3DrXKMOZTjdb;1131,23;95,18;384292,83400;5820327,12150;-
DEBE3D04YY500006R0;184,68;64,45;384718,80750;5820215,66250;-
DEBE3D04YY50000N5d;9904,98;499,02;384868,50550;5820329,95150;-
DEBE3Drhe17FHAPu;1330,38;57,40;384757,12150;5820288,48100;-
DEBE04YY5000010A_01;3424,97;812,93;384197,74900;5820234,21100;-
DEBE3DmzGqPwvURD;546,01;29,95;384802,51000;5820205,86900;-
DEBE3DbmWywyTyhP;1413,66;68,12;384559,18500;5820088,81250;-
DEBE3DsGzEGkWDY6;818,28;39,00;384587,62100;5820067,06200;-
DEBE3DgmxjPjpa9J;12533,67;551,99;384775,26500;5820359,09950;-
DEBE3D04YY500000vS;6806,80;279,90;384660,31350;5820097,66250;-
DEBE3Dzyjj4X2Hpv;4492,97;210,98;384920,78200;5820965,05900;-
