# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.5	49.2
2	11.3	48.9
3	12.0	48.4
4	12.3	48.0
5	12.7	47.7
6	13.0	47.2
7	13.1	47.2
8	19.5	47.0
9	19.2	46.7
10	17.0	46.4
11	15.0	45.9
12	13.3	45.0
13	12.2	44.9
14	11.6	44.8
15	11.6	44.7
16	12.3	44.5
17	13.4	44.2
18	14.5	44.0
19	15.5	43.8
20	16.4	43.5
21	17.3	43.5
22	18.3	43.5
23	19.4	43.4
24	20.3	43.4
25	15.9	43.3
26	18.1	43.0
27	20.2	43.0
28	21.4	43.0
29	22.5	42.9
30	23.8	42.8
31	24.5	42.7
32	31.7	42.7
33	31.7	42.7
34	28.9	42.5
35	26.6	42.4
36	24.4	42.3
37	23.1	42.3
38	22.5	42.3
39	22.5	42.3
40	23.8	42.3
41	25.8	42.2
42	26.6	42.0
43	27.3	42.0
44	28.1	41.9
45	28.8	41.8
46	29.5	41.8
47	30.3	41.6
48	31.1	41.6
49	24.7	41.6
50	24.4	41.6
51	24.1	41.4
52	23.9	41.4
53	23.8	41.3
54	23.6	41.3
55	23.4	41.2
56	29.5	41.1
57	29.2	41.1
58	26.7	41.1
59	24.5	41.0
60	23.1	41.0
61	22.0	40.9
62	21.4	40.9
63	21.4	40.8
64	22.0	40.8
65	23.3	40.8
66	23.8	40.8
67	24.1	40.7
68	24.4	40.5
69	24.7	40.5
70	25.2	40.5
71	25.5	40.4
72	25.8	40.4
73	20.2	40.3
74	21.3	40.3
75	21.9	40.3
76	22.2	40.2
77	22.7	40.2
78	23.0	40.2
79	23.3	40.0
80	29.8	39.9
81	29.8	39.8
82	29.1	39.7
83	28.4	39.7
84	28.1	39.7
85	28.0	39.6
86	27.8	39.6
87	28.0	39.6
88	28.3	39.5
89	28.8	39.4
90	29.2	39.4
91	29.5	39.4
92	30.0	39.2
93	30.3	39.2
94	30.8	39.1
95	31.3	39.1
96	32.2	39.1
97	25.5	38.9
98	25.5	38.9
99	25.5	38.9
100	25.6	38.9
101	25.5	38.9
102	25.5	38.9
103	25.5	38.8
104	31.7	38.8
105	31.6	38.8
106	30.3	38.8
107	29.1	38.8
108	28.0	38.8
109	27.3	38.8
110	26.9	38.6
111	26.7	38.6
112	27.2	38.6
113	28.0	38.6
114	28.4	38.6
115	28.9	38.6
116	29.4	38.6
117	29.8	38.5
118	30.5	38.5
119	30.8	38.5
120	31.7	38.4
121	25.6	38.3
122	26.4	38.3
123	27.2	38.3
124	27.7	38.2
125	28.0	38.1
126	28.3	38.1
127	28.6	38.1
128	35.2	38.1
129	35.2	38.0
130	34.2	38.0
131	33.3	38.0
132	32.7	37.9
133	32.2	37.8
134	32.0	37.8
135	32.0	37.8
136	32.3	37.7
137	33.1	37.7
138	33.4	37.7
139	33.9	37.7
140	34.2	37.7
141	34.7	37.7
142	35.2	37.5
143	35.5	37.5
144	35.9	37.5
145	29.7	37.5
146	29.8	37.5
147	29.8	37.3
148	29.8	37.3
149	29.8	37.3
150	29.8	37.3
151	29.8	37.3
152	36.1	37.2
153	35.6	37.2
154	32.7	37.2
155	30.0	37.2
156	27.7	37.2
157	25.9	37.2
158	25.0	37.2
159	25.2	37.2
160	26.4	37.2
161	28.1	37.2
162	28.6	37.2
163	29.1	37.2
164	29.5	37.2
165	30.0	37.1
166	30.5	37.0
167	31.1	37.0
168	31.6	37.0
169	26.3	37.0
170	26.9	36.9
171	27.7	36.9
172	28.1	36.9
173	28.6	36.9
174	29.1	36.9
175	29.4	36.9
176	35.9	36.9
177	35.9	36.9
178	34.8	36.8
179	34.4	36.7
180	34.5	36.7
181	34.5	36.7
182	33.1	36.7
183	32.5	36.7
184	32.3	36.7
185	33.1	36.7
186	33.8	36.7
187	34.4	36.7
188	34.8	36.6
189	35.5	36.6
190	35.9	36.6
191	36.6	36.6
192	37.2	36.6
193	31.3	36.6
194	31.6	36.4
195	31.9	36.4
196	32.0	36.4
197	32.2	36.4
198	32.5	36.4
