# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.8	8.4
2	1.9	8.3
3	2.0	8.2
4	2.1	8.2
5	2.2	8.1
6	2.2	8.0
7	2.2	8.0
8	3.3	8.0
9	3.3	8.0
10	2.9	7.9
11	2.6	7.8
12	2.3	7.7
13	2.1	7.6
14	2.0	7.6
15	2.0	7.6
16	2.1	7.6
17	2.3	7.5
18	2.5	7.4
19	2.6	7.4
20	2.8	7.4
21	3.0	7.4
22	3.1	7.4
23	3.3	7.3
24	3.5	7.3
25	2.7	7.3
26	3.1	7.3
27	3.4	7.3
28	3.6	7.3
29	3.8	7.3
30	4.0	7.3
31	4.2	7.3
32	5.4	7.3
33	5.4	7.2
34	4.9	7.2
35	4.5	7.2
36	4.1	7.2
37	3.9	7.2
38	3.8	7.2
39	3.8	7.2
40	4.0	7.2
41	4.4	7.2
42	4.5	7.2
43	4.7	7.2
44	4.8	7.1
45	4.9	7.1
46	5.0	7.1
47	5.2	7.1
48	5.3	7.1
49	4.2	7.1
50	4.1	7.0
51	4.1	7.0
52	4.1	7.0
53	4.0	7.0
54	4.0	7.0
55	4.0	7.0
56	5.0	7.0
57	5.0	7.0
58	4.5	7.0
59	4.2	7.0
60	3.9	7.0
61	3.7	6.9
62	3.6	6.9
63	3.6	6.9
64	3.7	6.9
65	4.0	6.9
66	4.0	6.9
67	4.1	6.9
68	4.1	6.9
69	4.2	6.9
70	4.3	6.9
71	4.3	6.9
72	4.4	6.9
73	3.4	6.9
74	3.6	6.8
75	3.7	6.8
76	3.8	6.8
77	3.9	6.8
78	3.9	6.8
79	4.0	6.8
80	5.1	6.8
81	5.1	6.8
82	4.9	6.8
83	4.8	6.8
84	4.8	6.8
85	4.8	6.7
86	4.7	6.7
87	4.8	6.7
88	4.8	6.7
89	4.9	6.7
90	5.0	6.7
91	5.0	6.7
92	5.1	6.7
93	5.2	6.7
94	5.2	6.7
95	5.3	6.6
96	5.5	6.6
97	4.3	6.6
98	4.3	6.6
99	4.3	6.6
100	4.4	6.6
101	4.3	6.6
102	4.3	6.6
103	4.3	6.6
104	5.4	6.6
105	5.4	6.6
106	5.2	6.6
107	4.9	6.5
108	4.8	6.5
109	4.7	6.5
110	4.6	6.5
111	4.5	6.5
112	4.6	6.5
113	4.8	6.5
114	4.8	6.5
115	4.9	6.5
116	5.0	6.5
117	5.1	6.5
118	5.2	6.5
119	5.2	6.5
120	5.4	6.5
121	4.4	6.5
122	4.5	6.5
123	4.6	6.5
124	4.7	6.5
125	4.8	6.5
126	4.8	6.5
127	4.9	6.5
128	6.0	6.4
129	6.0	6.4
130	5.8	6.4
131	5.7	6.4
132	5.6	6.4
133	5.5	6.4
134	5.5	6.4
135	5.5	6.4
136	5.5	6.4
137	5.6	6.4
138	5.7	6.4
139	5.8	6.4
140	5.8	6.4
141	5.9	6.4
142	6.0	6.4
143	6.0	6.4
144	6.1	6.4
145	5.1	6.4
146	5.1	6.4
147	5.1	6.4
148	5.1	6.3
149	5.1	6.3
150	5.1	6.3
151	5.1	6.3
152	6.1	6.3
153	6.1	6.3
154	5.6	6.3
155	5.1	6.3
156	4.7	6.3
157	4.4	6.3
158	4.3	6.3
159	4.3	6.3
160	4.5	6.3
161	4.8	6.3
162	4.9	6.3
163	4.9	6.3
164	5.0	6.3
165	5.1	6.3
166	5.2	6.3
167	5.3	6.3
168	5.4	6.3
169	4.5	6.3
170	4.6	6.3
171	4.7	6.3
172	4.8	6.3
173	4.9	6.3
174	4.9	6.3
175	5.0	6.3
176	6.1	6.3
177	6.1	6.3
178	5.9	6.3
179	5.9	6.3
180	5.9	6.2
181	5.9	6.2
182	5.6	6.2
183	5.5	6.2
184	5.5	6.2
185	5.6	6.2
186	5.7	6.2
187	5.9	6.2
188	5.9	6.2
189	6.0	6.2
190	6.1	6.2
191	6.2	6.2
192	6.3	6.2
193	5.3	6.2
194	5.4	6.2
195	5.4	6.2
196	5.5	6.2
197	5.5	6.2
198	5.5	6.2
199	5.6	6.2
200	6.6	6.2
201	6.6	6.2
202	6.4	6.2
203	6.2	6.2
204	6.0	6.2
205	5.9	6.2
206	5.9	6.2
207	5.9	6.2
208	6.0	6.2
209	6.1	6.2
210	6.1	6.2
211	6.2	6.2
212	6.2	6.2
213	6.2	6.2
214	6.2	6.1
215	6.3	6.1
216	6.3	6.1
217	5.3	6.1
218	5.3	6.1
219	5.3	6.1
220	5.3	6.1
