# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	54.2	254.8
2	58.2	253.2
3	62.3	250.8
4	63.9	248.4
5	65.5	246.7
6	67.1	244.3
7	68.0	244.3
8	101.1	243.5
9	99.5	241.9
10	88.2	240.3
11	77.7	237.8
12	68.8	233.0
13	63.1	232.2
14	59.9	232.0
15	59.9	231.4
16	63.9	230.6
17	69.6	228.9
18	75.2	227.1
19	80.1	226.5
20	84.9	224.9
21	89.8	224.9
22	94.7	224.6
23	100.3	224.6
24	105.2	224.6
25	82.5	224.1
26	93.8	222.5
27	104.4	222.5
28	110.8	222.2
29	116.5	221.7
30	123.0	221.6
31	127.0	221.4
32	164.2	220.9
33	164.2	220.9
34	149.7	220.9
35	137.5	220.0
36	126.2	219.2
37	119.7	219.2
38	116.5	219.2
39	116.5	219.2
40	123.0	219.2
41	133.5	218.9
42	137.5	218.4
43	141.6	217.6
44	145.6	217.6
45	148.9	217.1
46	152.9	217.1
47	156.9	216.8
48	161.0	215.7
49	127.8	215.7
50	126.2	215.2
51	124.6	215.2
52	123.8	214.8
53	123.0	214.8
54	122.2	214.4
55	121.3	214.4
56	152.9	213.2
57	151.3	213.2
58	138.3	212.8
59	127.0	212.8
60	119.7	212.5
61	114.1	212.4
62	110.8	212.0
63	110.8	212.0
64	114.1	211.6
65	120.5	211.6
66	123.0	211.1
67	124.6	211.1
68	126.2	210.8
69	127.8	210.8
70	130.2	209.9
71	131.9	209.5
72	133.5	209.5
73	104.4	209.5
74	110.0	208.7
75	113.3	208.7
76	114.9	208.3
77	117.3	208.3
78	118.9	207.9
79	120.5	207.5
80	154.5	207.5
81	154.5	207.1
82	150.5	206.3
83	147.2	205.9
84	145.6	205.7
85	144.8	205.5
86	144.0	205.5
87	144.8	205.0
88	146.4	204.2
89	148.9	204.2
90	151.3	204.2
91	152.9	204.2
92	155.3	203.9
93	156.9	203.9
94	159.4	203.4
95	161.8	203.1
96	166.7	202.6
97	131.9	202.2
98	131.9	202.2
99	131.9	202.2
100	132.7	201.4
101	131.9	201.4
102	131.9	201.4
103	131.9	201.4
104	164.2	201.0
105	163.4	201.0
106	156.9	200.6
107	150.5	200.6
108	144.8	200.1
109	141.6	200.1
110	139.1	200.1
111	138.3	200.1
112	140.8	199.8
113	144.8	199.7
114	147.2	199.3
115	149.7	199.3
116	152.1	199.3
117	154.5	199.3
118	157.8	199.3
119	159.4	199.3
120	164.2	199.0
121	132.7	198.5
122	136.7	198.5
123	140.8	198.5
124	143.2	198.2
125	144.8	198.2
126	146.4	197.7
127	148.0	197.7
128	182.0	197.4
129	182.0	196.9
130	177.2	196.9
131	172.3	196.9
132	169.1	196.6
133	166.7	196.1
134	165.8	196.1
135	165.8	195.8
136	167.5	195.8
137	171.5	195.8
138	173.1	195.1
139	175.6	195.0
140	177.2	195.0
141	179.6	195.0
142	182.0	194.4
143	183.6	194.4
144	186.1	194.4
145	153.7	194.4
146	154.5	194.2
147	154.5	194.2
148	154.5	193.6
149	154.5	193.6
150	154.5	193.6
151	154.5	193.3
152	186.9	193.3
153	184.4	193.3
154	169.1	192.9
155	155.3	192.8
156	143.2	192.8
157	134.3	192.5
158	129.4	192.5
159	130.2	192.5
160	136.7	192.5
161	145.6	192.5
162	148.0	192.5
163	150.5	192.5
164	152.9	192.5
165	155.3	192.5
166	157.8	192.5
167	161.0	192.0
168	163.4	192.0
169	135.9	192.0
170	139.1	191.7
171	143.2	191.7
172	145.6	191.3
173	148.0	191.3
174	150.5	191.1
175	152.1	191.1
176	186.1	190.9
177	186.1	190.9
178	180.4	190.9
179	178.0	190.6
180	178.8	190.6
181	178.8	190.6
182	171.5	190.3
183	168.3	190.3
184	167.5	190.3
185	171.5	190.3
186	174.7	190.3
187	178.0	190.1
188	180.4	190.1
189	183.6	190.1
190	186.1	190.1
191	189.3	190.1
192	192.5	190.1
193	161.8	189.8
194	163.4	189.8
195	165.0	189.5
196	165.8	189.5
197	166.7	189.5
198	168.3	189.3
199	169.1	189.3
200	201.4	189.1
201	200.6	189.1
202	194.2	188.7
203	188.5	188.7
204	183.6	188.7
205	180.4	188.7
206	179.6	188.5
207	178.8	188.5
208	181.2	188.5
209	186.1	188.5
210	186.9	188.3
211	187.7	188.3
212	190.1	188.3
213	190.1	187.9
214	190.1	187.9
215	190.9	187.9
216	192.5	187.9
217	160.2	187.7
218	160.2	187.7
219	161.0	187.7
220	161.0	187.6
221	161.0	187.6
222	161.0	187.1
223	161.0	187.1
224	193.3	186.9
225	192.5	186.9
226	186.1	186.9
227	179.6	186.9
228	174.7	186.8
229	172.3	186.8
230	169.9	186.8
231	169.9	186.2
232	171.5	186.2
233	175.6	186.1
234	177.2	186.1
235	178.8	186.1
236	182.0	186.1
237	179.6	186.1
238	181.2	186.1
239	182.0	186.1
240	182.8	186.1
241	152.1	186.1
242	152.9	186.1
243	153.7	185.4
244	154.5	185.4
245	154.5	185.4
246	154.5	185.4
247	154.5	185.3
248	187.7	185.3
249	186.1	185.3
250	174.7	185.3
251	164.2	185.3
252	154.5	184.6
253	148.0	184.6
254	144.0	184.4
255	143.2	184.4
256	146.4	183.8
257	152.9	183.8
258	157.8	183.6
259	162.6	183.6
260	166.7	183.6
261	171.5	183.6
262	176.4	183.6
263	181.2	183.6
264	185.3	183.6
265	161.8	183.0
266	173.1	183.0
267	183.6	183.0
268	190.1	183.0
269	195.8	183.0
270	202.2	182.8
271	207.1	182.8
272	244.3	182.8
273	243.5	182.8
274	237.8	182.2
275	232.2	182.2
276	224.9	182.2
277	222.5	182.2
278	226.5	182.2
279	228.9	182.0
280	233.0	182.0
281	240.3	182.0
282	241.9	182.0
283	244.3	182.0
284	246.7	182.0
285	248.4	181.5
286	250.8	181.5
287	253.2	181.3
288	254.8	181.3
289	219.2	181.3
290	216.8	181.3
291	207.9	181.3
292	203.9	181.3
293	200.6	181.2
294	197.4	181.2
295	195.0	181.2
296	224.9	181.2
297	222.5	181.2
298	212.0	180.5
299	202.2	180.5
300	195.0	180.5
301	189.3	180.4
302	186.9	180.4
303	186.1	180.4
304	188.5	180.4
305	193.3	180.0
306	192.5	180.0
