# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.3	38.9
2	8.9	38.6
3	9.5	38.2
4	9.7	37.9
5	10.0	37.6
6	10.2	37.3
7	10.4	37.3
8	15.4	37.1
9	15.2	36.9
10	13.4	36.6
11	11.8	36.3
12	10.5	35.5
13	9.6	35.4
14	9.1	35.4
15	9.1	35.3
16	9.7	35.2
17	10.6	34.9
18	11.5	34.7
19	12.2	34.5
20	13.0	34.3
21	13.7	34.3
22	14.4	34.3
23	15.3	34.3
24	16.0	34.3
25	12.6	34.2
26	14.3	33.9
27	15.9	33.9
28	16.9	33.9
29	17.8	33.8
30	18.8	33.8
31	19.4	33.7
32	25.0	33.7
33	25.0	33.7
34	22.8	33.6
35	21.0	33.4
36	19.2	33.4
37	18.3	33.4
38	17.8	33.4
39	17.8	33.4
40	18.8	33.4
41	20.4	33.3
42	21.0	33.2
43	21.6	33.2
44	22.2	33.2
45	22.7	33.1
46	23.3	32.9
47	23.9	32.9
48	24.6	32.8
49	19.5	32.8
50	19.2	32.8
51	19.0	32.8
52	18.9	32.7
53	18.8	32.7
54	18.6	32.5
55	18.5	32.5
56	23.3	32.5
57	23.1	32.5
58	21.1	32.4
59	19.4	32.4
60	18.3	32.4
61	17.4	32.3
62	16.9	32.3
63	16.9	32.3
64	17.4	32.3
65	18.4	32.2
66	18.8	32.2
67	19.0	32.2
68	19.2	32.2
69	19.5	32.0
70	19.9	32.0
71	20.1	32.0
72	20.4	32.0
73	15.9	31.9
74	16.8	31.8
75	17.3	31.8
76	17.5	31.8
77	17.9	31.7
78	18.1	31.7
79	18.4	31.7
80	23.6	31.6
81	23.6	31.5
82	22.9	31.4
83	22.5	31.3
84	22.2	31.3
85	22.1	31.3
86	22.0	31.3
87	22.1	31.2
88	22.3	31.2
89	22.7	31.2
90	23.1	31.1
91	23.3	31.1
92	23.7	31.1
93	23.9	31.0
94	24.3	30.9
95	24.7	30.8
96	25.4	30.8
97	20.1	30.8
98	20.1	30.8
99	20.1	30.7
100	20.2	30.7
101	20.1	30.7
102	20.1	30.7
103	20.1	30.7
104	25.0	30.7
105	24.9	30.6
106	23.9	30.6
107	22.9	30.6
108	22.1	30.6
109	21.6	30.6
110	21.2	30.6
111	21.1	30.6
112	21.5	30.5
113	22.1	30.4
114	22.5	30.4
115	22.8	30.4
116	23.2	30.4
117	23.6	30.4
118	24.1	30.4
119	24.3	30.3
120	25.0	30.3
121	20.2	30.3
122	20.8	30.3
123	21.5	30.2
124	21.8	30.2
125	22.1	30.2
126	22.3	30.1
127	22.6	30.1
128	27.8	30.1
129	27.8	30.1
130	27.0	30.0
131	26.3	29.9
132	25.8	29.9
133	25.4	29.9
134	25.3	29.9
135	25.3	29.9
136	25.5	29.9
137	26.2	29.7
138	26.4	29.7
139	26.8	29.7
140	27.0	29.7
141	27.4	29.7
142	27.8	29.7
143	28.0	29.7
144	28.4	29.6
145	23.4	29.6
146	23.6	29.6
147	23.6	29.6
148	23.6	29.6
149	23.6	29.5
150	23.6	29.5
151	23.6	29.5
152	28.5	29.4
153	28.1	29.4
154	25.8	29.4
155	23.7	29.4
156	21.8	29.4
157	20.5	29.4
158	19.7	29.4
159	19.9	29.4
160	20.8	29.4
161	22.2	29.4
162	22.6	29.4
163	22.9	29.4
164	23.3	29.3
165	23.7	29.3
166	24.1	29.3
167	24.6	29.3
168	24.9	29.2
169	20.7	29.2
170	21.2	29.2
171	21.8	29.2
172	22.2	29.1
173	22.6	29.1
174	22.9	29.1
175	23.2	29.1
176	28.4	29.1
177	28.4	29.1
178	27.5	29.1
179	27.1	29.1
180	27.3	29.1
181	27.3	29.0
182	26.2	29.0
183	25.7	29.0
184	25.5	29.0
185	26.2	29.0
186	26.6	29.0
187	27.1	28.9
188	27.5	28.9
189	28.0	28.9
190	28.4	28.9
191	28.9	28.9
192	29.4	28.9
193	24.7	28.8
194	24.9	28.8
195	25.2	28.8
196	25.3	28.8
197	25.4	28.7
198	25.7	28.7
199	25.8	28.7
200	30.7	28.7
201	30.6	28.7
202	29.6	28.7
203	28.7	28.7
204	28.0	28.7
205	27.5	28.7
206	27.4	28.7
207	27.3	28.6
208	27.6	28.6
209	28.4	28.6
210	28.5	28.6
211	28.6	28.6
212	29.0	28.6
213	29.0	28.6
214	29.0	28.6
215	29.1	28.5
216	29.4	28.5
217	24.4	28.5
218	24.4	28.5
219	24.6	28.5
220	24.6	28.5
221	24.6	28.4
222	24.6	28.4
223	24.6	28.4
224	29.5	28.4
225	29.4	28.4
226	28.4	28.4
227	27.4	28.4
228	26.6	28.4
229	26.3	28.4
230	25.9	28.4
231	25.9	28.4
232	26.2	28.3
233	26.8	28.3
234	27.0	28.3
235	27.3	28.3
236	27.8	28.3
237	27.4	28.3
238	27.6	28.3
239	27.8	28.3
240	27.9	28.3
241	23.2	28.2
242	23.3	28.2
243	23.4	28.2
244	23.6	28.2
245	23.6	28.2
246	23.6	28.1
247	23.6	28.1
248	28.6	28.1
249	28.4	28.1
250	26.6	28.1
251	25.0	28.1
252	23.6	28.0
253	22.6	28.0
254	22.0	28.0
255	21.8	28.0
256	22.3	28.0
257	23.3	28.0
258	24.1	28.0
259	24.8	28.0
260	25.4	28.0
261	26.2	28.0
262	26.9	27.9
263	27.6	27.9
264	28.3	27.9
265	24.7	27.9
266	26.4	27.9
267	28.0	27.9
268	29.0	27.9
269	29.9	27.9
270	30.8	27.9
271	31.6	27.9
272	37.3	27.8
273	37.1	27.8
274	36.3	27.8
275	35.4	27.8
276	34.3	27.8
277	33.9	27.8
278	34.5	27.8
279	34.9	27.8
280	35.5	27.8
281	36.6	27.8
282	36.9	27.8
283	37.3	27.8
284	37.6	27.8
285	37.9	27.7
286	38.2	27.7
287	38.6	27.7
288	38.9	27.7
289	33.4	27.7
290	33.1	27.7
291	31.7	27.6
292	31.1	27.6
293	30.6	27.6
294	30.1	27.6
295	29.7	27.6
296	34.3	27.6
297	33.9	27.6
298	32.3	27.6
299	30.8	27.5
300	29.7	27.5
301	28.9	27.5
302	28.5	27.5
303	28.4	27.4
304	28.7	27.4
305	29.5	27.4
306	29.4	27.4
307	29.4	27.4
308	29.4	27.4
309	29.4	27.4
310	29.5	27.4
311	29.2	27.4
312	29.2	27.4
313	24.8	27.4
314	25.3	27.4
315	25.8	27.3
316	26.0	27.3
317	26.4	27.3
318	26.6	27.3
319	26.9	27.3
320	32.0	27.3
321	32.0	27.3
322	31.3	27.3
323	30.3	27.3
324	29.7	27.3
325	29.4	27.2
326	29.1	27.2
327	29.1	27.2
328	29.4	27.2
329	29.9	27.2
330	30.5	27.2
331	30.8	27.1
332	31.3	27.1
333	31.8	27.1
334	32.2	27.1
335	32.7	27.1
336	33.2	27.1
337	29.0	27.1
338	29.0	27.0
339	29.4	27.0
340	29.6	27.0
341	29.9	27.0
342	30.0	27.0
343	30.2	27.0
344	35.3	27.0
345	35.2	26.9
346	34.2	26.9
347	33.4	26.9
348	32.8	26.9
349	32.3	26.9
350	32.2	26.9
351	32.4	26.8
352	32.8	26.8
353	33.3	26.8
354	33.4	26.8
355	33.4	26.8
356	33.6	26.8
357	33.7	26.8
358	33.7	26.8
359	33.7	26.7
360	33.8	26.7
361	28.7	26.7
362	28.6	26.7
363	28.5	26.7
364	28.3	26.6
365	28.1	26.6
366	28.0	26.6
367	27.9	26.6
368	32.7	26.6
369	32.4	26.6
370	32.0	26.6
371	31.5	26.6
372	31.1	26.6
373	30.7	26.6
374	27.8	26.6
375	26.2	26.6
376	25.7	26.5
377	26.6	26.5
378	26.9	26.4
379	27.0	26.4
380	27.3	26.4
381	27.5	26.4
382	27.6	26.4
383	27.9	26.4
384	28.0	26.4
385	23.7	26.4
386	24.2	26.4
387	24.8	26.4
388	25.0	26.4
389	25.3	26.4
390	25.7	26.3
391	25.8	26.3
392	31.0	26.3
393	30.7	26.3
394	27.4	26.3
395	24.3	26.3
396	21.6	26.3
397	19.9	26.3
398	19.0	26.3
399	19.0	26.3
400	20.2	26.2
401	22.5	26.2
402	22.7	26.2
403	23.1	26.2
404	23.3	26.2
405	23.7	26.2
406	23.9	26.2
407	24.3	26.2
408	24.6	26.2
409	19.9	26.2
410	20.0	26.2
411	20.2	26.2
412	20.2	26.1
413	20.4	26.1
414	20.4	26.1
415	20.4	26.1
416	25.4	26.1
417	25.2	26.1
418	24.8	26.1
419	24.3	26.1
