# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.1	80.4
2	18.4	79.9
3	19.7	79.1
4	20.2	78.4
5	20.7	77.9
6	21.2	77.1
7	21.4	77.1
8	31.9	76.8
9	31.4	76.3
10	27.8	75.8
11	24.5	75.0
12	21.7	73.5
13	19.9	73.3
14	18.9	73.2
15	18.9	73.0
16	20.2	72.8
17	22.0	72.2
18	23.7	71.7
19	25.3	71.5
20	26.8	71.0
21	28.3	71.0
22	29.9	70.9
23	31.7	70.9
24	33.2	70.9
25	26.0	70.8
26	29.6	70.7
27	32.9	70.2
28	35.0	70.2
29	36.8	70.1
30	38.8	69.9
31	40.1	69.9
32	51.8	69.7
33	51.8	69.7
34	47.2	69.7
35	43.4	69.4
36	39.8	69.4
37	37.8	69.4
38	36.8	69.2
39	36.8	69.2
40	38.8	69.2
41	42.1	69.2
42	43.4	69.2
43	44.7	69.1
44	45.9	68.9
45	47.0	68.7
46	48.2	68.7
47	49.5	68.4
48	50.8	68.1
49	40.3	68.1
50	39.8	67.9
51	39.3	67.9
52	39.1	67.9
53	38.8	67.8
54	38.5	67.8
55	38.3	67.6
56	48.2	67.6
57	47.7	67.3
58	43.7	67.3
59	40.1	67.1
60	37.8	67.1
61	36.0	67.0
62	35.0	66.9
63	35.0	66.9
64	36.0	66.8
65	38.0	66.8
66	38.8	66.7
67	39.3	66.6
68	39.8	66.6
69	40.3	66.5
70	41.1	66.5
71	41.6	66.3
72	42.1	66.1
73	32.9	66.1
74	34.7	66.1
75	35.7	65.9
76	36.2	65.7
77	37.0	65.7
78	37.5	65.7
79	38.0	65.6
80	48.8	65.5
81	48.8	65.5
82	47.5	65.3
83	46.5	65.2
84	45.9	65.1
85	45.7	65.0
86	45.4	64.8
87	45.7	64.8
88	46.2	64.7
89	47.0	64.5
90	47.7	64.5
91	48.2	64.5
92	49.0	64.3
93	49.5	64.3
94	50.3	64.2
95	51.1	64.1
96	52.6	63.9
97	41.6	63.8
98	41.6	63.8
99	41.6	63.8
100	41.9	63.8
101	41.6	63.6
102	41.6	63.6
103	41.6	63.6
104	51.8	63.6
105	51.6	63.4
106	49.5	63.4
107	47.5	63.3
108	45.7	63.3
109	44.7	63.3
110	43.9	63.2
111	43.7	63.2
112	44.4	63.2
113	45.7	63.2
114	46.5	63.1
115	47.2	62.9
116	48.0	62.9
117	48.8	62.9
118	49.8	62.9
119	50.3	62.9
120	51.8	62.9
121	41.9	62.8
122	43.1	62.7
123	44.4	62.7
124	45.2	62.7
125	45.7	62.5
126	46.2	62.4
127	46.7	62.4
128	57.4	62.3
129	57.4	62.3
130	55.9	62.1
131	54.4	62.1
132	53.4	62.1
133	52.6	62.1
134	52.3	62.0
135	52.3	61.9
136	52.8	61.9
137	54.1	61.8
138	54.6	61.8
139	55.4	61.8
140	55.9	61.6
141	56.7	61.5
142	57.4	61.5
143	57.9	61.5
144	58.7	61.4
145	48.5	61.4
146	48.8	61.4
147	48.8	61.3
148	48.8	61.3
149	48.8	61.1
150	48.8	61.1
151	48.8	61.1
152	59.0	61.1
153	58.2	61.1
154	53.4	61.0
155	49.0	61.0
156	45.2	61.0
157	42.4	60.9
158	40.8	60.9
159	41.1	60.9
160	43.1	60.8
161	45.9	60.8
162	46.7	60.8
163	47.5	60.8
164	48.2	60.8
165	49.0	60.8
166	49.8	60.8
167	50.8	60.8
168	51.6	60.8
169	42.9	60.8
170	43.9	60.8
171	45.2	60.8
172	45.9	60.7
173	46.7	60.7
174	47.5	60.6
175	48.0	60.6
176	58.7	60.6
177	58.7	60.5
178	56.9	60.5
179	56.2	60.4
180	56.4	60.4
181	56.4	60.3
182	54.1	60.3
183	53.1	60.2
184	52.8	60.2
185	54.1	60.2
186	55.1	60.2
187	56.2	60.2
188	56.9	60.2
189	57.9	60.1
190	58.7	60.1
191	59.7	60.1
192	60.8	60.1
193	51.1	60.1
194	51.6	60.0
195	52.1	60.0
196	52.3	60.0
197	52.6	60.0
198	53.1	60.0
199	53.4	60.0
200	63.6	59.9
201	63.3	59.9
202	61.3	59.8
203	59.5	59.8
204	57.9	59.8
205	56.9	59.7
206	56.7	59.7
207	56.4	59.7
208	57.2	59.7
209	58.7	59.7
210	59.0	59.6
211	59.2	59.6
212	60.0	59.6
213	60.0	59.6
214	60.0	59.5
215	60.2	59.5
216	60.8	59.5
217	50.5	59.5
218	50.5	59.4
219	50.8	59.3
220	50.8	59.3
221	50.8	59.3
222	50.8	59.3
223	50.8	59.2
224	61.0	59.2
225	60.8	59.2
226	58.7	59.2
227	56.7	59.2
228	55.1	59.0
229	54.4	59.0
230	53.6	59.0
231	53.6	59.0
232	54.1	59.0
233	55.4	59.0
234	55.9	58.8
235	56.4	58.8
236	57.4	58.7
237	56.7	58.7
238	57.2	58.7
239	57.4	58.7
240	57.7	58.7
241	48.0	58.7
242	48.2	58.7
243	48.5	58.7
244	48.8	58.7
245	48.8	58.5
246	48.8	58.5
247	48.8	58.5
248	59.2	58.5
249	58.7	58.5
250	55.1	58.5
251	51.8	58.5
252	48.8	58.3
253	46.7	58.3
254	45.4	58.2
255	45.2	58.2
256	46.2	58.0
257	48.2	58.0
258	49.8	58.0
259	51.3	58.0
260	52.6	57.9
261	54.1	57.9
262	55.6	57.9
263	57.2	57.9
264	58.5	57.9
265	51.1	57.9
266	54.6	57.9
267	57.9	57.8
268	60.0	57.8
269	61.8	57.8
270	63.8	57.8
271	65.3	57.8
272	77.1	57.7
273	76.8	57.7
274	75.0	57.7
275	73.3	57.7
276	71.0	57.5
277	70.2	57.5
