# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.8	79.2
2	18.1	78.7
3	19.3	77.9
4	19.9	77.1
5	20.4	76.6
6	20.9	75.9
7	21.1	75.9
8	31.4	75.6
9	30.9	75.1
10	27.4	74.6
11	24.1	73.9
12	21.4	72.4
13	19.6	72.2
14	18.6	72.1
15	18.6	71.9
16	19.9	71.6
17	21.6	71.1
18	23.4	70.7
19	24.9	70.4
20	26.4	69.9
21	27.9	69.9
22	29.4	69.9
23	31.2	69.9
24	32.7	69.9
25	25.6	69.6
26	29.1	69.1
27	32.4	69.1
28	34.4	69.1
29	36.2	68.9
30	38.2	68.9
31	39.5	68.6
32	51.0	68.6
33	51.0	68.6
34	46.5	68.4
35	42.7	68.1
36	39.2	68.1
37	37.2	68.1
38	36.2	68.1
39	36.2	68.1
40	38.2	68.1
41	41.5	67.8
42	42.7	67.8
43	44.0	67.6
44	45.2	67.6
45	46.2	67.3
46	47.5	67.1
47	48.8	67.1
48	50.0	66.9
49	39.7	66.9
50	39.2	66.8
51	38.7	66.8
52	38.4	66.6
53	38.2	66.6
54	37.9	66.5
55	37.7	66.5
56	47.5	66.4
57	47.0	66.4
58	43.0	66.1
59	39.5	66.1
60	37.2	66.1
61	35.4	65.8
62	34.4	65.8
63	34.4	65.8
64	35.4	65.8
65	37.4	65.6
66	38.2	65.6
67	38.7	65.6
68	39.2	65.6
69	39.7	65.3
70	40.5	65.1
71	41.0	65.1
72	41.5	65.1
73	32.4	65.1
74	34.2	64.8
75	35.2	64.8
76	35.7	64.8
77	36.4	64.6
78	36.9	64.6
79	37.4	64.6
80	48.0	64.3
81	48.0	64.1
82	46.7	64.1
83	45.7	63.9
84	45.2	63.8
85	45.0	63.8
86	44.7	63.8
87	45.0	63.6
88	45.5	63.6
89	46.2	63.6
90	47.0	63.3
91	47.5	63.3
92	48.2	63.3
93	48.8	63.1
94	49.5	63.0
95	50.3	63.0
96	51.8	62.8
97	41.0	62.8
98	41.0	62.8
99	41.0	62.6
100	41.2	62.6
101	41.0	62.6
102	41.0	62.6
103	41.0	62.5
104	51.0	62.5
105	50.8	62.5
106	48.8	62.3
107	46.7	62.3
108	45.0	62.3
109	44.0	62.3
110	43.2	62.3
111	43.0	62.3
112	43.7	62.1
113	45.0	62.0
114	45.7	62.0
115	46.5	62.0
116	47.2	62.0
117	48.0	62.0
118	49.0	62.0
119	49.5	61.8
120	51.0	61.8
121	41.2	61.8
122	42.5	61.8
123	43.7	61.6
124	44.5	61.5
125	45.0	61.5
126	45.5	61.3
127	46.0	61.3
128	56.5	61.3
129	56.5	61.3
130	55.0	61.1
131	53.5	61.1
132	52.5	61.0
133	51.8	61.0
134	51.5	60.8
135	51.5	60.8
136	52.0	60.8
137	53.3	60.7
138	53.8	60.6
139	54.5	60.6
140	55.0	60.6
141	55.8	60.5
142	56.5	60.5
143	57.0	60.5
144	57.8	60.3
145	47.7	60.3
146	48.0	60.3
147	48.0	60.3
148	48.0	60.3
149	48.0	60.1
150	48.0	60.1
151	48.0	60.1
152	58.0	60.0
153	57.3	60.0
154	52.5	59.8
155	48.2	59.8
156	44.5	59.8
157	41.7	59.8
158	40.2	59.8
159	40.5	59.8
160	42.5	59.8
161	45.2	59.8
162	46.0	59.8
163	46.7	59.8
164	47.5	59.7
165	48.2	59.7
166	49.0	59.7
167	50.0	59.7
168	50.8	59.6
169	42.2	59.6
170	43.2	59.5
171	44.5	59.5
172	45.2	59.5
173	46.0	59.3
174	46.7	59.3
175	47.2	59.3
176	57.8	59.2
177	57.8	59.2
178	56.0	59.2
179	55.3	59.2
180	55.5	59.2
181	55.5	59.1
182	53.3	59.1
183	52.3	59.1
184	52.0	59.1
185	53.3	59.1
186	54.3	59.1
187	55.3	59.0
188	56.0	59.0
189	57.0	59.0
190	57.8	59.0
191	58.8	58.8
192	59.8	58.8
193	50.3	58.7
194	50.8	58.7
195	51.3	58.7
196	51.5	58.7
197	51.8	58.6
198	52.3	58.6
199	52.5	58.6
200	62.6	58.6
201	62.3	58.6
202	60.3	58.6
203	58.6	58.5
204	57.0	58.5
205	56.0	58.5
206	55.8	58.5
207	55.5	58.4
208	56.3	58.4
209	57.8	58.4
210	58.0	58.3
211	58.3	58.3
212	59.1	58.3
213	59.1	58.2
214	59.1	58.2
215	59.3	58.1
216	59.8	58.1
217	49.8	58.0
218	49.8	58.0
219	50.0	58.0
220	50.0	58.0
221	50.0	58.0
222	50.0	58.0
223	50.0	57.9
224	60.1	57.9
225	59.8	57.8
226	57.8	57.8
227	55.8	57.8
228	54.3	57.8
229	53.5	57.8
230	52.8	57.8
231	52.8	57.8
232	53.3	57.8
233	54.5	57.8
234	55.0	57.7
235	55.5	57.7
236	56.5	57.7
237	55.8	57.7
238	56.3	57.7
239	56.5	57.7
240	56.8	57.7
241	47.2	57.5
242	47.5	57.5
243	47.7	57.5
244	48.0	57.5
245	48.0	57.5
246	48.0	57.4
247	48.0	57.4
248	58.3	57.3
249	57.8	57.3
250	54.3	57.2
251	51.0	57.2
252	48.0	57.2
253	46.0	57.2
254	44.7	57.2
255	44.5	57.0
256	45.5	57.0
257	47.5	57.0
258	49.0	57.0
259	50.5	57.0
260	51.8	57.0
261	53.3	57.0
262	54.8	57.0
263	56.3	56.9
264	57.5	56.9
265	50.3	56.9
266	53.8	56.9
267	57.0	56.9
268	59.1	56.8
269	60.8	56.8
270	62.8	56.8
271	64.3	56.8
272	75.9	56.7
273	75.6	56.7
274	73.9	56.7
275	72.1	56.7
276	69.9	56.7
277	69.1	56.7
278	70.4	56.7
279	71.1	56.5
280	72.4	56.5
281	74.6	56.5
282	75.1	56.5
283	75.9	56.5
284	76.6	56.5
285	77.1	56.4
286	77.9	56.4
287	78.7	56.4
288	79.2	56.4
289	68.1	56.4
290	67.3	56.4
291	64.6	56.3
292	63.3	56.3
293	62.3	56.3
294	61.3	56.3
295	60.6	56.3
296	69.9	56.2
297	69.1	56.2
298	65.8	56.2
299	62.8	56.0
300	60.6	56.0
301	58.8	56.0
302	58.0	56.0
303	57.8	55.9
304	58.6	55.9
305	60.1	55.9
306	59.8	55.9
307	59.8	55.9
308	59.8	55.9
309	59.8	55.9
310	60.1	55.8
311	59.6	55.8
312	59.6	55.8
313	50.5	55.8
314	51.5	55.8
315	52.5	55.7
316	53.0	55.7
317	53.8	55.7
318	54.3	55.6
319	54.8	55.6
320	65.1	55.5
321	65.1	55.5
322	63.8	55.5
323	61.8	55.5
324	60.6	55.5
325	59.8	55.5
326	59.3	55.5
327	59.3	55.4
328	59.8	55.4
329	60.8	55.4
330	62.1	55.4
331	62.8	55.3
332	63.8	55.3
333	64.8	55.2
334	65.6	55.2
335	66.6	55.2
336	67.6	55.2
337	59.1	55.2
338	59.1	55.1
339	59.8	55.1
340	60.3	55.0
341	60.8	55.0
342	61.1	55.0
343	61.6	55.0
344	71.9	55.0
345	71.6	54.9
346	69.6	54.9
347	68.1	54.9
348	66.8	54.8
349	65.8	54.8
350	65.6	54.8
351	66.1	54.7
352	66.8	54.7
353	67.8	54.7
354	68.1	54.7
355	68.1	54.7
356	68.4	54.7
357	68.6	54.5
358	68.6	54.5
359	68.6	54.4
360	68.9	54.4
361	58.6	54.4
362	58.3	54.4
363	58.0	54.4
364	57.5	54.4
365	57.3	54.3
366	57.0	54.3
367	56.8	54.3
368	66.6	54.3
369	66.1	54.3
370	65.1	54.3
371	64.1	54.3
372	63.3	54.2
373	62.6	54.2
374	56.5	54.1
375	53.3	54.1
376	52.3	54.1
377	54.3	54.1
378	54.8	54.0
379	55.0	54.0
380	55.5	53.9
381	56.0	53.9
382	56.3	53.9
383	56.8	53.9
384	57.0	53.9
385	48.2	53.8
386	49.3	53.8
387	50.5	53.8
388	51.0	53.8
389	51.5	53.7
390	52.3	53.7
391	52.5	53.6
392	63.1	53.6
393	62.6	53.6
394	55.8	53.6
395	49.5	53.6
396	44.0	53.6
397	40.5	53.5
398	38.7	53.5
399	38.7	53.5
400	41.2	53.5
401	45.7	53.4
402	46.2	53.4
403	47.0	53.4
404	47.5	53.4
405	48.2	53.4
406	48.8	53.3
407	49.5	53.3
408	50.0	53.3
409	40.5	53.3
410	40.7	53.3
411	41.2	53.3
412	41.2	53.3
413	41.5	53.3
414	41.5	53.1
415	41.5	53.1
416	51.8	53.1
417	51.3	53.1
418	50.5	53.1
419	49.5	53.1
420	48.8	53.0
421	47.7	52.9
422	41.2	52.9
423	37.9	52.9
424	36.9	52.9
425	39.2	52.9
426	39.7	52.8
427	40.2	52.8
428	40.7	52.8
429	41.0	52.8
430	41.5	52.8
431	42.0	52.8
432	42.5	52.6
433	33.2	52.6
434	33.9	52.6
435	34.7	52.6
436	34.9	52.6
437	35.2	52.6
438	35.7	52.6
439	35.7	52.5
440	46.0	52.5
441	45.7	52.5
442	45.0	52.5
443	44.5	52.5
444	43.7	52.5
445	43.5	52.4
446	37.7	52.4
447	33.9	52.4
448	32.4	52.4
449	34.4	52.4
450	35.2	52.4
451	36.2	52.3
452	36.9	52.3
453	37.9	52.3
454	39.0	52.3
455	39.7	52.3
456	40.7	52.1
457	31.7	52.1
458	32.9	52.1
459	34.2	52.1
460	34.9	52.1
461	35.7	52.1
462	36.4	52.1
463	36.7	52.0
464	47.2	52.0
465	47.0	52.0
466	46.2	52.0
467	46.0	51.9
468	45.2	51.9
469	44.7	51.9
470	40.0	51.9
471	37.9	51.9
472	37.4	51.9
473	39.2	51.9
474	39.7	51.9
475	40.0	51.8
476	40.5	51.8
477	41.0	51.8
478	41.2	51.8
479	41.7	51.8
480	42.0	51.8
481	31.9	51.6
482	31.9	51.6
483	31.7	51.6
484	31.7	51.6
485	31.4	51.6
486	31.4	51.6
487	31.2	51.6
488	41.2	51.6
489	40.7	51.6
490	36.4	51.6
491	32.4	51.6
492	28.6	51.6
493	25.6	51.5
494	23.6	51.5
495	23.4	51.5
496	24.6	51.5
497	27.4	51.5
498	28.1	51.5
499	29.1	51.4
500	29.9	51.4
501	30.9	51.4
502	31.9	51.4
503	32.7	51.4
504	33.7	51.4
505	25.1	51.4
506	26.4	51.3
507	27.9	51.3
508	28.4	51.3
509	29.1	51.2
510	29.7	51.2
511	30.2	51.2
512	40.5	51.2
513	40.0	51.1
514	35.2	51.1
515	31.4	51.1
516	27.1	51.1
517	24.4	51.1
518	20.9	51.0
519	19.3	51.0
520	19.6	51.0
521	22.9	51.0
522	25.1	51.0
523	27.1	51.0
524	29.4	50.9
525	31.7	50.9
526	33.7	50.9
527	35.9	50.8
528	37.9	50.8
529	30.4	50.8
530	33.2	50.8
531	35.7	50.8
532	37.2	50.8
533	38.4	50.8
534	40.0	50.7
535	40.7	50.7
536	51.8	50.6
537	50.3	50.6
538	42.2	50.6
539	35.2	50.6
540	29.9	50.6
541	25.9	50.5
542	23.6	50.5
543	23.4	50.5
544	25.4	50.5
545	30.4	50.5
546	33.4	50.5
547	36.4	50.5
548	39.5	50.5
549	42.5	50.5
550	45.5	50.3
551	48.5	50.3
552	51.5	50.3
553	44.2	50.3
554	47.2	50.3
555	50.3	50.3
556	52.0	50.3
557	53.8	50.3
558	55.5	50.3
559	56.8	50.3
560	68.1	50.3
561	67.6	50.3
562	62.6	50.3
563	57.5	50.3
564	54.3	50.3
565	52.5	50.3
566	50.0	50.2
567	49.3	50.2
568	49.8	50.2
569	53.5	50.2
570	54.3	50.2
571	55.0	50.2
572	55.5	50.2
573	56.3	50.0
574	57.0	50.0
575	57.8	50.0
576	58.6	50.0
577	47.5	50.0
578	46.5	50.0
579	45.5	50.0
580	44.7	50.0
581	44.2	50.0
582	43.5	50.0
583	43.0	50.0
584	52.8	49.8
585	52.0	49.8
586	50.0	49.8
587	50.5	49.8
588	47.5	49.8
589	45.7	49.8
590	45.2	49.8
591	45.5	49.8
592	45.0	49.8
593	46.7	49.8
594	47.0	49.8
595	46.7	49.8
596	46.5	49.8
597	46.5	49.8
598	46.5	49.8
599	46.2	49.8
600	46.0	49.6
601	36.7	49.6
602	37.2	49.6
603	37.7	49.6
604	37.9	49.6
605	38.2	49.6
606	38.4	49.6
607	38.7	49.6
608	48.8	49.6
609	46.5	49.6
610	40.7	49.6
611	37.7	49.5
612	34.9	49.5
613	29.4	49.5
614	25.6	49.5
615	23.4	49.5
616	23.1	49.5
617	25.9	49.3
618	29.9	49.3
619	30.7	49.3
620	31.2	49.3
621	31.9	49.3
622	32.7	49.3
623	33.4	49.3
624	34.2	49.3
625	24.9	49.3
626	25.9	49.3
627	26.9	49.3
628	27.4	49.1
629	27.9	49.1
630	28.4	49.1
631	28.6	49.1
632	39.2	49.1
633	39.0	49.1
634	38.2	49.1
635	37.4	49.1
636	37.2	49.1
637	36.7	49.1
