# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	15.8	74.5
2	17.0	74.0
3	18.2	73.3
4	18.7	72.6
5	19.1	72.1
6	19.6	71.4
7	19.9	71.4
8	29.5	71.1
9	29.1	70.7
10	25.8	70.2
11	22.7	69.5
12	20.1	68.1
13	18.4	67.8
14	17.5	67.8
15	17.5	67.6
16	18.7	67.4
17	20.3	66.9
18	22.0	66.4
19	23.4	66.2
20	24.8	65.7
21	26.2	65.7
22	27.7	65.7
23	29.3	65.7
24	30.7	65.7
25	24.1	65.5
26	27.4	65.0
27	30.5	65.0
28	32.4	64.9
29	34.0	64.8
30	35.9	64.7
31	37.1	64.6
32	48.0	64.5
33	48.0	64.5
34	43.7	64.5
35	40.2	64.3
36	36.9	64.1
37	35.0	64.1
38	34.0	64.1
39	34.0	64.1
40	35.9	64.1
41	39.0	64.0
42	40.2	63.8
43	41.4	63.6
44	42.5	63.6
45	43.5	63.3
46	44.7	63.3
47	45.9	63.3
48	47.0	63.0
49	37.3	63.0
50	36.9	62.9
51	36.4	62.9
52	36.2	62.8
53	35.9	62.8
54	35.7	62.6
55	35.5	62.6
56	44.7	62.3
57	44.2	62.3
58	40.4	62.2
59	37.1	62.2
60	35.0	62.1
61	33.3	62.0
62	32.4	61.9
63	32.4	61.9
64	33.3	61.8
65	35.2	61.8
66	35.9	61.7
67	36.4	61.7
68	36.9	61.6
69	37.3	61.6
70	38.1	61.4
71	38.5	61.2
72	39.0	61.2
73	30.5	61.2
74	32.1	61.0
75	33.1	60.9
76	33.6	60.9
77	34.3	60.9
78	34.7	60.7
79	35.2	60.6
80	45.1	60.6
81	45.1	60.5
82	44.0	60.3
83	43.0	60.2
84	42.5	60.0
85	42.3	60.0
86	42.1	60.0
87	42.3	59.9
88	42.8	59.7
89	43.5	59.7
90	44.2	59.7
91	44.7	59.6
92	45.4	59.6
93	45.9	59.5
94	46.6	59.4
95	47.3	59.3
96	48.7	59.2
97	38.5	59.1
98	38.5	59.1
99	38.5	59.1
100	38.8	58.9
101	38.5	58.9
102	38.5	58.9
103	38.5	58.9
104	48.0	58.7
105	47.7	58.7
106	45.9	58.6
107	44.0	58.6
108	42.3	58.5
109	41.4	58.5
110	40.7	58.5
111	40.4	58.5
112	41.1	58.4
113	42.3	58.3
114	43.0	58.3
115	43.7	58.3
116	44.4	58.3
117	45.1	58.3
118	46.1	58.3
119	46.6	58.2
120	48.0	58.1
121	38.8	58.0
122	39.9	58.0
123	41.1	58.0
124	41.8	57.9
125	42.3	57.8
126	42.8	57.8
127	43.3	57.8
128	53.2	57.7
129	53.2	57.5
130	51.8	57.5
131	50.3	57.5
132	49.4	57.4
133	48.7	57.3
134	48.5	57.3
135	48.5	57.2
136	48.9	57.2
137	50.1	57.2
138	50.6	57.0
139	51.3	57.0
140	51.8	57.0
141	52.5	56.9
142	53.2	56.8
143	53.7	56.8
144	54.4	56.8
145	44.9	56.7
146	45.1	56.7
147	45.1	56.7
148	45.1	56.6
149	45.1	56.6
150	45.1	56.6
151	45.1	56.5
152	54.6	56.5
