# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.7	59.9
2	13.7	59.6
3	14.7	59.0
4	15.0	58.4
5	15.4	58.0
6	15.8	57.5
7	16.0	57.5
8	23.8	57.3
9	23.4	56.9
10	20.7	56.5
11	18.3	55.9
12	16.2	54.8
13	14.8	54.6
14	14.1	54.5
15	14.1	54.4
16	15.0	54.2
17	16.4	53.9
18	17.7	53.3
19	18.8	53.3
20	20.0	52.9
21	21.1	52.9
22	22.3	52.7
23	23.6	52.7
24	24.7	52.7
25	19.4	52.7
26	22.1	52.4
27	24.5	52.3
28	26.1	52.3
29	27.4	52.2
30	28.9	52.1
31	29.9	52.0
32	38.6	52.0
33	38.6	52.0
34	35.2	52.0
35	32.4	51.8
36	29.7	51.6
37	28.2	51.6
38	27.4	51.6
39	27.4	51.6
40	28.9	51.6
41	31.4	51.4
42	32.4	51.4
43	33.3	51.3
44	34.3	51.3
45	35.0	51.2
46	36.0	51.2
47	36.9	51.0
48	37.9	50.6
49	30.1	50.6
50	29.7	50.6
51	29.3	50.6
52	29.1	50.4
53	28.9	50.4
54	28.7	50.4
55	28.5	50.4
56	36.0	50.3
57	35.6	50.1
58	32.5	50.1
59	29.9	50.0
60	28.2	50.0
61	26.8	49.9
62	26.1	49.9
63	26.1	49.9
64	26.8	49.7
65	28.4	49.7
66	28.9	49.7
67	29.3	49.7
68	29.7	49.5
69	30.1	49.5
70	30.6	49.4
71	31.0	49.3
72	31.4	49.3
73	24.5	49.3
74	25.9	49.3
75	26.6	49.1
76	27.0	48.9
77	27.6	48.9
78	28.0	48.9
79	28.4	48.7
80	36.3	48.7
81	36.3	48.7
82	35.4	48.6
83	34.6	48.5
84	34.3	48.3
85	34.1	48.3
86	33.9	48.3
87	34.1	48.3
88	34.4	48.1
89	35.0	48.0
90	35.6	48.0
91	36.0	48.0
92	36.5	48.0
93	36.9	48.0
94	37.5	47.8
95	38.1	47.8
96	39.2	47.6
97	31.0	47.6
98	31.0	47.6
99	31.0	47.6
100	31.2	47.4
101	31.0	47.4
102	31.0	47.4
103	31.0	47.4
104	38.6	47.2
105	38.4	47.2
106	36.9	47.2
107	35.4	47.2
108	34.1	47.2
109	33.3	47.0
110	32.7	47.0
111	32.5	47.0
112	33.1	47.0
113	34.1	47.0
114	34.6	46.9
115	35.2	46.8
116	35.8	46.8
117	36.3	46.8
118	37.1	46.8
119	37.5	46.8
120	38.6	46.8
121	31.2	46.8
122	32.2	46.6
123	33.1	46.6
124	33.7	46.6
125	34.1	46.6
126	34.4	46.4
127	34.8	46.4
128	42.8	46.4
129	42.8	46.2
130	41.7	46.2
131	40.5	46.2
132	39.8	46.2
133	39.2	46.1
134	39.0	46.1
135	39.0	46.1
136	39.4	46.1
137	40.3	46.0
138	40.7	46.0
139	41.3	46.0
140	41.7	45.9
141	42.2	45.9
142	42.8	45.9
143	43.2	45.7
144	43.8	45.7
145	36.2	45.7
146	36.3	45.7
147	36.3	45.7
148	36.3	45.6
149	36.3	45.5
150	36.3	45.5
151	36.3	45.5
152	44.0	45.5
153	43.4	45.5
154	39.8	45.5
155	36.5	45.3
156	33.7	45.3
157	31.6	45.3
158	30.4	45.3
159	30.6	45.3
160	32.2	45.3
161	34.3	45.3
162	34.8	45.3
163	35.4	45.3
164	36.0	45.3
165	36.5	45.3
166	37.1	45.3
167	37.9	45.2
168	38.4	45.2
169	32.0	45.1
170	32.7	45.1
171	33.7	45.1
172	34.3	45.1
173	34.8	45.1
174	35.4	45.1
175	35.8	45.1
176	43.8	45.1
177	43.8	44.9
178	42.4	44.9
179	41.9	44.9
180	42.1	44.9
181	42.1	44.9
182	40.3	44.9
183	39.6	44.9
184	39.4	44.7
185	40.3	44.7
186	41.1	44.7
187	41.9	44.7
188	42.4	44.7
189	43.2	44.7
190	43.8	44.7
191	44.5	44.7
192	45.3	44.7
193	38.1	44.7
194	38.4	44.7
195	38.8	44.7
196	39.0	44.7
197	39.2	44.5
198	39.6	44.5
199	39.8	44.5
200	47.4	44.5
201	47.2	44.5
202	45.7	44.5
203	44.3	44.5
204	43.2	44.5
205	42.4	44.4
206	42.2	44.4
207	42.1	44.3
208	42.6	44.3
209	43.8	44.3
210	44.0	44.3
211	44.1	44.3
212	44.7	44.3
213	44.7	44.3
214	44.7	44.3
215	44.9	44.2
216	45.3	44.2
217	37.7	44.2
218	37.7	44.1
219	37.9	44.1
220	37.9	44.1
221	37.9	44.1
222	37.9	44.1
223	37.9	44.1
224	45.5	44.1
225	45.3	44.0
226	43.8	44.0
227	42.2	44.0
228	41.1	44.0
229	40.5	44.0
230	40.0	43.9
231	40.0	43.9
232	40.3	43.8
233	41.3	43.8
234	41.7	43.8
235	42.1	43.8
236	42.8	43.8
237	42.2	43.8
238	42.6	43.8
239	42.8	43.8
240	43.0	43.8
241	35.8	43.8
242	36.0	43.8
243	36.2	43.7
244	36.3	43.7
245	36.3	43.6
246	36.3	43.6
247	36.3	43.6
248	44.1	43.5
249	43.8	43.5
250	41.1	43.5
251	38.6	43.5
252	36.3	43.4
253	34.8	43.4
254	33.9	43.3
255	33.7	43.3
256	34.4	43.2
257	36.0	43.2
258	37.1	43.2
259	38.2	43.2
260	39.2	43.2
261	40.3	43.2
262	41.5	43.2
263	42.6	43.2
264	43.6	43.2
265	38.1	43.0
266	40.7	43.0
267	43.2	43.0
268	44.7	43.0
269	46.1	43.0
270	47.6	43.0
271	48.7	43.0
272	57.5	43.0
273	57.3	43.0
274	55.9	42.9
275	54.6	42.9
276	52.9	42.8
277	52.3	42.8
278	53.3	42.8
279	53.9	42.8
280	54.8	42.8
281	56.5	42.8
282	56.9	42.8
283	57.5	42.8
284	58.0	42.8
285	58.4	42.8
286	59.0	42.8
287	59.6	42.6
288	59.9	42.6
289	51.6	42.6
290	51.0	42.6
291	48.9	42.6
292	48.0	42.6
293	47.2	42.6
294	46.4	42.6
295	45.9	42.6
296	52.9	42.6
297	52.3	42.6
298	49.9	42.6
299	47.6	42.6
300	45.9	42.4
301	44.5	42.4
302	44.0	42.4
303	43.8	42.4
304	44.3	42.4
305	45.5	42.4
306	45.3	42.4
307	45.3	42.4
308	45.3	42.2
309	45.3	42.2
310	45.5	42.2
311	45.1	42.2
312	45.1	42.2
313	38.2	42.2
314	39.0	42.2
315	39.8	42.2
316	40.2	42.2
317	40.7	42.2
318	41.1	42.2
319	41.5	42.2
320	49.3	42.2
321	49.3	42.1
322	48.3	42.1
323	46.8	42.1
324	45.9	42.1
325	45.3	42.1
326	44.9	42.1
327	44.9	42.1
328	45.3	42.0
329	46.1	42.0
330	47.0	42.0
331	47.6	42.0
332	48.3	41.9
333	49.1	41.9
334	49.7	41.8
335	50.4	41.8
336	51.2	41.8
337	44.7	41.8
338	44.7	41.8
339	45.3	41.8
340	45.7	41.7
341	46.1	41.7
342	46.2	41.7
343	46.6	41.7
344	54.4	41.7
345	54.2	41.7
346	52.7	41.7
347	51.6	41.6
348	50.6	41.6
349	49.9	41.6
350	49.7	41.6
351	50.0	41.6
352	50.6	41.5
353	51.4	41.5
354	51.6	41.5
355	51.6	41.5
356	51.8	41.5
357	52.0	41.4
358	52.0	41.4
359	52.0	41.4
360	52.1	41.3
361	44.3	41.3
362	44.1	41.3
363	44.0	41.2
364	43.6	41.2
365	43.4	41.2
366	43.2	41.2
367	43.0	41.2
368	50.4	41.2
369	50.0	41.1
370	49.3	41.1
371	48.5	41.1
372	48.0	41.1
373	47.4	41.1
374	42.8	41.1
375	40.3	41.1
376	39.6	41.1
377	41.1	41.1
378	41.5	41.0
379	41.7	41.0
380	42.1	41.0
381	42.4	41.0
382	42.6	41.0
383	43.0	40.9
384	43.2	40.9
385	36.5	40.9
386	37.3	40.9
387	38.2	40.8
388	38.6	40.8
389	39.0	40.8
390	39.6	40.8
391	39.8	40.7
392	47.8	40.7
393	47.4	40.7
394	42.2	40.7
395	37.5	40.7
396	33.3	40.7
397	30.6	40.7
398	29.3	40.7
399	29.3	40.7
400	31.2	40.6
401	34.6	40.6
402	35.0	40.6
403	35.6	40.6
404	36.0	40.5
405	36.5	40.5
406	36.9	40.5
407	37.5	40.5
408	37.9	40.5
409	30.6	40.5
410	30.8	40.5
411	31.2	40.5
412	31.2	40.4
413	31.4	40.4
414	31.4	40.4
415	31.4	40.3
416	39.2	40.3
417	38.8	40.3
418	38.2	40.3
419	37.5	40.3
420	36.9	40.3
421	36.2	40.3
422	31.2	40.3
423	28.7	40.3
424	28.0	40.3
425	29.7	40.2
426	30.1	40.2
427	30.4	40.2
428	30.8	40.1
429	31.0	40.1
430	31.4	40.1
431	31.8	40.1
432	32.2	40.1
433	25.1	40.1
434	25.7	40.1
435	26.3	40.1
436	26.5	40.1
437	26.6	40.0
438	27.0	40.0
439	27.0	40.0
440	34.8	39.9
441	34.6	39.9
442	34.1	39.9
443	33.7	39.9
444	33.1	39.9
445	32.9	39.9
446	28.5	39.9
447	25.7	39.9
448	24.5	39.9
449	26.1	39.8
450	26.6	39.8
451	27.4	39.8
452	28.0	39.8
453	28.7	39.8
454	29.5	39.8
455	30.1	39.7
456	30.8	39.7
457	24.0	39.7
458	24.9	39.7
459	25.9	39.7
460	26.5	39.7
461	27.0	39.7
462	27.6	39.7
463	27.8	39.7
464	35.8	39.6
465	35.6	39.6
466	35.0	39.6
467	34.8	39.6
468	34.3	39.5
469	33.9	39.5
470	30.3	39.5
471	28.7	39.5
472	28.4	39.5
473	29.7	39.5
474	30.1	39.5
475	30.3	39.5
476	30.6	39.5
477	31.0	39.5
478	31.2	39.4
479	31.6	39.4
480	31.8	39.4
481	24.2	39.4
482	24.2	39.3
483	24.0	39.3
484	24.0	39.3
485	23.8	39.3
486	23.8	39.3
487	23.6	39.3
488	31.2	39.3
489	30.8	39.3
490	27.6	39.2
491	24.5	39.2
492	21.7	39.2
493	19.4	39.2
494	17.9	39.2
495	17.7	39.2
496	18.6	39.2
497	20.7	39.2
498	21.3	39.2
499	22.1	39.1
500	22.6	39.1
501	23.4	39.1
502	24.2	39.1
503	24.7	39.1
504	25.5	39.0
505	19.0	39.0
506	20.0	39.0
507	21.1	39.0
