# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	35.7	167.9
2	38.4	166.8
3	41.0	165.2
4	42.1	163.6
5	43.2	162.5
6	44.2	160.9
7	44.8	160.9
8	66.6	160.4
9	65.5	159.3
10	58.1	158.3
11	51.2	156.7
12	45.3	153.5
13	41.6	153.1
14	39.4	152.9
15	39.4	152.4
16	42.1	151.9
17	45.8	150.8
18	49.6	149.8
19	52.8	149.2
20	56.0	148.2
21	59.2	148.2
22	62.3	148.2
23	66.1	148.1
24	69.3	148.1
25	54.4	147.6
26	61.8	146.6
27	68.7	146.5
28	73.0	146.5
29	76.7	146.0
30	81.0	146.0
31	83.7	145.6
32	108.2	145.5
33	108.2	145.5
34	98.6	145.5
35	90.6	144.9
36	83.1	144.4
37	78.9	144.4
38	76.7	144.4
39	76.7	144.4
40	81.0	144.4
41	87.9	144.4
42	90.6	143.9
43	93.3	143.4
44	95.9	143.4
45	98.1	142.8
46	100.7	142.7
47	103.4	142.7
48	106.0	142.3
49	84.2	142.3
50	83.1	141.8
51	82.1	141.8
52	81.5	141.7
53	81.0	141.7
54	80.5	141.2
55	79.9	141.2
56	100.7	140.7
57	99.7	140.7
58	91.1	140.2
59	83.7	140.2
60	78.9	140.1
61	75.1	139.7
62	73.0	139.6
63	73.0	139.6
64	75.1	139.6
65	79.4	139.6
66	81.0	139.1
67	82.1	139.1
68	83.1	139.0
69	84.2	139.0
70	85.8	138.5
71	86.9	138.0
72	87.9	138.0
73	68.7	138.0
74	72.5	137.5
75	74.6	137.4
76	75.7	137.4
77	77.3	137.2
78	78.3	137.0
79	79.4	136.9
80	101.8	136.9
81	101.8	136.4
82	99.1	135.9
83	97.0	135.8
84	95.9	135.4
85	95.4	135.4
86	94.9	135.3
87	95.4	135.2
88	96.5	134.7
89	98.1	134.7
90	99.7	134.7
91	100.7	134.3
92	102.3	134.3
93	103.4	134.2
94	105.0	134.2
95	106.6	133.8
96	109.8	133.7
97	86.9	133.2
98	86.9	133.2
99	86.9	133.2
100	87.4	132.7
101	86.9	132.7
102	86.9	132.7
103	86.9	132.7
104	108.2	132.6
105	107.6	132.6
106	103.4	132.2
107	99.1	132.2
108	95.4	132.0
109	93.3	132.0
110	91.7	132.0
111	91.1	132.0
112	92.7	131.6
113	95.4	131.5
114	97.0	131.5
115	98.6	131.5
116	100.2	131.5
117	101.8	131.5
118	103.9	131.5
119	105.0	131.2
120	108.2	131.1
121	87.4	131.0
122	90.1	131.0
123	92.7	131.0
124	94.3	130.6
125	95.4	130.4
126	96.5	130.4
127	97.5	130.2
128	119.9	130.0
129	119.9	129.9
130	116.7	129.9
131	113.5	129.9
132	111.4	129.5
133	109.8	129.3
134	109.2	129.3
135	109.2	129.0
136	110.3	129.0
137	113.0	129.0
138	114.0	128.4
139	115.6	128.4
140	116.7	128.4
141	118.3	128.3
142	119.9	128.3
143	121.0	128.3
144	122.6	128.2
145	101.3	127.9
146	101.8	127.9
147	101.8	127.8
148	101.8	127.7
149	101.8	127.7
150	101.8	127.7
151	101.8	127.4
152	123.1	127.4
153	121.5	127.4
154	111.4	127.2
155	102.3	127.2
156	94.3	126.8
157	88.5	126.8
158	85.3	126.8
159	85.8	126.8
160	90.1	126.8
161	95.9	126.8
162	97.5	126.8
163	99.1	126.8
164	100.7	126.8
165	102.3	126.8
166	103.9	126.8
167	106.0	126.6
168	107.6	126.6
169	89.5	126.6
170	91.7	126.3
171	94.3	126.3
172	95.9	126.1
173	97.5	126.1
174	99.1	125.8
175	100.2	125.8
176	122.6	125.8
177	122.6	125.8
178	118.8	125.8
179	117.2	125.6
180	117.8	125.6
181	117.8	125.6
182	113.0	125.6
183	110.8	125.6
184	110.3	125.3
185	113.0	125.3
186	115.1	125.3
187	117.2	125.2
188	118.8	125.2
189	121.0	125.2
190	122.6	125.2
191	124.7	125.2
192	126.8	125.2
193	106.6	125.0
194	107.6	125.0
195	108.7	125.0
196	109.2	124.8
197	109.8	124.8
198	110.8	124.7
199	111.4	124.7
200	132.7	124.5
201	132.2	124.5
202	127.9	124.5
203	124.2	124.5
204	121.0	124.3
205	118.8	124.3
206	118.3	124.2
207	117.8	124.2
208	119.4	124.2
209	122.6	124.2
210	123.1	124.0
211	123.6	124.0
212	125.2	124.0
213	125.2	124.0
214	125.2	123.8
215	125.8	123.8
216	126.8	123.8
217	105.5	123.6
218	105.5	123.6
219	106.0	123.6
220	106.0	123.4
221	106.0	123.4
222	106.0	123.3
223	106.0	123.3
224	127.4	123.1
225	126.8	123.1
226	122.6	123.1
227	118.3	123.1
228	115.1	122.9
229	113.5	122.9
230	111.9	122.8
231	111.9	122.8
232	113.0	122.8
233	115.6	122.6
234	116.7	122.6
235	117.8	122.6
236	119.9	122.6
237	118.3	122.6
238	119.4	122.6
239	119.9	122.6
240	120.4	122.6
241	100.2	122.6
242	100.7	122.3
243	101.3	122.3
244	101.8	122.3
245	101.8	122.3
246	101.8	122.3
247	101.8	122.0
248	123.6	122.0
249	122.6	122.0
250	115.1	121.8
251	108.2	121.8
252	101.8	121.8
253	97.5	121.8
254	94.9	121.5
255	94.3	121.5
256	96.5	121.3
257	100.7	121.3
258	103.9	121.0
259	107.1	121.0
260	109.8	121.0
261	113.0	121.0
262	116.2	121.0
263	119.4	121.0
264	122.0	121.0
265	106.6	120.7
266	114.0	120.7
267	121.0	120.7
268	125.2	120.7
269	129.0	120.7
270	133.2	120.4
271	136.4	120.4
272	160.9	120.4
273	160.4	120.4
274	156.7	120.2
275	152.9	120.2
276	148.1	120.2
277	146.5	120.2
278	149.2	120.2
279	150.8	119.9
280	153.5	119.9
281	158.3	119.9
282	159.3	119.9
283	160.9	119.9
284	162.5	119.9
285	163.6	119.6
286	165.2	119.6
287	166.8	119.6
288	167.9	119.6
289	144.4	119.6
290	142.8	119.6
291	137.0	119.4
292	134.3	119.4
293	132.2	119.4
294	130.0	119.4
295	128.4	119.4
296	148.1	119.3
