# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	9.3	43.6
2	10.0	43.4
3	10.7	43.0
4	10.9	42.5
5	11.2	42.3
6	11.5	41.8
7	11.6	41.8
8	17.3	41.7
9	17.0	41.4
10	15.1	41.2
11	13.3	40.7
12	11.8	39.9
13	10.8	39.8
14	10.3	39.6
15	10.3	39.6
16	10.9	39.5
17	11.9	39.2
18	12.9	38.8
19	13.7	38.8
20	14.5	38.5
21	15.4	38.5
22	16.2	38.4
23	17.2	38.4
24	18.0	38.4
25	14.1	38.4
26	16.1	38.1
27	17.9	38.1
28	19.0	38.0
29	20.0	38.0
30	21.1	37.8
31	21.8	37.8
32	28.1	37.8
33	28.1	37.8
34	25.6	37.8
35	23.6	37.7
36	21.6	37.6
37	20.5	37.6
38	20.0	37.6
39	20.0	37.6
40	21.1	37.6
41	22.9	37.4
42	23.6	37.4
43	24.2	37.3
44	24.9	37.3
45	25.5	37.1
46	26.2	37.0
47	26.9	37.0
48	27.6	36.9
49	21.9	36.9
50	21.6	36.8
51	21.3	36.8
52	21.2	36.7
53	21.1	36.7
54	20.9	36.7
55	20.8	36.7
56	26.2	36.4
57	25.9	36.4
58	23.7	36.4
59	21.8	36.4
60	20.5	36.3
61	19.5	36.3
62	19.0	36.3
63	19.0	36.2
64	19.5	36.2
65	20.6	36.2
66	21.1	36.1
67	21.3	36.1
68	21.6	36.0
69	21.9	36.0
70	22.3	35.9
71	22.6	35.9
72	22.9	35.9
73	17.9	35.9
74	18.8	35.8
75	19.4	35.6
76	19.7	35.6
77	20.1	35.6
78	20.4	35.6
79	20.6	35.5
80	26.5	35.4
81	26.5	35.4
82	25.8	35.3
83	25.2	35.2
84	24.9	35.2
85	24.8	35.2
86	24.7	35.1
87	24.8	35.0
88	25.1	34.9
89	25.5	34.9
90	25.9	34.9
91	26.2	34.9
92	26.6	34.9
93	26.9	34.8
94	27.3	34.8
95	27.7	34.7
96	28.5	34.6
97	22.6	34.6
98	22.6	34.6
99	22.6	34.6
100	22.7	34.5
101	22.6	34.5
102	22.6	34.5
103	22.6	34.5
104	28.1	34.4
105	28.0	34.4
106	26.9	34.3
107	25.8	34.3
108	24.8	34.2
109	24.2	34.2
110	23.8	34.2
111	23.7	34.2
112	24.1	34.2
113	24.8	34.1
114	25.2	34.1
115	25.6	34.0
116	26.1	34.0
117	26.5	34.0
118	27.0	34.0
119	27.3	34.0
120	28.1	34.0
121	22.7	33.9
122	23.4	33.9
123	24.1	33.9
124	24.5	33.9
125	24.8	33.8
126	25.1	33.8
127	25.4	33.8
128	31.2	33.8
129	31.2	33.7
130	30.3	33.6
131	29.5	33.6
132	29.0	33.6
133	28.5	33.5
134	28.4	33.5
135	28.4	33.5
136	28.7	33.5
137	29.4	33.5
138	29.7	33.4
139	30.1	33.4
140	30.3	33.4
141	30.8	33.3
142	31.2	33.3
143	31.5	33.3
144	31.9	33.2
145	26.3	33.2
146	26.5	33.2
147	26.5	33.1
148	26.5	33.1
149	26.5	33.1
150	26.5	33.1
151	26.5	33.1
152	32.0	33.1
153	31.6	33.1
154	29.0	33.0
155	26.6	33.0
156	24.5	33.0
157	23.0	33.0
158	22.2	33.0
159	22.3	33.0
160	23.4	33.0
161	24.9	33.0
162	25.4	33.0
163	25.8	33.0
164	26.2	32.9
165	26.6	32.9
166	27.0	32.9
167	27.6	32.8
168	28.0	32.8
169	23.3	32.8
170	23.8	32.8
171	24.5	32.8
172	24.9	32.7
173	25.4	32.7
174	25.8	32.7
175	26.1	32.7
176	31.9	32.7
177	31.9	32.6
178	30.9	32.6
179	30.5	32.6
180	30.6	32.6
181	30.6	32.6
182	29.4	32.6
183	28.8	32.6
184	28.7	32.6
185	29.4	32.5
186	29.9	32.5
187	30.5	32.5
188	30.9	32.5
189	31.5	32.5
190	31.9	32.5
191	32.4	32.5
192	33.0	32.5
193	27.7	32.4
194	28.0	32.4
195	28.3	32.4
196	28.4	32.4
197	28.5	32.4
198	28.8	32.4
199	29.0	32.4
200	34.5	32.3
201	34.4	32.3
202	33.3	32.3
203	32.3	32.3
204	31.5	32.2
205	30.9	32.2
206	30.8	32.2
207	30.6	32.2
208	31.0	32.2
209	31.9	32.2
210	32.0	32.1
211	32.1	32.1
212	32.6	32.1
213	32.6	32.1
214	32.6	32.1
215	32.7	32.1
216	33.0	32.1
217	27.4	32.1
218	27.4	32.1
219	27.6	32.1
220	27.6	32.0
221	27.6	32.0
222	27.6	32.0
223	27.6	32.0
224	33.1	32.0
225	33.0	32.0
226	31.9	32.0
227	30.8	32.0
228	29.9	31.9
229	29.5	31.9
230	29.1	31.9
231	29.1	31.9
232	29.4	31.9
233	30.1	31.9
234	30.3	31.9
235	30.6	31.9
236	31.2	31.9
237	30.8	31.9
238	31.0	31.9
239	31.2	31.9
240	31.3	31.8
241	26.1	31.8
242	26.2	31.7
243	26.3	31.7
244	26.5	31.7
245	26.5	31.7
246	26.5	31.7
247	26.5	31.7
248	32.1	31.7
249	31.9	31.7
250	29.9	31.6
251	28.1	31.6
252	26.5	31.6
253	25.4	31.6
254	24.7	31.5
255	24.5	31.5
256	25.1	31.5
257	26.2	31.5
258	27.0	31.5
259	27.9	31.5
260	28.5	31.5
261	29.4	31.5
262	30.2	31.5
263	31.0	31.4
264	31.7	31.4
265	27.7	31.3
266	29.7	31.3
267	31.5	31.3
268	32.6	31.3
269	33.5	31.3
270	34.6	31.3
271	35.5	31.3
272	41.8	31.3
273	41.7	31.3
274	40.7	31.2
275	39.8	31.2
276	38.5	31.2
277	38.1	31.2
278	38.8	31.2
279	39.2	31.2
280	39.9	31.1
281	41.2	31.1
282	41.4	31.1
283	41.8	31.1
284	42.3	31.1
285	42.5	31.0
286	43.0	31.0
287	43.4	31.0
288	43.6	31.0
289	37.6	31.0
290	37.1	31.0
291	35.6	31.0
292	34.9	31.0
293	34.4	31.0
294	33.8	31.0
295	33.4	31.0
296	38.5	31.0
297	38.1	31.0
298	36.3	30.9
299	34.6	30.9
300	33.4	30.9
301	32.4	30.9
302	32.0	30.8
303	31.9	30.8
304	32.3	30.8
305	33.1	30.8
306	33.0	30.8
307	33.0	30.8
308	33.0	30.8
309	33.0	30.8
310	33.1	30.7
311	32.8	30.7
312	32.8	30.7
313	27.9	30.7
314	28.4	30.7
315	29.0	30.7
316	29.2	30.7
317	29.7	30.7
318	29.9	30.7
319	30.2	30.6
320	35.9	30.6
321	35.9	30.6
322	35.2	30.6
323	34.1	30.6
324	33.4	30.6
325	33.0	30.6
326	32.7	30.6
327	32.7	30.6
328	33.0	30.6
329	33.5	30.5
330	34.2	30.5
331	34.6	30.4
332	35.2	30.4
333	35.8	30.4
334	36.2	30.4
335	36.7	30.4
336	37.3	30.3
337	32.6	30.3
338	32.6	30.3
339	33.0	30.3
340	33.3	30.3
341	33.5	30.3
342	33.7	30.3
343	33.9	30.3
344	39.6	30.3
345	39.5	30.3
346	38.4	30.3
347	37.6	30.3
348	36.9	30.2
349	36.3	30.2
350	36.2	30.2
351	36.4	30.2
352	36.9	30.2
353	37.4	30.1
354	37.6	30.1
355	37.6	30.1
356	37.7	30.1
357	37.8	30.1
358	37.8	30.1
359	37.8	30.1
360	38.0	30.0
361	32.3	30.0
362	32.1	30.0
363	32.0	30.0
364	31.7	30.0
365	31.6	30.0
366	31.5	29.9
367	31.3	29.9
368	36.7	29.9
369	36.4	29.9
370	35.9	29.9
371	35.3	29.9
372	34.9	29.9
373	34.5	29.9
374	31.2	29.9
375	29.4	29.9
376	28.8	29.9
377	29.9	29.9
378	30.2	29.9
379	30.3	29.9
380	30.6	29.8
381	30.9	29.7
382	31.0	29.7
383	31.3	29.7
384	31.5	29.7
385	26.6	29.7
386	27.2	29.7
387	27.9	29.7
388	28.1	29.7
389	28.4	29.7
390	28.8	29.7
391	29.0	29.6
392	34.8	29.6
393	34.5	29.6
394	30.8	29.6
395	27.3	29.6
396	24.2	29.5
397	22.3	29.5
398	21.3	29.5
399	21.3	29.4
400	22.7	29.4
401	25.2	29.4
402	25.5	29.4
403	25.9	29.4
404	26.2	29.4
405	26.6	29.4
406	26.9	29.4
407	27.3	29.4
408	27.6	29.4
409	22.3	29.4
410	22.4	29.4
411	22.7	29.4
412	22.7	29.4
413	22.9	29.3
414	22.9	29.3
415	22.9	29.3
416	28.5	29.3
417	28.3	29.3
418	27.9	29.3
419	27.3	29.3
420	26.9	29.3
421	26.3	29.2
422	22.7	29.2
423	20.9	29.2
424	20.4	29.2
425	21.6	29.2
426	21.9	29.2
427	22.2	29.2
428	22.4	29.2
429	22.6	29.1
430	22.9	29.1
431	23.1	29.1
432	23.4	29.1
433	18.3	29.0
434	18.7	29.0
435	19.1	29.0
436	19.3	29.0
437	19.4	29.0
438	19.7	29.0
439	19.7	29.0
440	25.4	29.0
441	25.2	29.0
442	24.8	29.0
443	24.5	29.0
444	24.1	29.0
445	24.0	29.0
446	20.8	29.0
447	18.7	29.0
448	17.9	28.9
449	19.0	28.9
450	19.4	28.9
451	20.0	28.9
452	20.4	28.9
453	20.9	28.9
454	21.5	28.9
455	21.9	28.8
456	22.4	28.8
457	17.5	28.8
458	18.2	28.8
459	18.8	28.8
460	19.3	28.8
461	19.7	28.8
462	20.1	28.8
463	20.2	28.7
464	26.1	28.7
465	25.9	28.7
466	25.5	28.7
467	25.4	28.7
468	24.9	28.7
469	24.7	28.7
470	22.0	28.7
471	20.9	28.7
472	20.6	28.7
473	21.6	28.6
474	21.9	28.6
475	22.0	28.6
476	22.3	28.6
477	22.6	28.6
478	22.7	28.6
479	23.0	28.6
480	23.1	28.6
481	17.6	28.5
482	17.6	28.5
483	17.5	28.5
484	17.5	28.5
485	17.3	28.5
486	17.3	28.5
487	17.2	28.5
488	22.7	28.5
489	22.4	28.5
490	20.1	28.5
491	17.9	28.5
492	15.8	28.5
493	14.1	28.5
494	13.0	28.5
495	12.9	28.5
496	13.6	28.5
