# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	23.7	111.3
2	25.4	110.6
3	27.2	109.5
4	27.9	108.5
5	28.6	107.8
6	29.3	106.7
7	29.7	106.7
8	44.2	106.3
9	43.5	105.6
10	38.5	104.9
11	33.9	103.9
12	30.0	101.7
13	27.6	101.4
14	26.1	101.4
15	26.1	101.0
16	27.9	100.7
17	30.4	100.0
18	32.9	99.3
19	35.0	98.9
20	37.1	98.2
21	39.2	98.2
22	41.3	98.2
23	43.8	98.2
24	45.9	98.2
25	36.0	97.9
26	41.0	97.2
27	45.6	97.2
28	48.4	97.2
29	50.9	96.8
30	53.7	96.8
31	55.5	96.4
32	71.7	96.4
33	71.7	96.4
34	65.4	96.3
35	60.1	96.1
36	55.1	95.7
37	52.3	95.7
38	50.9	95.7
39	50.9	95.7
40	53.7	95.7
41	58.3	95.7
42	60.1	95.4
43	61.8	95.0
44	63.6	95.0
45	65.0	94.7
46	66.8	94.4
47	68.5	94.4
48	70.3	94.3
49	55.8	94.3
50	55.1	94.0
51	54.4	94.0
52	54.1	93.9
53	53.7	93.9
54	53.3	93.6
55	53.0	93.6
56	66.8	93.2
57	66.1	93.2
58	60.4	92.9
59	55.5	92.9
60	52.3	92.9
61	49.8	92.6
62	48.4	92.6
63	48.4	92.5
64	49.8	92.5
65	52.6	92.4
66	53.7	92.2
67	54.4	92.2
68	55.1	92.2
69	55.8	92.2
70	56.9	91.8
71	57.6	91.5
72	58.3	91.5
73	45.6	91.5
74	48.0	91.1
75	49.5	91.1
76	50.2	91.1
77	51.2	90.8
78	51.9	90.7
79	52.6	90.7
80	67.5	90.7
81	67.5	90.4
82	65.7	90.1
83	64.3	90.0
84	63.6	89.7
85	63.2	89.7
86	62.9	89.7
87	63.2	89.4
88	63.9	89.3
89	65.0	89.3
90	66.1	89.3
91	66.8	89.0
92	67.8	89.0
93	68.5	88.9
94	69.6	88.8
95	70.7	88.7
96	72.8	88.6
97	57.6	88.3
98	57.6	88.3
99	57.6	88.3
100	57.9	88.0
101	57.6	88.0
102	57.6	88.0
103	57.6	88.0
104	71.7	87.9
105	71.4	87.9
106	68.5	87.6
107	65.7	87.6
108	63.2	87.5
109	61.8	87.5
110	60.8	87.5
111	60.4	87.5
112	61.5	87.3
113	63.2	87.2
114	64.3	87.2
115	65.4	87.2
116	66.4	87.2
117	67.5	87.2
118	68.9	87.2
119	69.6	86.9
120	71.7	86.8
121	57.9	86.8
122	59.7	86.8
123	61.5	86.8
124	62.5	86.6
125	63.2	86.4
126	63.9	86.4
127	64.7	86.2
128	79.5	86.1
129	79.5	86.1
130	77.4	86.1
131	75.2	86.1
132	73.8	85.8
133	72.8	85.7
134	72.4	85.7
135	72.4	85.5
136	73.1	85.5
137	74.9	85.5
138	75.6	85.1
139	76.7	85.1
140	77.4	85.1
141	78.4	85.0
142	79.5	85.0
143	80.2	85.0
144	81.3	84.8
145	67.1	84.8
146	67.5	84.8
147	67.5	84.7
148	67.5	84.7
149	67.5	84.7
150	67.5	84.5
151	67.5	84.4
152	81.6	84.4
153	80.5	84.4
154	73.8	84.3
155	67.8	84.3
156	62.5	84.1
157	58.6	84.1
158	56.5	84.1
159	56.9	84.1
160	59.7	84.1
161	63.6	84.1
162	64.7	84.1
163	65.7	84.1
164	66.8	84.1
165	67.8	84.1
166	68.9	83.9
167	70.3	83.9
168	71.4	83.9
169	59.4	83.8
170	60.8	83.7
171	62.5	83.7
172	63.6	83.6
173	64.7	83.6
174	65.7	83.4
175	66.4	83.4
176	81.3	83.4
177	81.3	83.2
178	78.8	83.2
179	77.7	83.2
180	78.1	83.2
181	78.1	83.2
182	74.9	83.2
183	73.5	83.2
184	73.1	83.0
185	74.9	83.0
186	76.3	83.0
187	77.7	83.0
188	78.8	83.0
189	80.2	83.0
190	81.3	82.9
191	82.7	82.9
192	84.1	82.9
193	70.7	82.9
194	71.4	82.9
195	72.1	82.9
196	72.4	82.7
197	72.8	82.7
198	73.5	82.5
199	73.8	82.5
200	88.0	82.5
201	87.6	82.5
202	84.8	82.5
203	82.3	82.5
204	80.2	82.3
205	78.8	82.3
206	78.4	82.3
207	78.1	82.3
208	79.1	82.2
209	81.3	82.2
210	81.6	82.2
211	82.0	82.2
212	83.0	82.2
213	83.0	82.2
214	83.0	82.0
215	83.4	82.0
216	84.1	82.0
217	70.0	81.9
218	70.0	81.9
219	70.3	81.9
220	70.3	81.8
221	70.3	81.8
222	70.3	81.6
223	70.3	81.6
224	84.4	81.6
225	84.1	81.6
226	81.3	81.5
227	78.4	81.5
228	76.3	81.4
229	75.2	81.4
230	74.2	81.3
231	74.2	81.3
232	74.9	81.3
233	76.7	81.3
234	77.4	81.3
235	78.1	81.3
236	79.5	81.3
237	78.4	81.3
238	79.1	81.3
239	79.5	81.2
240	79.8	81.2
241	66.4	81.2
242	66.8	81.1
243	67.1	81.1
244	67.5	81.1
245	67.5	81.1
246	67.5	80.9
247	67.5	80.9
248	82.0	80.9
249	81.3	80.9
250	76.3	80.7
251	71.7	80.7
252	67.5	80.5
253	64.7	80.5
254	62.9	80.5
255	62.5	80.5
256	63.9	80.4
257	66.8	80.4
258	68.9	80.2
259	71.0	80.2
260	72.8	80.2
261	74.9	80.2
262	77.0	80.2
263	79.1	80.2
264	80.9	80.2
265	70.7	80.0
266	75.6	80.0
267	80.2	80.0
268	83.0	80.0
269	85.5	80.0
270	88.3	79.8
271	90.4	79.8
272	106.7	79.8
273	106.3	79.8
274	103.9	79.7
275	101.4	79.7
276	98.2	79.7
277	97.2	79.7
278	98.9	79.7
279	100.0	79.5
280	101.7	79.5
281	104.9	79.5
282	105.6	79.5
283	106.7	79.5
284	107.8	79.5
285	108.5	79.3
286	109.5	79.3
287	110.6	79.3
288	111.3	79.3
289	95.7	79.3
290	94.7	79.3
291	90.8	79.1
292	89.0	79.1
293	87.6	79.1
294	86.2	79.1
295	85.1	79.1
296	98.2	78.9
297	97.2	78.9
298	92.6	78.9
299	88.3	78.9
300	85.1	78.9
301	82.7	78.8
302	81.6	78.8
303	81.3	78.8
304	82.3	78.8
305	84.4	78.6
306	84.1	78.6
307	84.1	78.6
308	84.1	78.6
309	84.1	78.6
310	84.4	78.6
311	83.7	78.6
312	83.7	78.4
313	71.0	78.4
314	72.4	78.4
315	73.8	78.4
316	74.5	78.4
317	75.6	78.2
318	76.3	78.2
319	77.0	78.2
320	91.5	78.2
321	91.5	78.2
322	89.7	78.1
323	86.9	78.1
324	85.1	78.1
325	84.1	78.1
326	83.4	78.1
327	83.4	78.1
328	84.1	78.1
329	85.5	77.9
330	87.3	77.9
331	88.3	77.9
332	89.7	77.9
333	91.1	77.7
334	92.2	77.7
335	93.6	77.5
336	95.0	77.5
337	83.0	77.5
338	83.0	77.5
339	84.1	77.5
340	84.8	77.4
341	85.5	77.4
342	85.8	77.4
343	86.6	77.4
344	101.0	77.4
345	100.7	77.3
346	97.9	77.2
347	95.7	77.2
348	94.0	77.2
349	92.6	77.0
350	92.2	77.0
351	92.9	77.0
352	94.0	76.9
353	95.4	76.9
354	95.7	76.8
355	95.7	76.8
356	96.1	76.8
357	96.4	76.8
358	96.4	76.8
359	96.4	76.8
360	96.8	76.8
361	82.3	76.7
362	82.0	76.7
363	81.6	76.6
364	80.9	76.6
365	80.5	76.4
366	80.2	76.4
367	79.8	76.4
368	93.6	76.4
369	92.9	76.4
370	91.5	76.4
371	90.1	76.3
372	89.0	76.3
373	88.0	76.3
374	79.5	76.3
375	74.9	76.3
376	73.5	76.3
377	76.3	76.3
378	77.0	76.3
379	77.4	76.3
380	78.1	76.1
381	78.8	76.1
382	79.1	76.1
383	79.8	76.1
384	80.2	75.9
385	67.8	75.7
386	69.2	75.7
387	71.0	75.7
388	71.7	75.7
389	72.4	75.7
390	73.5	75.6
391	73.8	75.6
392	88.7	75.6
393	88.0	75.6
394	78.4	75.6
395	69.6	75.6
396	61.8	75.4
397	56.9	75.4
398	54.4	75.4
399	54.4	75.4
400	57.9	75.4
401	64.3	75.2
402	65.0	75.2
403	66.1	75.2
404	66.8	75.0
405	67.8	75.0
406	68.5	75.0
407	69.6	75.0
408	70.3	75.0
409	56.9	75.0
410	57.2	75.0
411	57.9	74.9
412	57.9	74.9
413	58.3	74.9
414	58.3	74.9
415	58.3	74.9
416	72.8	74.9
417	72.1	74.7
418	71.0	74.7
419	69.6	74.7
420	68.5	74.7
421	67.1	74.7
422	57.9	74.7
423	53.3	74.6
424	51.9	74.6
425	55.1	74.6
426	55.8	74.5
427	56.5	74.3
428	57.2	74.3
429	57.6	74.3
430	58.3	74.3
431	59.0	74.3
432	59.7	74.3
433	46.6	74.2
434	47.7	74.2
435	48.8	74.2
436	49.1	74.0
437	49.5	74.0
438	50.2	73.9
439	50.2	73.9
440	64.7	73.9
441	64.3	73.9
442	63.2	73.8
443	62.5	73.8
444	61.5	73.8
445	61.1	73.8
446	53.0	73.8
447	47.7	73.8
448	45.6	73.8
449	48.4	73.6
450	49.5	73.6
451	50.9	73.6
452	51.9	73.6
453	53.3	73.6
454	54.8	73.6
455	55.8	73.6
456	57.2	73.6
457	44.5	73.6
458	46.3	73.5
459	48.0	73.5
460	49.1	73.5
461	50.2	73.5
462	51.2	73.5
463	51.6	73.3
464	66.4	73.3
465	66.1	73.3
466	65.0	73.3
467	64.7	73.2
468	63.6	73.2
469	62.9	73.2
470	56.2	73.2
471	53.3	73.2
472	52.6	73.2
473	55.1	73.2
474	55.8	73.1
475	56.2	73.1
476	56.9	73.1
477	57.6	73.1
478	57.9	73.0
479	58.6	73.0
480	59.0	73.0
481	44.9	72.9
482	44.9	72.9
483	44.5	72.9
484	44.5	72.9
485	44.2	72.9
486	44.2	72.8
487	43.8	72.8
488	57.9	72.8
489	57.2	72.8
490	51.2	72.8
491	45.6	72.8
492	40.3	72.7
493	36.0	72.7
494	33.2	72.7
495	32.9	72.7
496	34.6	72.5
497	38.5	72.5
498	39.6	72.5
499	41.0	72.5
500	42.0	72.5
501	43.5	72.5
502	44.9	72.5
503	45.9	72.4
504	47.3	72.4
505	35.3	72.4
506	37.1	72.4
507	39.2	72.4
508	39.9	72.4
509	41.0	72.3
510	41.7	72.3
511	42.4	72.3
512	56.9	72.2
513	56.2	72.2
514	49.5	72.2
515	44.2	72.2
516	38.2	72.1
517	34.3	72.1
518	29.3	72.0
519	27.2	72.0
520	27.6	71.9
521	32.1	71.9
522	35.3	71.8
523	38.2	71.8
524	41.3	71.8
525	44.5	71.7
526	47.3	71.7
527	50.5	71.7
528	53.3	71.7
529	42.7	71.7
530	46.6	71.7
531	50.2	71.7
532	52.3	71.7
533	54.1	71.7
534	56.2	71.7
535	57.2	71.4
536	72.8	71.4
537	70.7	71.4
538	59.4	71.4
539	49.5	71.4
540	42.0	71.4
541	36.4	71.4
542	33.2	71.3
543	32.9	71.3
544	35.7	71.3
545	42.7	71.3
546	47.0	71.3
547	51.2	71.1
548	55.5	71.1
549	59.7	71.1
550	63.9	71.1
551	68.2	71.1
552	72.4	71.0
553	62.2	71.0
554	66.4	71.0
555	70.7	71.0
556	73.1	71.0
557	75.6	71.0
558	78.1	70.9
559	79.8	70.7
560	95.7	70.7
561	95.0	70.7
562	88.0	70.7
563	80.9	70.7
564	76.3	70.7
565	73.8	70.7
566	70.3	70.7
567	69.2	70.7
568	70.0	70.7
569	75.2	70.7
570	76.3	70.7
571	77.4	70.7
572	78.1	70.7
573	79.1	70.7
574	80.2	70.7
575	81.3	70.7
576	82.3	70.7
577	66.8	70.7
578	65.4	70.7
579	63.9	70.7
580	62.9	70.7
581	62.2	70.7
