# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	20.6	97.0
2	22.2	96.4
3	23.7	95.5
4	24.3	94.5
5	24.9	93.9
6	25.6	93.0
7	25.9	93.0
8	38.5	92.7
9	37.9	92.1
10	33.6	91.4
11	29.6	90.5
12	26.2	88.7
13	24.0	88.5
14	22.8	88.4
15	22.8	88.1
16	24.3	87.8
17	26.5	87.1
18	28.6	86.7
19	30.5	86.2
20	32.3	85.7
21	34.2	85.7
22	36.0	85.7
23	38.2	85.6
24	40.0	85.6
25	31.4	85.3
26	35.7	84.8
27	39.7	84.7
28	42.2	84.7
29	44.3	84.5
30	46.8	84.4
31	48.3	84.1
32	62.5	84.1
33	62.5	84.1
34	57.0	83.8
35	52.3	83.6
36	48.0	83.4
37	45.6	83.4
38	44.3	83.4
39	44.3	83.4
40	46.8	83.4
41	50.8	83.1
42	52.3	82.8
43	53.9	82.8
44	55.4	82.5
45	56.7	82.3
46	58.2	82.3
47	59.7	82.0
48	61.3	82.0
49	48.6	81.9
50	48.0	81.9
51	47.4	81.6
52	47.1	81.6
53	46.8	81.4
54	46.5	81.4
55	46.2	81.2
56	58.2	81.1
57	57.6	81.0
58	52.7	81.0
59	48.3	80.8
60	45.6	80.8
61	43.4	80.7
62	42.2	80.7
63	42.2	80.4
64	43.4	80.4
65	45.9	80.4
66	46.8	80.4
67	47.4	80.1
68	48.0	79.7
69	48.6	79.7
70	49.6	79.7
71	50.2	79.5
72	50.8	79.5
73	39.7	79.5
74	41.9	79.5
75	43.1	79.4
76	43.7	79.2
77	44.6	79.2
78	45.3	79.1
79	45.9	78.8
80	58.8	78.6
81	58.8	78.5
82	57.3	78.3
83	56.0	78.2
84	55.4	78.2
85	55.1	77.9
86	54.8	77.9
87	55.1	77.9
88	55.7	77.9
89	56.7	77.6
90	57.6	77.6
91	58.2	77.6
92	59.1	77.3
93	59.7	77.3
94	60.7	77.0
95	61.6	77.0
96	63.4	77.0
97	50.2	76.7
98	50.2	76.7
99	50.2	76.7
100	50.5	76.7
101	50.2	76.7
102	50.2	76.7
103	50.2	76.5
104	62.5	76.4
105	62.2	76.4
106	59.7	76.4
107	57.3	76.4
108	55.1	76.4
109	53.9	76.4
110	53.0	76.1
111	52.7	76.1
112	53.6	76.1
113	55.1	76.1
114	56.0	76.1
115	57.0	76.1
116	57.9	76.1
117	58.8	75.8
118	60.0	75.8
119	60.7	75.8
120	62.5	75.7
121	50.5	75.5
122	52.0	75.5
123	53.6	75.4
124	54.5	75.4
125	55.1	75.1
126	55.7	75.1
127	56.3	75.1
128	69.3	75.1
129	69.3	74.8
130	67.4	74.8
131	65.6	74.8
132	64.4	74.8
133	63.4	74.5
134	63.1	74.5
135	63.1	74.5
136	63.7	74.2
137	65.3	74.2
138	65.9	74.2
139	66.8	74.2
140	67.4	74.2
141	68.4	74.2
142	69.3	73.9
143	69.9	73.9
144	70.8	73.9
145	58.5	73.9
146	58.8	73.9
147	58.8	73.6
148	58.8	73.6
149	58.8	73.6
150	58.8	73.6
151	58.8	73.6
152	71.1	73.3
153	70.2	73.3
154	64.4	73.3
155	59.1	73.3
156	54.5	73.3
157	51.1	73.3
158	49.3	73.3
159	49.6	73.3
160	52.0	73.3
161	55.4	73.3
162	56.3	73.3
163	57.3	73.3
164	58.2	73.3
165	59.1	73.1
166	60.0	73.0
167	61.3	73.0
168	62.2	73.0
169	51.7	73.0
170	53.0	72.7
171	54.5	72.7
172	55.4	72.7
173	56.3	72.6
174	57.3	72.6
175	57.9	72.6
176	70.8	72.6
177	70.8	72.6
178	68.7	72.6
179	67.7	72.4
180	68.0	72.4
181	68.0	72.4
182	65.3	72.4
183	64.0	72.4
184	63.7	72.4
185	65.3	72.3
186	66.5	72.3
187	67.7	72.3
188	68.7	72.1
189	69.9	72.1
190	70.8	72.0
191	72.1	72.0
192	73.3	72.0
193	61.6	72.0
194	62.2	71.7
195	62.8	71.7
196	63.1	71.7
197	63.4	71.7
198	64.0	71.7
199	64.4	71.7
200	76.7	71.7
201	76.4	71.7
202	73.9	71.5
203	71.7	71.4
204	69.9	71.4
205	68.7	71.4
206	68.4	71.4
207	68.0	71.4
208	69.0	71.2
209	70.8	71.1
210	71.1	71.1
211	71.4	71.1
212	72.4	71.1
213	72.4	71.1
214	72.4	71.1
215	72.7	70.8
216	73.3	70.8
217	61.0	70.8
218	61.0	70.8
219	61.3	70.8
220	61.3	70.8
221	61.3	70.8
222	61.3	70.8
223	61.3	70.8
224	73.6	70.8
225	73.3	70.8
226	70.8	70.8
227	68.4	70.8
228	66.5	70.7
229	65.6	70.5
230	64.7	70.5
231	64.7	70.5
232	65.3	70.5
233	66.8	70.5
234	67.4	70.2
235	68.0	70.2
236	69.3	70.2
237	68.4	70.2
238	69.0	70.1
239	69.3	70.1
240	69.6	69.9
241	57.9	69.9
242	58.2	69.9
243	58.5	69.9
244	58.8	69.9
245	58.8	69.9
246	58.8	69.9
247	58.8	69.8
248	71.4	69.8
249	70.8	69.8
250	66.5	69.8
251	62.5	69.8
252	58.8	69.8
253	56.3	69.8
254	54.8	69.8
255	54.5	69.6
256	55.7	69.6
257	58.2	69.6
258	60.0	69.6
259	61.9	69.5
260	63.4	69.5
261	65.3	69.5
262	67.1	69.5
263	69.0	69.5
264	70.5	69.5
265	61.6	69.5
266	65.9	69.3
267	69.9	69.3
268	72.4	69.3
269	74.5	69.3
270	77.0	69.3
271	78.8	69.3
272	93.0	69.3
273	92.7	69.3
274	90.5	69.2
275	88.4	69.2
276	85.6	69.2
277	84.7	69.2
278	86.2	69.2
279	87.1	69.2
280	88.7	69.0
281	91.4	69.0
282	92.1	69.0
283	93.0	69.0
284	93.9	69.0
285	94.5	69.0
286	95.5	69.0
287	96.4	69.0
288	97.0	68.9
289	83.4	68.9
290	82.5	68.9
291	79.1	68.7
292	77.6	68.7
293	76.4	68.7
294	75.1	68.7
295	74.2	68.7
296	85.6	68.7
297	84.7	68.6
298	80.7	68.6
299	77.0	68.6
300	74.2	68.6
301	72.1	68.6
302	71.1	68.6
303	70.8	68.6
304	71.7	68.4
305	73.6	68.4
306	73.3	68.4
307	73.3	68.4
308	73.3	68.4
309	73.3	68.4
310	73.6	68.4
311	73.0	68.4
312	73.0	68.3
313	61.9	68.3
314	63.1	68.3
315	64.4	68.2
316	65.0	68.0
317	65.9	68.0
318	66.5	68.0
319	67.1	68.0
320	79.7	68.0
321	79.7	68.0
322	78.2	68.0
323	75.7	68.0
324	74.2	68.0
325	73.3	68.0
326	72.7	68.0
327	72.7	67.9
328	73.3	67.9
329	74.5	67.7
330	76.1	67.7
331	77.0	67.7
332	78.2	67.7
333	79.4	67.7
334	80.4	67.7
335	81.6	67.7
336	82.8	67.4
337	72.4	67.4
338	72.4	67.4
339	73.3	67.4
340	73.9	67.4
341	74.5	67.3
342	74.8	67.3
343	75.4	67.3
344	88.1	67.1
345	87.8	67.1
346	85.3	67.1
347	83.4	67.0
348	81.9	67.0
349	80.7	67.0
350	80.4	67.0
351	81.0	67.0
352	81.9	67.0
353	83.1	66.8
354	83.4	66.8
355	83.4	66.7
356	83.8	66.7
357	84.1	66.7
358	84.1	66.7
359	84.1	66.7
360	84.4	66.5
361	71.7	66.5
362	71.4	66.5
363	71.1	66.5
364	70.5	66.5
365	70.2	66.5
366	69.9	66.5
367	69.6	66.5
368	81.6	66.5
369	81.0	66.4
370	79.7	66.4
371	78.5	66.4
372	77.6	66.4
373	76.7	66.1
374	69.3	66.1
375	65.3	66.1
376	64.0	66.1
377	66.5	66.1
378	67.1	65.9
379	67.4	65.9
380	68.0	65.9
381	68.7	65.9
382	69.0	65.9
383	69.6	65.9
384	69.9	65.8
385	59.1	65.8
386	60.3	65.8
387	61.9	65.8
388	62.5	65.8
389	63.1	65.6
390	64.0	65.6
391	64.4	65.6
392	77.3	65.5
393	76.7	65.5
394	68.4	65.5
395	60.7	65.5
396	53.9	65.3
397	49.6	65.3
398	47.4	65.3
399	47.4	65.3
400	50.5	65.3
401	56.0	65.3
402	56.7	65.2
403	57.6	65.2
404	58.2	65.2
405	59.1	65.2
406	59.7	65.2
407	60.7	65.2
408	61.3	65.1
409	49.6	65.0
410	49.9	64.9
411	50.5	64.9
412	50.5	64.9
413	50.8	64.9
414	50.8	64.9
415	50.8	64.8
416	63.4	64.8
417	62.8	64.7
418	61.9	64.7
419	60.7	64.7
420	59.7	64.6
421	58.5	64.6
422	50.5	64.5
423	46.5	64.5
424	45.3	64.5
425	48.0	64.5
426	48.6	64.4
427	49.3	64.4
428	49.9	64.4
429	50.2	64.4
430	50.8	64.4
431	51.4	64.4
432	52.0	64.4
433	40.6	64.3
434	41.6	64.3
435	42.5	64.2
436	42.8	64.2
437	43.1	64.2
438	43.7	64.2
439	43.7	64.2
440	56.3	64.2
441	56.0	64.2
442	55.1	64.0
443	54.5	64.0
444	53.6	64.0
445	53.3	64.0
446	46.2	64.0
447	41.6	63.9
448	39.7	63.9
449	42.2	63.9
450	43.1	63.9
451	44.3	63.9
452	45.3	63.7
453	46.5	63.7
454	47.7	63.7
455	48.6	63.7
456	49.9	63.7
457	38.8	63.7
458	40.3	63.6
459	41.9	63.6
460	42.8	63.6
461	43.7	63.6
462	44.6	63.6
463	45.0	63.4
464	57.9	63.4
465	57.6	63.4
466	56.7	63.4
467	56.3	63.4
468	55.4	63.4
469	54.8	63.3
470	49.0	63.3
