# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.8	27.3
2	6.2	27.2
3	6.7	26.9
4	6.9	26.6
5	7.0	26.5
6	7.2	26.2
7	7.3	26.2
8	10.8	26.1
9	10.7	25.9
10	9.5	25.8
11	8.3	25.5
12	7.4	25.0
13	6.8	24.9
14	6.4	24.8
15	6.4	24.8
16	6.9	24.7
17	7.5	24.6
18	8.1	24.3
19	8.6	24.2
20	9.1	24.1
21	9.6	24.1
22	10.2	24.0
23	10.8	24.0
24	11.3	24.0
25	8.9	24.0
26	10.1	23.9
27	11.2	23.9
28	11.9	23.8
29	12.5	23.7
30	13.2	23.7
31	13.6	23.7
32	17.6	23.7
33	17.6	23.6
34	16.1	23.6
35	14.8	23.5
36	13.5	23.5
37	12.8	23.5
38	12.5	23.5
39	12.5	23.5
40	13.2	23.4
41	14.3	23.4
42	14.8	23.3
43	15.2	23.3
44	15.6	23.3
45	16.0	23.1
46	16.4	23.1
47	16.8	23.0
48	17.3	23.0
49	13.7	23.0
50	13.5	23.0
51	13.4	22.9
52	13.3	22.9
53	13.2	22.9
54	13.1	22.8
55	13.0	22.8
56	16.4	22.8
57	16.2	22.8
58	14.8	22.7
59	13.6	22.7
60	12.8	22.7
61	12.2	22.7
62	11.9	22.7
63	11.9	22.6
64	12.2	22.6
65	12.9	22.5
66	13.2	22.5
67	13.4	22.5
68	13.5	22.5
69	13.7	22.5
70	14.0	22.5
71	14.1	22.5
72	14.3	22.4
73	11.2	22.4
74	11.8	22.3
75	12.1	22.2
76	12.3	22.2
77	12.6	22.2
78	12.8	22.1
79	12.9	22.1
80	16.6	22.1
81	16.6	22.0
82	16.1	22.0
83	15.8	22.0
84	15.6	22.0
85	15.5	21.9
86	15.4	21.9
87	15.5	21.9
88	15.7	21.8
89	16.0	21.8
90	16.2	21.8
91	16.4	21.8
92	16.7	21.7
93	16.8	21.7
94	17.1	21.7
95	17.4	21.7
96	17.9	21.6
97	14.1	21.6
98	14.1	21.6
99	14.1	21.6
100	14.2	21.6
101	14.1	21.6
102	14.1	21.5
103	14.1	21.5
104	17.6	21.4
105	17.5	21.4
106	16.8	21.4
107	16.1	21.4
108	15.5	21.4
109	15.2	21.4
110	14.9	21.4
111	14.8	21.3
112	15.1	21.3
113	15.5	21.3
114	15.8	21.3
115	16.1	21.3
116	16.3	21.3
117	16.6	21.3
118	16.9	21.3
119	17.1	21.3
120	17.6	21.2
121	14.2	21.2
122	14.7	21.2
123	15.1	21.2
124	15.4	21.1
125	15.5	21.1
126	15.7	21.1
127	15.9	21.1
128	19.5	21.0
129	19.5	21.0
130	19.0	21.0
131	18.5	21.0
132	18.1	21.0
133	17.9	21.0
134	17.8	20.9
135	17.8	20.9
136	18.0	20.9
137	18.4	20.9
138	18.6	20.9
139	18.8	20.8
140	19.0	20.8
141	19.3	20.7
142	19.5	20.7
143	19.7	20.7
144	20.0	20.7
145	16.5	20.7
146	16.6	20.7
147	16.6	20.7
148	16.6	20.7
149	16.6	20.7
150	16.6	20.7
151	16.6	20.7
152	20.0	20.7
153	19.8	20.7
154	18.1	20.7
155	16.7	20.7
156	15.4	20.7
157	14.4	20.7
158	13.9	20.7
159	14.0	20.7
160	14.7	20.7
161	15.6	20.6
162	15.9	20.6
163	16.1	20.6
164	16.4	20.6
165	16.7	20.5
166	16.9	20.5
167	17.3	20.5
168	17.5	20.5
169	14.6	20.5
170	14.9	20.5
171	15.4	20.5
172	15.6	20.4
173	15.9	20.4
174	16.1	20.4
175	16.3	20.4
176	20.0	20.4
177	20.0	20.4
178	19.4	20.4
179	19.1	20.4
180	19.2	20.3
181	19.2	20.3
182	18.4	20.3
183	18.1	20.3
184	18.0	20.3
185	18.4	20.3
186	18.7	20.3
187	19.1	20.2
188	19.4	20.2
189	19.7	20.2
190	20.0	20.2
191	20.3	20.2
192	20.7	20.2
193	17.4	20.2
194	17.5	20.2
195	17.7	20.1
196	17.8	20.1
197	17.9	20.1
198	18.1	20.1
199	18.1	20.1
200	21.6	20.1
201	21.5	20.1
202	20.8	20.1
203	20.2	20.1
204	19.7	20.1
205	19.4	20.1
206	19.3	20.1
207	19.2	20.0
208	19.4	20.0
209	20.0	20.0
210	20.0	20.0
211	20.1	20.0
212	20.4	20.0
213	20.4	20.0
214	20.4	20.0
215	20.5	20.0
216	20.7	20.0
