# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.6	78.1
2	17.8	77.6
3	19.1	76.8
4	19.6	76.1
5	20.1	75.6
6	20.6	74.9
7	20.8	74.9
8	31.0	74.6
9	30.5	74.1
10	27.0	73.6
11	23.8	72.9
12	21.1	71.4
13	19.3	71.1
14	18.3	70.9
15	18.3	70.9
16	19.6	70.6
17	21.3	70.1
18	23.1	69.4
19	24.5	69.4
20	26.0	68.9
21	27.5	68.9
22	29.0	68.8
23	30.7	68.7
24	32.2	68.7
25	25.3	68.7
26	28.8	68.7
27	32.0	68.2
28	34.0	68.2
29	35.7	67.9
30	37.7	67.9
31	38.9	67.7
32	50.3	67.7
33	50.3	67.7
34	45.9	67.7
35	42.1	67.4
36	38.7	67.4
37	36.7	67.4
38	35.7	67.2
39	35.7	67.2
40	37.7	67.2
41	40.9	67.2
42	42.1	67.2
43	43.4	66.9
44	44.6	66.9
45	45.6	66.7
46	46.8	66.7
47	48.1	66.4
48	49.3	66.0
49	39.2	65.9
50	38.7	65.9
51	38.2	65.9
52	37.9	65.9
53	37.7	65.7
54	37.4	65.7
55	37.2	65.7
56	46.8	65.7
57	46.4	65.2
58	42.4	65.2
59	38.9	65.2
60	36.7	65.2
61	34.9	64.9
62	34.0	64.9
63	34.0	64.9
64	34.9	64.8
65	36.9	64.7
66	37.7	64.7
67	38.2	64.7
68	38.7	64.7
69	39.2	64.4
70	39.9	64.4
71	40.4	64.2
72	40.9	64.2
73	32.0	64.2
74	33.7	64.2
75	34.7	63.9
76	35.2	63.9
77	35.9	63.7
78	36.4	63.7
79	36.9	63.7
80	47.3	63.5
81	47.3	63.4
82	46.1	63.4
83	45.1	63.4
84	44.6	63.2
85	44.4	63.0
86	44.1	63.0
87	44.4	62.9
88	44.9	62.7
89	45.6	62.5
90	46.4	62.5
91	46.8	62.4
92	47.6	62.4
93	48.1	62.4
94	48.8	62.2
95	49.6	62.2
96	51.1	62.0
97	40.4	62.0
98	40.4	62.0
99	40.4	62.0
