# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.3	85.9
2	19.6	85.3
3	21.0	84.5
4	21.5	83.7
5	22.1	83.2
6	22.6	82.3
7	22.9	82.3
8	34.1	82.1
9	33.5	81.5
10	29.7	81.0
11	26.2	80.2
12	23.2	78.5
13	21.3	78.3
14	20.2	78.2
15	20.2	78.0
16	21.5	77.7
17	23.4	77.2
18	25.4	76.5
19	27.0	76.3
20	28.6	75.8
21	30.3	75.8
22	31.9	75.7
23	33.8	75.7
24	35.4	75.7
25	27.8	75.5
26	31.6	75.0
27	35.2	75.0
28	37.4	74.9
29	39.3	74.7
30	41.4	74.6
31	42.8	74.4
32	55.3	74.4
33	55.3	74.4
34	50.4	74.3
35	46.4	74.2
36	42.5	73.9
37	40.4	73.9
38	39.3	73.9
39	39.3	73.9
40	41.4	73.9
41	45.0	73.8
42	46.4	73.6
43	47.7	73.3
44	49.1	73.3
45	50.2	73.1
46	51.5	72.8
47	52.9	72.8
48	54.3	72.7
49	43.1	72.7
50	42.5	72.5
51	42.0	72.5
52	41.7	72.4
53	41.4	72.4
54	41.2	72.3
55	40.9	72.3
56	51.5	71.8
57	51.0	71.8
58	46.6	71.7
59	42.8	71.7
60	40.4	71.6
61	38.4	71.4
62	37.4	71.4
63	37.4	71.3
64	38.4	71.3
65	40.6	71.3
66	41.4	71.2
67	42.0	71.2
68	42.5	71.0
69	43.1	71.0
70	43.9	70.7
71	44.4	70.6
72	45.0	70.6
73	35.2	70.6
74	37.1	70.3
75	38.2	70.2
76	38.7	70.2
77	39.5	70.1
78	40.1	70.0
79	40.6	69.9
80	52.1	69.9
81	52.1	69.8
82	50.7	69.5
83	49.6	69.4
84	49.1	69.3
85	48.8	69.3
86	48.5	69.1
87	48.8	69.0
88	49.3	68.8
89	50.2	68.8
90	51.0	68.8
91	51.5	68.7
92	52.3	68.7
93	52.9	68.5
94	53.7	68.5
95	54.5	68.4
96	56.2	68.3
97	44.4	68.2
98	44.4	68.2
99	44.4	68.2
100	44.7	67.9
101	44.4	67.9
102	44.4	67.9
103	44.4	67.9
104	55.3	67.7
105	55.1	67.7
106	52.9	67.6
107	50.7	67.6
108	48.8	67.4
109	47.7	67.4
110	46.9	67.4
111	46.6	67.4
112	47.4	67.3
113	48.8	67.2
114	49.6	67.2
115	50.4	67.2
116	51.3	67.2
117	52.1	67.2
118	53.2	67.2
119	53.7	67.1
120	55.3	67.0
121	44.7	66.9
122	46.1	66.9
123	47.4	66.9
124	48.3	66.8
125	48.8	66.6
126	49.3	66.6
127	49.9	66.5
128	61.3	66.5
129	61.3	66.3
130	59.7	66.3
131	58.1	66.3
132	57.0	66.3
133	56.2	66.1
134	55.9	66.1
135	55.9	66.0
136	56.4	66.0
137	57.8	66.0
138	58.3	65.7
139	59.2	65.7
140	59.7	65.7
141	60.5	65.5
142	61.3	65.5
143	61.9	65.5
144	62.7	65.5
145	51.8	65.4
146	52.1	65.4
147	52.1	65.2
148	52.1	65.2
149	52.1	65.2
150	52.1	65.2
151	52.1	65.2
152	63.0	65.2
153	62.2	65.2
154	57.0	65.0
155	52.3	65.0
156	48.3	64.9
157	45.3	64.9
158	43.6	64.9
159	43.9	64.9
160	46.1	64.9
161	49.1	64.9
162	49.9	64.9
163	50.7	64.9
164	51.5	64.9
165	52.3	64.9
166	53.2	64.7
167	54.3	64.7
168	55.1	64.7
169	45.8	64.7
170	46.9	64.6
171	48.3	64.6
172	49.1	64.4
173	49.9	64.4
174	50.7	64.3
175	51.3	64.3
176	62.7	64.3
177	62.7	64.2
178	60.8	64.2
179	60.0	64.1
180	60.3	64.1
181	60.3	64.1
182	57.8	64.1
183	56.7	64.1
184	56.4	64.1
185	57.8	64.1
186	58.9	64.1
187	60.0	64.1
188	60.8	64.1
189	61.9	64.1
190	62.7	63.9
191	63.8	63.9
192	64.9	63.9
193	54.5	63.9
194	55.1	63.9
195	55.6	63.9
196	55.9	63.8
197	56.2	63.8
198	56.7	63.7
199	57.0	63.7
200	67.9	63.6
201	67.6	63.6
202	65.4	63.6
203	63.5	63.6
204	61.9	63.5
205	60.8	63.5
206	60.5	63.5
207	60.3	63.5
208	61.1	63.4
209	62.7	63.4
210	63.0	63.3
211	63.3	63.3
212	64.1	63.3
213	64.1	63.3
214	64.1	63.3
215	64.3	63.3
216	64.9	63.3
217	54.0	63.2
218	54.0	63.2
219	54.3	63.2
220	54.3	63.0
221	54.3	63.0
222	54.3	63.0
223	54.3	63.0
224	65.2	63.0
225	64.9	63.0
226	62.7	62.9
227	60.5	62.9
228	58.9	62.8
229	58.1	62.8
230	57.3	62.7
231	57.3	62.7
232	57.8	62.7
233	59.2	62.7
234	59.7	62.7
235	60.3	62.7
236	61.3	62.7
237	60.5	62.7
238	61.1	62.7
239	61.3	62.7
240	61.6	62.7
241	51.3	62.7
242	51.5	62.5
243	51.8	62.5
244	52.1	62.5
245	52.1	62.5
246	52.1	62.4
247	52.1	62.4
248	63.3	62.4
249	62.7	62.4
250	58.9	62.2
251	55.3	62.2
252	52.1	62.2
253	49.9	62.2
254	48.5	62.2
255	48.3	62.2
256	49.3	61.9
257	51.5	61.9
258	53.2	61.9
259	54.8	61.9
260	56.2	61.9
261	57.8	61.9
262	59.4	61.9
263	61.1	61.9
264	62.4	61.9
265	54.5	61.7
266	58.3	61.7
267	61.9	61.7
268	64.1	61.7
269	66.0	61.7
270	68.2	61.6
271	69.8	61.6
272	82.3	61.6
273	82.1	61.6
274	80.2	61.4
275	78.3	61.4
276	75.8	61.4
277	75.0	61.4
278	76.3	61.4
279	77.2	61.3
280	78.5	61.3
281	81.0	61.3
282	81.5	61.3
283	82.3	61.3
284	83.2	61.3
285	83.7	61.1
286	84.5	61.1
287	85.3	61.1
288	85.9	61.1
289	73.9	61.1
290	73.1	61.1
291	70.1	61.1
292	68.7	61.1
293	67.6	61.1
294	66.5	61.1
295	65.7	61.1
296	75.8	60.9
297	75.0	60.9
298	71.4	60.8
299	68.2	60.8
300	65.7	60.8
301	63.8	60.8
302	63.0	60.8
303	62.7	60.8
304	63.5	60.8
305	65.2	60.5
306	64.9	60.5
307	64.9	60.5
308	64.9	60.5
309	64.9	60.5
310	65.2	60.5
311	64.6	60.5
312	64.6	60.5
313	54.8	60.5
314	55.9	60.5
315	57.0	60.5
316	57.5	60.5
317	58.3	60.4
318	58.9	60.4
319	59.4	60.3
320	70.6	60.3
321	70.6	60.3
322	69.3	60.3
323	67.1	60.3
324	65.7	60.3
325	64.9	60.3
326	64.3	60.3
327	64.3	60.3
328	64.9	60.3
329	66.0	60.0
330	67.3	60.0
331	68.2	60.0
332	69.3	60.0
333	70.3	60.0
334	71.2	60.0
335	72.3	59.7
336	73.3	59.7
337	64.1	59.7
338	64.1	59.7
339	64.9	59.7
340	65.4	59.7
341	66.0	59.7
342	66.3	59.7
343	66.8	59.7
344	78.0	59.7
345	77.7	59.6
346	75.5	59.6
347	73.9	59.4
348	72.5	59.4
349	71.4	59.4
350	71.2	59.4
351	71.7	59.4
352	72.5	59.4
353	73.6	59.4
354	73.9	59.4
355	73.9	59.4
356	74.2	59.2
357	74.4	59.2
358	74.4	59.2
359	74.4	59.2
360	74.7	59.2
361	63.5	59.2
362	63.3	59.2
363	63.0	59.2
364	62.4	59.1
365	62.2	59.1
366	61.9	58.9
367	61.6	58.9
368	72.3	58.9
369	71.7	58.9
370	70.6	58.9
371	69.5	58.9
372	68.7	58.9
373	67.9	58.9
374	61.3	58.9
375	57.8	58.9
376	56.7	58.9
377	58.9	58.9
378	59.4	58.9
379	59.7	58.9
380	60.3	58.6
381	60.8	58.6
382	61.1	58.6
