# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	26.6	125.1
2	28.6	124.3
3	30.6	123.2
4	31.4	122.0
5	32.2	121.2
6	33.0	120.0
7	33.4	120.0
8	49.7	119.6
9	48.9	118.8
10	43.3	118.0
11	38.1	116.8
12	33.8	114.4
13	31.0	114.0
14	29.4	113.8
15	29.4	113.6
16	31.4	113.2
17	34.2	112.4
18	36.9	111.3
19	39.3	111.2
20	41.7	110.4
21	44.1	110.4
22	46.5	110.1
23	49.3	110.1
24	51.6	110.1
25	40.5	110.0
26	46.1	109.3
27	51.2	109.2
28	54.4	109.2
29	57.2	108.9
30	60.4	108.9
31	62.4	108.5
32	80.6	108.5
33	80.6	108.5
34	73.5	108.5
35	67.5	108.1
36	62.0	107.7
37	58.8	107.7
38	57.2	107.7
39	57.2	107.7
40	60.4	107.7
41	65.5	107.3
42	67.5	107.3
43	69.5	107.1
44	71.5	107.1
45	73.1	106.9
46	75.1	106.9
47	77.1	106.5
48	79.1	105.7
49	62.8	105.7
50	62.0	105.7
51	61.2	105.7
52	60.8	105.3
53	60.4	105.3
54	60.0	105.3
55	59.6	105.3
56	75.1	104.9
57	74.3	104.5
58	67.9	104.5
59	62.4	104.5
60	58.8	104.5
61	56.0	104.1
62	54.4	104.1
63	54.4	104.1
64	56.0	103.7
65	59.2	103.7
66	60.4	103.7
67	61.2	103.7
68	62.0	103.3
69	62.8	103.3
70	64.0	103.0
71	64.8	102.9
72	65.5	102.9
73	51.2	102.9
74	54.0	102.9
75	55.6	102.5
76	56.4	102.1
77	57.6	102.1
78	58.4	102.1
79	59.2	101.7
80	75.9	101.7
81	75.9	101.7
82	73.9	101.5
83	72.3	101.3
84	71.5	100.9
85	71.1	100.9
86	70.7	100.9
87	71.1	100.7
88	71.9	100.5
89	73.1	100.1
90	74.3	100.1
91	75.1	100.1
92	76.3	100.1
93	77.1	100.1
94	78.3	99.7
95	79.5	99.7
96	81.8	99.3
97	64.8	99.3
98	64.8	99.3
99	64.8	99.3
100	65.2	98.9
101	64.8	98.9
102	64.8	98.9
103	64.8	98.9
104	80.6	98.5
105	80.2	98.5
106	77.1	98.5
107	73.9	98.5
108	71.1	98.5
