# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	4.4	20.6
2	4.7	20.4
3	5.0	20.2
4	5.2	20.0
5	5.3	19.9
6	5.4	19.7
7	5.5	19.7
8	8.2	19.7
9	8.0	19.5
10	7.1	19.4
11	6.3	19.2
12	5.5	18.8
13	5.1	18.7
14	4.8	18.7
15	4.8	18.6
16	5.2	18.6
17	5.6	18.5
18	6.1	18.3
19	6.5	18.2
20	6.9	18.2
21	7.2	18.2
22	7.6	18.1
23	8.1	18.0
24	8.5	18.0
25	6.7	18.0
26	7.6	18.0
27	8.4	18.0
28	8.9	17.9
29	9.4	17.8
30	9.9	17.8
31	10.3	17.8
32	13.3	17.8
33	13.3	17.8
34	12.1	17.8
35	11.1	17.7
36	10.2	17.7
37	9.7	17.7
38	9.4	17.7
39	9.4	17.7
40	9.9	17.6
41	10.8	17.6
42	11.1	17.6
43	11.4	17.6
44	11.8	17.5
45	12.0	17.5
46	12.3	17.4
47	12.7	17.4
48	13.0	17.3
49	10.3	17.3
50	10.2	17.3
51	10.1	17.3
52	10.0	17.3
53	9.9	17.3
54	9.9	17.2
55	9.8	17.2
56	12.3	17.1
57	12.2	17.1
58	11.2	17.1
59	10.3	17.1
60	9.7	17.1
61	9.2	17.1
62	8.9	17.1
63	8.9	17.0
64	9.2	17.0
65	9.7	17.0
66	9.9	17.0
67	10.1	16.9
68	10.2	16.9
69	10.3	16.9
70	10.5	16.9
71	10.6	16.9
72	10.8	16.9
73	8.4	16.8
74	8.9	16.8
75	9.1	16.8
76	9.3	16.7
77	9.5	16.7
78	9.6	16.7
79	9.7	16.7
80	12.5	16.7
81	12.5	16.6
82	12.1	16.6
83	11.9	16.6
84	11.8	16.5
85	11.7	16.5
86	11.6	16.5
87	11.7	16.5
88	11.8	16.5
89	12.0	16.4
90	12.2	16.4
91	12.3	16.4
92	12.5	16.4
93	12.7	16.3
94	12.9	16.3
95	13.1	16.3
96	13.5	16.3
97	10.6	16.3
98	10.6	16.3
99	10.6	16.3
100	10.7	16.3
101	10.6	16.3
102	10.6	16.2
103	10.6	16.2
104	13.3	16.2
105	13.2	16.1
106	12.7	16.1
107	12.1	16.1
108	11.7	16.1
109	11.4	16.1
110	11.2	16.1
111	11.2	16.1
112	11.4	16.1
113	11.7	16.1
114	11.9	16.0
115	12.1	16.0
116	12.3	16.0
117	12.5	16.0
118	12.7	16.0
119	12.9	16.0
120	13.3	16.0
121	10.7	15.9
122	11.0	15.9
123	11.4	15.9
124	11.6	15.9
125	11.7	15.9
126	11.8	15.9
127	11.9	15.9
128	14.7	15.8
129	14.7	15.8
130	14.3	15.8
131	13.9	15.8
132	13.6	15.8
133	13.5	15.8
134	13.4	15.7
135	13.4	15.7
136	13.5	15.7
137	13.8	15.7
138	14.0	15.7
139	14.2	15.7
140	14.3	15.7
141	14.5	15.7
142	14.7	15.6
143	14.8	15.6
144	15.0	15.6
145	12.4	15.6
146	12.5	15.6
147	12.5	15.6
148	12.5	15.6
149	12.5	15.5
150	12.5	15.5
151	12.5	15.5
152	15.1	15.5
153	14.9	15.5
154	13.6	15.5
155	12.5	15.5
156	11.6	15.5
157	10.8	15.5
158	10.4	15.5
159	10.5	15.5
160	11.0	15.5
161	11.8	15.5
162	11.9	15.5
163	12.1	15.5
164	12.3	15.5
165	12.5	15.5
166	12.7	15.4
167	13.0	15.4
168	13.2	15.4
169	11.0	15.4
170	11.2	15.4
171	11.6	15.4
172	11.8	15.4
173	11.9	15.4
174	12.1	15.4
175	12.3	15.3
176	15.0	15.3
177	15.0	15.3
178	14.6	15.3
179	14.4	15.3
180	14.4	15.3
181	14.4	15.3
182	13.8	15.3
183	13.6	15.3
184	13.5	15.3
185	13.8	15.3
186	14.1	15.3
187	14.4	15.3
188	14.6	15.3
189	14.8	15.2
190	15.0	15.2
191	15.3	15.2
192	15.5	15.2
193	13.1	15.2
194	13.2	15.2
195	13.3	15.2
196	13.4	15.2
197	13.5	15.2
198	13.6	15.2
199	13.6	15.2
200	16.3	15.2
201	16.2	15.1
202	15.7	15.1
203	15.2	15.1
204	14.8	15.1
205	14.6	15.1
206	14.5	15.1
207	14.4	15.1
208	14.6	15.1
209	15.0	15.1
210	15.1	15.1
211	15.1	15.1
212	15.3	15.1
213	15.3	15.1
214	15.3	15.0
215	15.4	15.0
216	15.5	15.0
217	12.9	15.0
218	12.9	15.0
219	13.0	15.0
220	13.0	15.0
221	13.0	15.0
222	13.0	15.0
223	13.0	15.0
224	15.6	15.0
225	15.5	15.0
226	15.0	15.0
227	14.5	15.0
228	14.1	15.0
229	13.9	15.0
230	13.7	15.0
231	13.7	15.0
232	13.8	15.0
233	14.2	15.0
234	14.3	15.0
235	14.4	14.9
236	14.7	14.9
237	14.5	14.9
238	14.6	14.9
239	14.7	14.9
240	14.8	14.9
241	12.3	14.9
242	12.3	14.9
243	12.4	14.9
244	12.5	14.9
245	12.5	14.9
246	12.5	14.8
247	12.5	14.8
248	15.1	14.8
249	15.0	14.8
250	14.1	14.8
251	13.3	14.8
252	12.5	14.8
253	11.9	14.8
254	11.6	14.8
255	11.6	14.8
256	11.8	14.8
257	12.3	14.8
258	12.7	14.8
259	13.1	14.8
260	13.5	14.8
261	13.8	14.8
262	14.2	14.8
263	14.6	14.7
264	15.0	14.7
265	13.1	14.7
266	14.0	14.7
267	14.8	14.7
268	15.3	14.7
269	15.8	14.7
270	16.3	14.7
271	16.7	14.7
272	19.7	14.7
273	19.7	14.7
274	19.2	14.7
275	18.7	14.7
276	18.2	14.7
277	18.0	14.7
278	18.3	14.6
279	18.5	14.6
280	18.8	14.6
281	19.4	14.6
282	19.5	14.6
283	19.7	14.6
284	19.9	14.6
285	20.0	14.6
286	20.2	14.6
287	20.4	14.6
288	20.6	14.6
289	17.7	14.6
290	17.5	14.6
291	16.8	14.6
292	16.5	14.6
293	16.2	14.6
294	15.9	14.6
295	15.7	14.6
296	18.2	14.6
297	18.0	14.6
298	17.1	14.6
299	16.3	14.6
300	15.7	14.5
301	15.3	14.5
302	15.1	14.5
303	15.0	14.5
304	15.2	14.5
305	15.6	14.5
306	15.5	14.5
307	15.5	14.5
308	15.5	14.4
309	15.5	14.4
310	15.6	14.4
311	15.5	14.4
312	15.5	14.4
313	13.1	14.4
314	13.4	14.4
315	13.6	14.4
316	13.8	14.4
317	14.0	14.4
318	14.1	14.4
319	14.2	14.4
320	16.9	14.4
321	16.9	14.4
322	16.6	14.4
323	16.1	14.4
324	15.7	14.4
325	15.5	14.4
326	15.4	14.4
327	15.4	14.3
328	15.5	14.3
329	15.8	14.3
330	16.1	14.3
331	16.3	14.3
332	16.6	14.3
333	16.8	14.3
334	17.0	14.3
335	17.3	14.3
336	17.6	14.3
337	15.3	14.3
338	15.3	14.2
339	15.5	14.2
340	15.7	14.2
341	15.8	14.2
342	15.9	14.2
343	16.0	14.2
344	18.7	14.2
345	18.6	14.2
346	18.1	14.2
347	17.7	14.2
348	17.4	14.2
349	17.1	14.2
350	17.0	14.2
