# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.5	77.5
2	17.7	77.0
3	18.9	76.3
4	19.4	75.5
5	19.9	75.0
6	20.4	74.3
7	20.7	74.3
8	30.8	74.0
9	30.3	73.6
10	26.8	73.1
11	23.6	72.3
12	20.9	70.8
13	19.2	70.6
14	18.2	70.4
15	18.2	70.4
16	19.4	70.1
17	21.2	69.6
18	22.9	68.9
19	24.4	68.9
20	25.8	68.4
21	27.3	68.4
22	28.8	68.1
23	30.5	68.1
24	32.0	68.1
25	25.1	68.1
26	28.5	67.7
27	31.7	67.7
28	33.7	67.7
29	35.4	67.4
30	37.4	67.4
31	38.6	67.2
32	49.9	67.2
33	49.9	67.2
34	45.5	67.2
35	41.8	66.9
36	38.4	66.7
37	36.4	66.7
38	35.4	66.7
39	35.4	66.7
40	37.4	66.7
41	40.6	66.4
42	41.8	66.4
43	43.1	66.3
44	44.3	66.3
45	45.3	66.2
46	46.5	66.2
47	47.7	65.9
48	49.0	65.4
49	38.9	65.4
50	38.4	65.4
51	37.9	65.4
52	37.6	65.2
53	37.4	65.2
54	37.1	65.2
55	36.9	65.2
56	46.5	64.9
57	46.0	64.7
58	42.1	64.7
59	38.6	64.7
60	36.4	64.7
61	34.7	64.5
62	33.7	64.5
63	33.7	64.4
64	34.7	64.2
65	36.7	64.2
66	37.4	64.2
67	37.9	64.2
68	38.4	63.9
69	38.9	63.9
70	39.6	63.8
71	40.1	63.7
72	40.6	63.7
73	31.7	63.7
74	33.5	63.7
75	34.4	63.5
76	34.9	63.2
77	35.7	63.2
78	36.2	63.2
79	36.7	63.0
80	47.0	62.9
81	47.0	62.9
82	45.8	62.9
83	44.8	62.7
84	44.3	62.5
85	44.0	62.5
86	43.8	62.4
87	44.0	62.4
88	44.5	62.2
89	45.3	62.0
90	46.0	62.0
91	46.5	62.0
92	47.2	62.0
93	47.7	62.0
94	48.5	61.7
95	49.2	61.7
96	50.7	61.5
97	40.1	61.5
98	40.1	61.5
99	40.1	61.5
100	40.3	61.3
101	40.1	61.3
102	40.1	61.3
103	40.1	61.3
104	49.9	61.0
105	49.7	61.0
106	47.7	61.0
107	45.8	61.0
108	44.0	61.0
109	43.1	60.8
110	42.3	60.7
111	42.1	60.7
112	42.8	60.7
113	44.0	60.7
114	44.8	60.5
115	45.5	60.5
116	46.2	60.5
117	47.0	60.5
118	48.0	60.5
119	48.5	60.5
120	49.9	60.5
121	40.3	60.5
122	41.6	60.3
123	42.8	60.2
124	43.5	60.2
125	44.0	60.2
126	44.5	60.0
127	45.0	60.0
128	55.4	60.0
129	55.4	59.8
130	53.9	59.7
131	52.4	59.7
132	51.4	59.7
133	50.7	59.6
134	50.4	59.5
135	50.4	59.5
136	50.9	59.5
137	52.2	59.5
