# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	19.1	89.9
2	20.6	89.4
3	22.0	88.5
4	22.6	87.6
5	23.1	87.1
6	23.7	86.2
7	24.0	86.2
8	35.7	85.9
9	35.1	85.4
10	31.1	84.8
11	27.4	83.9
12	24.3	82.2
13	22.3	81.9
14	21.1	81.9
15	21.1	81.6
16	22.6	81.4
17	24.6	80.8
18	26.5	80.1
19	28.3	79.9
20	30.0	79.4
21	31.7	79.4
22	33.4	79.3
23	35.4	79.3
24	37.1	79.3
25	29.1	79.1
26	33.1	78.5
27	36.8	78.5
28	39.1	78.4
29	41.1	78.2
30	43.4	78.1
31	44.8	78.0
32	58.0	77.9
33	58.0	77.9
34	52.8	77.9
35	48.5	77.7
36	44.5	77.4
37	42.3	77.4
38	41.1	77.4
39	41.1	77.4
40	43.4	77.4
41	47.1	77.2
42	48.5	77.1
43	50.0	76.8
44	51.4	76.8
45	52.5	76.5
46	54.0	76.4
47	55.4	76.4
48	56.8	76.1
49	45.1	76.1
50	44.5	75.9
51	44.0	75.9
52	43.7	75.8
53	43.4	75.8
54	43.1	75.7
55	42.8	75.7
56	54.0	75.2
57	53.4	75.2
58	48.8	75.1
59	44.8	75.1
60	42.3	74.9
61	40.3	74.8
62	39.1	74.8
63	39.1	74.8
64	40.3	74.7
65	42.5	74.7
66	43.4	74.5
67	44.0	74.5
68	44.5	74.4
69	45.1	74.4
70	46.0	74.1
71	46.5	73.9
72	47.1	73.9
73	36.8	73.9
74	38.8	73.7
75	40.0	73.5
76	40.5	73.5
77	41.4	73.5
78	42.0	73.4
79	42.5	73.2
80	54.5	73.2
81	54.5	73.1
82	53.1	72.8
83	52.0	72.6
84	51.4	72.5
85	51.1	72.5
86	50.8	72.4
87	51.1	72.3
88	51.7	72.1
89	52.5	72.1
90	53.4	72.1
91	54.0	71.9
92	54.8	71.9
93	55.4	71.9
94	56.2	71.8
95	57.1	71.7
96	58.8	71.5
97	46.5	71.4
98	46.5	71.4
99	46.5	71.4
100	46.8	71.1
101	46.5	71.1
102	46.5	71.1
103	46.5	71.1
104	58.0	70.9
105	57.7	70.9
106	55.4	70.8
107	53.1	70.8
108	51.1	70.6
109	50.0	70.6
110	49.1	70.6
111	48.8	70.6
112	49.7	70.5
113	51.1	70.3
114	52.0	70.3
115	52.8	70.3
116	53.7	70.3
117	54.5	70.3
118	55.7	70.3
119	56.2	70.3
120	58.0	70.2
121	46.8	70.0
122	48.2	70.0
123	49.7	70.0
124	50.5	69.9
125	51.1	69.8
126	51.7	69.8
127	52.2	69.8
128	64.2	69.7
129	64.2	69.5
130	62.5	69.5
131	60.8	69.5
132	59.7	69.4
133	58.8	69.2
134	58.5	69.2
135	58.5	69.1
136	59.1	69.1
137	60.5	69.1
138	61.1	68.8
139	61.9	68.8
140	62.5	68.8
141	63.4	68.7
142	64.2	68.6
143	64.8	68.6
144	65.7	68.6
145	54.2	68.5
146	54.5	68.5
147	54.5	68.4
148	54.5	68.3
149	54.5	68.3
150	54.5	68.3
151	54.5	68.2
152	65.9	68.2
153	65.1	68.2
154	59.7	68.0
155	54.8	68.0
156	50.5	67.9
157	47.4	67.9
158	45.7	67.9
159	46.0	67.9
160	48.2	67.9
161	51.4	67.9
162	52.2	67.9
163	53.1	67.9
164	54.0	67.9
165	54.8	67.9
166	55.7	67.9
167	56.8	67.7
168	57.7	67.7
169	48.0	67.7
170	49.1	67.7
171	50.5	67.7
172	51.4	67.4
173	52.2	67.4
174	53.1	67.4
175	53.7	67.4
176	65.7	67.4
177	65.7	67.4
178	63.7	67.4
179	62.8	67.2
180	63.1	67.2
181	63.1	67.2
182	60.5	67.2
183	59.4	67.2
184	59.1	67.1
185	60.5	67.1
186	61.7	67.1
187	62.8	67.1
188	63.7	67.1
189	64.8	67.1
190	65.7	67.1
191	66.8	67.1
192	67.9	67.1
193	57.1	66.9
194	57.7	66.9
195	58.2	66.9
196	58.5	66.8
197	58.8	66.8
198	59.4	66.8
199	59.7	66.8
200	71.1	66.6
201	70.8	66.6
202	68.5	66.6
203	66.5	66.6
204	64.8	66.6
205	63.7	66.6
206	63.4	66.5
207	63.1	66.5
208	63.9	66.5
209	65.7	66.5
210	65.9	66.3
211	66.2	66.3
212	67.1	66.3
213	67.1	66.3
214	67.1	66.3
215	67.4	66.3
216	67.9	66.3
217	56.5	66.2
218	56.5	66.2
219	56.8	66.2
220	56.8	66.0
221	56.8	66.0
222	56.8	66.0
223	56.8	66.0
224	68.2	65.9
225	67.9	65.9
226	65.7	65.9
227	63.4	65.9
228	61.7	65.8
229	60.8	65.8
230	60.0	65.8
231	60.0	65.7
232	60.5	65.7
233	61.9	65.7
234	62.5	65.7
235	63.1	65.7
236	64.2	65.7
237	63.4	65.7
238	63.9	65.7
239	64.2	65.7
240	64.5	65.7
241	53.7	65.7
242	54.0	65.5
243	54.2	65.4
244	54.5	65.4
245	54.5	65.4
246	54.5	65.4
247	54.5	65.4
248	66.2	65.4
249	65.7	65.4
250	61.7	65.2
251	58.0	65.2
252	54.5	65.1
253	52.2	65.1
254	50.8	65.1
255	50.5	65.1
256	51.7	64.9
257	54.0	64.9
258	55.7	64.8
259	57.4	64.8
260	58.8	64.8
261	60.5	64.8
262	62.2	64.8
263	63.9	64.8
264	65.4	64.8
265	57.1	64.6
266	61.1	64.6
267	64.8	64.6
268	67.1	64.6
269	69.1	64.6
270	71.4	64.5
271	73.1	64.5
272	86.2	64.5
273	85.9	64.5
274	83.9	64.3
275	81.9	64.3
276	79.4	64.3
277	78.5	64.3
278	79.9	64.3
279	80.8	64.2
280	82.2	64.2
281	84.8	64.2
282	85.4	64.2
283	86.2	64.2
284	87.1	64.2
285	87.6	64.0
286	88.5	64.0
287	89.4	64.0
288	89.9	64.0
289	77.4	64.0
290	76.5	64.0
291	73.4	63.9
292	71.9	63.9
293	70.8	63.9
294	69.7	63.9
295	68.8	63.9
296	79.4	63.9
297	78.5	63.9
298	74.8	63.7
299	71.4	63.7
300	68.8	63.7
301	66.8	63.7
302	65.9	63.7
303	65.7	63.7
304	66.5	63.7
305	68.2	63.4
306	67.9	63.4
307	67.9	63.4
308	67.9	63.4
309	67.9	63.4
310	68.2	63.4
311	67.7	63.4
312	67.7	63.4
313	57.4	63.4
314	58.5	63.4
315	59.7	63.4
316	60.2	63.4
317	61.1	63.4
318	61.7	63.4
319	62.2	63.1
320	73.9	63.1
321	73.9	63.1
322	72.5	63.1
323	70.2	63.1
324	68.8	63.1
325	67.9	63.1
326	67.4	63.1
327	67.4	63.1
328	67.9	63.1
329	69.1	63.0
330	70.5	62.8
331	71.4	62.8
332	72.5	62.8
333	73.7	62.8
334	74.5	62.8
335	75.7	62.8
336	76.8	62.7
337	67.1	62.6
338	67.1	62.5
339	67.9	62.5
340	68.5	62.5
341	69.1	62.5
342	69.4	62.5
343	69.9	62.5
344	81.6	62.5
345	81.4	62.5
346	79.1	62.5
347	77.4	62.5
348	75.9	62.3
349	74.8	62.3
350	74.5	62.3
351	75.1	62.3
352	75.9	62.3
353	77.1	62.2
354	77.4	62.2
355	77.4	62.2
356	77.7	62.0
357	77.9	62.0
358	77.9	62.0
359	77.9	62.0
360	78.2	62.0
361	66.5	62.0
362	66.2	62.0
363	65.9	62.0
364	65.4	61.9
365	65.1	61.9
366	64.8	61.8
367	64.5	61.8
368	75.7	61.7
369	75.1	61.7
370	73.9	61.7
371	72.8	61.7
372	71.9	61.7
373	71.1	61.7
374	64.2	61.7
375	60.5	61.7
376	59.4	61.7
377	61.7	61.7
378	62.2	61.7
379	62.5	61.7
380	63.1	61.5
381	63.7	61.4
382	63.9	61.4
383	64.5	61.4
384	64.8	61.4
385	54.8	61.2
386	56.0	61.2
387	57.4	61.1
388	58.0	61.1
389	58.5	61.1
390	59.4	61.1
391	59.7	61.1
392	71.7	61.1
393	71.1	61.1
394	63.4	61.1
395	56.2	61.1
396	50.0	60.8
397	46.0	60.8
398	44.0	60.8
399	44.0	60.8
400	46.8	60.8
401	52.0	60.8
402	52.5	60.8
403	53.4	60.8
404	54.0	60.7
405	54.8	60.7
406	55.4	60.7
407	56.2	60.6
408	56.8	60.5
409	46.0	60.5
410	46.2	60.5
411	46.8	60.5
412	46.8	60.5
413	47.1	60.5
414	47.1	60.5
415	47.1	60.5
416	58.8	60.5
417	58.2	60.5
418	57.4	60.4
419	56.2	60.4
420	55.4	60.4
421	54.2	60.3
422	46.8	60.2
423	43.1	60.2
424	42.0	60.2
425	44.5	60.2
426	45.1	60.2
427	45.7	60.2
428	46.2	60.2
429	46.5	60.2
430	47.1	60.1
431	47.7	60.1
432	48.2	60.0
433	37.7	60.0
434	38.5	60.0
435	39.4	60.0
436	39.7	60.0
437	40.0	60.0
438	40.5	60.0
439	40.5	60.0
440	52.2	59.9
441	52.0	59.9
442	51.1	59.7
443	50.5	59.7
444	49.7	59.7
445	49.4	59.7
446	42.8	59.7
447	38.5	59.7
448	36.8	59.7
449	39.1	59.7
450	40.0	59.7
451	41.1	59.7
452	42.0	59.6
453	43.1	59.6
454	44.2	59.6
455	45.1	59.4
456	46.2	59.4
457	36.0	59.4
458	37.4	59.4
459	38.8	59.4
460	39.7	59.4
461	40.5	59.4
462	41.4	59.4
463	41.7	59.4
464	53.7	59.4
465	53.4	59.4
466	52.5	59.4
467	52.2	59.4
468	51.4	59.4
469	50.8	59.1
470	45.4	59.1
471	43.1	59.1
472	42.5	59.1
473	44.5	59.1
474	45.1	59.1
475	45.4	59.1
476	46.0	59.1
477	46.5	59.1
478	46.8	59.1
479	47.4	59.1
480	47.7	59.1
481	36.3	59.0
482	36.3	59.0
483	36.0	58.8
484	36.0	58.8
485	35.7	58.8
486	35.7	58.8
487	35.4	58.8
488	46.8	58.8
489	46.2	58.8
490	41.4	58.8
491	36.8	58.8
492	32.5	58.8
493	29.1	58.8
494	26.8	58.8
495	26.5	58.8
496	28.0	58.8
497	31.1	58.8
498	32.0	58.6
499	33.1	58.6
500	34.0	58.6
501	35.1	58.5
502	36.3	58.5
503	37.1	58.5
504	38.3	58.5
505	28.5	58.5
506	30.0	58.5
507	31.7	58.5
508	32.3	58.5
509	33.1	58.5
510	33.7	58.5
511	34.3	58.5
512	46.0	58.5
513	45.4	58.5
514	40.0	58.3
515	35.7	58.3
516	30.8	58.2
517	27.7	58.2
518	23.7	58.2
519	22.0	58.2
520	22.3	58.2
521	26.0	58.2
522	28.5	58.2
523	30.8	58.1
524	33.4	58.1
525	36.0	58.1
526	38.3	58.1
527	40.8	58.0
528	43.1	58.0
529	34.5	58.0
530	37.7	58.0
531	40.5	58.0
532	42.3	58.0
533	43.7	57.9
534	45.4	57.9
535	46.2	57.9
536	58.8	57.8
537	57.1	57.8
538	48.0	57.8
539	40.0	57.8
540	34.0	57.8
541	29.4	57.7
542	26.8	57.7
543	26.5	57.7
544	28.8	57.7
545	34.5	57.7
546	38.0	57.6
547	41.4	57.6
548	44.8	57.6
549	48.2	57.6
550	51.7	57.5
551	55.1	57.4
552	58.5	57.4
553	50.2	57.4
554	53.7	57.4
555	57.1	57.4
556	59.1	57.4
557	61.1	57.4
558	63.1	57.4
559	64.5	57.4
560	77.4	57.4
561	76.8	57.4
562	71.1	57.3
563	65.4	57.3
