# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	2.4	11.1
2	2.5	11.1
3	2.7	10.9
4	2.8	10.8
5	2.9	10.8
6	2.9	10.7
7	3.0	10.7
8	4.4	10.6
9	4.3	10.6
10	3.8	10.5
11	3.4	10.4
12	3.0	10.2
13	2.8	10.1
14	2.6	10.1
15	2.6	10.1
16	2.8	10.1
17	3.0	10.0
18	3.3	9.9
19	3.5	9.9
20	3.7	9.8
21	3.9	9.8
22	4.1	9.8
23	4.4	9.8
24	4.6	9.8
25	3.6	9.8
26	4.1	9.7
27	4.6	9.7
28	4.8	9.7
29	5.1	9.7
30	5.4	9.7
31	5.5	9.6
32	7.2	9.6
33	7.2	9.6
34	6.5	9.6
35	6.0	9.6
36	5.5	9.6
37	5.2	9.6
38	5.1	9.6
39	5.1	9.6
40	5.4	9.6
41	5.8	9.5
42	6.0	9.5
43	6.2	9.5
44	6.4	9.5
45	6.5	9.5
46	6.7	9.5
47	6.8	9.5
48	7.0	9.4
49	5.6	9.4
50	5.5	9.4
51	5.4	9.4
52	5.4	9.4
53	5.4	9.4
54	5.3	9.4
55	5.3	9.4
56	6.7	9.3
57	6.6	9.3
58	6.0	9.3
59	5.5	9.3
60	5.2	9.3
61	5.0	9.2
62	4.8	9.2
63	4.8	9.2
64	5.0	9.2
65	5.3	9.2
66	5.4	9.2
67	5.4	9.2
68	5.5	9.2
69	5.6	9.2
70	5.7	9.1
71	5.8	9.1
72	5.8	9.1
73	4.6	9.1
74	4.8	9.1
75	4.9	9.1
76	5.0	9.1
77	5.1	9.1
78	5.2	9.1
79	5.3	9.0
80	6.7	9.0
81	6.7	9.0
82	6.6	9.0
83	6.4	9.0
84	6.4	9.0
85	6.3	9.0
86	6.3	9.0
87	6.3	8.9
88	6.4	8.9
89	6.5	8.9
90	6.6	8.9
91	6.7	8.9
92	6.8	8.9
93	6.8	8.9
94	7.0	8.9
95	7.1	8.9
96	7.3	8.8
97	5.8	8.8
98	5.8	8.8
99	5.8	8.8
100	5.8	8.8
101	5.8	8.8
102	5.8	8.8
103	5.8	8.8
104	7.2	8.8
105	7.1	8.8
106	6.8	8.7
107	6.6	8.7
108	6.3	8.7
109	6.2	8.7
110	6.1	8.7
111	6.0	8.7
112	6.1	8.7
113	6.3	8.7
114	6.4	8.7
115	6.5	8.7
116	6.6	8.7
117	6.7	8.7
118	6.9	8.7
119	7.0	8.7
120	7.2	8.7
121	5.8	8.7
122	6.0	8.6
123	6.1	8.6
124	6.2	8.6
125	6.3	8.6
126	6.4	8.6
127	6.5	8.6
128	7.9	8.6
129	7.9	8.6
130	7.7	8.6
131	7.5	8.6
132	7.4	8.6
133	7.3	8.5
134	7.2	8.5
135	7.2	8.5
136	7.3	8.5
137	7.5	8.5
138	7.6	8.5
139	7.7	8.5
140	7.7	8.5
141	7.8	8.5
142	7.9	8.5
143	8.0	8.5
144	8.1	8.5
145	6.7	8.5
146	6.7	8.5
147	6.7	8.5
148	6.7	8.4
149	6.7	8.4
150	6.7	8.4
151	6.7	8.4
152	8.2	8.4
153	8.0	8.4
154	7.4	8.4
155	6.8	8.4
156	6.2	8.4
157	5.9	8.4
158	5.6	8.4
159	5.7	8.4
160	6.0	8.4
161	6.4	8.4
162	6.5	8.4
163	6.6	8.4
164	6.7	8.4
165	6.8	8.4
166	6.9	8.4
167	7.0	8.4
168	7.1	8.4
169	5.9	8.4
170	6.1	8.4
171	6.2	8.4
172	6.4	8.4
173	6.5	8.4
174	6.6	8.3
175	6.6	8.3
176	8.1	8.3
177	8.1	8.3
178	7.9	8.3
179	7.8	8.3
180	7.8	8.3
181	7.8	8.3
182	7.5	8.3
183	7.3	8.3
184	7.3	8.3
185	7.5	8.3
186	7.6	8.3
187	7.8	8.3
188	7.9	8.3
189	8.0	8.3
190	8.1	8.3
191	8.3	8.3
192	8.4	8.3
193	7.1	8.3
194	7.1	8.3
195	7.2	8.3
196	7.2	8.3
197	7.3	8.3
198	7.3	8.3
199	7.4	8.2
200	8.8	8.2
201	8.8	8.2
202	8.5	8.2
203	8.2	8.2
204	8.0	8.2
205	7.9	8.2
206	7.8	8.2
207	7.8	8.2
208	7.9	8.2
209	8.1	8.2
210	8.2	8.2
211	8.2	8.2
212	8.3	8.2
213	8.3	8.2
214	8.3	8.2
215	8.3	8.2
216	8.4	8.2
217	7.0	8.2
218	7.0	8.2
219	7.0	8.2
220	7.0	8.2
221	7.0	8.2
222	7.0	8.2
223	7.0	8.2
224	8.4	8.2
225	8.4	8.2
226	8.1	8.2
227	7.8	8.2
228	7.6	8.2
229	7.5	8.1
230	7.4	8.1
231	7.4	8.1
232	7.5	8.1
233	7.7	8.1
234	7.7	8.1
235	7.8	8.1
236	7.9	8.1
237	7.8	8.1
238	7.9	8.1
239	7.9	8.1
240	8.0	8.1
241	6.6	8.1
242	6.7	8.1
243	6.7	8.1
244	6.7	8.1
245	6.7	8.1
246	6.7	8.1
247	6.7	8.1
248	8.2	8.1
249	8.1	8.1
250	7.6	8.1
251	7.2	8.1
252	6.7	8.0
253	6.5	8.0
254	6.3	8.0
255	6.2	8.0
