# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	19.6	92.2
2	21.1	91.6
3	22.5	90.7
4	23.1	89.9
5	23.7	89.3
6	24.3	88.4
7	24.6	88.4
8	36.6	88.1
9	36.0	87.5
10	31.9	86.9
11	28.1	86.1
12	24.9	84.3
13	22.8	84.1
14	21.7	84.0
15	21.7	83.7
16	23.1	83.4
17	25.2	82.8
18	27.2	82.3
19	29.0	82.0
20	30.7	81.4
21	32.5	81.4
22	34.2	81.4
23	36.3	81.4
24	38.1	81.4
25	29.9	81.1
26	34.0	80.5
27	37.8	80.5
28	40.1	80.5
29	42.2	80.3
30	44.5	80.2
31	46.0	79.9
32	59.4	79.9
33	59.4	79.9
34	54.2	79.6
35	49.8	79.4
36	45.7	79.3
37	43.3	79.3
38	42.2	79.3
39	42.2	79.3
40	44.5	79.3
41	48.3	79.0
42	49.8	78.9
43	51.2	78.7
44	52.7	78.7
45	53.9	78.5
46	55.3	78.2
47	56.8	78.2
48	58.3	77.9
49	46.3	77.9
50	45.7	77.9
51	45.1	77.9
52	44.8	77.6
53	44.5	77.6
54	44.2	77.3
55	43.9	77.3
56	55.3	77.3
57	54.7	77.3
58	50.1	77.0
59	46.0	77.0
60	43.3	77.0
61	41.3	76.7
62	40.1	76.7
63	40.1	76.7
64	41.3	76.7
65	43.6	76.4
66	44.5	76.4
67	45.1	76.4
68	45.7	76.4
69	46.3	76.1
70	47.1	75.8
71	47.7	75.8
72	48.3	75.8
73	37.8	75.7
74	39.8	75.5
75	41.0	75.5
76	41.6	75.5
77	42.4	75.2
78	43.0	75.2
79	43.6	75.2
80	55.9	74.9
81	55.9	74.6
82	54.4	74.6
83	53.3	74.4
84	52.7	74.4
85	52.4	74.4
86	52.1	74.3
87	52.4	74.0
88	53.0	74.0
89	53.9	74.0
90	54.7	73.8
91	55.3	73.8
92	56.2	73.7
93	56.8	73.5
94	57.7	73.4
95	58.5	73.3
96	60.3	73.2
97	47.7	73.2
98	47.7	73.2
99	47.7	72.9
100	48.0	72.9
101	47.7	72.9
102	47.7	72.9
103	47.7	72.8
104	59.4	72.8
105	59.1	72.7
106	56.8	72.6
107	54.4	72.6
108	52.4	72.6
109	51.2	72.6
110	50.3	72.6
111	50.1	72.6
112	50.9	72.3
113	52.4	72.3
114	53.3	72.3
115	54.2	72.3
116	55.0	72.3
117	55.9	72.3
118	57.1	72.3
