# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.1	38.2
2	8.7	37.9
3	9.3	37.6
4	9.6	37.2
5	9.8	37.0
6	10.1	36.6
7	10.2	36.6
8	15.1	36.5
9	14.9	36.2
10	13.2	36.0
11	11.6	35.6
12	10.3	34.9
13	9.5	34.8
14	9.0	34.7
15	9.0	34.6
16	9.6	34.5
17	10.4	34.3
18	11.3	33.9
19	12.0	33.9
20	12.7	33.7
21	13.4	33.7
22	14.2	33.6
23	15.0	33.5
24	15.8	33.5
25	12.4	33.5
26	14.1	33.5
27	15.6	33.3
28	16.6	33.3
29	17.4	33.2
30	18.4	33.2
31	19.0	33.1
32	24.6	33.1
33	24.6	33.1
34	22.4	33.0
35	20.6	33.0
36	18.9	32.8
37	17.9	32.8
38	17.4	32.8
39	17.4	32.8
40	18.4	32.8
41	20.0	32.8
42	20.6	32.8
43	21.2	32.7
44	21.8	32.7
45	22.3	32.6
46	22.9	32.6
47	23.5	32.5
48	24.1	32.2
49	19.1	32.2
50	18.9	32.2
51	18.7	32.2
52	18.5	32.1
53	18.4	32.1
54	18.3	32.1
55	18.2	32.1
56	22.9	32.1
57	22.7	31.9
58	20.7	31.9
59	19.0	31.8
60	17.9	31.8
61	17.1	31.7
62	16.6	31.7
63	16.6	31.7
64	17.1	31.6
65	18.1	31.6
66	18.4	31.6
67	18.7	31.6
68	18.9	31.6
69	19.1	31.5
70	19.5	31.5
71	19.7	31.4
72	20.0	31.4
73	15.6	31.4
74	16.5	31.3
75	17.0	31.3
76	17.2	31.1
77	17.6	31.1
78	17.8	31.1
79	18.1	31.1
80	23.1	31.0
81	23.1	31.0
82	22.5	31.0
83	22.1	30.9
84	21.8	30.9
85	21.7	30.8
86	21.6	30.8
87	21.7	30.7
88	21.9	30.6
89	22.3	30.5
90	22.7	30.5
91	22.9	30.5
92	23.3	30.5
93	23.5	30.5
94	23.9	30.4
95	24.2	30.4
96	25.0	30.3
97	19.7	30.3
98	19.7	30.3
99	19.7	30.2
100	19.9	30.2
101	19.7	30.2
102	19.7	30.2
103	19.7	30.2
104	24.6	30.2
105	24.5	30.0
106	23.5	30.0
107	22.5	30.0
108	21.7	30.0
109	21.2	30.0
110	20.8	29.9
111	20.7	29.9
112	21.1	29.9
113	21.7	29.9
114	22.1	29.9
115	22.4	29.8
116	22.8	29.8
117	23.1	29.8
118	23.6	29.8
119	23.9	29.8
120	24.6	29.8
121	19.9	29.8
122	20.5	29.7
123	21.1	29.6
124	21.4	29.6
125	21.7	29.6
126	21.9	29.6
127	22.2	29.5
128	27.3	29.5
129	27.3	29.5
130	26.5	29.4
131	25.8	29.4
132	25.3	29.4
133	25.0	29.4
134	24.8	29.4
135	24.8	29.3
136	25.1	29.3
137	25.7	29.3
138	25.9	29.3
139	26.3	29.3
140	26.5	29.2
141	26.9	29.2
142	27.3	29.2
143	27.5	29.2
144	27.9	29.1
145	23.0	29.1
146	23.1	29.0
147	23.1	29.0
148	23.1	29.0
149	23.1	29.0
150	23.1	29.0
151	23.1	29.0
152	28.0	28.9
153	27.6	28.9
154	25.3	28.9
155	23.3	28.9
156	21.4	28.9
157	20.1	28.8
158	19.4	28.8
159	19.5	28.8
160	20.5	28.8
161	21.8	28.8
162	22.2	28.8
163	22.5	28.8
164	22.9	28.8
165	23.3	28.8
166	23.6	28.8
167	24.1	28.8
168	24.5	28.8
169	20.4	28.8
170	20.8	28.8
171	21.4	28.8
172	21.8	28.7
173	22.2	28.7
174	22.5	28.7
175	22.8	28.7
176	27.9	28.7
177	27.9	28.7
178	27.0	28.7
179	26.7	28.6
180	26.8	28.6
181	26.8	28.6
182	25.7	28.6
183	25.2	28.6
184	25.1	28.5
185	25.7	28.5
186	26.2	28.5
187	26.7	28.5
188	27.0	28.5
189	27.5	28.5
190	27.9	28.5
191	28.4	28.5
192	28.8	28.5
193	24.2	28.5
194	24.5	28.5
195	24.7	28.4
196	24.8	28.4
197	25.0	28.4
198	25.2	28.4
199	25.3	28.4
200	30.2	28.4
201	30.0	28.4
202	29.1	28.4
203	28.2	28.4
204	27.5	28.3
205	27.0	28.3
206	26.9	28.3
207	26.8	28.3
208	27.1	28.3
209	27.9	28.3
210	28.0	28.2
211	28.1	28.2
212	28.5	28.2
213	28.5	28.2
214	28.5	28.2
215	28.6	28.2
216	28.8	28.2
217	24.0	28.2
218	24.0	28.1
219	24.1	28.1
220	24.1	28.1
221	24.1	28.1
222	24.1	28.0
223	24.1	28.0
224	29.0	28.0
225	28.8	28.0
226	27.9	28.0
227	26.9	28.0
228	26.2	28.0
229	25.8	28.0
230	25.4	28.0
231	25.4	28.0
232	25.7	27.9
233	26.3	27.9
234	26.5	27.9
235	26.8	27.9
236	27.3	27.9
237	26.9	27.9
238	27.1	27.9
239	27.3	27.9
240	27.4	27.9
241	22.8	27.9
242	22.9	27.9
243	23.0	27.8
244	23.1	27.8
245	23.1	27.7
246	23.1	27.7
247	23.1	27.7
248	28.1	27.7
249	27.9	27.7
250	26.2	27.7
251	24.6	27.7
252	23.1	27.6
253	22.2	27.6
254	21.6	27.6
255	21.4	27.6
256	21.9	27.5
257	22.9	27.5
258	23.6	27.5
259	24.4	27.5
260	25.0	27.5
261	25.7	27.5
262	26.4	27.5
263	27.1	27.5
264	27.7	27.5
265	24.2	27.4
266	25.9	27.4
267	27.5	27.4
268	28.5	27.4
269	29.3	27.4
270	30.3	27.4
271	31.0	27.3
272	36.6	27.3
273	36.5	27.3
274	35.6	27.3
275	34.8	27.3
276	33.7	27.3
277	33.3	27.3
278	33.9	27.3
279	34.3	27.3
280	34.9	27.3
281	36.0	27.3
282	36.2	27.2
283	36.6	27.2
284	37.0	27.2
285	37.2	27.2
286	37.6	27.2
287	37.9	27.2
288	38.2	27.2
289	32.8	27.2
290	32.5	27.1
291	31.1	27.1
292	30.5	27.1
293	30.0	27.1
294	29.6	27.1
295	29.2	27.1
296	33.7	27.1
297	33.3	27.1
298	31.7	27.1
299	30.3	27.1
300	29.2	27.1
301	28.4	27.1
302	28.0	27.0
303	27.9	27.0
304	28.2	27.0
305	29.0	27.0
306	28.8	27.0
307	28.8	27.0
308	28.8	27.0
309	28.8	26.9
310	29.0	26.9
311	28.7	26.9
312	28.7	26.9
313	24.4	26.9
314	24.8	26.9
