# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	38.7	181.8
2	41.6	180.6
3	44.4	178.9
4	45.6	177.2
5	46.7	176.0
6	47.9	174.3
7	48.5	174.3
8	72.1	173.7
9	71.0	172.6
10	62.9	171.4
11	55.4	169.7
12	49.1	166.2
13	45.0	165.6
14	42.7	165.4
15	42.7	165.1
16	45.6	164.5
17	49.6	163.3
18	53.7	161.9
19	57.1	161.6
20	60.6	160.4
21	64.1	160.4
22	67.5	160.2
23	71.6	160.2
24	75.0	160.2
25	58.9	159.9
26	66.9	158.7
27	74.4	158.7
28	79.1	158.4
29	83.1	158.2
30	87.7	158.1
31	90.6	157.9
32	117.2	157.5
33	117.2	157.5
34	106.8	157.5
35	98.1	157.0
36	90.0	156.4
37	85.4	156.4
38	83.1	156.4
39	83.1	156.4
40	87.7	156.4
41	95.2	156.1
42	98.1	155.8
43	101.0	155.2
44	103.9	155.2
45	106.2	154.9
46	109.1	154.9
47	112.0	154.7
48	114.8	153.8
49	91.2	153.8
50	90.0	153.5
51	88.9	153.5
52	88.3	153.2
53	87.7	153.2
54	87.1	152.9
55	86.6	152.9
56	109.1	152.0
57	107.9	152.0
58	98.7	151.8
59	90.6	151.8
60	85.4	151.7
61	81.4	151.5
62	79.1	151.2
63	79.1	151.2
64	81.4	150.9
65	86.0	150.9
66	87.7	150.6
67	88.9	150.6
68	90.0	150.3
69	91.2	150.3
70	92.9	149.7
71	94.1	149.5
72	95.2	149.5
73	74.4	149.5
74	78.5	149.0
75	80.8	148.9
76	81.9	148.5
77	83.7	148.5
78	84.8	148.3
79	86.0	148.0
80	110.2	148.0
81	110.2	147.7
82	107.3	147.2
83	105.0	146.9
84	103.9	146.8
85	103.3	146.6
86	102.7	146.6
87	103.3	146.2
88	104.5	145.8
89	106.2	145.6
90	107.9	145.6
91	109.1	145.6
92	110.8	145.4
93	112.0	145.4
94	113.7	145.1
95	115.4	144.9
96	118.9	144.5
97	94.1	144.3
98	94.1	144.3
99	94.1	144.3
100	94.6	143.7
101	94.1	143.7
102	94.1	143.7
103	94.1	143.7
104	117.2	143.3
105	116.6	143.3
106	112.0	143.1
107	107.3	143.1
108	103.3	142.7
109	101.0	142.7
110	99.3	142.7
111	98.7	142.7
112	100.4	142.5
113	103.3	142.5
