# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	35.0	97.1
2	36.5	96.5
3	38.0	95.9
4	38.6	95.6
5	39.2	95.0
6	39.8	94.7
7	40.0	94.1
8	40.3	93.3
9	39.8	93.3
10	35.6	93.0
11	31.7	92.4
12	28.4	91.8
13	26.3	91.8
14	25.1	91.5
15	25.1	90.9
16	26.6	90.3
17	28.7	89.7
18	30.8	89.1
19	32.6	89.1
20	34.4	88.8
21	36.2	88.5
22	38.0	88.3
23	40.0	88.2
24	41.8	88.2
25	45.4	88.0
26	49.6	87.9
27	53.5	87.7
28	55.9	87.6
29	58.0	87.6
30	60.4	87.3
31	61.9	87.3
32	63.7	87.1
33	63.7	87.0
34	58.3	86.7
35	53.8	86.7
36	49.6	86.5
37	47.2	86.5
38	46.0	86.1
39	46.0	86.1
40	48.4	86.1
41	52.3	85.9
42	53.8	85.8
43	55.3	85.6
44	56.8	85.6
45	58.0	85.6
46	59.5	85.2
47	61.0	85.2
48	62.5	85.2
49	62.2	85.2
50	61.6	85.2
51	61.0	85.0
52	60.7	84.9
53	60.4	84.9
54	60.1	84.7
55	59.8	84.7
56	59.5	84.7
57	58.9	84.6
58	54.1	84.6
59	49.9	84.6
60	47.2	84.6
61	45.1	84.6
62	43.9	84.4
63	43.9	84.3
64	45.1	84.3
65	47.5	84.3
66	48.4	84.0
67	49.0	84.0
68	49.6	84.0
69	50.2	84.0
70	51.1	84.0
71	51.7	84.0
72	52.3	83.8
73	53.5	83.8
74	55.6	83.8
75	56.8	83.7
76	57.4	83.5
77	58.3	83.5
78	58.9	83.5
79	59.5	83.5
80	60.1	83.4
81	60.1	83.4
82	58.6	83.4
83	57.4	83.2
84	56.8	83.2
85	56.5	83.2
86	56.2	83.1
87	56.5	82.8
88	57.1	82.8
89	58.0	82.6
90	58.9	82.5
91	59.5	82.5
92	60.4	82.5
93	61.0	82.5
94	61.9	82.3
95	62.8	82.3
96	64.6	82.2
97	63.7	82.2
98	63.7	82.0
99	63.7	82.0
100	64.0	82.0
101	63.7	82.0
102	63.7	81.7
103	63.7	81.7
104	63.7	81.6
105	63.4	81.6
106	61.0	81.5
107	58.6	81.4
108	56.5	81.4
109	55.3	81.4
110	54.4	81.4
111	54.1	81.3
112	55.0	81.3
113	56.5	81.1
114	57.4	81.1
115	58.3	81.1
116	59.2	81.1
117	60.1	81.1
118	61.3	81.0
119	61.9	81.0
120	63.7	81.0
121	64.0	80.8
122	65.5	80.8
123	66.9	80.5
124	67.8	80.5
125	68.4	80.5
126	69.0	80.4
127	69.6	80.4
128	70.2	80.4
129	70.2	80.2
130	68.4	80.1
131	66.7	80.1
132	65.5	80.1
133	64.6	79.9
134	64.3	79.9
135	64.3	79.6
136	64.9	79.6
137	66.4	79.6
138	66.9	79.5
139	67.8	79.3
140	68.4	79.3
141	69.3	79.2
142	70.2	79.0
143	70.8	78.9
144	71.7	78.9
145	71.7	78.9
146	72.0	78.9
147	72.0	78.9
148	72.0	78.7
149	72.0	78.4
150	72.0	78.4
151	72.0	78.4
152	72.0	78.3
153	71.1	78.1
154	65.5	78.1
155	60.4	78.1
156	55.9	78.0
157	52.6	78.0
158	50.8	77.8
159	51.1	77.7
160	53.5	77.7
161	56.8	77.5
162	57.7	77.5
163	58.6	77.4
164	59.5	77.4
165	60.4	77.4
166	61.3	77.4
167	62.5	77.4
168	63.4	77.4
169	65.2	77.4
170	66.4	77.2
171	67.8	77.1
172	68.7	77.1
173	69.6	77.1
174	70.5	76.9
175	71.1	76.9
176	71.7	76.8
177	71.7	76.8
178	69.6	76.7
179	68.7	76.6
180	69.0	76.6
181	69.0	76.6
182	66.4	76.6
183	65.2	76.5
184	64.9	76.5
185	66.4	76.3
186	67.5	76.3
187	68.7	76.3
188	69.6	76.3
189	70.8	76.3
190	71.7	76.3
191	72.9	76.3
192	74.1	76.2
193	74.7	76.2
194	75.3	76.2
195	75.9	76.2
196	76.2	76.2
197	76.5	76.0
198	77.1	76.0
199	77.4	76.0
200	77.4	76.0
201	77.1	75.9
202	74.7	75.9
203	72.6	75.7
204	70.8	75.7
205	69.6	75.6
206	69.3	75.6
207	69.0	75.4
208	69.9	75.4
209	71.7	75.4
210	72.0	75.3
211	72.3	75.3
212	73.2	75.3
213	73.2	75.1
214	73.2	75.1
215	73.5	75.1
216	74.1	75.1
217	74.1	75.0
218	74.1	75.0
219	74.4	75.0
220	74.4	75.0
221	74.4	74.8
222	74.4	74.8
223	74.4	74.7
224	74.4	74.7
225	74.1	74.7
226	71.7	74.7
227	69.3	74.5
228	67.5	74.5
229	66.7	74.5
230	65.8	74.5
231	65.8	74.5
232	66.4	74.4
233	67.8	74.4
234	68.4	74.4
235	69.0	74.4
236	70.2	74.4
237	69.3	74.4
238	69.9	74.4
239	70.2	74.4
240	70.5	74.2
241	71.1	74.2
242	71.4	74.2
243	71.7	74.2
244	72.0	74.2
245	72.0	74.1
246	72.0	74.1
247	72.0	74.1
248	72.3	74.1
249	71.7	74.1
250	67.5	74.1
251	63.7	74.1
252	60.1	74.1
253	57.7	74.1
254	56.2	74.1
255	55.9	74.1
256	57.1	73.9
257	59.5	73.9
258	61.3	73.8
259	63.1	73.8
260	64.6	73.7
261	66.4	73.7
262	68.1	73.7
263	69.9	73.6
264	71.4	73.6
265	74.7	73.6
266	78.9	73.6
267	82.8	73.6
268	85.2	73.5
269	87.3	73.5
270	89.7	73.5
271	91.5	73.5
272	93.3	73.4
273	93.0	73.4
274	90.9	73.3
275	88.8	73.3
276	86.1	73.3
277	85.2	73.2
278	86.7	73.2
279	87.6	73.2
280	89.1	73.1
281	91.8	73.0
282	92.4	73.0
283	93.3	73.0
284	94.1	73.0
285	94.7	73.0
286	95.6	73.0
287	96.5	72.9
288	97.1	72.9
289	95.9	72.8
290	95.0	72.7
291	91.8	72.7
292	90.3	72.7
293	89.1	72.6
294	87.9	72.6
295	87.0	72.6
296	86.1	72.5
297	85.2	72.4
298	81.3	72.4
299	77.7	72.4
300	75.0	72.4
301	72.9	72.4
302	72.0	72.3
303	71.7	72.3
304	72.6	72.3
305	74.4	72.3
306	74.1	72.1
307	74.1	72.1
308	74.1	72.1
309	74.1	72.1
310	74.4	72.1
311	73.8	72.1
312	73.8	72.0
313	75.0	72.0
314	76.2	72.0
315	77.4	72.0
316	78.0	72.0
317	78.9	72.0
318	79.5	72.0
319	80.1	72.0
320	80.4	72.0
321	80.4	72.0
322	78.9	72.0
323	76.5	72.0
324	75.0	72.0
325	74.1	72.0
326	73.5	72.0
327	73.5	72.0
328	74.1	71.8
329	75.3	71.8
330	76.8	71.7
331	77.7	71.7
332	78.9	71.7
333	80.1	71.7
334	81.0	71.7
335	82.2	71.7
336	83.4	71.7
337	85.2	71.7
338	85.2	71.7
339	86.1	71.7
340	86.7	71.7
341	87.3	71.7
342	87.6	71.7
343	88.2	71.5
344	88.5	71.5
345	88.2	71.4
346	85.8	71.4
347	84.0	71.4
348	82.5	71.4
349	81.3	71.4
350	81.0	71.4
351	81.6	71.2
352	82.5	71.2
353	83.7	71.2
354	84.0	71.2
355	84.0	71.1
356	84.3	71.1
357	84.6	71.1
358	84.6	71.1
359	84.6	71.1
360	84.9	70.9
361	84.6	70.9
362	84.3	70.9
363	84.0	70.9
364	83.4	70.9
365	83.1	70.8
366	82.8	70.8
367	82.5	70.8
368	82.2	70.8
369	81.6	70.8
370	80.4	70.6
371	79.2	70.5
372	78.3	70.5
373	77.4	70.5
374	70.2	70.3
375	66.4	70.3
376	65.2	70.3
377	67.5	70.3
378	68.1	70.3
379	68.4	70.3
380	69.0	70.3
381	69.6	70.2
382	69.9	70.2
383	70.5	70.2
384	70.8	70.2
385	72.3	70.2
386	73.5	70.2
387	75.0	70.2
388	75.6	70.0
389	76.2	70.0
390	77.1	70.0
391	77.4	70.0
392	78.0	70.0
393	77.4	70.0
394	69.3	69.9
395	61.9	69.9
396	55.3	69.9
397	51.1	69.9
398	49.0	69.9
399	49.0	69.7
400	52.0	69.7
401	57.4	69.7
402	58.0	69.7
403	58.9	69.7
404	59.5	69.7
405	60.4	69.7
406	61.0	69.7
407	61.9	69.6
408	62.5	69.6
409	63.1	69.6
410	63.4	69.6
411	64.0	69.6
412	64.0	69.6
413	64.3	69.5
414	64.3	69.5
415	64.3	69.4
416	64.6	69.3
417	64.0	69.3
418	63.1	69.3
419	61.9	69.3
420	61.0	69.3
421	59.8	69.2
422	52.0	69.1
423	48.1	69.1
424	46.9	69.1
425	49.6	69.1
426	50.2	69.1
427	50.8	69.1
428	51.4	69.0
429	51.7	69.0
430	52.3	69.0
431	52.9	69.0
432	53.5	69.0
433	54.4	69.0
434	55.3	69.0
435	56.2	69.0
436	56.5	68.9
437	56.8	68.9
438	57.4	68.9
439	57.4	68.8
440	57.7	68.8
441	57.4	68.8
442	56.5	68.8
443	55.9	68.8
444	55.0	68.8
445	54.7	68.8
446	47.8	68.7
447	43.3	68.7
448	41.5	68.7
449	43.9	68.6
450	44.8	68.6
451	46.0	68.5
452	46.9	68.5
453	48.1	68.5
454	49.3	68.5
455	50.2	68.5
456	51.4	68.5
457	52.6	68.4
458	54.1	68.4
