# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.4	73.3
2	18.5	72.8
3	19.6	72.2
4	20.1	71.5
5	20.5	71.0
6	21.0	70.4
7	21.2	70.4
8	30.4	70.1
9	30.0	69.7
10	26.8	69.2
11	23.9	68.6
12	21.4	67.2
13	19.8	67.0
14	18.9	66.8
15	18.9	66.5
16	20.1	66.3
17	21.6	66.1
18	23.2	65.4
19	24.6	64.9
20	25.9	64.9
21	27.3	64.9
22	28.6	64.7
23	30.2	64.7
24	31.6	64.3
25	25.3	64.3
26	28.4	64.3
27	31.3	64.3
28	33.2	64.3
29	34.7	64.0
30	36.5	63.8
31	37.7	63.8
32	48.0	63.8
33	48.0	63.6
34	44.0	63.6
35	40.6	63.5
36	37.4	63.5
37	35.6	63.4
38	34.7	63.4
39	34.7	63.4
40	36.5	63.4
41	39.5	63.4
42	40.6	63.4
43	41.7	63.1
44	42.8	62.9
45	43.7	62.9
46	44.9	62.7
47	46.0	62.7
48	47.1	62.2
49	37.9	62.2
50	37.4	62.2
51	37.0	62.0
52	36.8	62.0
53	36.5	61.8
54	36.3	61.8
55	36.1	61.6
56	44.9	61.6
57	44.4	61.6
58	40.8	61.6
59	37.7	61.3
60	35.6	61.3
61	34.1	61.1
62	33.2	61.1
63	33.2	61.1
64	34.1	61.1
65	35.9	61.1
66	36.5	60.9
67	37.0	60.7
68	37.4	60.7
69	37.9	60.7
70	38.6	60.7
71	39.0	60.7
72	39.5	60.4
73	31.3	60.4
74	32.9	60.4
75	33.8	60.3
76	34.3	60.2
77	35.0	60.2
78	35.4	60.0
79	35.9	59.8
80	45.3	59.8
81	45.3	59.8
82	44.2	59.8
83	43.3	59.5
84	42.8	59.5
85	42.6	59.5
86	42.4	59.5
87	42.6	59.1
88	43.1	59.1
89	43.7	59.1
90	44.4	58.9
91	44.9	58.9
92	45.6	58.6
93	46.0	58.6
94	46.7	58.6
95	47.4	58.6
96	48.7	58.6
97	39.0	58.6
98	39.0	58.5
99	39.0	58.4
100	39.2	58.4
101	39.0	58.4
102	39.0	58.4
103	39.0	58.4
104	48.0	58.2
105	47.8	58.2
106	46.0	58.2
107	44.2	58.1
108	42.6	58.0
109	41.7	57.7
110	41.0	57.7
111	40.8	57.7
112	41.5	57.5
113	42.6	57.5
114	43.3	57.5
115	44.0	57.5
116	44.7	57.5
117	45.3	57.3
118	46.2	57.3
119	46.7	57.3
120	48.0	57.3
121	39.2	57.3
122	40.4	57.3
123	41.5	57.3
124	42.2	57.3
125	42.6	57.1
126	43.1	57.1
127	43.5	57.1
128	53.0	57.1
129	53.0	57.1
130	51.6	56.8
131	50.3	56.8
132	49.4	56.8
133	48.7	56.8
134	48.5	56.8
135	48.5	56.6
136	48.9	56.6
137	50.1	56.6
138	50.5	56.6
139	51.2	56.6
140	51.6	56.6
141	52.3	56.6
142	53.0	56.4
143	53.4	56.4
144	54.1	56.4
145	45.1	56.4
146	45.3	56.2
147	45.3	56.2
148	45.3	56.2
149	45.3	56.2
150	45.3	56.2
151	45.3	56.0
152	54.3	56.0
153	53.7	56.0
154	49.4	55.9
155	45.6	55.9
156	42.2	55.9
