# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.8	79.1
2	18.1	78.6
3	19.3	77.8
4	19.8	77.1
5	20.3	76.6
6	20.8	75.8
7	21.1	75.8
8	31.4	75.6
9	30.9	75.1
10	27.4	74.6
11	24.1	73.8
12	21.3	72.3
13	19.6	72.1
14	18.6	72.0
15	18.6	71.8
16	19.8	71.6
17	21.6	71.1
18	23.4	70.4
19	24.9	70.3
20	26.4	69.8
21	27.9	69.8
22	29.4	69.7
23	31.1	69.7
24	32.6	69.7
25	25.6	69.6
26	29.1	69.1
27	32.4	69.1
28	34.4	68.9
29	36.2	68.9
30	38.2	68.8
31	39.4	68.7
32	51.0	68.5
33	51.0	68.5
34	46.5	68.5
35	42.7	68.3
36	39.2	68.0
37	37.2	68.0
38	36.2	68.0
39	36.2	68.0
40	38.2	68.0
41	41.4	67.9
42	42.7	67.8
43	43.9	67.5
44	45.2	67.5
45	46.2	67.5
46	47.5	67.5
47	48.7	67.3
48	50.0	66.9
49	39.7	66.9
50	39.2	66.8
51	38.7	66.8
52	38.4	66.6
53	38.2	66.6
54	37.9	66.5
55	37.7	66.5
56	47.5	66.1
57	47.0	66.1
58	42.9	66.1
59	39.4	66.0
60	37.2	66.0
61	35.4	65.9
62	34.4	65.8
63	34.4	65.8
64	35.4	65.6
65	37.4	65.6
66	38.2	65.5
67	38.7	65.5
68	39.2	65.4
69	39.7	65.4
70	40.4	65.1
71	40.9	65.0
72	41.4	65.0
73	32.4	65.0
74	34.1	64.9
75	35.2	64.8
76	35.7	64.6
77	36.4	64.6
78	36.9	64.5
79	37.4	64.4
80	48.0	64.4
81	48.0	64.3
82	46.7	64.0
83	45.7	64.0
84	45.2	63.8
85	44.9	63.8
86	44.7	63.8
87	44.9	63.6
88	45.4	63.5
89	46.2	63.3
90	47.0	63.3
91	47.5	63.3
92	48.2	63.3
93	48.7	63.3
94	49.5	63.1
95	50.2	63.0
96	51.7	62.8
97	40.9	62.8
98	40.9	62.8
99	40.9	62.8
100	41.2	62.5
101	40.9	62.5
102	40.9	62.5
103	40.9	62.5
104	51.0	62.3
105	50.7	62.3
106	48.7	62.3
107	46.7	62.3
108	44.9	62.1
109	43.9	62.1
110	43.2	62.1
111	42.9	62.1
112	43.7	62.1
113	44.9	62.0
114	45.7	61.8
115	46.5	61.8
116	47.2	61.8
117	48.0	61.8
118	49.0	61.8
119	49.5	61.8
120	51.0	61.8
121	41.2	61.6
122	42.4	61.6
123	43.7	61.6
124	44.4	61.6
125	44.9	61.5
126	45.4	61.3
127	46.0	61.3
128	56.5	61.3
129	56.5	61.1
130	55.0	61.1
131	53.5	61.1
132	52.5	61.0
133	51.7	60.8
134	51.5	60.8
135	51.5	60.8
136	52.0	60.8
137	53.2	60.8
138	53.7	60.7
139	54.5	60.5
140	55.0	60.5
141	55.7	60.5
